Accession,Organism_Name,Isolate,Species,Genus,Length,Nuc_Completeness,Country,Host,Collection_Date
KT452724.1,Bat hepatovirus,N71078Myomyo2010,Bat hepatovirus,Hepatovirus,405,partial,Germany,Myotis myotis,2010
KT452725.1,Bat hepatovirus,N71070Myomyo2010,Bat hepatovirus,Hepatovirus,405,partial,Germany,Myotis myotis,2010
KT452726.1,Bat hepatovirus,Lux11B5Rhifer2011,Bat hepatovirus,Hepatovirus,864,partial,Luxembourg,Rhinolophus ferrumequinum,2011
KT452727.1,Bat hepatovirus,Lux11B8Rhifer2011,Bat hepatovirus,Hepatovirus,405,partial,Luxembourg,Rhinolophus ferrumequinum,2011
KT452728.1,Bat hepatovirus,S58AMMyosp2008,Bat hepatovirus,Hepatovirus,864,partial,Germany,Myotis dasycneme,2008
KT452731.1,Bat hepatovirus,BUO2BF198Colafr2010,Bat hepatovirus,Hepatovirus,405,partial,Ghana,Coleura afra,2010
KT452732.1,Bat hepatovirus,K13224Glauconyct2013,Bat hepatovirus,Hepatovirus,864,partial,Democratic Republic of the Congo,Glauconycteris,2013
KT452733.1,Bat hepatovirus,R8011Rhihip2010,Bat hepatovirus,Hepatovirus,864,partial,Spain,Rhinolophus hipposideros,2010
KT452738.1,Rodent hepatovirus,SMG18494Minmav2014,Rodent hepatovirus,Hepatovirus,864,partial,Madagascar,Miniopterus,2014
KT452739.1,Bat hepatovirus,SMG18495Minmav2014,Bat hepatovirus,Hepatovirus,864,partial,Madagascar,Miniopterus,2014
KT452740.1,Bat hepatovirus,SMG18514Minmav2014,Bat hepatovirus,Hepatovirus,864,partial,Madagascar,Miniopterus,2014
KT452741.1,Bat hepatovirus,SMG18519Minmav2014,Bat hepatovirus,Hepatovirus,864,partial,Madagascar,Miniopterus,2014
KT452743.1,Bat hepatovirus,SMG18522Minmav2014,Bat hepatovirus,Hepatovirus,864,partial,Madagascar,Miniopterus,2014
KT452744.1,Bat hepatovirus,SMG18516Minmav2014,Bat hepatovirus,Hepatovirus,720,partial,Madagascar,Miniopterus,2014
KT452745.1,Bat hepatovirus,Rcet884Minsch2008,Bat hepatovirus,Hepatovirus,864,partial,Romania,Miniopterus schreibersii,2008
KT452746.1,Bat hepatovirus,NL2012BPipkuh2012,Bat hepatovirus,Hepatovirus,864,partial,Ukraine,Pipistrellus kuhlii,2012
KT452747.1,Bat hepatovirus,NMS0921Nycnoc2009,Bat hepatovirus,Hepatovirus,864,partial,Germany,Nyctalus noctula,2009
