Accession,Organism_Name,Isolate,Species,Genus,Length,Nuc_Completeness,Country,Host,Collection_Date
OR951363.1,Bat kobuvirus,LN2020,Bat kobuvirus,Kobuvirus,4399,partial,China,Rhinolophus ferrumequinum,2020
OR951364.1,Bat kobuvirus,LN2020_328_33437,Bat kobuvirus,Kobuvirus,6401,partial,China,Rhinolophus ferrumequinum,2020
OR951365.1,Bat kobuvirus,LN2020_329_62009,Bat kobuvirus,Kobuvirus,7581,partial,China,Rhinolophus ferrumequinum,2020
OR951366.1,Bat kobuvirus,FJ2021,Bat kobuvirus,Kobuvirus,1961,partial,China,Rhinolophus sinicus,2021
OR867088.1,Kobuvirus sp.,MSJDC22/7654,Kobuvirus sp.,Kobuvirus,5576,partial,China,Miniopterus schreibersii,2022
OR867089.1,Kobuvirus sp.,SKYHG15/114,Kobuvirus sp.,Kobuvirus,1147,partial,China,Scotophilus kuhlii,2015
OR867090.1,Kobuvirus sp.,SKYHG15/6,Kobuvirus sp.,Kobuvirus,4021,partial,China,Scotophilus kuhlii,2015
OR082796.1,Bat aichivirus,FEC052,Bat aichivirus,Kobuvirus,2077,partial,Madagascar,Eidolon dupreanum,2018-04-09
OQ363795.1,Aichivirus A,GD/L25.18/2020,Aichivirus A,Kobuvirus,2189,partial,China,Rhinolophus sinicus,Dec-20
OQ363796.1,Aichivirus A,GD/L24.18/2020,Aichivirus A,Kobuvirus,2098,partial,China,Rhinolophus sinicus,Dec-20
MW450839.1,Kobuvirus sp.,BF1-Kobuvirus-YN-CHN-2020,Kobuvirus sp.,Kobuvirus,1956,partial,China,Rhinolophus sinicus,2020-02-20
MT180166.1,Rat kobuvirus ZJMM95,,Rat kobuvirus ZJMM95,Kobuvirus,416,partial,China,Scotophilus kuhlii,2016
MF947381.1,Kobuvirus sp.,,Kobuvirus sp.,Kobuvirus,795,partial,Viet Nam,Scotophilus kuhlii,2014-06-17
MF947382.1,Kobuvirus sp.,,Kobuvirus sp.,Kobuvirus,683,partial,Viet Nam,Scotophilus kuhlii,2014-06-11
MF947383.1,Kobuvirus sp.,,Kobuvirus sp.,Kobuvirus,831,partial,Viet Nam,Scotophilus kuhlii,2014-06-17
MF947384.1,Kobuvirus sp.,,Kobuvirus sp.,Kobuvirus,831,partial,Viet Nam,Scotophilus kuhlii,2014-06-17
MF947385.1,Kobuvirus sp.,,Kobuvirus sp.,Kobuvirus,831,partial,Viet Nam,Scotophilus kuhlii,2014-06-17
MF947386.1,Kobuvirus sp.,,Kobuvirus sp.,Kobuvirus,831,partial,Viet Nam,Scotophilus kuhlii,2014-06-17
MF947387.1,Kobuvirus sp.,,Kobuvirus sp.,Kobuvirus,831,partial,Viet Nam,Scotophilus kuhlii,2014-06-11
MF947388.1,Kobuvirus sp.,,Kobuvirus sp.,Kobuvirus,831,partial,Viet Nam,Scotophilus kuhlii,2014-06-17
MF947389.1,Kobuvirus sp.,,Kobuvirus sp.,Kobuvirus,589,partial,Viet Nam,Scotophilus kuhlii,2014-09-16
MF947390.1,Kobuvirus sp.,,Kobuvirus sp.,Kobuvirus,608,partial,Viet Nam,Murina ussuriensis,2014-06-11
MF947391.1,Kobuvirus sp.,,Kobuvirus sp.,Kobuvirus,831,partial,Viet Nam,Scotophilus kuhlii,2014-06-17
MF947392.1,Kobuvirus sp.,,Kobuvirus sp.,Kobuvirus,831,partial,Viet Nam,Scotophilus kuhlii,2014-06-17
MF947393.1,Kobuvirus sp.,,Kobuvirus sp.,Kobuvirus,717,partial,Viet Nam,Scotophilus kuhlii,2014-06-17
MF947394.1,Kobuvirus sp.,,Kobuvirus sp.,Kobuvirus,831,partial,Viet Nam,Scotophilus kuhlii,2014-09-18
MF947395.1,Kobuvirus sp.,,Kobuvirus sp.,Kobuvirus,689,partial,Viet Nam,Scotophilus kuhlii,2014-09-18
MF947396.1,Kobuvirus sp.,,Kobuvirus sp.,Kobuvirus,831,partial,Viet Nam,Scotophilus kuhlii,2014-09-18
MF947397.1,Kobuvirus sp.,,Kobuvirus sp.,Kobuvirus,710,partial,Viet Nam,Scotophilus kuhlii,2014-09-18
MF947398.1,Kobuvirus sp.,,Kobuvirus sp.,Kobuvirus,648,partial,Viet Nam,Scotophilus kuhlii,2014-09-18
MF947399.1,Kobuvirus sp.,,Kobuvirus sp.,Kobuvirus,522,partial,Viet Nam,Scotophilus kuhlii,2014-09-18
MF947400.1,Kobuvirus sp.,,Kobuvirus sp.,Kobuvirus,668,partial,Viet Nam,Scotophilus kuhlii,2014-11-13
MF947401.1,Kobuvirus sp.,,Kobuvirus sp.,Kobuvirus,831,partial,Viet Nam,Scotophilus kuhlii,2014-11-13
MF947402.1,Kobuvirus sp.,,Kobuvirus sp.,Kobuvirus,719,partial,Viet Nam,Scotophilus kuhlii,2014-09-16
MF947403.1,Kobuvirus sp.,,Kobuvirus sp.,Kobuvirus,831,partial,Viet Nam,Scotophilus kuhlii,2014-06-11
MF947404.1,Kobuvirus sp.,,Kobuvirus sp.,Kobuvirus,831,partial,Viet Nam,Scotophilus kuhlii,2014-06-17
MF947405.1,Kobuvirus sp.,,Kobuvirus sp.,Kobuvirus,831,partial,Viet Nam,Scotophilus kuhlii,2014-06-17
MF947406.1,Kobuvirus sp.,,Kobuvirus sp.,Kobuvirus,831,partial,Viet Nam,Scotophilus kuhlii,2014-06-11
MF947429.1,aichivirus A10,,Aichivirus A,Kobuvirus,6340,partial,Viet Nam,Scotophilus kuhlii,2014-06-11
MF947430.1,Kobuvirus sp.,,Kobuvirus sp.,Kobuvirus,5619,partial,Viet Nam,Scotophilus kuhlii,2014-06-11
MF947431.1,Kobuvirus sp.,,Kobuvirus sp.,Kobuvirus,5667,partial,Viet Nam,Scotophilus kuhlii,2014-06-11
MF947432.1,Kobuvirus sp.,,Kobuvirus sp.,Kobuvirus,6350,partial,Viet Nam,Scotophilus kuhlii,2014-06-11
MF947433.1,Kobuvirus sp.,,Kobuvirus sp.,Kobuvirus,5393,partial,Viet Nam,Scotophilus kuhlii,2014-06-17
MF947434.1,Kobuvirus sp.,,Kobuvirus sp.,Kobuvirus,6312,partial,Viet Nam,Scotophilus kuhlii,2014-06-11
MF947435.1,Kobuvirus sp.,,Kobuvirus sp.,Kobuvirus,6312,partial,Viet Nam,Scotophilus kuhlii,2014-06-11
MF947436.1,Kobuvirus sp.,,Kobuvirus sp.,Kobuvirus,5931,partial,Viet Nam,Scotophilus kuhlii,2014-06-11
MF947437.1,Kobuvirus sp.,,Kobuvirus sp.,Kobuvirus,6859,partial,Viet Nam,Scotophilus kuhlii,2015-02-06
MF947438.1,Kobuvirus sp.,,Kobuvirus sp.,Kobuvirus,6859,partial,Viet Nam,Scotophilus kuhlii,2014-09-18
MF947439.1,Kobuvirus sp.,,Kobuvirus sp.,Kobuvirus,6354,partial,Viet Nam,Scotophilus kuhlii,2014-06-11
MF947440.1,Kobuvirus sp.,,Kobuvirus sp.,Kobuvirus,6354,partial,Viet Nam,Scotophilus kuhlii,2014-09-16
KJ641686.1,aichivirus F1,BtMr-PicoV/JX2010,Aichivirus F,Kobuvirus,7555,partial,China,Myotis ricketti,Oct-10
KJ641691.1,aichivirus F2,BtMf-PicoV-2/GD2012,Aichivirus F,Kobuvirus,7279,partial,China,Miniopterus fuliginosus,Dec-12
JX885611.1,Eidolon helvum kobuvirus,Picorna_ur_181630,Eidolon helvum kobuvirus,Kobuvirus,1120,partial,Ghana,Eidolon helvum,Jan-09
HM228880.1,Bat kobuvirus TM246k,TM246k,Bat kobuvirus TM246k,Kobuvirus,206,partial,USA,Chiroptera,Aug-08
HM228881.1,Bat kobuvirus TM001k,TM001k,Bat kobuvirus TM001k,Kobuvirus,1977,partial,USA,Chiroptera,Aug-08
HM228882.1,Bat kobuvirus TM003k,TM003k,Bat kobuvirus TM003k,Kobuvirus,1335,partial,USA,Chiroptera,Aug-08
HM228883.1,Bat kobuvirus TM046k,TM046k,Bat kobuvirus TM046k,Kobuvirus,595,partial,USA,Chiroptera,Aug-08
HM228884.1,Bat kobuvirus TM042k,TM042k,Bat kobuvirus TM042k,Kobuvirus,630,partial,USA,Chiroptera,Aug-08
