CenterPos,JQ814851,NC_043072,KP100644
2200,9,15,76
2220,1,1,98
2240,9,3,88
2260,5,5,90
2280,4,1,95
2300,4,1,95
2320,6,1,93
2340,0,0,100
2360,0,2,98
2380,2,0,98
2400,0,0,100
2420,3,5,92
2440,2,20,78
2460,2,38,60
2480,1,26,73
2500,10,12,78
2520,8,16,76
2540,9,15,76
2560,7,2,91
2580,11,3,86
2600,15,3,82
2620,3,0,97
2640,0,0,100
2660,0,0,100
2680,0,0,100
2700,0,0,100
2720,0,0,100
2740,0,0,100
2760,0,0,100
2780,0,0,100
2800,0,0,100
2820,0,0,100
2840,0,0,100
2860,3,6,91
2880,0,8,92
2900,2,7,91
2920,2,20,78
2940,2,22,76
2960,7,39,54
2980,13,25,62
3000,22,19,59
3020,22,52,26
3040,8,62,30
3060,18,45,37
3080,8,40,52
3100,1,26,73
3120,5,14,81
3140,3,10,87
3160,1,9,90
3180,0,4,96
3200,0,2,98
3220,0,4,96
3240,0,0,100
3260,0,0,100
3280,0,0,100
3300,2,0,98
3320,2,4,94
3340,1,3,96
3360,7,1,92
3380,19,15,66
3400,52,13,35
3420,58,13,29
3440,35,27,38
3460,37,16,47
3480,4,5,91
3500,1,1,98
3520,0,0,100
3540,0,1,99
3560,0,0,100
3580,0,0,100
3600,0,0,100
3620,0,1,99
3640,0,1,99
3660,0,1,99
3680,0,10,90
3700,0,19,81
3720,0,30,70
3740,1,29,70
3760,1,53,46
3780,2,61,37
3800,5,28,67
3820,5,20,75
3840,15,11,74
3860,25,14,61
3880,15,20,65
3900,13,62,25
3920,17,76,7
3940,15,68,17
3960,16,61,23
3980,15,67,18
4000,27,58,15
4020,9,87,4
4040,6,89,5
4060,9,77,14
4080,21,66,13
4100,40,33,27
4120,37,18,45
4140,25,25,50
4160,1,26,73
4180,2,1,97
4200,4,0,96
4220,2,0,98
4240,1,0,99
4260,0,2,98
4280,0,2,98
4300,0,4,96
4320,0,15,85
4340,0,9,91
4360,2,3,95
4380,1,6,93
4400,0,3,97
4420,0,2,98
4440,0,1,99
4460,0,0,100
4480,0,0,100
4500,0,0,100
4520,0,0,100
4540,0,0,100
4560,0,0,100
4580,3,2,95
4600,9,6,85
4620,21,8,71
4640,9,39,52
4660,18,34,48
4680,8,14,78
4700,13,14,73
4720,8,8,84
4740,8,15,77
4760,20,10,70
4780,9,1,90
4800,7,6,87
4820,14,3,83
4840,22,1,77
4860,21,1,78
4880,42,3,55
4900,26,7,67
4920,16,3,81
4940,1,0,99
4960,2,0,98
4980,3,1,96
5000,4,1,95
5020,1,0,99
5040,0,1,99
5060,0,0,100
5080,0,0,100
5100,0,0,100
5120,0,0,100
5140,1,0,99
5160,0,0,100
5180,0,0,100
5200,0,0,100
5220,0,0,100
5240,1,0,99
5260,3,0,97
5280,15,8,77
5300,4,0,96
5320,0,7,93
5340,0,7,93
5360,1,2,97
5380,0,2,98
5400,0,0,100
5420,0,3,97
5440,0,0,100
5460,0,0,100
5480,0,0,100
5500,0,0,100
5520,0,0,100
5540,0,0,100
5560,0,0,100
5580,0,0,100
5600,0,0,100
5620,0,0,100
5640,4,0,96
5660,4,0,96
5680,3,3,94
5700,2,2,96
5720,3,0,97
5740,0,2,98
5760,3,10,87
5780,0,7,93
5800,0,6,94
5820,0,5,95
5840,0,4,96
5860,1,5,94
5880,0,0,100
5900,0,0,100
5920,1,1,98
5940,0,0,100
5960,0,0,100
5980,0,1,99
6000,0,0,100
6020,0,0,100
6040,0,0,100
6060,0,0,100
6080,0,0,100
6100,0,0,100
6120,0,1,99
6140,0,3,97
6160,0,5,95
6180,3,2,95
6200,2,3,95
6220,9,12,79
6240,8,6,86
6260,2,6,92
6280,0,2,98
6300,0,5,95
6320,0,4,96
6340,0,1,99
6360,0,1,99
6380,0,3,97
6400,1,7,92
6420,0,4,96
6440,0,2,98
6460,25,11,64
6480,42,12,46
6500,20,13,67
6520,15,13,72
6540,19,12,69
6560,17,12,71
6580,9,7,84
6600,10,7,83
6620,24,4,72
6640,23,14,63
6660,9,1,90
6680,3,2,95
6700,7,3,90
6720,7,2,91
6740,4,2,94
6760,2,0,98
6780,0,0,100
6800,0,0,100
6820,0,0,100
6840,0,0,100
6860,0,0,100
6880,0,0,100
6900,0,0,100
6920,0,0,100
6940,0,0,100
6960,0,0,100
6980,0,0,100
7000,6,2,92
7020,1,0,99
7040,1,0,99
7060,3,0,97
7080,2,1,97
7100,2,1,97
7120,4,0,96
7140,6,0,94
7160,2,0,98
7180,1,0,99
7200,0,0,100
7220,3,0,97
7240,0,0,100
7260,0,0,100
7280,0,0,100
7300,0,0,100
7320,0,0,100
7340,0,5,95
7360,0,4,96
7380,0,10,90
7400,0,28,72
7420,0,23,77
7440,1,31,68
7460,0,23,77
7480,14,44,42
7500,8,39,53
7520,1,18,81
7540,0,1,99
7560,0,0,100
7580,1,0,99
7600,2,0,98
7620,4,0,96
7640,0,0,100
7660,2,0,98
7680,3,4,93
7700,6,0,94
7720,16,0,84
7740,27,5,68
7760,16,10,74
7780,5,4,91
7800,10,1,89
7820,9,0,91
7840,13,1,86
7860,3,0,97
7880,0,1,99
7900,2,0,98
7920,3,6,91
7940,2,8,90
7960,5,14,81
7980,15,8,77
8000,4,23,73
8020,7,19,74
8040,6,27,67
8060,2,4,94
8080,3,5,92
8100,1,2,97
8120,1,0,99
8140,0,2,98
8160,0,0,100
8180,0,0,100
8200,0,0,100
8220,0,1,99
8240,0,0,100
8260,0,0,100
8280,0,0,100
8300,0,1,99
8320,0,0,100
8340,0,0,100
8360,0,0,100
8380,0,0,100
8400,0,0,100
8420,2,4,94
8440,2,2,96
8460,0,4,96
8480,2,0,98
8500,1,3,96
8520,0,1,99
8540,0,0,100
8560,0,0,100
8580,0,0,100
8600,0,0,100
8620,0,0,100
8640,0,1,99
8660,0,0,100
8680,0,0,100
8700,0,0,100
8720,2,0,98
8740,2,0,98
8760,0,2,98
8780,2,5,93
8800,0,16,84
8820,0,7,93
8840,0,0,100
8860,0,0,100
8880,0,2,98
8900,0,3,97
8920,0,8,92
8940,0,40,60
8960,-1,-1,-1
8980,-1,-1,-1
9000,-1,-1,-1
