pointer,OQ363754,OQ363755,OQ363758,OQ363759,OQ363761
3460,42,0,51,0,0
3480,18,20,49,1,0
3500,39,31,22,0,0
3520,23,17,39,1,0
3540,32,24,16,3,0
3560,62,12,10,0,0
3580,55,12,19,0,0
3600,39,19,13,0,0
3620,27,11,16,0,0
3640,25,16,24,1,0
3660,11,13,18,4,0
3680,15,2,45,2,1
3700,3,0,69,1,0
3720,4,12,29,1,0
3740,3,10,45,1,1
3760,3,3,46,4,1
3780,0,2,55,0,2
3800,1,1,64,1,0
3820,5,5,69,0,0
3840,8,4,57,0,1
3860,10,1,33,0,0
3880,28,2,19,0,0
3900,43,2,3,0,0
3920,54,0,15,0,0
3940,57,0,14,0,0
3960,58,0,11,0,0
3980,65,0,3,1,0
4000,47,1,10,0,0
4020,20,0,8,3,6
4040,25,4,43,1,0
4060,21,17,46,0,0
4080,50,15,23,0,1
4100,33,22,34,0,0
4120,43,15,22,0,0
4140,38,16,9,3,0
4160,28,36,17,2,0
4180,39,21,13,3,0
4200,58,23,7,0,0
4220,63,22,9,0,0
4240,72,22,1,0,1
4260,40,4,6,12,1
4280,27,0,3,13,12
4300,31,2,2,24,0
4320,33,6,2,11,1
4340,42,9,2,2,0
4360,39,0,2,5,6
4380,39,0,3,8,1
4400,28,0,15,10,3
4420,25,0,10,9,1
4440,42,0,3,11,3
4460,53,0,6,12,7
4480,64,1,6,5,1
4500,61,0,9,1,1
4520,84,0,3,0,2
4540,78,0,3,0,0
4560,70,0,9,0,2
4580,63,1,4,0,0
4600,51,1,1,0,0
4620,36,0,2,0,2
4640,26,1,2,0,0
4660,20,1,5,0,1
4680,61,0,1,0,0
4700,70,0,1,0,0
4720,30,0,4,3,0
4740,26,0,8,1,0
4760,43,0,13,0,0
4780,39,0,5,3,1
4800,42,0,6,1,0
4820,47,0,23,0,0
4840,68,1,13,1,0
4860,72,0,7,0,0
4880,57,0,16,0,0
4900,21,0,43,0,0
4920,63,1,16,0,0
4940,52,14,15,0,0
4960,68,6,17,0,0
4980,79,6,3,0,0
5000,88,7,1,0,0
5020,94,3,0,0,0
5040,78,17,0,1,0
5060,76,19,0,0,0
5080,70,29,0,0,0
5100,70,24,0,0,0
5120,53,17,0,0,0
5140,55,8,0,0,0
5160,49,5,0,0,0
5180,53,5,0,0,0
5200,11,1,0,17,4
5220,10,1,2,15,1
5240,17,0,2,7,2
5260,21,0,11,8,3
5280,9,0,43,12,5
5300,12,0,47,2,1
5320,81,3,7,0,0
5340,80,0,5,2,0
5360,67,1,6,4,0
5380,52,7,17,5,0
5400,53,4,13,7,0
5420,23,1,11,7,4
5440,16,10,9,6,4
5460,9,8,8,28,3
5480,10,11,3,36,0
5500,8,18,1,32,4
5520,0,13,15,14,7
5540,0,10,14,16,12
5560,4,34,18,5,1
5580,6,29,11,7,5
5600,3,34,36,1,0
5620,3,38,53,0,0
5640,4,31,53,0,0
5660,1,17,49,0,0
5680,1,14,36,1,1
5700,0,6,63,1,0
5720,0,7,49,0,0
5740,2,7,27,1,0
5760,2,13,7,0,4
5780,0,17,2,0,1
5800,9,9,17,1,0
5820,0,36,20,0,0
5840,2,30,10,0,1
5860,9,53,4,0,0
5880,18,23,3,0,1
5900,14,47,3,0,0
5920,8,46,0,0,1
5940,1,49,0,0,3
5960,0,34,10,0,0
5980,0,17,7,0,0
6000,0,19,1,0,0
6020,3,0,1,0,0
6040,4,5,3,4,1
6060,1,0,1,1,2
6080,2,4,17,0,0
6100,0,15,16,0,0
6120,0,10,15,0,0
6140,2,14,11,1,1
6160,9,5,5,0,0
6180,11,29,1,1,0
6200,3,22,7,4,0
6220,5,39,1,2,0
6240,8,35,4,2,1
6260,4,54,0,1,0
6280,32,19,0,2,1
6300,30,4,0,7,0
6320,41,6,4,3,0
6340,45,4,0,2,2
6360,10,7,0,1,1
6380,11,7,2,4,6
6400,10,3,1,0,1
6420,37,35,0,0,0
6440,26,33,0,1,0
6460,12,40,3,0,0
6480,6,53,1,1,0
6500,4,73,0,0,0
6520,0,85,2,0,0
6540,1,84,3,0,0
6560,0,89,4,0,0
6580,0,95,1,0,0
6600,0,93,2,0,0
6620,0,87,2,0,0
6640,0,95,1,0,0
6660,0,96,0,0,0
6680,0,94,3,0,0
6700,4,87,5,0,0
6720,8,74,4,0,0
6740,12,78,3,1,0
6760,15,78,3,0,0
6780,17,70,7,0,0
6800,20,61,13,0,0
6820,43,49,1,0,0
6840,31,40,12,0,0
6860,58,19,9,0,1
6880,22,13,3,4,2
6900,12,10,0,3,0
6920,3,28,3,5,1
6940,1,19,5,7,3
6960,7,30,6,0,0
6980,3,11,1,1,0
7000,4,23,2,1,0
7020,0,65,1,0,0
7040,1,52,0,0,0
7060,0,24,1,1,0
7080,2,45,2,0,0
7100,1,13,0,0,0
7120,4,5,2,0,0
7140,2,17,2,0,0
7160,9,26,2,0,0
7180,13,16,3,0,0
7200,12,13,4,0,0
7220,27,7,7,0,0
7240,38,7,3,0,0
7260,74,1,5,0,0
7280,61,9,10,0,0
7300,49,18,15,0,0
7320,37,27,22,0,0
7340,33,25,19,0,0
7360,32,2,15,0,0
7380,27,2,8,0,0
7400,18,3,0,5,1
7420,26,1,1,3,2
7440,22,1,0,5,4
7460,7,3,0,2,4
7480,15,1,1,9,5
7500,20,0,1,3,0
7520,28,0,0,1,1
7540,35,0,0,2,1
7560,27,0,0,3,4
7580,20,4,6,0,0
7600,14,1,8,0,1
7620,3,5,30,0,1
7640,4,4,58,0,1
7660,23,12,36,0,0
7680,17,21,35,0,0
7700,27,25,23,0,0
7720,27,24,22,0,0
7740,56,15,14,0,0
7760,64,3,22,0,0
7780,91,1,2,0,0
7800,88,3,7,0,0
7820,87,5,4,0,0
7840,92,4,0,0,0
7860,91,3,3,0,0
7880,84,0,3,0,0
7900,63,8,18,0,0
7920,11,2,59,0,0
7940,17,5,48,0,0
7960,1,10,63,0,0
7980,6,6,70,0,0
8000,17,2,34,0,0
8020,1,8,29,0,3
8040,3,3,25,0,8
8060,3,15,29,0,5
8080,8,3,29,0,9
8100,7,3,22,3,18
8120,8,4,25,4,18
8140,2,14,26,0,12
8160,1,4,28,1,28
8180,2,2,30,0,41
8200,0,2,25,1,43
8220,0,0,17,2,48
8240,1,1,28,0,25
8260,1,2,10,2,25
8280,3,9,7,2,24
8300,1,21,8,0,27
8320,4,10,2,0,39
8340,2,24,3,0,37
8360,2,38,3,0,19
8380,15,45,0,3,1
8400,19,45,0,0,1
8420,8,76,0,0,0
8440,2,59,0,5,2
8460,1,50,0,9,0
8480,7,28,2,15,2
8500,11,31,1,8,0
8520,42,15,1,4,0
8540,38,17,0,2,0
8560,33,23,3,5,0
8580,25,14,8,5,3
8600,28,5,1,8,3
8620,31,8,6,7,1
8640,58,5,2,6,1
8660,63,5,0,1,1
8680,49,4,0,3,1
8700,26,14,0,7,0
8720,10,18,3,10,11
8740,12,12,4,3,1
8760,10,6,3,2,0
8780,15,16,2,1,0
8800,16,29,16,0,0
8820,8,23,30,0,0
8840,6,26,26,1,0
8860,12,21,42,0,0
8880,13,21,58,0,1
8900,10,5,68,0,1
8920,11,12,69,0,0
8940,30,5,55,5,0
8960,20,4,64,11,0
8980,17,7,54,7,2
9000,14,11,35,22,1
