FileName: D:\full\kunsagivirus.fasta
Window: 200 bp, Step: 20 bp, GapStrip: On, Reps: 100, Kimura (2-parameter), T/t: 2.0, Neighbor-Joining
This output generated using SimPlot v3.5.1 - software Copyright © 1997-2003 Stuart C. Ray - JHU

"Status","Group","Members"
"Query","OQ818317"
"Ref","MN602325","MN602325"
"Ref","NC_043071","NC_043071"
"Ref","NC_033818","NC_033818"


"CenterPos","MN602325","NC_043071","NC_033818"
"1500","0","0","100"
"1520","0","0","100"
"1540","0","0","100"
"1560","0","0","100"
"1580","0","0","100"
"1600","0","0","100"
"1620","0","0","100"
"1640","0","0","100"
"1660","0","0","100"
"1680","0","0","100"
"1700","0","0","100"
"1720","0","0","100"
"1740","0","0","100"
"1760","0","0","100"
"1780","0","0","100"
"1800","0","0","100"
"1820","0","0","100"
"1840","0","0","100"
"1860","0","0","100"
"1880","0","0","100"
"1900","0","0","100"
"1920","0","0","100"
"1940","0","0","100"
"1960","0","0","100"
"1980","0","0","100"
"2000","0","0","100"
"2020","0","0","100"
"2040","0","0","100"
"2060","0","0","100"
"2080","0","0","100"
"2100","0","0","100"
"2120","0","0","100"
"2140","0","0","100"
"2160","0","0","100"
"2180","0","0","100"
"2200","0","0","100"
"2220","0","0","100"
"2240","0","0","100"
"2260","0","0","100"
"2280","0","0","100"
"2300","0","0","100"
"2320","0","0","100"
"2340","0","0","100"
"2360","0","0","100"
"2380","0","0","100"
"2400","0","0","100"
"2420","0","0","100"
"2440","0","0","100"
"2460","0","0","100"
"2480","0","0","100"
"2500","0","0","100"
"2520","0","0","100"
"2540","0","0","100"
"2560","0","0","100"
"2580","0","0","100"
"2600","0","0","100"
"2620","0","0","100"
"2640","0","0","100"
"2660","0","0","100"
"2680","0","0","100"
"2700","0","0","100"
"2720","0","0","100"
"2740","0","0","100"
"2760","0","0","100"
"2780","0","0","100"
"2800","0","0","100"
"2820","0","0","100"
"2840","0","0","100"
"2860","0","0","100"
"2880","0","0","100"
"2900","0","0","100"
"2920","0","0","100"
"2940","0","0","100"
"2960","0","0","100"
"2980","0","0","100"
"3000","0","0","100"
"3020","0","0","100"
"3040","0","0","100"
"3060","0","0","100"
"3080","0","0","100"
"3100","0","0","100"
"3120","0","0","100"
"3140","0","0","100"
"3160","0","0","100"
"3180","0","0","100"
"3200","0","0","100"
"3220","0","0","100"
"3240","0","0","100"
"3260","0","0","100"
"3280","0","0","100"
"3300","0","0","100"
"3320","0","0","100"
"3340","0","0","100"
"3360","0","0","100"
"3380","0","0","100"
"3400","0","0","100"
"3420","0","0","100"
"3440","0","0","100"
"3460","0","0","100"
"3480","0","0","100"
"3500","0","0","100"
"3520","0","0","100"
"3540","0","0","100"
"3560","0","0","100"
"3580","0","0","100"
"3600","0","0","100"
"3620","0","0","100"
"3640","0","0","100"
"3660","0","0","100"
"3680","0","0","100"
"3700","0","0","100"
"3720","0","0","100"
"3740","0","0","100"
"3760","0","0","100"
"3780","0","0","100"
"3800","0","0","100"
"3820","0","0","100"
"3840","0","0","100"
"3860","0","0","100"
"3880","0","0","100"
"3900","0","0","100"
"3920","0","0","100"
"3940","0","0","100"
"3960","0","0","100"
"3980","0","0","100"
"4000","0","0","100"
"4020","0","0","100"
"4040","0","0","100"
"4060","0","0","100"
"4080","0","0","100"
"4100","0","0","100"
"4120","0","0","100"
"4140","0","0","100"
"4160","0","0","100"
"4180","0","0","100"
"4200","0","0","100"
"4220","0","0","100"
"4240","0","0","100"
"4260","0","0","100"
"4280","0","0","100"
"4300","0","0","100"
"4320","0","0","100"
"4340","0","0","100"
"4360","0","0","100"
"4380","0","0","100"
"4400","0","0","100"
"4420","0","0","100"
"4440","0","0","100"
"4460","0","0","100"
"4480","0","0","100"
"4500","0","0","100"
"4520","0","0","100"
"4540","0","0","100"
"4560","0","0","100"
"4580","0","0","100"
"4600","0","0","100"
"4620","0","0","100"
"4640","0","0","100"
"4660","0","0","100"
"4680","0","0","100"
"4700","0","0","100"
"4720","0","0","100"
"4740","0","0","100"
"4760","0","0","100"
"4780","0","0","100"
"4800","0","0","100"
"4820","0","0","100"
"4840","0","0","100"
"4860","0","0","100"
"4880","0","0","100"
"4900","0","0","100"
"4920","0","0","100"
"4940","0","0","100"
"4960","0","0","100"
"4980","0","0","100"
"5000","0","0","100"
"5020","0","0","100"
"5040","0","0","100"
"5060","0","0","100"
"5080","0","0","100"
"5100","0","0","100"
"5120","0","0","100"
"5140","0","0","100"
"5160","0","0","100"
"5180","0","0","100"
"5200","0","0","100"
"5220","0","0","100"
"5240","0","0","100"
"5260","0","0","100"
"5280","0","0","100"
"5300","0","0","100"
"5320","0","0","100"
"5340","0","0","100"
"5360","0","0","100"
"5380","0","0","100"
"5400","0","0","100"
"5420","0","0","100"
"5440","0","0","100"
"5460","0","0","100"
"5480","0","0","100"
"5500","0","0","100"
"5520","0","0","100"
"5540","0","0","100"
"5560","0","0","100"
"5580","0","0","100"
"5600","0","0","100"
"5620","0","0","100"
"5640","0","0","100"
"5660","0","0","100"
"5680","0","0","100"
"5700","0","0","100"
"5720","0","0","100"
"5740","0","0","100"
"5760","0","0","100"
"5780","0","0","100"
"5800","0","0","100"
"5820","0","0","100"
"5840","0","0","100"
"5860","0","0","100"
"5880","0","0","100"
"5900","0","0","100"
"5920","0","0","100"
"5940","0","0","100"
"5960","0","0","100"
"5980","0","0","100"
"6000","0","0","100"
"6020","0","0","100"
"6040","0","0","100"
"6060","0","0","100"
"6080","0","0","100"
"6100","0","0","100"
"6120","0","0","100"
"6140","0","0","100"
"6160","0","0","100"
"6180","0","0","100"
"6200","0","0","100"
"6220","0","0","100"
"6240","0","0","100"
"6260","0","0","100"
"6280","0","0","100"
"6300","0","0","100"
"6320","0","0","100"
"6340","0","0","100"
"6360","0","0","100"
"6380","0","0","100"
"6400","0","0","100"
"6420","0","0","100"
"6440","0","0","100"
"6460","0","0","100"
"6480","0","0","100"
"6500","0","0","100"
"6520","0","0","100"
"6540","0","0","100"
"6560","0","0","100"
"6580","0","0","100"
"6600","0","0","100"
"6620","0","0","100"
"6640","0","0","100"
"6660","0","0","100"
"6680","0","0","100"
"6700","0","0","100"
"6720","0","0","100"
"6740","0","0","100"
"6760","0","0","100"
"6780","0","0","100"
"6800","0","0","100"
"6820","0","0","100"
"6840","0","0","100"
"6860","0","0","100"
"6880","0","0","100"
"6900","0","0","100"
"6920","0","0","100"
"6940","0","0","100"
"6960","0","0","100"
"6980","0","0","100"
"7000","0","0","100"
"7020","0","0","100"
"7040","0","0","100"
"7060","0","0","100"
"7080","0","0","100"
"7100","0","0","100"
"7120","0","0","100"
"7140","0","0","100"
"7160","0","0","100"
"7180","0","0","100"
"7200","0","0","100"
"7220","0","0","100"
"7240","0","0","100"
"7260","0","0","100"
"7280","0","0","100"
"7300","0","0","100"
"7320","0","0","100"
"7340","0","0","100"
"7360","0","0","100"
"7380","0","0","100"
"7400","0","0","100"
"7420","0","0","100"
"7440","0","0","100"
"7460","0","0","100"
"7480","0","0","100"
"7500","0","0","100"
"7520","0","0","100"
"7540","0","0","100"
"7560","0","0","100"
"7580","0","0","100"
"7600","0","0","100"
"7620","0","0","100"
"7640","0","0","100"
"7660","0","0","100"
"7680","0","0","100"
"7700","0","0","100"
"7720","0","0","100"
"7740","0","0","100"
"7760","0","0","100"
"7780","0","0","100"
"7800","0","0","100"
"7820","0","0","100"
"7840","0","0","100"
"7860","0","0","100"
"7880","0","0","100"
"7900","0","0","100"
"7920","0","0","100"
"7940","0","0","100"
"7960","0","0","100"
"7980","0","0","100"
"8000","0","0","100"
"8020","0","0","100"
"8040","0","0","100"
"8060","0","0","100"
"8080","0","0","100"
"8100","0","0","100"
"8120","0","0","100"
"8140","0","0","100"
"8160","0","0","100"
"8180","0","0","100"
"8200","0","0","100"
"8220","0","0","100"
"8240","0","0","100"
"8260","0","0","100"
"8280","0","0","100"
"8300","0","0","100"
"8320","0","0","100"
"8340","0","0","100"
"8360","0","0","100"
"8380","0","0","100"
"8400","0","0","100"
"8420","0","0","100"
"8440","0","0","100"
"8460","0","0","100"
"8480","0","0","100"
"8500","0","0","100"
"8520","0","0","100"
"8540","0","0","100"
"8560","0","0","100"
"8580","0","0","100"
"8600","0","0","100"
"8620","0","0","100"
"8640","0","0","100"
"8660","0","0","100"
"8680","0","0","100"
"8700","0","0","100"
"8720","0","0","100"
"8740","0","0","100"
"8760","0","0","100"
"8780","0","0","100"
"8800","0","0","100"
