CenterPos,OQ818335,OQ818336,NC_028366,NC_038316,NC_038313,OQ363754,OQ363755,OQ363758,OQ363759,OQ363761
1400,0,0,100,0,0,0,0,0,0,0
1420,0,0,94,1,0,0,0,0,0,0
1440,1,0,98,0,0,0,0,0,0,0
1460,9,0,84,0,0,0,0,0,0,0
1480,17,0,62,1,0,0,0,0,0,0
1500,10,0,77,1,1,0,0,0,0,0
1520,12,0,76,0,0,0,0,0,0,0
1540,17,0,77,1,0,0,0,0,0,0
1560,10,0,78,0,0,0,0,0,0,0
1580,5,0,89,0,0,0,0,0,0,0
1600,7,0,61,0,1,0,0,0,0,0
1620,4,0,70,0,2,0,0,0,0,0
1640,6,0,56,0,0,0,0,0,0,0
1660,4,0,54,1,5,0,0,0,0,0
1680,0,0,72,0,1,0,0,0,0,0
1700,0,0,54,2,3,0,0,0,0,0
1720,1,0,28,1,22,0,0,0,0,0
1740,3,0,26,5,12,0,0,0,0,0
1760,1,0,8,5,7,0,0,0,0,0
1780,0,2,11,1,8,0,0,0,0,0
1800,2,1,8,4,6,0,0,0,0,0
1820,2,3,8,3,10,0,0,0,0,0
1840,1,6,6,9,13,0,0,0,0,0
1860,1,0,8,7,14,0,0,0,0,0
1880,1,0,16,7,4,0,0,0,0,0
1900,0,1,18,5,13,0,0,0,0,0
1920,2,0,24,4,11,0,0,0,0,0
1940,0,2,33,1,14,0,0,0,0,0
1960,0,0,36,10,18,0,0,0,0,0
1980,0,0,72,5,7,0,0,0,0,0
2000,0,0,71,3,3,0,0,0,0,0
2020,0,0,65,0,2,0,0,0,0,0
2040,1,0,39,3,0,0,0,0,0,0
2060,0,0,41,4,0,0,0,0,0,0
2080,0,0,28,27,5,0,0,0,0,0
2100,0,0,38,24,2,0,0,0,0,0
2120,0,0,46,14,10,0,0,0,0,0
2140,0,0,38,13,1,0,0,0,0,0
2160,1,0,31,14,5,0,0,0,0,0
2180,0,0,8,5,4,0,0,0,0,0
2200,0,0,3,21,3,0,0,0,0,0
2220,0,0,1,17,4,0,0,0,0,0
2240,0,0,19,6,1,0,0,0,0,0
2260,0,0,14,2,0,0,0,0,0,0
2280,0,0,3,0,0,0,0,0,0,0
2300,0,0,6,0,0,0,0,0,0,0
2320,0,0,6,0,3,0,0,0,0,0
2340,0,0,17,0,5,0,0,0,0,0
2360,0,0,12,0,2,0,0,0,0,0
2380,0,0,26,0,0,0,0,0,0,0
2400,0,0,52,0,0,0,0,0,0,0
2420,0,0,52,0,1,0,0,0,0,0
2440,0,0,30,0,7,0,0,0,0,0
2460,0,0,54,0,3,0,0,0,0,0
2480,0,0,32,0,8,0,0,0,0,0
2500,0,0,19,0,7,0,0,0,0,0
2520,0,0,15,0,9,0,0,0,0,0
2540,0,0,25,0,0,0,0,0,0,0
2560,0,0,54,0,6,0,0,0,0,0
2580,0,0,29,0,6,0,0,0,0,0
2600,1,0,16,0,22,0,0,0,0,0
2620,0,0,15,0,12,0,0,0,0,0
2640,0,0,20,0,11,0,0,0,0,0
2660,0,0,21,2,8,0,0,0,0,0
2680,2,1,27,5,2,0,0,0,0,0
2700,3,0,44,0,0,0,0,0,0,0
2720,9,0,47,0,1,0,0,0,0,0
2740,18,0,32,1,3,0,0,0,0,0
2760,16,0,27,2,12,0,0,0,0,0
2780,6,0,51,1,7,0,0,0,0,0
2800,1,1,84,1,1,0,0,0,0,0
2820,3,3,81,0,6,0,0,0,0,0
2840,1,0,76,1,7,0,0,0,0,0
2860,4,0,81,1,6,0,0,0,0,0
2880,0,0,76,0,8,0,0,0,0,0
2900,1,0,90,0,2,0,0,0,0,0
2920,0,0,65,3,12,0,0,0,0,0
2940,1,0,62,0,15,0,0,0,0,0
2960,0,0,54,0,22,0,0,0,0,0
2980,0,0,71,0,14,0,0,0,0,0
3000,0,0,62,2,16,0,0,0,0,0
3020,0,0,72,3,17,0,0,0,0,0
3040,0,0,76,0,8,0,0,0,0,0
3060,0,0,73,1,8,0,0,0,0,0
3080,0,0,67,6,5,0,0,0,0,0
3100,0,0,39,11,22,0,0,0,0,0
3120,0,0,35,6,22,0,0,0,0,0
3140,0,0,38,17,25,0,0,0,0,0
3160,0,0,41,5,21,0,0,0,0,0
3180,0,1,12,1,25,0,0,0,0,0
3200,2,6,15,0,27,0,0,0,0,0
3220,2,1,22,0,15,0,0,0,0,0
3240,1,1,5,0,11,0,0,0,0,0
3260,0,1,41,1,14,0,0,0,0,0
3280,0,1,30,0,12,0,0,0,0,0
3300,1,0,30,0,8,0,0,0,0,0
3320,1,0,18,1,7,0,0,0,0,0
3340,0,0,33,0,5,0,0,0,0,0
3360,0,2,51,3,0,0,0,0,0,0
3380,0,0,46,7,2,0,0,0,0,0
3400,0,0,40,5,0,0,0,0,0,0
3420,0,0,41,25,5,0,0,0,0,0
3440,0,0,52,7,7,0,0,0,0,0
3460,0,0,27,32,17,0,0,0,0,0
3480,0,0,39,16,16,0,0,0,0,0
3500,0,0,49,11,15,0,0,0,0,0
3520,0,0,49,4,20,0,0,0,0,0
3540,0,0,47,0,29,0,0,0,0,0
3560,0,0,66,2,13,0,0,0,0,0
3580,0,0,67,0,16,0,0,0,0,0
3600,0,0,42,1,30,0,0,0,0,0
3620,0,0,53,1,19,0,0,0,0,0
3640,0,1,59,0,14,0,0,0,0,0
3660,0,0,64,1,11,0,0,0,0,0
3680,0,0,62,3,10,0,0,0,0,0
3700,3,0,59,5,4,0,0,0,0,0
3720,1,0,60,10,1,0,0,0,0,0
3740,0,0,35,13,0,0,0,0,0,0
3760,1,0,31,10,0,0,0,0,0,0
3780,0,0,57,7,0,0,0,0,0,0
3800,0,0,59,5,0,0,0,0,0,0
3820,1,1,72,1,0,0,0,0,0,0
3840,0,0,83,1,1,0,0,0,0,0
3860,0,0,96,1,0,0,0,0,0,0
3880,0,0,88,1,0,0,0,0,0,0
3900,0,0,94,2,0,0,0,0,0,0
3920,0,0,92,1,0,0,0,0,0,0
3940,0,0,86,1,0,0,0,0,0,0
3960,0,0,88,4,0,0,0,0,0,0
3980,0,0,91,5,0,0,0,0,0,0
4000,0,0,87,10,0,0,0,0,0,0
4020,0,0,90,7,0,0,0,0,0,0
4040,0,0,91,5,0,0,0,0,0,0
4060,0,0,77,2,0,0,0,0,0,0
4080,0,0,87,1,0,0,0,0,0,0
4100,0,0,85,1,0,0,0,0,0,0
4120,0,0,82,3,0,0,0,0,0,0
4140,0,0,79,4,0,0,0,0,0,0
4160,0,0,83,5,0,0,0,0,0,0
4180,0,0,71,4,0,0,0,0,0,0
4200,0,0,63,3,0,0,0,0,0,0
4220,0,1,45,3,0,0,0,0,0,0
4240,0,0,54,1,0,0,0,0,0,0
4260,0,1,64,6,0,0,0,0,0,0
4280,0,1,56,1,0,0,0,0,0,0
4300,0,4,40,4,1,0,0,0,0,0
4320,1,1,47,1,1,0,0,0,0,0
4340,1,4,62,4,0,0,0,0,0,0
4360,1,7,58,3,2,0,0,0,0,0
4380,0,1,36,5,2,0,0,0,0,0
4400,1,11,32,9,0,0,0,0,0,0
4420,3,9,22,11,3,0,0,0,0,0
4440,1,8,20,15,1,0,0,0,0,0
4460,0,6,29,13,12,0,0,0,0,0
4480,0,9,27,20,1,0,0,0,0,0
4500,0,5,40,35,2,0,0,0,0,0
4520,0,1,32,28,2,0,0,0,0,0
4540,0,4,19,41,0,0,0,0,0,0
4560,0,1,46,40,0,0,0,0,0,0
4580,0,1,49,28,0,0,0,0,0,0
4600,0,0,32,13,0,0,0,0,0,0
4620,0,0,41,5,0,0,0,0,0,0
4640,0,0,64,10,0,0,0,0,0,0
4660,0,0,53,5,1,0,0,0,0,0
4680,0,0,48,4,3,0,0,0,0,0
4700,0,7,70,4,0,0,0,0,0,0
4720,0,6,67,6,0,0,0,0,0,0
4740,0,0,62,0,0,0,0,0,0,0
4760,0,13,33,0,2,0,0,0,0,0
4780,0,2,46,0,3,0,0,0,0,0
4800,0,1,69,0,2,0,0,0,0,0
4820,0,0,54,2,9,0,0,0,0,0
4840,0,2,65,1,4,0,0,0,0,0
4860,0,1,63,0,1,0,0,0,0,0
4880,1,2,55,0,4,0,0,0,0,0
4900,0,0,29,2,12,0,0,0,0,0
4920,0,0,31,3,19,0,0,0,0,0
4940,0,0,34,6,22,0,0,0,0,0
4960,0,0,19,14,13,0,0,0,0,0
4980,0,0,21,25,4,0,0,0,0,0
5000,0,0,23,31,6,0,0,0,0,0
5020,0,0,25,38,4,0,0,0,0,0
5040,0,0,18,46,1,0,0,0,0,0
5060,0,0,22,43,3,0,0,0,0,0
5080,0,0,36,57,3,0,0,0,0,0
5100,0,0,45,32,1,0,0,0,0,0
5120,0,0,38,36,1,0,0,0,0,0
5140,2,0,73,12,2,0,0,0,0,0
5160,0,0,82,7,0,0,0,0,0,0
5180,0,0,85,2,1,0,0,0,0,0
5200,0,0,90,0,0,0,0,0,0,0
5220,0,0,98,0,0,0,0,0,0,0
5240,0,0,95,0,0,0,0,0,0,0
5260,0,0,96,0,0,0,0,0,0,0
5280,0,0,87,0,0,0,0,0,0,0
5300,0,0,93,0,0,0,0,0,0,0
5320,0,0,94,0,0,0,0,0,0,0
5340,0,0,94,0,0,0,0,0,0,0
5360,0,0,93,1,0,0,0,0,0,0
5380,0,0,93,0,0,0,0,0,0,0
5400,0,0,88,0,0,0,0,0,0,0
5420,0,0,92,1,0,0,0,0,0,0
5440,0,0,67,0,0,0,0,0,0,0
5460,0,0,86,1,0,0,0,0,0,0
5480,0,0,93,0,0,0,0,0,0,0
5500,0,0,98,0,0,0,0,0,0,0
5520,0,0,91,0,0,0,0,0,0,0
5540,0,0,88,0,1,0,0,0,0,0
5560,0,1,91,0,0,0,0,0,0,0
5580,0,0,94,0,1,0,0,0,0,0
5600,0,1,94,0,0,0,0,0,0,0
5620,0,1,95,0,0,0,0,0,0,0
5640,0,0,99,0,0,0,0,0,0,0
5660,0,0,98,0,1,0,0,0,0,0
5680,0,1,81,5,2,0,0,0,0,0
5700,0,0,81,5,0,0,0,0,0,0
5720,0,0,45,5,0,0,0,0,0,0
5740,0,0,68,12,0,0,0,0,0,0
5760,0,0,82,6,0,0,0,0,0,0
5780,0,0,95,1,0,0,0,0,0,0
5800,0,0,93,5,0,0,0,0,0,0
5820,0,0,96,3,0,0,0,0,0,0
5840,0,0,96,3,0,0,0,0,0,0
5860,0,0,98,2,0,0,0,0,0,0
5880,0,0,100,0,0,0,0,0,0,0
5900,0,0,100,0,0,0,0,0,0,0
5920,0,0,100,0,0,0,0,0,0,0
5940,0,0,99,0,1,0,0,0,0,0
5960,1,0,99,0,0,0,0,0,0,0
5980,0,0,99,0,0,0,0,0,0,0
6000,1,0,95,0,2,0,0,0,0,0
6020,0,0,89,0,10,0,0,0,0,0
6040,2,0,82,0,6,0,0,0,0,0
6060,0,2,93,0,3,0,0,0,0,0
6080,0,0,88,1,5,0,0,0,0,0
6100,1,2,85,0,2,0,0,0,0,0
6120,0,5,71,4,1,0,0,0,0,0
6140,0,0,78,6,2,0,0,0,0,0
6160,0,0,46,6,7,0,0,0,0,0
6180,0,0,32,19,0,0,0,0,0,0
6200,0,0,27,25,0,0,0,0,0,0
6220,0,0,61,18,0,0,0,0,0,0
6240,0,0,81,0,0,0,0,0,0,0
6260,0,0,90,0,0,0,0,0,0,0
6280,0,0,98,0,0,0,0,0,0,0
6300,0,0,92,0,0,0,0,0,0,0
6320,0,0,86,1,0,0,0,0,0,0
6340,0,0,97,0,0,0,0,0,0,0
6360,0,1,96,1,0,0,0,0,0,0
6380,1,0,97,1,0,0,0,0,0,0
6400,1,1,95,0,0,0,0,0,0,0
6420,0,0,96,0,0,0,0,0,0,0
6440,2,0,95,0,0,0,0,0,0,0
6460,0,0,88,2,0,0,0,0,0,0
6480,0,1,80,1,1,0,0,0,0,0
6500,0,0,80,0,3,0,0,0,0,0
6520,0,0,84,1,0,0,0,0,0,0
6540,0,0,75,2,0,0,0,0,0,0
6560,0,0,87,1,0,0,0,0,0,0
6580,0,0,81,0,0,0,0,0,0,0
6600,0,0,76,1,1,0,0,0,0,0
6620,0,0,47,0,3,0,0,0,0,0
6640,0,0,59,14,3,0,0,0,0,0
6660,0,0,48,7,1,0,0,0,0,0
6680,0,2,47,3,16,0,0,0,0,0
6700,0,3,67,6,13,0,0,0,0,0
6720,0,0,22,3,50,0,0,0,0,0
6740,0,3,24,3,52,0,0,0,0,0
6760,0,0,26,3,59,0,0,0,0,0
6780,0,2,26,15,50,0,0,0,0,0
6800,0,1,31,12,38,0,0,0,0,0
6820,0,1,18,5,49,0,0,0,0,0
6840,0,0,31,6,52,0,0,0,0,0
6860,0,0,37,8,44,0,0,0,0,0
6880,0,1,49,19,15,0,0,0,0,0
6900,0,0,46,15,17,0,0,0,0,0
6920,0,0,76,8,5,0,0,0,0,0
6940,0,0,70,10,3,0,0,0,0,0
6960,0,0,66,8,5,0,0,0,0,0
6980,0,0,69,3,3,0,0,0,0,0
7000,0,0,78,13,8,0,0,0,0,0
7020,0,0,80,5,14,0,0,0,0,0
7040,0,0,56,5,18,0,0,0,0,0
7060,0,0,69,0,15,0,0,0,0,0
7080,0,0,63,0,18,0,0,0,0,0
7100,0,1,62,3,20,0,0,0,0,0
7120,0,0,35,10,30,0,0,0,0,0
7140,0,0,37,10,13,0,0,0,0,0
7160,0,0,39,28,10,0,0,0,0,0
7180,0,0,61,22,4,0,0,0,0,0
7200,0,0,69,5,2,0,0,0,0,0
7220,0,0,83,1,1,0,0,0,0,0
7240,0,0,98,0,0,0,0,0,0,0
7260,0,0,93,0,2,0,0,0,0,0
7280,0,0,95,0,4,0,0,0,0,0
7300,0,0,98,0,2,0,0,0,0,0
7320,0,0,99,1,0,0,0,0,0,0
7340,0,0,99,0,0,0,0,0,0,0
7360,0,0,100,0,0,0,0,0,0,0
7380,0,0,98,0,1,0,0,0,0,0
7400,0,0,95,0,4,0,0,0,0,0
7420,0,0,100,0,0,0,0,0,0,0
7440,0,0,91,4,1,0,0,0,0,0
7460,0,0,94,4,0,0,0,0,0,0
7480,0,0,85,6,0,0,0,0,0,0
7500,0,0,88,10,0,0,0,0,0,0
7520,0,0,86,7,0,0,0,0,0,0
7540,0,0,72,8,1,0,0,0,0,0
7560,0,0,51,15,8,0,0,0,0,0
7580,0,0,50,37,0,0,0,0,0,0
7600,0,0,53,29,0,0,0,0,0,0
7620,0,0,59,33,1,0,0,0,0,0
7640,0,0,82,1,0,0,0,0,0,0
7660,0,0,94,4,0,0,0,0,0,0
7680,0,0,98,1,0,0,0,0,0,0
7700,0,0,96,1,0,0,0,0,0,0
7720,0,0,91,2,0,0,0,0,0,0
7740,0,0,90,5,0,0,0,0,0,0
7760,0,0,86,8,0,0,0,0,0,0
7780,0,0,96,1,0,0,0,0,0,0
7800,1,0,85,0,0,0,0,0,0,0
7820,0,0,69,0,0,0,0,0,0,0
7840,4,0,55,0,0,0,0,0,0,0
7860,1,0,46,0,0,0,0,0,0,0
7880,3,0,30,1,0,0,0,0,0,0
7900,4,0,10,8,0,0,0,0,0,0
7920,14,0,24,5,0,0,0,0,0,0
7940,29,4,21,2,0,0,0,0,0,0
7960,22,1,15,0,0,0,0,0,0,0
7980,37,2,5,1,0,0,0,0,0,0
8000,19,0,5,9,1,0,0,0,0,0
8020,20,0,7,4,3,0,0,0,0,0
8040,24,2,3,6,1,0,0,0,0,0
8060,40,0,5,14,1,0,0,0,0,0
8080,37,0,7,22,1,0,0,0,0,0
8100,27,0,3,15,1,0,0,0,0,0
8120,18,1,7,22,2,0,0,0,0,0
8140,10,0,0,17,2,0,0,0,0,0
8160,8,0,0,21,4,0,0,0,0,0
8180,17,0,0,32,1,0,0,0,0,0
8200,4,0,19,9,6,0,0,0,0,0
8220,0,0,20,31,3,0,0,0,0,0
8240,0,0,28,54,2,0,0,0,0,0
8260,0,0,37,20,3,0,0,0,0,0
8280,0,0,34,29,7,0,0,0,0,0
8300,0,0,44,33,1,0,0,0,0,0
8320,0,0,65,20,2,0,0,0,0,0
8340,0,0,60,23,1,0,0,0,0,0
8360,0,0,80,11,0,0,0,0,0,0
8380,0,0,84,6,7,0,0,0,0,0
8400,0,1,73,19,0,0,0,0,0,0
8420,0,1,72,13,0,0,0,0,0,0
8440,0,3,65,6,2,0,0,0,0,0
8460,0,0,71,9,0,0,0,0,0,0
8480,0,7,83,0,2,0,0,0,0,0
8500,0,2,89,2,0,0,0,0,0,0
8520,0,4,80,7,0,0,0,0,0,0
8540,0,2,87,2,0,0,0,0,0,0
8560,0,4,62,24,0,0,0,0,0,0
8580,0,2,59,31,0,0,0,0,0,0
8600,0,1,69,22,0,0,0,0,0,0
8620,0,3,64,26,0,0,0,0,0,0
8640,1,0,74,20,0,0,0,0,0,0
8660,0,0,84,12,0,0,0,0,0,0
8680,0,1,96,1,0,0,0,0,0,0
8700,0,0,95,5,0,0,0,0,0,0
8720,0,0,94,3,1,0,0,0,0,0
8740,0,0,87,12,0,0,0,0,0,0
8760,0,0,92,6,0,0,0,0,0,0
8780,0,0,93,0,0,0,0,0,0,0
8800,0,0,75,0,0,0,0,0,0,0
8820,0,0,79,2,0,0,0,0,0,0
8840,0,1,72,0,0,0,0,0,0,0
8860,0,2,61,2,0,0,0,0,0,0
8880,0,0,52,10,0,0,0,0,0,0
8900,0,1,12,18,0,0,0,0,0,0
8920,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
8940,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
8960,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
8980,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
9000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
9020,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
9040,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
9060,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
9080,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
9100,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
9120,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
9140,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
9160,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
9180,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
9200,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
9220,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
9240,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
9260,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
9280,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
9300,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
9320,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
9340,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
9360,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
9380,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
9400,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
9420,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
9440,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
9460,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
9480,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
9500,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
9520,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
9540,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
9560,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
9580,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
9600,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
9620,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
9640,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
9660,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
9680,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
9700,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
9720,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
9740,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
9760,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
9780,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
9800,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
9820,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
9840,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
9860,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
9880,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
9900,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
9920,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
9940,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
9960,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
9980,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
10000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
10020,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
10040,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
10060,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
10080,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
10100,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
10120,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
10140,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
10160,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
10180,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
10200,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
10220,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
10240,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
10260,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
10280,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
10300,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
10320,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
10340,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
10360,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
10380,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
10400,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
10420,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
10440,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
10460,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
10480,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
10500,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
10520,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
10540,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
10560,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
10580,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
10600,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
10620,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
10640,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
10660,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
10680,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
10700,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
10720,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
10740,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
10760,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
10780,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
10800,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
10820,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
10840,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
10860,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
10880,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
10900,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
10920,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
10940,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
10960,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
10980,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
11000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
11020,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
11040,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
11060,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
11080,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
11100,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
11120,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
11140,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
11160,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
11180,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
11200,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
11220,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
11240,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
11260,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
11280,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
11300,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
11320,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
11340,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
11360,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
11380,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
11400,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
11420,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
11440,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
11460,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
