Name,Sequence Name,Type,Minimum,Maximum,Length
3B peptide,OQ818323,mat_peptide,5150,5224,75
3B peptide,OQ818324,mat_peptide,5166,5240,75
3B peptide,OQ818325,mat_peptide,5570,5638,69
3B peptide,OQ818328,mat_peptide,5504,5572,69
3B peptide,OQ818329,mat_peptide,5611,5676,66
3C peptide,OQ818316,mat_peptide,5891,6424,534
3C peptide,OQ818318,mat_peptide,5108,5716,609
3C peptide,OQ818320,mat_peptide,5676,6221,546
3C peptide,OQ818321,mat_peptide,5722,6267,546
3C peptide,OQ818322,mat_peptide,6072,6641,570
3C peptide,OQ818323,mat_peptide,5231,5845,615
3C peptide,OQ818324,mat_peptide,5247,5861,615
3C peptide,OQ818325,mat_peptide,5639,6187,549
3C peptide,OQ818328,mat_peptide,5573,6121,549
3C peptide,OQ818329,mat_peptide,5677,6222,546
3D peptide,OQ818316,mat_peptide,6434,7795,1362
3D peptide,OQ818318,mat_peptide,5717,7024,1308
3D peptide,OQ818320,mat_peptide,6222,7607,1386
3D peptide,OQ818321,mat_peptide,6268,7653,1386
3D peptide,OQ818322,mat_peptide,6642,8045,1404
3D peptide,OQ818323,mat_peptide,5846,7144,1299
3D peptide,OQ818324,mat_peptide,5862,7172,1311
3D peptide,OQ818325,mat_peptide,6188,>7280,>1093
3D peptide,OQ818328,mat_peptide,6122,7507,1386
3D peptide,OQ818329,mat_peptide,6223,7608,1386
5'UTR,OQ818316,5'UTR,1,1135,1135
5'UTR,OQ818317,5'UTR,1,529,529
5'UTR,OQ818318,5'UTR,1,559,559
5'UTR,OQ818319,5'UTR,1,368,368
5'UTR,OQ818320,5'UTR,1,167,167
5'UTR,OQ818321,5'UTR,1,414,414
5'UTR,OQ818322,5'UTR,1,743,743
5'UTR,OQ818323,5'UTR,1,541,541
5'UTR,OQ818324,5'UTR,1,569,569
5'UTR,OQ818325,5'UTR,1,517,517
5'UTR,OQ818326,5'UTR,1,599,599
5'UTR,OQ818327,5'UTR,1,215,215
5'UTR,OQ818328,5'UTR,1,532,532
5'UTR,OQ818329,5'UTR,1,669,669
L peptide,OQ818316,mat_peptide,1136,1312,177
L peptide,OQ818318,mat_peptide,560,688,129
L peptide,OQ818320,mat_peptide,168,680,513
L peptide,OQ818321,mat_peptide,415,816,402
L peptide,OQ818322,mat_peptide,744,1298,555
L peptide,OQ818323,mat_peptide,542,748,207
L peptide,OQ818324,mat_peptide,570,767,198
L peptide,OQ818325,mat_peptide,518,763,246
L peptide,OQ818328,mat_peptide,533,697,165
L peptide,OQ818329,mat_peptide,670,918,249
polyprotein 1 CDS,OQ818326,CDS,600,6092,5493
polyprotein 2 CDS,OQ818327,CDS,216,3527,3312
polyprotein CDS,OQ818316,CDS,1136,7816,6681
polyprotein CDS,OQ818317,CDS,530,7186,6657
polyprotein CDS,OQ818318,CDS,560,7072,6513
polyprotein CDS,OQ818319,CDS,369,5792,5424
polyprotein CDS,OQ818320,CDS,168,7610,7443
polyprotein CDS,OQ818321,CDS,415,7656,7242
polyprotein CDS,OQ818322,CDS,744,8048,7305
polyprotein CDS,OQ818323,CDS,542,7207,6666
polyprotein CDS,OQ818324,CDS,570,7223,6654
polyprotein CDS,OQ818325,CDS,518,>7280,>6763
polyprotein CDS,OQ818328,CDS,533,7510,6978
polyprotein CDS,OQ818329,CDS,670,7611,6942
putative minor structural protein CDS,OQ818319,CDS,5824,>6378,>555
VP0 peptide,OQ818322,mat_peptide,1299,2411,1113
VP1 peptide,OQ818316,mat_peptide,2975,3814,840
VP1 peptide,OQ818318,mat_peptide,2447,3244,798
VP1 peptide,OQ818320,mat_peptide,2286,3185,900
VP1 peptide,OQ818321,mat_peptide,2335,3204,870
VP1 peptide,OQ818322,mat_peptide,3081,3806,726
VP1 peptide,OQ818323,mat_peptide,2522,3337,816
VP1 peptide,OQ818324,mat_peptide,2571,3425,855
VP1 peptide,OQ818325,mat_peptide,2366,3298,933
VP1 peptide,OQ818328,mat_peptide,2300,3232,933
VP1 peptide,OQ818329,mat_peptide,2278,3270,993
VP2 peptide,OQ818316,mat_peptide,1535,2281,747
VP2 peptide,OQ818318,mat_peptide,962,1750,789
VP2 peptide,OQ818320,mat_peptide,837,1580,744
VP2 peptide,OQ818321,mat_peptide,901,1644,744
VP2 peptide,OQ818323,mat_peptide,1055,1846,792
VP2 peptide,OQ818324,mat_peptide,1032,1865,834
VP2 peptide,OQ818325,mat_peptide,965,1684,720
VP2 peptide,OQ818328,mat_peptide,899,1618,720
VP2 peptide,OQ818329,mat_peptide,1231,1578,348
VP3 peptide,OQ818316,mat_peptide,2318,2971,654
VP3 peptide,OQ818318,mat_peptide,1751,2446,696
VP3 peptide,OQ818320,mat_peptide,1581,2279,699
VP3 peptide,OQ818321,mat_peptide,1645,2334,690
VP3 peptide,OQ818322,mat_peptide,2412,3080,669
VP3 peptide,OQ818323,mat_peptide,1853,2521,669
VP3 peptide,OQ818324,mat_peptide,1875,2567,693
VP3 peptide,OQ818325,mat_peptide,1685,2365,681
VP3 peptide,OQ818328,mat_peptide,1619,2299,681
VP3 peptide,OQ818329,mat_peptide,1579,2277,699
VP4 peptide,OQ818316,mat_peptide,1313,1534,222
VP4 peptide,OQ818318,mat_peptide,710,961,252
VP4 peptide,OQ818320,mat_peptide,684,830,147
VP4 peptide,OQ818321,mat_peptide,829,894,66
VP4 peptide,OQ818323,mat_peptide,749,1033,285
VP4 peptide,OQ818324,mat_peptide,768,1019,252
VP4 peptide,OQ818325,mat_peptide,770,964,195
VP4 peptide,OQ818328,mat_peptide,704,898,195
VP4 peptide,OQ818329,mat_peptide,928,1218,291
