molecule,start,end,gene,virus
OQ818320,5610,5675,3B peptide,Sapelovirus
OQ818321,5656,5721,3B peptide,Sapelovirus
OQ818329,5611,5676,3B peptide,Sapelovirus
OQ818320,5676,6221,3C peptide,Sapelovirus
OQ818321,5722,6267,3C peptide,Sapelovirus
OQ818329,5677,6222,3C peptide,Sapelovirus
OQ818320,6222,7607,3D peptide,Sapelovirus
OQ818321,6268,7653,3D peptide,Sapelovirus
OQ818329,6223,7608,3D peptide,Sapelovirus
OQ818320,1,167,5'UTR,Sapelovirus
OQ818321,1,414,5'UTR,Sapelovirus
OQ818329,1,669,5'UTR,Sapelovirus
OQ818320,168,680,L peptide,Sapelovirus
OQ818321,415,816,L peptide,Sapelovirus
OQ818329,670,918,L peptide,Sapelovirus
OQ818320,2286,3185,VP1 peptide,Sapelovirus
OQ818321,2335,3204,VP1 peptide,Sapelovirus
OQ818329,2278,3270,VP1 peptide,Sapelovirus
OQ818320,837,1580,VP2 peptide,Sapelovirus
OQ818321,901,1644,VP2 peptide,Sapelovirus
OQ818329,1231,1578,VP2 peptide,Sapelovirus
OQ818320,1581,2279,VP3 peptide,Sapelovirus
OQ818321,1645,2334,VP3 peptide,Sapelovirus
OQ818329,1579,2277,VP3 peptide,Sapelovirus
OQ818320,684,830,VP4 peptide,Sapelovirus
OQ818321,829,894,VP4 peptide,Sapelovirus
OQ818329,928,1218,VP4 peptide,Sapelovirus
OQ818318,3245,3301,2A peptide,Teschovirus
OQ818323,3338,3409,2A peptide,Teschovirus
OQ818324,3426,3560,2A peptide,Teschovirus
OQ818318,3302,3751,2B peptide,Teschovirus
OQ818323,3410,3868,2B peptide,Teschovirus
OQ818324,3594,3884,2B peptide,Teschovirus
OQ818318,3752,4726,2C peptide,Teschovirus
OQ818323,3869,4900,2C peptide,Teschovirus
OQ818324,3885,4904,2C peptide,Teschovirus
OQ818318,7073,7085,3'UTR,Teschovirus
OQ818323,7208,7294,3'UTR,Teschovirus
OQ818324,7224,7228,3'UTR,Teschovirus
OQ818318,4727,5026,3A peptide,Teschovirus
OQ818323,4907,5149,3A peptide,Teschovirus
OQ818324,4923,5165,3A peptide,Teschovirus
OQ818318,5036,5101,3B peptide,Teschovirus
OQ818323,5150,5224,3B peptide,Teschovirus
OQ818324,5166,5240,3B peptide,Teschovirus
OQ818318,5108,5716,3C peptide,Teschovirus
OQ818323,5231,5845,3C peptide,Teschovirus
OQ818324,5247,5861,3C peptide,Teschovirus
OQ818318,5717,7024,3D peptide,Teschovirus
OQ818323,5846,7144,3D peptide,Teschovirus
OQ818324,5862,7172,3D peptide,Teschovirus
OQ818318,1,559,5'UTR,Teschovirus
OQ818323,1,541,5'UTR,Teschovirus
OQ818324,1,569,5'UTR,Teschovirus
OQ818318,560,688,L peptide,Teschovirus
OQ818323,542,748,L peptide,Teschovirus
OQ818324,570,767,L peptide,Teschovirus
OQ818318,2447,3244,VP1 peptide,Teschovirus
OQ818323,2522,3337,VP1 peptide,Teschovirus
OQ818324,2571,3425,VP1 peptide,Teschovirus
OQ818318,962,1750,VP2 peptide,Teschovirus
OQ818323,1055,1846,VP2 peptide,Teschovirus
OQ818324,1032,1865,VP2 peptide,Teschovirus
OQ818318,1751,2446,VP3 peptide,Teschovirus
OQ818323,1853,2521,VP3 peptide,Teschovirus
OQ818324,1875,2567,VP3 peptide,Teschovirus
OQ818318,710,961,VP4 peptide,Teschovirus
OQ818323,749,1033,VP4 peptide,Teschovirus
OQ818324,768,1019,VP4 peptide,Teschovirus
