pointer,HPA,KR703607,KT452637,KT452658,KT452685,KT452714,KT452730,KT452735,KT452742
1380,0,38,0,0,2,22,14,0,0
1400,0,28,0,0,5,20,12,15,0
1420,0,34,5,0,8,18,5,9,0
1440,0,45,6,1,1,10,10,3,3
1460,0,14,11,0,12,2,12,21,1
1480,0,14,14,0,11,0,5,42,0
1500,0,5,9,0,0,4,6,37,3
1520,0,4,8,0,5,3,1,61,1
1540,0,5,1,0,0,14,8,44,0
1560,0,3,4,0,3,15,15,32,2
1580,0,2,5,0,0,49,4,12,2
1600,0,2,0,0,0,72,7,1,1
1620,0,2,0,0,3,47,14,0,1
1640,0,6,0,0,2,63,8,2,0
1660,0,0,0,0,0,85,7,1,0
1680,0,1,0,0,0,88,5,0,0
1700,0,3,0,0,0,76,16,0,0
1720,0,0,0,0,1,83,10,0,0
1740,1,0,0,1,0,94,1,0,0
1760,0,0,0,1,0,98,0,0,0
1780,1,0,0,0,0,93,0,0,0
1800,1,0,0,0,0,85,0,0,2
1820,0,0,0,4,0,86,0,0,4
1840,0,0,0,2,0,95,0,0,0
1860,0,0,0,2,0,93,0,0,3
1880,0,0,0,0,0,93,0,0,1
1900,0,0,0,0,0,93,0,0,3
1920,0,0,0,1,0,94,0,0,4
1940,1,0,0,0,0,56,0,0,38
1960,0,0,0,3,0,59,0,0,34
1980,1,1,0,5,0,83,0,0,5
2000,0,2,0,1,0,84,0,0,6
2020,0,3,0,0,0,88,1,0,5
2040,2,13,0,1,0,57,1,0,14
2060,2,11,0,0,0,50,0,0,21
2080,4,27,0,1,0,38,2,0,16
2100,0,33,0,4,0,11,2,0,19
2120,7,13,0,11,0,10,2,0,22
2140,16,41,0,14,0,6,2,0,2
2160,7,27,0,16,0,24,1,0,5
2180,4,8,0,13,0,29,4,0,8
2200,3,3,0,22,6,20,3,0,4
2220,4,0,0,25,14,9,6,0,2
2240,3,1,2,23,14,10,12,0,2
2260,1,1,0,9,29,12,19,0,0
2280,0,2,1,8,19,21,6,0,1
2300,0,0,0,0,6,31,29,0,0
2320,0,1,0,0,3,27,23,0,0
2340,0,1,0,0,1,39,24,0,0
2360,0,0,0,1,0,21,28,0,0
2380,1,1,0,0,2,10,36,0,0
2400,0,0,0,0,0,32,40,0,0
2420,0,0,0,0,0,36,25,0,0
2440,0,0,0,0,0,87,4,0,0
2460,0,0,0,0,0,91,1,0,0
2480,0,0,0,2,0,82,2,1,0
2500,0,0,0,2,0,91,0,1,0
2520,0,1,0,2,0,88,0,1,0
2540,0,0,0,8,0,80,0,0,0
2560,0,0,0,2,0,95,0,1,0
2580,0,0,0,1,0,95,0,0,0
2600,0,0,0,0,0,97,2,0,0
2620,0,0,0,0,0,100,0,0,0
2640,0,0,0,0,0,96,4,0,0
2660,0,0,0,0,0,98,2,0,0
2680,0,0,0,0,0,95,5,0,0
2700,0,0,0,0,0,99,1,0,0
2720,0,0,0,0,0,99,1,0,0
2740,0,0,0,0,0,99,0,0,0
2760,0,0,0,0,0,100,0,0,0
2780,0,0,0,0,0,100,0,0,0
2800,0,0,0,0,0,100,0,0,0
2820,0,0,0,0,0,100,0,0,0
2840,0,0,0,0,0,100,0,0,0
2860,0,0,0,0,0,100,0,0,0
2880,0,0,0,0,0,100,0,0,0
2900,1,0,0,0,0,98,0,0,0
2920,0,0,0,0,3,96,0,0,0
2940,0,0,0,7,0,92,0,0,0
2960,0,1,0,4,1,88,0,1,0
2980,0,1,0,11,0,87,0,0,0
3000,0,0,0,17,0,77,0,1,0
3020,0,0,0,23,1,73,0,1,0
3040,0,0,0,10,0,89,0,0,0
3060,0,0,0,7,0,85,1,0,0
3080,0,0,0,19,1,75,0,0,1
3100,0,0,0,22,0,74,0,0,0
3120,0,1,0,5,0,82,1,2,0
3140,0,0,0,0,0,91,1,0,0
3160,1,0,3,8,0,53,2,0,0
3180,0,1,3,1,0,62,8,1,0
3200,0,0,0,0,0,52,11,4,1
3220,0,0,1,0,0,70,6,1,2
3240,0,0,0,1,0,54,4,2,0
3260,0,0,0,3,0,78,2,0,0
3280,0,0,0,5,0,76,2,0,0
3300,0,0,1,0,0,81,0,0,0
3320,0,0,2,1,0,73,0,0,1
3340,0,0,1,6,0,55,0,0,0
3360,0,0,0,2,0,77,0,0,0
3380,0,0,0,1,0,87,1,0,0
3400,0,0,0,0,0,82,1,0,0
3420,0,0,0,0,0,93,0,0,0
3440,0,0,0,0,0,99,0,0,0
3460,0,0,0,0,0,94,0,0,0
3480,0,0,0,0,0,89,1,0,0
3500,0,0,0,0,0,66,3,0,0
3520,0,0,0,0,0,72,4,0,0
3540,0,0,0,0,0,76,2,0,0
3560,0,0,0,0,0,49,1,0,0
3580,0,0,0,0,0,96,0,0,0
3600,0,0,0,0,0,100,0,0,0
3620,0,0,0,0,0,100,0,0,0
3640,0,0,0,0,0,100,0,0,0
3660,0,0,0,0,0,99,0,0,0
3680,0,0,0,0,0,100,0,0,0
3700,0,0,0,0,0,100,0,0,0
3720,0,0,0,0,0,98,0,2,0
3740,0,0,0,0,0,100,0,0,0
3760,0,0,0,0,0,100,0,0,0
3780,0,0,0,0,0,100,0,0,0
3800,0,0,0,0,0,100,0,0,0
3820,0,0,0,0,0,100,0,0,0
3840,0,0,0,0,0,100,0,0,0
3860,0,0,0,0,0,99,0,0,0
3880,0,0,0,0,0,100,0,0,0
3900,0,0,0,0,0,100,0,0,0
3920,0,0,0,0,0,99,0,0,0
3940,0,0,0,0,0,100,0,0,0
3960,0,0,0,0,0,100,0,0,0
3980,0,0,0,0,0,100,0,0,0
4000,0,0,0,0,0,100,0,0,0
4020,0,0,0,0,0,99,0,0,0
4040,0,0,0,0,0,100,0,0,0
4060,0,1,0,0,0,98,0,1,0
4080,0,1,0,0,0,99,0,0,0
4100,0,0,0,0,0,98,0,0,0
4120,0,2,0,0,0,96,0,0,0
4140,0,0,0,0,0,93,1,0,0
4160,0,0,0,0,0,94,2,0,0
4180,0,0,0,0,0,94,0,0,0
4200,0,2,0,0,0,91,2,0,0
4220,0,4,0,0,0,89,1,0,0
4240,0,0,0,0,0,93,1,0,0
4260,0,0,0,0,0,74,10,0,0
4280,0,0,0,0,0,81,9,0,0
4300,0,0,0,0,0,98,2,0,0
4320,0,0,0,0,0,100,0,0,0
4340,0,0,0,0,0,99,0,0,0
4360,0,0,0,0,0,97,1,0,0
4380,0,0,0,0,0,94,4,0,0
4400,0,0,0,0,0,95,0,0,0
4420,0,1,0,0,0,94,2,0,0
4440,0,0,0,0,0,95,4,0,0
4460,0,0,0,0,0,95,3,0,0
4480,0,0,0,0,0,83,15,0,0
4500,0,2,0,0,0,75,16,0,0
4520,0,4,0,0,0,71,14,0,0
4540,0,5,0,0,0,56,32,0,0
4560,0,1,0,0,0,66,28,0,0
4580,0,1,0,0,0,92,6,0,0
4600,0,1,0,0,0,94,2,0,0
4620,0,3,0,0,0,90,1,0,0
4640,0,2,0,0,0,93,2,0,0
4660,0,2,0,0,0,97,1,0,0
4680,0,2,0,0,0,98,0,0,0
4700,0,2,0,0,0,96,2,0,0
4720,0,0,0,0,0,98,1,0,0
4740,0,2,0,0,0,98,0,0,0
4760,0,0,0,0,0,97,0,0,0
4780,0,0,0,0,0,99,0,0,0
4800,0,0,0,0,0,100,0,0,0
4820,0,0,0,0,0,100,0,0,0
4840,0,0,0,0,0,99,0,0,0
4860,0,0,0,0,0,100,0,0,0
4880,0,0,0,0,0,100,0,0,0
4900,0,0,0,0,0,100,0,0,0
4920,0,0,0,0,0,98,0,0,0
4940,0,0,0,0,0,100,0,0,0
4960,0,0,0,0,0,99,0,0,0
4980,0,0,0,0,0,97,0,0,0
5000,0,0,0,0,0,98,0,0,0
5020,0,0,0,0,0,98,0,0,1
5040,0,0,0,0,2,95,0,0,2
5060,0,0,0,0,0,98,1,0,0
5080,0,0,0,0,0,98,0,0,1
5100,0,0,0,0,0,98,0,0,1
5120,0,0,0,0,0,100,0,0,0
5140,0,0,0,0,0,99,0,0,0
5160,0,0,0,0,0,92,1,0,1
5180,0,0,1,0,0,80,0,0,1
5200,0,0,0,0,0,63,1,1,3
5220,0,1,1,1,0,49,0,4,14
5240,0,0,0,0,0,44,0,3,18
5260,0,0,0,10,0,33,0,3,21
5280,0,0,1,7,0,6,0,12,27
5300,0,0,0,10,1,52,0,0,7
5320,0,0,0,0,0,73,0,2,3
5340,0,0,0,0,0,89,0,0,0
5360,0,0,0,0,0,88,0,0,7
5380,0,0,0,0,0,91,0,0,2
5400,0,0,0,0,0,93,0,0,3
5420,0,0,0,0,0,98,0,0,0
5440,0,0,0,0,0,100,0,0,0
5460,0,0,0,0,0,100,0,0,0
5480,0,0,0,0,0,100,0,0,0
5500,0,0,0,0,0,99,0,0,0
5520,0,0,0,0,0,100,0,0,0
5540,0,0,0,0,0,100,0,0,0
5560,0,0,0,0,0,99,0,0,0
5580,0,0,0,0,0,99,0,0,0
5600,0,0,0,0,0,100,0,0,0
5620,0,0,0,0,0,100,0,0,0
5640,0,0,0,4,0,89,0,0,0
5660,0,0,0,2,0,87,0,0,1
5680,0,0,0,0,0,93,0,0,0
5700,0,0,0,0,0,97,0,0,0
5720,0,0,0,2,0,92,0,0,0
5740,0,0,0,0,0,93,0,0,0
5760,0,4,0,0,0,93,0,0,0
5780,0,5,0,0,0,93,0,1,0
5800,0,6,0,0,0,92,0,0,0
5820,0,0,0,0,0,97,0,1,0
5840,0,2,0,0,0,91,0,0,0
5860,0,1,0,0,0,95,0,0,0
5880,0,0,0,0,0,84,0,0,0
5900,0,3,0,5,0,71,0,0,0
5920,0,3,0,2,0,71,0,0,0
5940,0,2,0,2,0,56,0,0,0
5960,0,0,0,1,0,26,0,4,0
5980,0,2,0,9,0,19,0,6,2
6000,0,1,0,3,0,5,0,3,3
6020,0,0,0,3,0,9,0,3,17
6040,0,0,0,4,0,30,0,1,10
6060,0,0,0,2,0,54,0,3,5
6080,0,0,0,2,0,71,0,0,5
6100,0,0,0,0,0,73,0,0,2
6120,0,0,0,0,0,78,0,0,6
6140,0,1,1,0,0,78,3,0,4
6160,0,0,0,0,0,78,9,0,2
6180,0,0,0,0,0,95,1,0,0
6200,0,0,0,0,0,90,1,0,0
6220,0,0,0,0,0,100,0,0,0
6240,0,0,0,0,0,100,0,0,0
6260,0,0,0,0,0,99,1,0,0
6280,0,0,0,0,0,97,3,0,0
6300,0,0,0,0,0,98,2,0,0
6320,0,0,0,0,0,91,9,0,0
6340,0,0,0,0,0,96,3,1,0
6360,0,0,0,0,0,100,0,0,0
6380,0,0,0,0,0,100,0,0,0
6400,0,0,0,0,0,100,0,0,0
6420,0,0,0,0,0,100,0,0,0
6440,0,0,0,0,0,99,0,0,0
6460,0,0,0,0,0,88,0,0,0
6480,0,0,0,0,0,98,0,0,0
6500,0,0,0,0,0,100,0,0,0
6520,0,0,0,0,0,100,0,0,0
6540,1,0,0,0,0,97,0,0,1
