pointer,JQ814851,KP054273,KP100644,KY512802,MF352410
4580,0,1,42,26,20
4600,0,0,72,10,8
4620,0,0,41,10,11
4640,0,0,40,13,25
4660,0,1,26,12,45
4680,1,3,11,15,42
4700,0,1,4,12,36
4720,9,2,0,30,14
4740,12,10,1,25,1
4760,6,4,0,19,15
4780,2,6,5,6,53
4800,3,2,2,5,52
4820,1,5,3,6,51
4840,4,7,0,3,49
4860,1,7,0,0,42
4880,0,1,4,9,55
4900,0,1,11,7,64
4920,0,1,9,2,71
4940,0,0,7,1,84
4960,0,0,28,0,47
4980,0,0,22,16,42
5000,0,0,11,16,54
5020,0,0,10,33,36
5040,1,0,12,29,27
5060,0,1,49,10,9
5080,1,0,66,13,8
5100,1,1,58,5,8
5120,1,1,33,4,3
5140,0,0,36,4,12
5160,0,0,40,5,7
5180,0,0,59,4,14
5200,0,0,77,0,13
5220,0,0,83,0,7
5240,0,0,65,1,14
5260,0,0,45,3,40
5280,0,0,40,1,47
5300,0,0,24,8,60
5320,0,0,26,6,59
5340,0,0,43,9,37
5360,0,0,42,17,22
5380,0,0,42,27,9
5400,0,0,16,52,9
5420,0,0,10,40,11
5440,0,0,27,29,8
5460,0,0,15,23,5
5480,0,0,16,19,6
5500,0,0,38,7,17
5520,0,0,63,3,6
5540,0,3,39,18,12
5560,0,1,40,32,9
5580,0,0,55,13,16
5600,0,0,31,21,30
5620,0,0,30,7,37
5640,0,0,18,17,56
5660,0,0,16,38,36
5680,0,0,17,35,41
5700,0,0,21,40,28
5720,0,0,5,45,40
5740,0,0,5,37,33
5760,0,0,3,39,41
5780,0,0,0,29,61
5800,0,0,3,28,32
5820,1,0,1,42,17
5840,0,1,0,4,8
5860,1,3,1,0,0
5880,2,4,0,5,1
5900,0,1,0,3,2
5920,1,14,0,5,7
5940,1,10,0,3,1
5960,1,17,0,3,0
5980,3,2,0,2,1
6000,0,4,1,14,0
6020,1,4,0,8,1
6040,2,0,9,37,1
6060,0,0,22,41,9
6080,0,0,5,17,32
6100,0,0,34,34,19
6120,0,0,71,12,4
6140,0,0,81,11,0
6160,0,0,80,14,0
6180,0,0,95,4,0
6200,0,0,92,5,0
6220,0,0,85,11,1
6240,0,0,66,26,3
6260,0,0,46,34,0
6280,0,0,67,18,0
6300,1,0,54,16,0
6320,0,0,57,21,0
6340,0,0,19,52,1
6360,0,0,36,20,0
6380,0,0,9,16,0
6400,0,0,3,44,0
6420,0,0,24,34,0
6440,0,0,13,41,1
6460,0,0,16,44,0
6480,0,0,11,67,7
6500,0,0,15,54,6
6520,0,0,15,63,5
6540,0,1,20,65,0
6560,0,1,20,66,1
6580,0,1,23,61,0
6600,0,0,86,11,0
6620,16,0,62,14,0
6640,22,0,57,12,0
6660,1,0,91,8,0
6680,1,0,82,14,1
6700,6,0,59,25,0
6720,3,0,73,18,0
6740,4,0,65,28,0
6760,0,3,38,33,0
6780,1,0,46,23,3
6800,0,1,27,41,0
6820,0,2,20,47,0
6840,0,2,16,46,0
6860,0,2,10,58,0
6880,0,1,12,35,1
6900,0,0,40,21,0
6920,0,1,20,34,0
6940,0,0,12,52,0
6960,6,2,26,46,3
6980,3,3,21,42,1
7000,1,0,15,56,0
7020,0,0,35,38,0
7040,0,0,41,27,0
7060,0,0,83,1,0
7080,1,0,66,6,0
7100,0,0,75,18,2
7120,0,0,82,6,6
7140,0,0,89,1,5
7160,0,0,93,4,3
7180,0,0,92,3,5
7200,0,0,95,1,4
7220,0,0,84,8,8
7240,0,0,57,27,13
7260,0,0,21,34,24
7280,0,0,44,34,0
7300,0,0,39,27,4
7320,1,0,10,54,7
7340,1,0,4,53,7
7360,0,0,0,34,11
7380,0,1,0,66,3
7400,0,0,2,29,23
7420,0,0,4,49,16
7440,0,0,6,47,19
7460,0,0,5,26,16
7480,0,0,2,33,13
7500,0,0,3,38,14
7520,0,0,27,17,9
7540,0,0,23,33,4
7560,0,0,18,29,3
7580,0,0,22,10,6
7600,0,0,11,23,2
7620,0,0,2,14,3
7640,0,1,3,3,2
7660,0,1,6,5,5
7680,0,7,16,1,10
7700,0,21,16,4,1
7720,0,20,4,5,3
7740,0,12,11,0,1
7760,5,10,10,4,0
7780,4,21,2,8,0
7800,2,3,12,5,0
7820,0,7,41,9,0
7840,0,2,45,5,0
7860,0,0,44,14,1
7880,1,0,45,25,0
7900,1,0,41,36,0
7920,0,0,32,53,0
7940,0,0,30,44,0
7960,0,0,18,58,0
7980,1,0,14,55,1
8000,4,0,2,75,0
8020,16,0,0,57,0
8040,9,0,3,74,0
8060,5,2,16,50,0
8080,12,2,12,32,1
8100,3,1,18,31,0
8120,12,2,32,10,4
8140,9,12,31,5,2
8160,3,1,64,0,1
8180,1,1,80,0,3
8200,0,8,75,0,8
8220,1,4,89,0,4
8240,1,15,74,0,6
8260,11,17,51,0,6
8280,3,26,55,0,3
8300,8,20,63,0,0
8320,9,10,48,0,1
8340,0,2,55,1,6
8360,0,0,40,3,10
8380,0,0,44,3,5
8400,0,0,42,0,0
8420,0,0,20,1,3
8440,0,0,24,1,12
8460,0,0,37,0,22
8480,0,0,56,0,10
8500,0,0,57,0,10
8520,0,0,91,0,4
8540,0,3,74,0,4
8560,0,5,47,0,9
8580,0,3,30,0,24
8600,1,4,32,0,34
8620,0,1,47,0,18
8640,0,1,28,0,16
8660,0,0,40,0,5
8680,0,2,29,0,16
8700,1,1,9,1,52
8720,0,3,7,3,49
8740,0,2,26,18,30
8760,0,1,16,15,23
8780,0,0,6,8,46
8800,0,0,12,34,20
8820,0,0,25,15,24
8840,0,0,12,20,26
8860,0,0,4,26,43
8880,0,0,6,46,14
8900,0,0,8,65,2
8920,0,0,2,63,8
8940,0,0,5,64,6
8960,0,0,3,58,15
8980,0,0,2,49,26
9000,0,0,2,33,35
9020,0,0,1,44,30
9040,0,1,1,49,17
9060,0,3,1,56,23
9080,0,2,0,33,38
9100,0,4,0,40,27
9120,0,0,4,17,46
9140,0,0,2,22,34
9160,0,4,9,43,21
9180,0,2,16,63,4
9200,0,6,24,50,6
9220,0,4,28,47,0
9240,0,0,5,51,0
9260,-1,-1,-1,-1,-1
9280,0,0,1,46,0
9300,-1,-1,-1,-1,-1
9320,-1,-1,-1,-1,-1
9340,-1,-1,-1,-1,-1
9360,-1,-1,-1,-1,-1
9380,-1,-1,-1,-1,-1
9400,-1,-1,-1,-1,-1
9420,-1,-1,-1,-1,-1
9440,-1,-1,-1,-1,-1
9460,-1,-1,-1,-1,-1
