pointer,OQ818317,OQ818318,OQ818321,OQ818337,OQ818319,OQ818322
7160,0,4,74,0,2,0
7180,0,1,75,0,2,1
7200,0,2,80,0,2,5
7220,0,0,73,1,0,4
7240,0,3,49,2,1,12
7260,0,0,59,1,0,11
7280,0,3,46,1,1,10
7300,0,0,55,2,0,13
7320,0,2,50,10,3,6
7340,0,4,46,11,1,2
7360,0,0,67,4,4,4
7380,0,1,75,0,4,1
7400,0,2,73,3,8,0
7420,0,1,71,2,10,0
7440,0,2,85,2,3,1
7460,0,4,79,4,2,0
7480,0,0,75,16,2,0
7500,0,1,91,0,2,0
7520,0,0,91,0,2,0
7540,0,1,87,0,0,0
7560,0,0,71,0,1,0
7580,0,0,80,1,2,0
7600,0,0,91,0,2,0
7620,0,0,79,0,7,0
7640,2,0,45,0,4,0
7660,1,0,58,0,8,0
7680,9,0,75,0,0,0
7700,19,0,65,0,1,0
7720,7,0,70,0,16,0
7740,10,0,76,0,3,0
7760,3,0,93,0,0,0
7780,0,0,90,2,0,0
7800,7,0,81,2,1,0
7820,0,0,90,2,0,0
7840,0,0,94,4,0,0
7860,0,0,93,2,0,0
7880,0,0,81,1,0,4
7900,0,0,70,1,0,10
7920,0,0,60,7,0,15
7940,1,0,33,4,0,35
7960,1,0,26,2,0,24
7980,5,0,37,1,0,24
8000,3,0,36,1,0,16
8020,1,0,47,0,0,13
8040,6,0,53,0,0,6
8060,9,0,61,0,0,11
8080,2,0,81,0,0,2
8100,5,0,71,0,0,14
8120,1,0,78,0,0,5
8140,0,0,92,0,0,4
8160,1,0,88,0,0,7
8180,2,0,73,0,0,11
8200,0,0,79,0,0,11
8220,0,0,96,0,0,1
8240,0,0,93,0,0,0
8260,0,0,97,0,0,0
8280,1,0,93,0,0,1
8300,0,0,92,0,0,0
8320,2,0,76,0,0,0
8340,0,0,81,3,0,0
8360,0,0,89,0,0,0
8380,0,0,92,0,0,0
8400,0,0,82,0,0,3
8420,2,0,47,0,0,1
8440,0,0,60,0,0,3
8460,1,0,50,0,0,13
8480,0,0,56,1,0,21
8500,0,0,68,0,0,9
8520,0,0,75,4,0,6
8540,0,0,67,5,0,8
8560,0,0,82,3,0,7
8580,0,0,83,6,0,0
8600,0,0,57,12,1,1
8620,0,0,75,1,0,4
8640,0,0,62,5,0,11
8660,0,0,81,5,0,4
8680,0,0,61,4,0,3
8700,0,0,61,1,2,6
8720,0,0,42,0,0,1
8740,0,0,33,3,0,4
8760,0,0,13,1,0,2
8780,1,0,21,3,0,6
8800,0,1,44,2,0,5
8820,0,2,51,3,0,0
8840,0,3,43,1,0,1
8860,0,5,36,2,1,3
8880,0,2,42,1,0,2
8900,0,1,29,1,0,0
8920,0,4,33,3,0,1
8940,2,3,34,1,0,1
8960,1,1,36,0,0,0
8980,0,2,38,0,1,0
9000,0,0,48,7,1,1
9020,0,0,36,0,1,0
9040,2,0,38,2,1,0
9060,0,0,20,2,0,0
9080,1,0,24,8,0,2
9100,0,0,23,5,0,3
9120,0,0,35,7,0,1
9140,0,0,41,5,0,0
9160,0,0,47,4,1,1
9180,0,0,31,7,3,3
9200,0,0,32,5,2,5
9220,1,0,33,7,3,2
9240,0,0,48,3,0,2
9260,0,0,53,18,0,1
9280,0,0,62,8,0,1
9300,0,0,65,9,0,2
9320,0,0,41,8,0,25
9340,0,0,45,15,2,10
9360,1,0,51,19,1,2
9380,0,2,56,4,0,1
9400,0,0,77,8,0,0
9420,0,0,74,1,0,0
9440,0,4,57,17,0,0
9460,0,0,83,7,0,1
9480,0,1,72,14,0,0
9500,0,0,55,18,0,0
9520,2,1,33,19,0,0
9540,6,0,55,3,0,0
9560,2,0,62,7,0,0
9580,9,0,32,11,0,0
9600,8,0,34,13,0,0
9620,8,1,30,19,0,0
9640,4,0,29,24,0,0
9660,4,0,33,24,0,0
9680,2,0,44,9,0,0
9700,4,0,61,9,0,0
9720,8,1,65,3,0,0
9740,23,0,35,3,0,0
9760,14,0,53,0,0,0
9780,2,6,77,0,0,0
9800,7,13,61,1,0,0
9820,10,10,58,0,0,3
9840,4,22,50,0,0,9
9860,6,34,29,0,0,2
9880,7,9,27,0,0,27
9900,3,25,12,0,0,23
9920,0,18,16,0,0,29
9940,0,12,20,0,2,26
9960,0,2,7,0,0,63
9980,0,4,9,0,1,64
10000,0,0,29,0,0,49
10020,0,3,30,0,1,45
10040,0,1,36,1,6,28
10060,0,0,73,0,5,3
10080,0,0,86,1,3,2
10100,0,0,89,1,3,0
10120,0,0,97,0,0,0
10140,0,0,92,3,0,0
10160,0,0,96,1,2,0
10180,0,0,97,0,1,0
10200,0,0,96,2,0,0
10220,0,0,92,7,0,0
10240,0,0,89,7,1,0
10260,0,3,79,11,1,0
10280,0,2,78,5,5,0
10300,0,7,72,0,0,2
10320,0,16,45,5,0,1
10340,0,0,78,0,0,4
10360,0,5,60,3,0,3
10380,0,0,75,1,1,1
10400,0,0,55,2,4,1
10420,2,0,61,0,0,2
10440,0,0,77,1,0,0
10460,2,0,62,0,0,1
10480,6,1,36,3,2,3
