pointer,AY644670,KT819575,KT452729,NC_038316,NC_028366,NC_038313,NC_038314
1440,0,0,1,6,23,1,30
1460,0,0,0,7,27,3,5
1480,0,0,5,1,38,3,2
1500,0,0,12,10,39,0,1
1520,0,0,16,17,31,0,0
1540,0,0,6,25,41,0,1
1560,0,0,1,15,60,0,1
1580,0,0,1,15,71,0,0
1600,0,0,4,18,67,0,0
1620,0,0,12,25,39,0,0
1640,0,0,6,11,80,0,0
1660,0,0,2,10,69,0,0
1680,0,0,1,6,61,4,0
1700,0,0,0,5,36,3,0
1720,0,0,0,6,56,7,1
1740,0,0,0,1,79,12,0
1760,0,1,0,1,80,6,0
1780,0,0,0,0,84,13,0
1800,0,0,0,0,81,8,0
1820,0,0,0,0,85,10,0
1840,1,0,0,0,61,33,0
1860,1,0,0,0,59,33,0
1880,1,0,0,0,85,4,0
1900,0,0,0,0,83,5,0
1920,0,0,1,0,84,6,0
1940,0,0,4,0,58,16,0
1960,0,0,13,0,47,11,0
1980,1,0,16,0,27,26,0
2000,0,0,19,0,35,18,0
2020,0,0,19,1,20,24,0
2040,1,0,31,1,19,6,0
2060,0,0,31,0,30,6,0
2080,1,1,6,0,37,13,0
2100,1,0,12,1,26,12,0
2120,5,0,17,1,18,14,0
2140,0,0,14,10,24,1,0
2160,0,0,18,16,18,6,0
2180,0,0,5,13,36,3,0
2200,0,0,3,8,44,0,0
2220,0,0,3,3,72,0,0
2240,0,0,1,3,75,0,0
2260,0,0,0,3,82,1,0
2280,0,0,0,6,79,1,0
2300,0,0,0,4,88,0,0
2320,0,0,0,1,94,0,0
2340,0,0,0,0,100,0,0
2360,0,0,0,0,100,0,0
2380,0,0,0,0,99,0,0
2400,0,0,0,0,100,0,0
2420,0,0,0,0,99,1,0
2440,0,0,0,0,98,0,0
2460,0,0,0,0,100,0,0
2480,0,0,0,0,100,0,0
2500,0,0,0,0,100,0,0
2520,0,0,0,0,100,0,0
2540,0,0,0,4,91,0,0
2560,0,0,0,6,80,1,1
2580,0,0,0,0,95,0,0
2600,0,0,0,1,99,0,0
2620,0,0,0,2,98,0,0
2640,1,0,0,0,99,0,0
2660,1,0,0,1,98,0,0
2680,0,0,0,0,100,0,0
2700,0,0,0,0,100,0,0
2720,0,0,0,0,100,0,0
2740,0,0,0,0,100,0,0
2760,0,0,0,0,100,0,0
2780,0,0,0,1,98,0,0
2800,0,0,0,0,99,0,1
2820,0,0,0,0,100,0,0
2840,0,0,0,0,98,0,1
2860,0,0,1,0,97,0,0
2880,0,0,0,1,94,0,2
2900,0,0,0,1,89,1,0
2920,0,0,0,0,94,1,0
2940,0,0,2,6,83,0,0
2960,0,0,0,3,88,1,1
2980,0,0,0,1,93,0,0
3000,0,0,0,7,81,0,1
3020,0,0,0,10,77,2,1
3040,0,0,0,8,48,0,3
3060,0,0,0,5,51,4,8
3080,0,0,0,15,53,6,11
3100,0,0,0,4,70,0,14
3120,0,0,0,0,81,1,13
3140,0,0,0,0,96,0,2
3160,0,0,0,0,89,0,7
3180,0,0,0,0,92,0,2
3200,0,0,0,0,85,1,0
3220,0,0,0,0,82,0,1
3240,0,0,0,0,92,0,0
3260,0,0,0,0,95,0,0
3280,0,0,0,0,97,0,0
3300,0,0,0,0,98,0,0
3320,0,0,0,0,99,0,0
3340,0,0,0,0,99,0,0
3360,0,0,0,0,95,0,0
3380,0,0,0,0,92,1,0
3400,0,0,0,0,87,0,1
3420,0,0,0,0,86,0,0
3440,0,0,1,0,84,0,0
3460,0,0,1,0,92,0,0
3480,0,0,0,0,94,0,0
3500,0,0,0,0,94,0,0
3520,0,0,0,0,92,0,0
3540,0,0,0,0,86,0,0
3560,0,0,0,0,86,0,0
3580,0,0,0,0,87,0,1
3600,0,0,0,0,89,0,0
3620,0,0,0,0,98,0,0
3640,0,0,0,0,96,0,0
3660,0,0,0,0,97,0,0
3680,0,0,4,0,87,0,0
3700,0,0,0,0,89,0,0
3720,0,0,0,0,91,0,0
3740,0,0,1,0,85,0,0
3760,0,0,0,0,100,0,0
3780,0,0,0,0,100,0,0
3800,0,0,0,0,100,0,0
3820,0,0,0,0,100,0,0
3840,0,0,0,0,98,0,0
3860,0,0,0,0,98,0,0
3880,0,0,0,0,99,0,0
3900,0,0,0,0,92,0,1
3920,0,0,0,0,95,0,1
3940,0,0,0,0,81,0,0
3960,0,0,2,1,53,0,0
3980,0,0,0,2,53,0,1
4000,0,0,0,1,56,0,0
4020,0,0,0,5,33,0,0
4040,0,0,0,0,41,0,0
4060,0,0,0,1,35,0,0
4080,0,0,0,7,33,0,0
4100,0,0,0,3,51,0,0
4120,0,0,0,0,72,0,0
4140,0,0,0,0,85,0,0
4160,0,0,0,0,89,0,1
4180,0,0,0,0,88,0,0
4200,0,0,0,0,89,0,0
4220,0,0,0,0,88,0,0
4240,0,0,0,0,88,0,0
4260,0,0,3,0,79,0,0
4280,0,0,0,0,82,0,0
4300,0,0,2,0,73,0,0
4320,0,0,2,0,61,0,0
4340,0,0,1,0,60,0,0
4360,0,0,6,0,60,0,0
4380,0,0,5,0,44,0,0
4400,0,0,0,0,86,0,0
4420,0,0,0,0,90,0,0
4440,0,0,0,0,100,0,0
4460,0,0,0,0,99,0,0
4480,0,0,0,0,100,0,0
4500,0,0,0,0,100,0,0
4520,0,0,0,0,100,0,0
4540,0,0,0,0,100,0,0
4560,0,0,0,0,100,0,0
4580,0,0,0,0,100,0,0
4600,0,0,0,0,100,0,0
4620,0,0,0,0,100,0,0
4640,0,0,0,0,99,0,1
4660,0,0,0,0,100,0,0
4680,0,0,0,0,100,0,0
4700,0,0,0,0,95,0,0
4720,0,0,0,0,93,0,0
4740,0,0,0,0,92,0,0
4760,0,0,0,0,97,0,0
4780,0,0,0,0,93,0,0
4800,0,0,0,0,100,0,0
4820,0,0,0,0,100,0,0
4840,0,0,0,0,98,0,0
4860,0,0,0,0,94,0,0
4880,0,0,0,0,95,0,0
4900,0,0,0,1,95,2,0
4920,0,0,0,0,100,0,0
4940,0,0,0,0,100,0,0
4960,0,0,0,0,100,0,0
4980,0,0,0,0,100,0,0
5000,0,0,1,0,79,3,2
5020,0,0,0,0,66,6,2
5040,0,0,1,0,63,13,4
5060,0,0,1,0,80,12,2
5080,0,0,1,0,60,16,1
5100,0,0,1,2,36,24,0
5120,0,0,1,0,61,3,0
5140,0,0,0,0,85,0,0
5160,0,0,0,0,82,0,0
5180,0,0,0,0,87,0,0
5200,0,0,0,0,92,0,0
5220,0,0,0,0,80,0,0
5240,0,0,0,0,96,0,0
5260,0,0,0,0,98,0,0
5280,0,0,0,0,100,0,0
5300,0,0,0,0,100,0,0
5320,0,0,0,0,100,0,0
5340,0,0,0,0,100,0,0
5360,0,0,0,0,100,0,0
5380,0,0,0,0,100,0,0
5400,0,0,0,0,99,0,0
5420,0,0,0,0,100,0,0
5440,0,0,0,0,99,0,0
5460,0,0,0,0,100,0,0
5480,0,0,0,0,100,0,0
5500,0,0,0,0,100,0,0
5520,0,0,0,0,99,0,0
5540,0,0,0,0,97,0,0
5560,0,0,0,0,99,0,0
5580,0,0,1,0,96,0,0
5600,0,0,0,0,99,0,0
5620,0,0,0,0,100,0,0
5640,0,0,0,0,98,0,0
5660,0,0,0,0,99,0,0
5680,0,0,0,0,96,0,0
5700,0,0,0,0,96,0,0
5720,0,0,0,0,99,0,0
5740,0,0,0,0,92,0,0
5760,0,0,0,0,75,2,0
5780,0,0,0,0,47,5,4
5800,0,0,0,0,39,10,5
5820,0,0,0,1,21,27,3
5840,0,0,0,0,41,16,0
5860,0,0,0,0,33,20,1
5880,0,0,0,0,61,4,0
5900,0,0,0,1,86,2,0
5920,0,0,0,0,87,5,0
5940,0,0,0,1,81,10,0
5960,0,0,0,2,96,1,0
5980,0,0,0,0,96,2,0
6000,0,0,2,0,97,0,0
6020,0,0,1,1,98,0,0
6040,0,0,0,0,100,0,0
6060,0,0,0,0,100,0,0
6080,0,0,0,0,98,0,0
6100,0,0,2,1,92,0,1
6120,0,0,0,1,96,0,0
6140,0,0,0,0,95,0,0
6160,0,0,0,0,94,0,0
6180,0,0,0,0,100,0,0
6200,0,0,0,0,100,0,0
6220,0,0,0,0,99,0,0
6240,0,0,0,0,99,0,0
6260,0,0,0,0,99,0,0
6280,0,0,0,0,100,0,0
6300,0,0,0,0,100,0,0
6320,0,0,0,0,100,0,0
6340,0,0,0,0,100,0,0
6360,0,0,0,0,95,0,0
6380,0,0,0,5,85,0,1
6400,0,0,0,7,75,3,4
6420,0,0,3,1,51,4,11
6440,0,0,25,12,9,0,20
6460,-1,-1,-1,-1,-1,-1,-1
