pointer,OP287812,KM068048,KM068050,KM068051,KY407744,MG009596,OM105002
3261,1,0.89,0.9,0.89,0.75,0.83,0.75
3281,1,0.89,0.9,0.89,0.72,0.85,0.77
3301,1,0.89,0.9,0.89,0.72,0.85,0.77
3321,1,0.89,0.9,0.89,0.72,0.85,0.77
3341,1,0.89,0.9,0.89,0.72,0.85,0.77
3361,1,0.89,0.9,0.89,0.72,0.85,0.77
3381,1,0.89,0.89,0.88,0.58,0.84,0.67
3401,1,0.89,0.89,0.88,0.59,0.86,0.66
3421,1,0.9,0.89,0.88,0.59,0.88,0.68
3441,1,0.92,0.91,0.89,0.66,0.89,0.7
3461,1,0.93,0.92,0.91,0.66,0.92,0.72
3481,1,0.93,0.92,0.91,0.6,0.91,0.65
3501,1,0.89,0.86,0.85,0.54,0.84,0.58
3521,1,0.87,0.85,0.84,0.52,0.81,0.57
3541,1,0.87,0.85,0.84,0.52,0.81,0.57
3561,1,0.87,0.85,0.84,0.52,0.81,0.57
3581,1,0.87,0.85,0.84,0.52,0.81,0.57
3601,1,0.87,0.85,0.84,0.52,0.81,0.57
3621,1,0.87,0.85,0.84,0.52,0.81,0.57
3641,1,0.87,0.85,0.84,0.52,0.81,0.57
3661,1,0.87,0.85,0.84,0.52,0.81,0.57
3681,1,0.87,0.85,0.84,0.52,0.81,0.57
3701,1,0.87,0.85,0.84,0.52,0.81,0.57
3721,1,0.87,0.85,0.84,0.52,0.81,0.57
3741,1,0.87,0.85,0.84,0.52,0.81,0.57
3761,1,0.87,0.85,0.84,0.52,0.81,0.57
3781,1,0.87,0.85,0.84,0.52,0.81,0.57
3801,1,0.87,0.85,0.84,0.52,0.81,0.57
3821,1,0.87,0.85,0.84,0.52,0.81,0.57
3841,1,0.87,0.85,0.84,0.52,0.81,0.57
3861,1,0.87,0.85,0.84,0.52,0.81,0.57
3881,1,0.87,0.85,0.84,0.52,0.81,0.57
3901,1,0.87,0.85,0.84,0.52,0.81,0.57
3921,1,0.87,0.85,0.84,0.52,0.81,0.57
3941,1,0.87,0.85,0.84,0.52,0.81,0.57
3961,1,0.87,0.85,0.84,0.52,0.81,0.57
3981,1,0.87,0.85,0.84,0.52,0.81,0.57
4001,1,0.87,0.85,0.84,0.52,0.81,0.57
4021,1,0.87,0.85,0.84,0.52,0.81,0.57
4041,1,0.87,0.85,0.84,0.52,0.81,0.57
4061,1,0.87,0.85,0.84,0.52,0.81,0.57
4081,1,0.87,0.85,0.84,0.52,0.81,0.57
4101,1,0.87,0.85,0.84,0.52,0.81,0.57
4121,1,0.87,0.85,0.84,0.52,0.81,0.57
4141,1,0.87,0.85,0.84,0.52,0.81,0.57
4161,1,0.87,0.85,0.84,0.52,0.81,0.57
4181,1,0.87,0.85,0.84,0.52,0.81,0.57
4201,1,0.87,0.85,0.84,0.52,0.81,0.57
4221,1,0.87,0.85,0.84,0.52,0.81,0.57
4241,1,0.87,0.85,0.84,0.52,0.81,0.57
4261,1,0.87,0.85,0.84,0.52,0.81,0.57
4281,1,0.87,0.85,0.84,0.52,0.81,0.57
4301,1,0.87,0.85,0.84,0.52,0.81,0.57
4321,1,0.87,0.85,0.84,0.52,0.81,0.57
4341,1,0.87,0.85,0.84,0.52,0.81,0.57
4361,1,0.87,0.85,0.84,0.52,0.81,0.57
4381,1,0.87,0.85,0.84,0.52,0.81,0.57
4401,1,0.87,0.85,0.84,0.52,0.81,0.57
4421,1,0.87,0.85,0.84,0.52,0.81,0.57
4441,1,0.87,0.85,0.84,0.52,0.81,0.57
4461,1,0.87,0.85,0.84,0.52,0.81,0.57
4481,1,0.87,0.85,0.84,0.52,0.81,0.57
4501,1,0.69,0.7,0.7,0.36,0.71,0.33
4521,1,0.69,0.7,0.7,0.43,0.71,0.41
4541,1,0.72,0.73,0.73,0.51,0.74,0.51
4561,1,0.72,0.73,0.73,0.51,0.74,0.51
4581,1,0.79,0.8,0.8,0.55,0.77,0.52
4601,1,0.79,0.8,0.8,0.55,0.77,0.52
4621,1,0.81,0.83,0.84,0.6,0.8,0.62
4641,1,0.82,0.84,0.85,0.67,0.82,0.65
4661,1,0.83,0.84,0.85,0.72,0.85,0.7
4681,1,0.83,0.84,0.85,0.72,0.85,0.7
4701,1,0.83,0.84,0.85,0.72,0.85,0.7
4721,1,0.83,0.84,0.85,0.72,0.85,0.7
4741,1,0.83,0.84,0.85,0.72,0.85,0.7
4761,1,0.83,0.84,0.85,0.72,0.85,0.7
4781,1,0.83,0.84,0.85,0.72,0.85,0.7
4801,1,0.83,0.84,0.85,0.72,0.85,0.7
4821,1,0.83,0.84,0.85,0.72,0.85,0.7
4841,1,0.83,0.84,0.85,0.72,0.85,0.7
4861,1,0.83,0.84,0.85,0.72,0.85,0.7
4881,1,0.83,0.84,0.85,0.72,0.85,0.7
4901,1,0.83,0.84,0.85,0.72,0.85,0.7
4921,1,0.83,0.84,0.85,0.72,0.85,0.7
4941,1,0.83,0.84,0.85,0.72,0.85,0.7
4961,1,0.83,0.84,0.85,0.72,0.85,0.7
4981,1,0.83,0.84,0.85,0.72,0.85,0.7
5001,1,0.83,0.84,0.85,0.72,0.85,0.7
5021,1,0.83,0.84,0.85,0.72,0.85,0.7
5041,1,0.83,0.84,0.85,0.72,0.85,0.7
5061,1,0.83,0.84,0.85,0.72,0.85,0.7
5081,1,0.83,0.84,0.85,0.72,0.85,0.7
5101,1,0.83,0.84,0.85,0.72,0.85,0.7
5121,1,0.83,0.84,0.85,0.72,0.85,0.7
5141,1,0.83,0.84,0.85,0.72,0.85,0.7
5161,1,0.83,0.84,0.85,0.72,0.85,0.7
5181,1,0.83,0.84,0.85,0.72,0.85,0.7
5201,1,0.83,0.84,0.85,0.72,0.85,0.7
5221,1,0.86,0.86,0.86,0.76,0.79,0.73
5241,1,0.84,0.84,0.84,0.78,0.77,0.73
5261,1,0.83,0.83,0.83,0.76,0.76,0.73
5281,1,0.82,0.82,0.82,0.75,0.76,0.67
5301,1,0.83,0.83,0.83,0.73,0.76,0.6
5321,1,0.83,0.83,0.83,0.72,0.78,0.63
5341,1,0.78,0.8,0.8,0.79,0.77,0.69
5361,1,0.78,0.8,0.8,0.8,0.75,0.65
5381,0.99,0.74,0.76,0.76,0.79,0.75,0.63
5401,0.99,0.75,0.77,0.77,0.79,0.79,0.66
5421,0.99,0.78,0.8,0.8,0.81,0.83,0.65
5441,0.99,0.78,0.8,0.8,0.75,0.84,0.53
5461,0.99,0.8,0.81,0.81,0.75,0.84,0.5
5481,0.99,0.77,0.79,0.79,0.77,0.82,0.56
5501,0.99,0.75,0.76,0.76,0.76,0.81,0.59
5521,0.99,0.77,0.78,0.78,0.77,0.79,0.59
5541,0.99,0.78,0.79,0.79,0.67,0.81,0.47
5561,0.99,0.76,0.77,0.77,0.64,0.79,0.47
5581,1,0.78,0.79,0.78,0.59,0.77,0.48
5601,1,0.77,0.79,0.78,0.59,0.76,0.5
5621,1,0.77,0.79,0.78,0.61,0.76,0.56
5641,1,0.76,0.8,0.79,0.68,0.73,0.66
5661,1,0.78,0.82,0.81,0.67,0.77,0.68
5681,1,0.77,0.8,0.79,0.67,0.75,0.7
5701,1,0.77,0.8,0.79,0.62,0.75,0.72
5721,1,0.78,0.82,0.8,0.66,0.78,0.75
5741,1,0.83,0.84,0.83,0.77,0.8,0.85
5761,1,0.84,0.85,0.84,0.79,0.81,0.86
5781,1,0.88,0.89,0.89,0.83,0.86,0.89
5801,1,0.9,0.9,0.9,0.85,0.85,0.9
5821,1,0.92,0.92,0.92,0.87,0.87,0.91
5841,1,0.93,0.93,0.93,0.87,0.9,0.93
5861,1,0.92,0.92,0.92,0.87,0.89,0.9
5881,1,0.95,0.95,0.95,0.86,0.92,0.88
5901,1,0.93,0.93,0.93,0.89,0.93,0.87
5921,1,0.93,0.93,0.93,0.85,0.92,0.84
5941,1,0.9,0.9,0.9,0.82,0.9,0.83
5961,1,0.88,0.88,0.88,0.78,0.9,0.81
5981,1,0.86,0.86,0.86,0.74,0.87,0.79
6001,1,0.84,0.84,0.84,0.69,0.88,0.74
6021,1,0.81,0.81,0.81,0.62,0.87,0.73
6041,1,0.82,0.82,0.82,0.56,0.84,0.72
6061,1,0.82,0.82,0.81,0.59,0.82,0.76
6081,1,0.81,0.81,0.8,0.57,0.82,0.73
6101,1,0.82,0.82,0.81,0.46,0.81,0.7
6121,1,0.8,0.8,0.79,0.46,0.8,0.68
6141,1,0.83,0.83,0.81,0.36,0.81,0.62
6161,1,0.83,0.83,0.82,0.4,0.83,0.62
6181,1,0.84,0.84,0.83,0.47,0.84,0.66
6201,1,0.82,0.82,0.81,0.44,0.81,0.67
6221,1,0.84,0.84,0.83,0.51,0.81,0.66
6241,1,0.83,0.83,0.82,0.57,0.84,0.66
6261,1,0.79,0.79,0.79,0.51,0.83,0.59
6281,1,0.79,0.79,0.79,0.51,0.83,0.59
6301,1,0.79,0.79,0.79,0.51,0.83,0.59
6321,1,0.79,0.79,0.79,0.51,0.83,0.59
6341,1,0.79,0.79,0.79,0.51,0.83,0.59
6361,1,0.79,0.79,0.79,0.51,0.83,0.59
6381,1,0.79,0.79,0.79,0.51,0.83,0.59
6401,1,0.79,0.79,0.79,0.51,0.83,0.59
6421,1,0.79,0.79,0.79,0.51,0.83,0.59
6441,1,0.79,0.79,0.79,0.51,0.83,0.59
6461,1,0.79,0.79,0.79,0.51,0.83,0.59
6481,1,0.79,0.79,0.79,0.51,0.83,0.59
6501,1,0.79,0.79,0.79,0.51,0.83,0.59
6521,1,0.7,0.7,0.7,0.21,0.6,0.28
6541,1,0.7,0.7,0.7,0.23,0.61,0.34
6561,1,0.69,0.69,0.69,0.28,0.6,0.43
6581,1,0.69,0.68,0.68,0.18,0.58,0.4
6601,1,0.68,0.66,0.66,0.24,0.59,0.43
6621,1,0.69,0.68,0.68,0.3,0.64,0.38
6641,1,0.69,0.68,0.68,0.32,0.66,0.4
6661,1,0.68,0.67,0.67,0.31,0.64,0.39
6681,1,0.69,0.67,0.67,0.45,0.63,0.39
6701,1,0.67,0.64,0.64,0.52,0.59,0.32
6721,1,0.67,0.64,0.64,0.52,0.59,0.32
6741,1,0.67,0.64,0.64,0.52,0.59,0.32
6761,1,0.67,0.64,0.64,0.52,0.59,0.32
6781,1,0.67,0.64,0.64,0.52,0.59,0.32
6801,1,0.67,0.64,0.64,0.52,0.59,0.32
6821,1,0.67,0.64,0.64,0.52,0.59,0.32
6841,1,0.67,0.64,0.64,0.52,0.59,0.32
6861,1,0.67,0.64,0.64,0.52,0.59,0.32
6881,1,0.78,0.77,0.75,0.42,0.74,0.42
6901,1,0.84,0.84,0.82,0.47,0.81,0.5
6921,0.99,0.88,0.88,0.86,0.49,0.84,0.54
6941,0.99,0.85,0.85,0.83,0.53,0.81,0.54
6961,0.99,0.87,0.87,0.86,0.48,0.83,0.47
6981,0.99,0.89,0.89,0.88,0.48,0.85,0.52
7001,0.99,0.92,0.92,0.92,0.52,0.87,0.55
7021,0.99,0.92,0.92,0.92,0.52,0.87,0.55
7041,0.99,0.89,0.89,0.89,0.45,0.89,0.48
7061,0.99,0.88,0.88,0.88,0.39,0.88,0.41
7081,0.99,0.84,0.85,0.85,0.31,0.85,0.34
7101,0.99,0.83,0.84,0.84,0.4,0.84,0.42
7121,1,0.82,0.83,0.83,0.41,0.84,0.42
7141,1,0.83,0.85,0.85,0.41,0.86,0.44
7161,1,0.82,0.83,0.83,0.43,0.85,0.46
7181,1,0.79,0.8,0.8,0.4,0.82,0.42
7201,1,0.79,0.8,0.8,0.48,0.81,0.47
7221,1,0.76,0.78,0.78,0.53,0.79,0.47
7241,1,0.79,0.8,0.8,0.5,0.78,0.43
7261,1,0.81,0.82,0.82,0.55,0.79,0.54
7281,1,0.81,0.81,0.81,0.51,0.79,0.46
7301,1,0.81,0.81,0.81,0.52,0.8,0.47
7321,1,0.8,0.8,0.8,0.49,0.78,0.45
7341,1,0.77,0.77,0.77,0.39,0.76,0.31
7361,1,0.77,0.76,0.76,0.38,0.75,0.38
7381,1,0.79,0.78,0.78,0.41,0.78,0.42
7401,1,0.82,0.81,0.81,0.44,0.81,0.45
7421,1,0.84,0.83,0.83,0.41,0.8,0.42
7441,1,0.84,0.83,0.83,0.5,0.82,0.53
7461,1,0.84,0.83,0.83,0.53,0.83,0.51
7481,1,0.87,0.86,0.86,0.54,0.85,0.52
7501,0.99,0.86,0.85,0.85,0.5,0.84,0.48
7521,0.99,0.89,0.88,0.88,0.6,0.88,0.58
7541,0.99,0.92,0.91,0.91,0.72,0.9,0.71
7561,0.99,0.93,0.93,0.93,0.77,0.91,0.75
7581,0.99,0.92,0.92,0.92,0.77,0.89,0.79
7601,0.99,0.9,0.9,0.9,0.74,0.86,0.74
7621,0.99,0.9,0.9,0.9,0.79,0.89,0.78
7641,0.99,0.86,0.86,0.86,0.77,0.86,0.77
7661,0.99,0.87,0.87,0.87,0.73,0.83,0.74
7681,0.99,0.86,0.86,0.86,0.79,0.83,0.8
7701,1,0.86,0.87,0.87,0.79,0.82,0.82
7721,1,0.81,0.81,0.81,0.72,0.77,0.77
7741,1,0.82,0.82,0.82,0.69,0.76,0.75
7761,1,0.82,0.82,0.82,0.7,0.76,0.73
7781,1,0.84,0.84,0.84,0.71,0.76,0.72
7801,1,0.85,0.85,0.85,0.74,0.78,0.76
7821,1,0.86,0.86,0.86,0.72,0.81,0.77
7841,1,0.89,0.88,0.89,0.76,0.82,0.79
7861,1,0.89,0.88,0.89,0.79,0.84,0.81
7881,1,0.89,0.88,0.89,0.77,0.82,0.81
7901,1,0.9,0.88,0.89,0.77,0.78,0.78
7921,1,0.94,0.93,0.94,0.82,0.81,0.81
7941,1,0.95,0.94,0.95,0.84,0.84,0.81
7961,1,0.95,0.94,0.95,0.78,0.85,0.78
7981,1,0.91,0.9,0.9,0.73,0.87,0.76
8001,1,0.91,0.9,0.9,0.71,0.86,0.75
8021,1,0.83,0.82,0.82,0.71,0.8,0.71
8041,1,0.85,0.85,0.84,0.66,0.82,0.66
8061,1,0.8,0.8,0.79,0.61,0.79,0.63
8081,1,0.79,0.79,0.78,0.6,0.85,0.62
8101,1,0.8,0.8,0.79,0.64,0.89,0.67
8121,1,0.8,0.8,0.79,0.63,0.9,0.67
8141,1,0.8,0.8,0.78,0.63,0.9,0.68
8161,1,0.8,0.8,0.79,0.71,0.89,0.73
8181,1,0.85,0.85,0.85,0.75,0.88,0.71
8201,1,0.85,0.85,0.85,0.77,0.89,0.76
8221,1,0.92,0.92,0.92,0.77,0.92,0.76
8241,1,0.92,0.92,0.92,0.8,0.92,0.79
8261,1,0.93,0.93,0.93,0.81,0.9,0.78
8281,1,0.94,0.94,0.94,0.83,0.89,0.8
8301,1,0.92,0.91,0.92,0.79,0.87,0.78
8321,1,0.93,0.92,0.93,0.76,0.88,0.71
8341,1,0.93,0.92,0.93,0.74,0.88,0.7
8361,1,0.93,0.93,0.94,0.74,0.88,0.67
8381,1,0.91,0.91,0.92,0.77,0.86,0.72
8401,1,0.92,0.91,0.92,0.79,0.86,0.72
8421,1,0.93,0.92,0.93,0.82,0.88,0.78
8441,1,0.93,0.92,0.93,0.83,0.89,0.79
8461,1,0.95,0.94,0.95,0.85,0.93,0.81
8481,1,0.96,0.95,0.96,0.86,0.93,0.81
8501,1,0.97,0.97,0.97,0.88,0.96,0.83
8521,1,0.97,0.97,0.97,0.9,0.93,0.9
8541,1,0.96,0.96,0.96,0.92,0.91,0.89
8561,1,0.96,0.95,0.95,0.92,0.91,0.89
8581,1,0.97,0.96,0.96,0.9,0.93,0.9
8601,1,0.97,0.97,0.97,0.89,0.94,0.89
8621,1,0.96,0.96,0.96,0.86,0.93,0.83
8641,1,0.96,0.96,0.96,0.84,0.93,0.82
8661,1,0.96,0.96,0.96,0.84,0.93,0.82
8681,1,0.96,0.96,0.96,0.84,0.93,0.82
8701,1,0.96,0.96,0.96,0.84,0.93,0.82
8721,1,0.96,0.96,0.96,0.84,0.93,0.82
8741,1,0.96,0.96,0.96,0.84,0.93,0.82
8761,1,0.96,0.96,0.96,0.84,0.93,0.82
8781,1,0.96,0.96,0.96,0.84,0.93,0.82
8801,1,0.96,0.96,0.96,0.84,0.93,0.82
8821,1,0.96,0.96,0.96,0.84,0.93,0.82
8841,1,0.96,0.96,0.96,0.84,0.93,0.82
8861,1,0.96,0.96,0.96,0.84,0.93,0.82
8881,1,0.96,0.96,0.96,0.84,0.93,0.82
8901,1,0.96,0.96,0.96,0.84,0.93,0.82
8921,1,0.96,0.96,0.96,0.84,0.93,0.82
8941,1,0.96,0.96,0.96,0.84,0.93,0.82
8961,1,0.96,0.96,0.96,0.84,0.93,0.82
8981,1,0.96,0.96,0.96,0.84,0.93,0.82
