FileName: D:\alignments_africa\sapelo.fasta
Window: 200 bp, Step: 20 bp, GapStrip: On, Reps: 100, Kimura (2-parameter), T/t: 2.0, Neighbor-Joining
This output generated using SimPlot v3.5.1 - software Copyright © 1997-2003 Stuart C. Ray - JHU

"Status","Group","Members"
"Query","OQ818320"
"Ref","OQ818321","OQ818321"
"Ref","OQ818329","OQ818329"
"Ref","LC508226","LC508226"
"Ref","NC_033820","NC_033820"
"Ref","OM104039","OM104039"


"CenterPos","OQ818321","OQ818329","LC508226","NC_033820","OM104039"
"1600","0","0","0","100","0"
"1620","0","0","0","100","0"
"1640","0","0","0","100","0"
"1660","0","0","0","100","0"
"1680","0","0","0","100","0"
"1700","0","0","0","100","0"
"1720","0","0","0","100","0"
"1740","0","0","0","100","0"
"1760","0","0","0","100","0"
"1780","0","0","0","100","0"
"1800","0","0","0","100","0"
"1820","0","0","0","100","0"
"1840","0","0","0","100","0"
"1860","0","0","0","100","0"
"1880","0","0","0","100","0"
"1900","0","0","0","100","0"
"1920","0","0","0","100","0"
"1940","0","0","0","100","0"
"1960","0","0","0","100","0"
"1980","0","0","0","100","0"
"2000","0","0","0","100","0"
"2020","0","0","0","100","0"
"2040","0","0","0","100","0"
"2060","0","0","0","100","0"
"2080","0","0","0","100","0"
"2100","0","0","0","100","0"
"2120","0","0","0","100","0"
"2140","0","0","0","100","0"
"2160","0","0","0","100","0"
"2180","0","0","0","100","0"
"2200","0","0","0","100","0"
"2220","0","0","0","100","0"
"2240","0","0","0","100","0"
"2260","0","0","0","100","0"
"2280","0","0","0","100","0"
"2300","0","0","0","100","0"
"2320","0","0","0","100","0"
"2340","0","0","0","100","0"
"2360","0","0","0","100","0"
"2380","0","0","0","100","0"
"2400","0","0","0","100","0"
"2420","0","1","0","98","0"
"2440","0","0","0","99","0"
"2460","0","0","0","98","0"
"2480","0","0","0","100","0"
"2500","0","0","0","97","0"
"2520","0","0","0","99","0"
"2540","0","0","0","99","0"
"2560","0","0","0","100","0"
"2580","0","0","0","100","0"
"2600","0","0","0","100","0"
"2620","0","0","0","100","0"
"2640","0","0","0","100","0"
"2660","0","0","0","100","0"
"2680","0","0","0","100","0"
"2700","0","0","0","100","0"
"2720","0","0","0","98","0"
"2740","0","0","0","98","0"
"2760","0","0","0","98","0"
"2780","0","0","0","99","0"
"2800","0","0","0","100","0"
"2820","0","0","0","100","0"
"2840","0","0","0","100","0"
"2860","0","0","0","100","0"
"2880","0","0","0","100","0"
"2900","0","0","0","100","0"
"2920","0","0","0","100","0"
"2940","0","0","0","100","0"
"2960","0","0","0","100","0"
"2980","0","0","0","100","0"
"3000","0","0","0","100","0"
"3020","1","0","0","99","0"
"3040","0","0","0","100","0"
"3060","0","0","0","100","0"
"3080","1","0","0","98","0"
"3100","0","0","0","98","0"
"3120","0","0","0","99","0"
"3140","1","0","0","99","0"
"3160","0","0","0","100","0"
"3180","0","0","0","100","0"
"3200","0","0","0","100","0"
"3220","0","0","0","100","0"
"3240","0","0","0","100","0"
"3260","0","0","0","100","0"
"3280","0","0","0","100","0"
"3300","0","0","0","100","0"
"3320","0","0","0","100","0"
"3340","0","0","0","100","0"
"3360","0","0","0","98","0"
"3380","0","0","0","96","0"
"3400","0","0","0","94","0"
"3420","0","0","0","98","0"
"3440","0","1","0","98","0"
"3460","0","1","0","97","0"
"3480","0","1","0","96","0"
"3500","0","2","0","95","0"
"3520","0","6","0","94","0"
"3540","0","4","0","94","0"
"3560","0","4","0","95","0"
"3580","0","4","0","96","0"
"3600","0","1","0","99","0"
"3620","0","7","0","86","0"
"3640","0","9","0","80","0"
"3660","0","5","0","84","0"
"3680","0","0","0","99","0"
"3700","0","0","0","98","0"
"3720","0","0","0","100","0"
"3740","0","0","0","100","0"
"3760","2","0","0","95","0"
"3780","3","1","0","91","0"
"3800","1","1","0","92","0"
"3820","0","0","0","98","0"
"3840","0","0","0","100","0"
"3860","0","0","0","100","0"
"3880","0","0","0","99","0"
"3900","1","0","0","98","0"
"3920","2","1","0","89","0"
"3940","0","1","0","92","0"
"3960","2","0","0","91","0"
"3980","1","0","0","97","0"
"4000","1","0","0","99","0"
"4020","16","0","0","84","0"
"4040","25","0","0","71","0"
"4060","34","0","0","65","0"
"4080","23","0","0","76","0"
"4100","6","0","0","87","0"
"4120","5","0","0","94","0"
"4140","15","0","0","84","0"
"4160","15","0","0","85","0"
"4180","18","0","0","80","0"
"4200","10","0","0","89","0"
"4220","2","0","0","98","0"
"4240","0","0","0","100","0"
"4260","0","0","0","100","0"
"4280","0","0","0","100","0"
"4300","0","0","0","100","0"
"4320","2","0","0","98","0"
"4340","3","0","0","97","0"
"4360","1","0","0","99","0"
"4380","1","0","0","99","0"
"4400","1","0","0","99","0"
"4420","0","0","0","99","0"
"4440","0","0","0","100","0"
"4460","0","0","0","100","0"
"4480","2","0","0","98","0"
"4500","8","0","0","89","0"
"4520","1","0","0","98","0"
"4540","0","0","0","100","0"
"4560","0","0","0","99","0"
"4580","0","0","0","100","0"
"4600","2","0","0","98","0"
"4620","7","0","0","90","0"
"4640","5","0","0","86","0"
"4660","0","0","0","99","0"
"4680","0","0","0","99","0"
"4700","0","0","0","100","0"
"4720","0","0","0","100","0"
"4740","0","0","0","100","0"
"4760","0","0","0","100","0"
"4780","0","0","0","99","0"
"4800","0","0","0","100","0"
"4820","0","0","0","100","0"
"4840","0","0","0","100","0"
"4860","0","0","0","100","0"
"4880","0","0","0","100","0"
"4900","3","0","0","94","0"
"4920","0","0","0","97","0"
"4940","2","0","0","95","0"
"4960","0","0","0","97","0"
"4980","0","0","0","98","0"
"5000","0","0","0","99","0"
"5020","0","0","0","99","0"
"5040","0","0","0","99","0"
"5060","0","0","0","100","0"
"5080","0","0","0","100","0"
"5100","0","0","0","100","0"
"5120","0","0","0","100","0"
"5140","0","0","0","100","0"
"5160","0","0","0","100","0"
"5180","0","0","0","100","0"
"5200","0","0","0","100","0"
"5220","0","0","0","100","0"
"5240","0","0","0","99","0"
"5260","0","0","0","100","0"
"5280","0","0","0","100","0"
"5300","0","0","0","100","0"
"5320","0","0","0","100","0"
"5340","0","0","0","100","0"
"5360","0","0","0","100","0"
"5380","0","0","0","99","0"
"5400","0","0","0","100","0"
"5420","0","0","0","99","0"
"5440","0","0","0","98","0"
"5460","0","0","0","100","0"
"5480","0","0","0","100","0"
"5500","0","0","0","99","0"
"5520","0","0","0","100","0"
"5540","0","0","0","99","0"
"5560","0","0","0","100","0"
"5580","0","0","0","100","0"
"5600","0","0","0","100","0"
"5620","0","0","0","100","0"
"5640","0","0","0","100","0"
"5660","0","0","0","100","0"
"5680","0","0","0","100","0"
"5700","0","0","0","100","0"
"5720","0","0","0","100","0"
"5740","0","0","0","100","0"
"5760","0","0","0","100","0"
"5780","0","0","0","99","0"
"5800","0","0","0","100","0"
"5820","0","0","0","100","0"
"5840","5","0","0","85","0"
"5860","0","0","0","71","0"
"5880","23","0","0","51","0"
"5900","10","0","0","44","0"
"5920","4","0","0","72","0"
"5940","3","0","0","79","0"
"5960","0","0","0","94","0"
"5980","0","0","0","98","0"
"6000","0","0","0","99","0"
"6020","2","0","0","96","0"
"6040","1","0","0","89","0"
"6060","2","0","0","95","0"
"6080","0","0","0","99","0"
"6100","0","0","0","100","0"
"6120","0","0","0","98","0"
"6140","0","0","0","100","0"
"6160","0","0","0","99","0"
"6180","0","0","0","100","0"
"6200","0","0","0","100","0"
"6220","0","0","0","100","0"
"6240","0","0","0","100","0"
"6260","0","0","0","100","0"
"6280","0","0","0","100","0"
"6300","0","0","0","100","0"
"6320","0","0","0","100","0"
"6340","0","0","0","100","0"
"6360","0","0","0","100","0"
"6380","0","0","0","100","0"
"6400","0","0","0","100","0"
"6420","0","0","0","100","0"
"6440","0","0","0","100","0"
"6460","0","0","0","100","0"
"6480","0","0","0","100","0"
"6500","0","0","0","100","0"
"6520","0","0","0","100","0"
"6540","0","0","0","100","0"
"6560","0","0","0","100","0"
"6580","0","0","0","100","0"
"6600","0","0","0","100","0"
"6620","0","0","0","100","0"
"6640","0","0","0","100","0"
"6660","0","0","0","100","0"
"6680","0","0","0","100","0"
"6700","0","0","0","100","0"
"6720","0","0","0","100","0"
"6740","0","0","0","100","0"
"6760","0","0","0","100","0"
"6780","0","0","0","100","0"
"6800","0","0","0","100","0"
"6820","0","0","0","100","0"
"6840","0","0","0","100","0"
"6860","0","0","0","100","0"
"6880","0","0","0","100","0"
"6900","0","0","0","99","0"
"6920","0","1","0","98","0"
"6940","0","4","0","95","0"
"6960","0","0","0","97","0"
"6980","0","2","0","98","0"
"7000","0","1","0","99","0"
"7020","0","0","0","100","0"
"7040","0","0","0","100","0"
"7060","0","0","0","100","0"
"7080","0","0","0","100","0"
"7100","0","0","0","100","0"
"7120","0","0","0","100","0"
"7140","0","0","0","100","0"
"7160","0","0","0","100","0"
"7180","0","0","0","100","0"
"7200","0","0","0","100","0"
"7220","0","0","0","100","0"
"7240","0","0","0","100","0"
"7260","0","0","0","100","0"
"7280","0","0","0","100","0"
"7300","0","0","0","100","0"
"7320","0","0","0","100","0"
"7340","0","0","0","100","0"
"7360","0","0","0","100","0"
"7380","0","0","0","100","0"
"7400","0","0","0","100","0"
"7420","0","0","0","100","0"
"7440","0","0","0","100","0"
"7460","0","0","0","100","0"
"7480","0","0","0","100","0"
"7500","0","0","0","100","0"
"7520","0","0","0","100","0"
"7540","0","0","0","100","0"
"7560","0","0","0","100","0"
"7580","0","0","0","100","0"
"7600","0","0","0","100","0"
"7620","0","0","0","100","0"
"7640","0","0","0","100","0"
"7660","0","0","0","100","0"
"7680","0","0","0","100","0"
"7700","0","0","0","100","0"
"7720","0","0","0","100","0"
"7740","2","0","0","98","0"
"7760","4","0","0","96","0"
"7780","0","0","0","100","0"
"7800","0","0","0","100","0"
"7820","0","0","0","100","0"
"7840","0","0","0","100","0"
"7860","1","0","0","99","0"
"7880","0","0","0","100","0"
"7900","0","0","0","100","0"
"7920","0","0","0","100","0"
"7940","0","0","0","100","0"
"7960","0","0","0","100","0"
"7980","0","0","0","100","0"
"8000","0","0","0","100","0"
"8020","0","0","0","100","0"
"8040","0","0","0","100","0"
"8060","0","0","0","100","0"
"8080","0","0","0","100","0"
