pointer,OQ818325,KF040078,JX437642
2940,98,2,0
2960,100,0,0
2980,97,2,1
3000,99,1,0
3020,100,0,0
3040,99,1,0
3060,98,2,0
3080,99,0,1
3100,96,2,2
3120,97,2,1
3140,77,13,10
3160,0,39,61
3180,0,50,50
3200,0,47,53
3220,-1,-1,-1
3240,8,17,75
3260,2,21,77
3280,-1,-1,-1
3300,-1,-1,-1
3320,-1,-1,-1
3340,-1,-1,-1
3360,31,14,55
3380,76,9,15
3400,78,5,17
3420,-1,-1,-1
3440,-1,-1,-1
3460,69,22,9
3480,90,9,1
3500,90,8,2
3520,94,5,1
3540,85,10,5
3560,87,10,3
3580,70,26,4
3600,75,24,1
3620,72,24,4
3640,76,22,2
3660,93,3,4
3680,-1,-1,-1
3700,-1,-1,-1
3720,-1,-1,-1
3740,-1,-1,-1
3760,-1,-1,-1
3780,-1,-1,-1
3800,-1,-1,-1
3820,-1,-1,-1
3840,-1,-1,-1
3860,-1,-1,-1
3880,-1,-1,-1
3900,-1,-1,-1
3920,-1,-1,-1
3940,51,26,23
3960,54,20,26
3980,89,7,4
4000,87,2,11
4020,76,1,23
4040,76,0,24
4060,80,2,18
4080,80,0,20
4100,77,1,22
4120,75,1,24
4140,94,3,3
4160,91,4,5
4180,62,12,26
4200,95,4,1
4220,98,2,0
4240,99,0,1
4260,100,0,0
4280,100,0,0
4300,100,0,0
4320,100,0,0
4340,99,1,0
4360,100,0,0
4380,100,0,0
4400,97,3,0
4420,100,0,0
4440,100,0,0
4460,95,3,2
4480,96,1,3
4500,99,1,0
4520,99,1,0
4540,95,5,0
4560,95,4,1
4580,100,0,0
4600,95,4,1
4620,80,18,2
4640,95,5,0
4660,81,15,4
4680,77,16,7
4700,33,28,39
4720,0,47,53
4740,89,11,0
4760,98,2,0
4780,97,3,0
4800,98,2,0
4820,100,0,0
4840,99,1,0
4860,98,2,0
4880,98,2,0
4900,99,1,0
4920,96,4,0
4940,87,9,4
4960,-1,-1,-1
4980,94,4,2
5000,81,10,9
5020,-1,-1,-1
5040,74,13,13
5060,98,2,0
5080,97,1,2
5100,97,0,3
5120,97,3,0
5140,95,2,3
5160,96,2,2
5180,94,5,1
5200,95,4,1
5220,94,3,3
5240,96,1,3
5260,-1,-1,-1
5280,-1,-1,-1
5300,-1,-1,-1
5320,-1,-1,-1
5340,-1,-1,-1
5360,-1,-1,-1
5380,69,12,19
5400,77,10,13
5420,73,18,9
5440,85,6,9
5460,82,7,11
5480,72,12,16
5500,86,4,10
5520,97,1,2
5540,100,0,0
5560,99,0,1
5580,94,2,4
5600,95,5,0
5620,92,5,3
5640,99,0,1
5660,96,2,2
5680,96,1,3
5700,97,1,2
5720,80,15,5
5740,71,19,10
5760,73,17,10
5780,95,4,1
5800,98,2,0
5820,99,1,0
5840,98,1,1
5860,100,0,0
5880,100,0,0
5900,100,0,0
5920,100,0,0
5940,100,0,0
5960,100,0,0
5980,100,0,0
6000,99,0,1
6020,100,0,0
6040,100,0,0
6060,99,1,0
6080,97,3,0
6100,98,2,0
6120,96,4,0
6140,97,3,0
6160,96,4,0
6180,98,1,1
6200,97,3,0
6220,96,4,0
6240,85,12,3
6260,-1,-1,-1
6280,-1,-1,-1
6300,-1,-1,-1
6320,-1,-1,-1
6340,-1,-1,-1
6360,-1,-1,-1
6380,-1,-1,-1
6400,-1,-1,-1
6420,60,21,19
6440,98,1,1
6460,96,0,4
6480,93,4,3
6500,98,0,2
6520,99,0,1
6540,99,1,0
6560,100,0,0
6580,99,1,0
6600,100,0,0
6620,100,0,0
6640,93,4,3
6660,93,5,2
6680,98,1,1
6700,99,1,0
6720,100,0,0
6740,94,5,1
6760,93,5,2
6780,88,12,0
6800,89,11,0
6820,92,4,4
6840,93,5,2
6860,95,2,3
6880,100,0,0
6900,100,0,0
6920,100,0,0
6940,100,0,0
6960,100,0,0
6980,100,0,0
7000,100,0,0
7020,100,0,0
7040,100,0,0
7060,100,0,0
7080,94,0,6
7100,75,3,22
7120,81,1,18
7140,76,12,12
7160,70,9,21
7180,75,8,17
7200,73,10,17
7220,69,10,21
7240,76,11,13
7260,-1,-1,-1
7280,-1,-1,-1
7300,-1,-1,-1
7320,-1,-1,-1
7340,-1,-1,-1
7360,-1,-1,-1
7380,-1,-1,-1
7400,-1,-1,-1
7420,-1,-1,-1
7440,-1,-1,-1
7460,-1,-1,-1
7480,-1,-1,-1
7500,-1,-1,-1
7520,-1,-1,-1
7540,-1,-1,-1
7560,-1,-1,-1
7580,-1,-1,-1
