pointer,OQ818318,OQ818324,OM105029,OM966657
2640,5,94,0,0
2660,9,90,0,0
2680,18,80,0,0
2700,13,81,0,0
2720,16,84,0,0
2740,5,94,0,0
2760,2,95,0,0
2780,8,89,0,0
2800,1,98,0,0
2820,2,98,0,0
2840,0,100,0,0
2860,0,100,0,0
2880,0,100,0,0
2900,0,100,0,0
2920,0,100,0,0
2940,0,100,0,0
2960,3,97,0,0
2980,4,96,0,0
3000,2,96,0,0
3020,0,99,0,0
3040,2,96,0,0
3060,1,88,0,0
3080,10,77,0,0
3100,2,95,0,0
3120,2,97,0,0
3140,1,92,0,0
3160,2,95,0,0
3180,2,92,0,0
3200,4,92,0,0
3220,13,71,0,0
3240,21,77,0,0
3260,8,92,0,0
3280,2,98,0,0
3300,1,99,0,0
3320,3,96,0,0
3340,1,99,0,0
3360,6,92,0,0
3380,0,100,0,0
3400,0,100,0,0
3420,2,98,0,0
3440,1,99,0,0
3460,0,100,0,0
3480,0,100,0,0
3500,0,100,0,0
3520,0,100,0,0
3540,0,100,0,0
3560,0,100,0,0
3580,1,99,0,0
3600,0,100,0,0
3620,0,100,0,0
3640,0,100,0,0
3660,1,99,0,0
3680,0,100,0,0
3700,0,100,0,0
3720,1,99,0,0
3740,2,98,0,0
3760,1,99,0,0
3780,0,100,0,0
3800,0,100,0,0
3820,1,99,0,0
3840,8,92,0,0
3860,7,89,0,0
3880,23,73,0,0
3900,4,96,0,0
3920,4,96,0,0
3940,5,93,0,0
3960,11,89,0,0
3980,16,82,0,0
4000,5,94,0,0
4020,2,97,0,0
4040,1,99,0,0
4060,2,98,0,0
4080,0,100,0,0
4100,6,86,0,0
4120,12,76,0,0
4140,1,82,0,0
4160,9,73,0,0
4180,0,87,0,0
4200,2,84,0,0
4220,3,88,0,0
4240,0,93,0,0
4260,0,96,0,0
4280,0,84,0,0
4300,4,88,0,0
4320,0,99,0,0
4340,2,93,0,0
4360,0,100,0,0
4380,2,93,0,0
4400,0,95,0,0
4420,2,81,0,0
4440,9,77,0,0
4460,17,67,0,0
4480,12,74,0,0
4500,4,84,0,0
4520,5,72,0,0
4540,7,78,0,0
4560,12,74,0,0
4580,5,78,0,0
4600,14,67,0,0
4620,17,68,0,0
4640,7,69,0,0
4660,6,65,0,0
4680,1,89,0,0
4700,6,86,0,0
4720,4,90,0,0
4740,2,94,0,0
4760,0,95,0,0
4780,0,92,0,0
4800,1,94,0,0
4820,0,97,0,0
4840,0,100,0,0
4860,0,100,0,0
4880,0,100,0,0
4900,0,100,0,0
4920,1,99,0,0
4940,2,97,0,0
4960,0,100,0,0
4980,0,100,0,0
5000,1,99,0,0
5020,5,94,0,0
5040,2,98,0,0
5060,10,89,0,0
5080,21,76,0,0
5100,6,92,0,0
5120,0,98,0,0
5140,0,99,0,0
5160,1,98,0,0
5180,1,99,0,0
5200,0,99,0,0
5220,1,95,0,0
5240,3,96,0,0
5260,21,74,0,0
5280,17,71,0,0
5300,47,50,0,0
5320,49,47,0,0
5340,54,44,0,0
5360,36,54,0,0
5380,43,52,0,0
5400,41,51,0,0
5420,40,57,0,0
5440,5,91,0,0
5460,4,93,0,0
5480,0,95,0,0
5500,3,94,0,0
5520,0,90,0,0
5540,2,67,0,0
5560,7,78,0,0
5580,11,63,0,0
5600,14,62,0,0
5620,18,46,0,0
5640,22,47,0,0
5660,21,35,0,0
5680,39,58,0,0
5700,25,62,0,0
5720,32,56,0,0
5740,28,61,0,0
5760,35,52,0,0
5780,24,49,0,0
5800,46,47,0,0
5820,23,76,0,0
5840,22,74,0,0
5860,14,81,0,0
5880,42,53,0,0
5900,22,73,0,0
5920,28,72,0,0
5940,3,95,0,0
5960,9,91,0,0
5980,5,95,0,0
6000,14,85,0,0
6020,3,97,0,0
6040,1,99,0,0
6060,0,100,0,0
6080,0,100,0,0
6100,0,100,0,0
6120,0,100,0,0
6140,0,100,0,0
6160,0,100,0,0
6180,0,97,0,0
6200,0,90,0,0
6220,0,99,0,0
6240,0,98,0,0
6260,0,99,0,0
6280,0,99,0,0
6300,2,90,0,0
6320,0,96,0,0
6340,0,97,0,0
6360,0,87,0,0
6380,0,99,0,0
6400,0,100,0,0
6420,0,99,0,0
6440,0,93,0,0
6460,0,87,0,0
6480,0,79,0,0
6500,0,91,0,0
6520,0,89,0,0
6540,0,94,0,0
6560,1,95,0,0
6580,0,95,0,0
6600,0,98,0,0
6620,2,91,0,0
6640,1,94,0,0
6660,3,93,0,0
6680,11,78,0,0
6700,10,79,0,0
6720,17,76,0,0
6740,2,90,0,0
6760,3,83,0,0
6780,3,86,0,0
6800,0,74,0,0
6820,6,64,0,0
6840,3,86,0,0
6860,3,94,0,0
6880,0,99,0,0
6900,1,98,0,0
6920,0,96,0,0
6940,1,99,0,0
6960,0,97,0,0
6980,0,100,0,0
7000,0,100,0,0
7020,0,100,0,0
7040,0,100,0,0
7060,0,100,0,0
7080,0,100,0,0
7100,0,99,0,0
7120,0,100,0,0
7140,7,93,0,0
7160,0,100,0,0
7180,1,99,0,0
7200,0,100,0,0
7220,0,100,0,0
7240,0,100,0,0
7260,0,100,0,0
7280,0,100,0,0
7300,0,100,0,0
7320,0,99,0,0
7340,0,98,0,0
7360,1,88,0,0
