pointer,MG888045,JN867757,MN784123
3020,100,0,0
3040,100,0,0
3060,96,4,0
3080,97,3,0
3100,69,31,0
3120,68,32,0
3140,86,13,1
3160,89,11,0
3180,96,4,0
3200,99,1,0
3220,99,0,1
3240,94,3,3
3260,96,3,1
3280,94,5,1
3300,98,2,0
3320,94,5,1
3340,94,2,4
3360,96,1,3
3380,95,0,5
3400,94,0,6
3420,77,7,16
3440,83,13,4
3460,92,6,2
3480,70,4,26
3500,57,9,34
3520,65,3,32
3540,72,9,19
3560,70,14,16
3580,68,21,11
3600,34,54,12
3620,49,46,5
3640,46,33,21
3660,72,11,17
3680,72,14,14
3700,78,11,11
3720,65,25,10
3740,71,20,9
3760,97,3,0
3780,91,9,0
3800,93,6,1
3820,93,0,7
3840,97,3,0
3860,90,10,0
3880,88,12,0
3900,93,7,0
3920,95,4,1
3940,89,6,5
3960,75,11,14
3980,69,4,27
4000,68,0,32
4020,55,4,41
4040,61,5,34
4060,70,0,30
4080,70,2,28
4100,74,2,24
4120,79,2,19
4140,90,4,6
4160,96,2,2
4180,99,0,1
4200,100,0,0
4220,99,1,0
4240,99,1,0
4260,96,4,0
4280,94,6,0
4300,90,10,0
4320,81,17,2
4340,92,8,0
4360,76,24,0
4380,55,41,4
4400,76,24,0
4420,54,45,1
4440,68,31,1
4460,65,35,0
4480,78,20,2
4500,98,2,0
4520,100,0,0
4540,99,1,0
4560,96,0,4
4580,100,0,0
4600,94,2,4
4620,99,0,1
4640,98,1,1
4660,100,0,0
4680,99,0,1
4700,85,0,15
4720,88,0,12
4740,100,0,0
4760,100,0,0
4780,100,0,0
4800,100,0,0
4820,100,0,0
4840,100,0,0
4860,97,0,3
4880,99,0,1
4900,99,0,1
4920,88,11,1
4940,80,14,6
4960,89,0,11
4980,84,2,14
5000,48,30,22
5020,18,57,25
5040,13,64,23
5060,38,59,3
5080,78,15,7
5100,93,3,4
5120,99,1,0
5140,100,0,0
5160,99,1,0
5180,100,0,0
5200,100,0,0
5220,100,0,0
5240,100,0,0
5260,100,0,0
5280,100,0,0
5300,99,1,0
5320,100,0,0
5340,94,6,0
5360,86,14,0
5380,86,14,0
5400,79,21,0
5420,94,6,0
5440,99,1,0
5460,91,8,1
5480,83,16,1
5500,83,17,0
5520,91,9,0
5540,92,8,0
5560,94,5,1
5580,99,1,0
5600,100,0,0
5620,100,0,0
5640,100,0,0
5660,99,0,1
5680,100,0,0
5700,97,0,3
5720,98,0,2
5740,84,0,16
5760,85,3,12
5780,76,3,21
5800,31,4,65
5820,31,7,62
5840,46,1,53
5860,63,4,33
5880,53,4,43
5900,44,2,54
5920,36,15,49
5940,15,32,53
5960,28,18,54
5980,39,27,34
6000,54,43,3
6020,55,44,1
6040,51,49,0
6060,54,46,0
6080,35,65,0
6100,72,28,0
6120,85,14,1
6140,94,6,0
6160,92,8,0
6180,99,1,0
6200,99,1,0
6220,100,0,0
6240,95,4,1
6260,98,2,0
6280,96,2,2
6300,92,7,1
6320,72,27,1
6340,84,13,3
6360,80,18,2
6380,73,25,2
6400,70,28,2
6420,66,14,20
6440,80,11,9
6460,72,13,15
6480,67,26,7
6500,71,15,14
6520,75,12,13
6540,57,27,16
6560,61,7,32
6580,70,7,23
6600,85,1,14
6620,91,6,3
6640,83,7,10
6660,46,8,46
6680,58,3,39
6700,85,1,14
6720,84,3,13
6740,85,1,14
6760,77,1,22
6780,63,4,33
6800,47,1,52
6820,45,1,54
6840,71,2,27
6860,96,0,4
6880,95,0,5
6900,98,0,2
6920,94,0,6
6940,99,1,0
6960,99,0,1
6980,99,0,1
7000,100,0,0
7020,100,0,0
7040,100,0,0
7060,100,0,0
7080,100,0,0
7100,100,0,0
7120,100,0,0
7140,100,0,0
7160,100,0,0
7180,100,0,0
7200,100,0,0
7220,100,0,0
7240,100,0,0
7260,100,0,0
7280,100,0,0
7300,98,2,0
7320,100,0,0
7340,100,0,0
7360,98,1,1
7380,97,2,1
7400,99,0,1
7420,95,2,3
7440,100,0,0
7460,98,2,0
7480,99,1,0
7500,99,0,1
7520,100,0,0
7540,99,1,0
7560,100,0,0
7580,100,0,0
7600,100,0,0
7620,100,0,0
7640,100,0,0
7660,100,0,0
7680,100,0,0
7700,98,2,0
7720,100,0,0
7740,100,0,0
7760,100,0,0
7780,97,3,0
7800,100,0,0
7820,99,1,0
7840,100,0,0
7860,100,0,0
7880,100,0,0
7900,100,0,0
7920,100,0,0
7940,100,0,0
7960,100,0,0
7980,100,0,0
8000,100,0,0
8020,100,0,0
8040,100,0,0
8060,100,0,0
8080,100,0,0
8100,100,0,0
8120,100,0,0
8140,100,0,0
8160,100,0,0
8180,100,0,0
8200,100,0,0
8220,100,0,0
8240,100,0,0
8260,100,0,0
8280,100,0,0
8300,100,0,0
8320,100,0,0
8340,100,0,0
8360,100,0,0
8380,100,0,0
8400,100,0,0
8420,100,0,0
8440,100,0,0
8460,100,0,0
8480,100,0,0
8500,100,0,0
8520,100,0,0
8540,100,0,0
8560,100,0,0
8580,100,0,0
8600,100,0,0
8620,100,0,0
8640,100,0,0
8660,100,0,0
8680,100,0,0
8700,100,0,0
8720,100,0,0
8740,100,0,0
8760,100,0,0
8780,100,0,0
8800,100,0,0
8820,100,0,0
8840,100,0,0
8860,100,0,0
8880,97,3,0
