pointer,NC_033818,NC_034206,HF677705
2400,100,0,0
2420,100,0,0
2440,99,1,0
2460,99,1,0
2480,100,0,0
2500,100,0,0
2520,100,0,0
2540,93,7,0
2560,98,2,0
2580,97,2,1
2600,90,9,1
2620,91,9,0
2640,90,10,0
2660,98,2,0
2680,99,1,0
2700,90,9,1
2720,94,5,1
2740,98,2,0
2760,82,18,0
2780,91,7,2
2800,93,5,2
2820,99,1,0
2840,96,3,1
2860,95,2,3
2880,90,2,8
2900,99,0,1
2920,100,0,0
2940,100,0,0
2960,99,0,1
2980,99,0,1
3000,97,0,3
3020,100,0,0
3040,100,0,0
3060,99,0,1
3080,100,0,0
3100,100,0,0
3120,99,0,1
3140,99,0,1
3160,99,1,0
3180,100,0,0
3200,100,0,0
3220,100,0,0
3240,100,0,0
3260,100,0,0
3280,100,0,0
3300,94,4,2
3320,98,1,1
3340,98,0,2
3360,99,1,0
3380,93,5,2
3400,95,2,3
3420,84,7,9
3440,89,4,7
3460,54,22,24
3480,74,11,15
3500,87,9,4
3520,86,3,11
3540,90,8,2
3560,83,14,3
3580,96,2,2
3600,97,1,2
3620,95,4,1
3640,96,3,1
3660,100,0,0
3680,100,0,0
3700,99,1,0
3720,100,0,0
3740,98,1,1
3760,98,2,0
3780,93,7,0
3800,96,4,0
3820,100,0,0
3840,100,0,0
3860,100,0,0
3880,100,0,0
3900,99,1,0
3920,100,0,0
3940,100,0,0
3960,100,0,0
3980,100,0,0
4000,100,0,0
4020,100,0,0
4040,99,1,0
4060,100,0,0
4080,100,0,0
4100,100,0,0
4120,100,0,0
4140,100,0,0
4160,100,0,0
4180,100,0,0
4200,100,0,0
4220,100,0,0
4240,100,0,0
4260,100,0,0
4280,100,0,0
4300,100,0,0
4320,100,0,0
4340,100,0,0
4360,100,0,0
4380,93,7,0
4400,97,2,1
4420,98,2,0
4440,94,3,3
4460,92,5,3
4480,92,5,3
4500,100,0,0
4520,99,1,0
4540,96,1,3
4560,98,2,0
4580,99,0,1
4600,99,0,1
4620,99,0,1
4640,99,0,1
4660,99,0,1
4680,100,0,0
4700,96,0,4
4720,95,0,5
4740,97,1,2
4760,84,1,15
4780,90,0,10
4800,94,0,6
4820,86,0,14
4840,87,1,12
4860,90,0,10
4880,68,7,25
4900,71,7,22
4920,62,7,31
4940,72,7,21
4960,86,3,11
4980,64,20,16
5000,47,31,22
5020,72,18,10
5040,82,10,8
5060,81,17,2
5080,78,20,2
5100,92,6,2
5120,98,2,0
5140,97,2,1
5160,92,6,2
5180,94,6,0
5200,100,0,0
5220,98,0,2
5240,96,2,2
5260,100,0,0
5280,100,0,0
5300,99,1,0
5320,96,1,3
5340,96,2,2
5360,93,4,3
5380,95,1,4
5400,98,2,0
5420,99,0,1
5440,100,0,0
5460,100,0,0
5480,100,0,0
5500,100,0,0
5520,100,0,0
5540,100,0,0
5560,100,0,0
5580,100,0,0
5600,99,1,0
5620,91,9,0
5640,91,9,0
5660,98,2,0
5680,71,29,0
5700,77,23,0
5720,64,36,0
5740,72,26,2
5760,49,51,0
5780,42,56,2
5800,63,34,3
5820,39,19,42
5840,34,25,41
5860,61,13,26
5880,89,3,8
5900,72,5,23
5920,92,1,7
5940,95,1,4
5960,96,3,1
5980,100,0,0
6000,99,0,1
6020,100,0,0
6040,100,0,0
6060,99,1,0
6080,99,1,0
6100,100,0,0
6120,99,0,1
6140,100,0,0
6160,96,2,2
6180,97,1,2
6200,97,3,0
6220,100,0,0
6240,100,0,0
6260,100,0,0
6280,100,0,0
6300,100,0,0
6320,100,0,0
6340,100,0,0
6360,100,0,0
6380,100,0,0
6400,97,2,1
6420,87,10,3
6440,90,9,1
6460,96,2,2
6480,87,5,8
6500,86,0,14
6520,61,0,39
6540,79,1,20
6560,91,0,9
6580,97,0,3
6600,98,0,2
6620,99,0,1
6640,98,0,2
6660,100,0,0
6680,99,1,0
6700,100,0,0
6720,100,0,0
6740,99,1,0
6760,99,1,0
6780,100,0,0
6800,100,0,0
6820,100,0,0
6840,100,0,0
6860,100,0,0
6880,100,0,0
6900,100,0,0
6920,100,0,0
6940,100,0,0
6960,100,0,0
6980,100,0,0
7000,100,0,0
7020,100,0,0
7040,100,0,0
7060,99,1,0
7080,99,0,1
7100,100,0,0
7120,100,0,0
7140,99,1,0
7160,100,0,0
7180,100,0,0
7200,100,0,0
7220,100,0,0
7240,99,0,1
7260,100,0,0
7280,100,0,0
7300,99,0,1
7320,100,0,0
7340,99,0,1
7360,99,1,0
7380,98,1,1
7400,99,1,0
7420,100,0,0
7440,100,0,0
7460,100,0,0
7480,100,0,0
7500,100,0,0
7520,100,0,0
7540,100,0,0
7560,100,0,0
7580,100,0,0
7600,100,0,0
7620,100,0,0
7640,100,0,0
7660,100,0,0
7680,100,0,0
7700,100,0,0
7720,100,0,0
7740,100,0,0
7760,100,0,0
7780,100,0,0
7800,100,0,0
7820,100,0,0
7840,100,0,0
7860,100,0,0
7880,100,0,0
7900,100,0,0
7920,100,0,0
7940,100,0,0
7960,100,0,0
7980,100,0,0
8000,100,0,0
8020,100,0,0
8040,100,0,0
8060,97,2,1
8080,93,1,6
8100,81,1,18
8120,77,2,21
8140,84,2,14
8160,94,0,6
8180,93,1,6
8200,89,3,8
8220,91,3,6
8240,97,1,2
8260,99,0,1
8280,100,0,0
8300,100,0,0
8320,100,0,0
8340,100,0,0
8360,96,4,0
8380,97,3,0
8400,97,2,1
8420,95,5,0
8440,98,1,1
8460,100,0,0
8480,98,0,2
8500,84,9,7
8520,75,18,7
