Accession,Isolate,Species,Genus,Family,Length,Country,Host,bat_Host,Collection_Date,novel
OQ363782.1,GD/L71.18b/2021,Bat picornavirus 4,Unclassified,Picornaviridae,6931,China,Rhinolophus,,Nov-21,
OQ363783.1,GD/L26.18/2020,Bat picornavirus 4,Unclassified,Picornaviridae,6925,China,Rhinolophus sinicus,,Dec-20,
OQ363786.1,GD/L32.18/2021,Rhinolophus bat shanbavirus,Shanbavirus,Picornaviridae,6756,China,Rhinolophus pusillus,,May-21,
OQ363806.1,GZ/L175.18/2022,Bat picornavirus 1,Unclassified,Picornaviridae,7743,China,Miniopterus schreibersii,,Aug-22,
OP287812.1,FEC145,Eidolon dupreanum kobuvirus,Kobuvirus,Picornaviridae,8263,Madagascar,Eidolon dupreanum,,2018-07-27,
MN602325.1,,Shanbavirus A,Shanbavirus,Picornaviridae,8208,Italy,Pipistrellus pipistrellus,,2017,
KP100644.1,PREDICT-06105,Mischivirus C,Mischivirus,Picornaviridae,8096,Democratic Republic of the Congo,Macronycteris gigas,,2013,
JQ814851.1,,Mischivirus A,Mischivirus,Picornaviridae,8468,China,Miniopterus schreibersii,,Dec-10,
JQ814852.1,,Ia io picornavirus 1,Unclassified,Picornaviridae,7543,China,Ia io,,Oct-10,
HQ595340.1,,Bat picornavirus 1,Unclassified,Picornaviridae,7753,Hong Kong,Miniopterus pusillus,,2008-12-19,
HQ595341.1,,Bat picornavirus 1,Unclassified,Picornaviridae,7641,Hong Kong,Miniopterus schreibersii,,2008-10-17,
HQ595342.1,,Bat picornavirus 2,Unclassified,Picornaviridae,7693,Hong Kong,Miniopterus magnater,,2005-09-06,
HQ595343.1,,Bat picornavirus 2,Unclassified,Picornaviridae,7625,Hong Kong,Miniopterus magnater,,2005-09-01,
HQ595344.1,,Bat picornavirus 3,Unclassified,Picornaviridae,7749,Hong Kong,Rhinolophus sinicus,,2008-09-12,
HQ595345.1,,Bat picornavirus 3,Unclassified,Picornaviridae,7672,Hong Kong,Hipposideros armiger,,2008-09-12,
NC_030886.1,GCCDC1 356,Rousettus bat coronavirus GCCDC1,Coronavirus,Coronaviridae,,China,Rousettus leschenaulti,1,2018,0
