pointer,Rhinolophus_kobuvirus - NC_034971.1,Rhinolophus_kobuvirus - OP287812.1,NC_034971.1 - OP287812.1
6760,68,27,0
6780,78,15,0
6800,92,7,0
6820,65,26,3
6840,77,12,3
6860,69,22,1
6880,86,13,1
6900,74,16,2
6920,76,10,4
6940,67,24,4
6960,33,55,0
6980,27,62,0
7000,52,41,0
7020,37,56,0
7040,40,54,0
7060,68,28,0
7080,44,45,0
7100,71,27,0
7120,54,38,0
7140,82,14,0
7160,94,4,0
7180,90,8,0
7200,86,12,0
7220,99,1,0
7240,99,1,0
7260,90,5,0
7280,82,12,0
7300,72,21,0
7320,77,12,0
7340,75,20,0
7360,55,32,0
7380,41,54,0
7400,43,43,4
7420,50,39,1
7440,81,9,3
7460,92,5,0
7480,99,1,0
7500,92,3,0
7520,95,3,0
7540,93,4,0
7560,98,2,0
7580,100,0,0
7600,99,1,0
7620,97,3,0
7640,97,2,0
7660,95,4,0
7680,91,6,0
7700,87,12,0
7720,85,9,0
7740,95,3,0
7760,93,4,0
7780,77,16,0
7800,77,15,0
7820,77,15,2
7840,31,54,7
7860,33,52,5
7880,23,52,14
7900,32,58,4
7920,24,52,21
7940,15,56,21
7960,15,69,10
7980,13,78,2
8000,4,92,0
8020,7,88,1
8040,50,39,0
8060,31,56,0
8080,56,43,0
8100,54,46,0
8120,47,52,0
8140,76,24,0
8160,98,2,0
8180,99,1,0
8200,100,0,0
8220,100,0,0
8240,100,0,0
8260,100,0,0
8280,100,0,0
8300,97,0,3
8320,97,0,3
8340,93,0,7
8360,69,0,31
8380,57,0,43
8400,29,1,70
8420,2,0,98
8440,13,0,87
8460,11,0,88
8480,13,0,82
8500,28,0,47
8520,4,0,9
