pointer,OQ818324 - LC386158.1,OQ818324 - OQ818318,LC386158.1 - OQ818318
6800,0,76,20
6820,0,66,31
6840,1,52,41
6860,5,58,31
6880,4,85,11
6900,29,53,16
6920,5,81,14
6940,3,94,2
6960,2,94,3
6980,2,93,4
7000,9,87,3
7020,15,77,8
7040,15,82,3
7060,4,94,2
7080,6,93,1
7100,11,89,0
7120,0,100,0
7140,16,84,0
7160,23,73,2
7180,55,36,9
7200,50,43,5
7220,69,27,4
7240,55,25,19
7260,45,36,11
7280,28,58,11
7300,13,79,4
7320,27,61,9
7340,1,66,28
7360,0,92,7
7380,0,93,4
7400,3,83,8
7420,0,94,4
7440,0,100,0
7460,0,100,0
7480,0,94,3
7500,0,98,2
7520,2,91,7
7540,2,93,4
7560,17,72,7
7580,0,95,5
7600,0,95,5
7620,4,86,9
7640,22,5,72
7660,20,2,78
7680,87,0,0
