Position in alignment,Pteropodidae_bat_sapelovirus - OQ818320,Pteropodidae_bat_sapelovirus - OQ818321,OQ818320 - OQ818321
6760,6,86,0
6780,48,33,0
6800,30,60,0
6820,21,71,0
6840,24,70,0
6860,42,54,0
6880,43,44,0
6900,67,25,0
6920,49,44,0
6940,58,40,0
6960,55,37,0
6980,16,75,0
7000,45,48,0
7020,80,17,0
7040,72,19,0
7060,65,28,0
7080,82,14,0
7100,40,51,0
7120,50,43,0
7140,37,53,0
7160,49,41,0
7180,69,24,0
7200,62,30,0
7220,20,76,0
7240,29,63,0
7260,37,51,0
7280,49,40,0
7300,32,64,0
7320,33,61,0
7340,30,59,0
7360,18,78,0
7380,19,79,0
7400,14,83,0
7420,11,78,0
7440,12,80,1
7460,7,89,1
7480,0,100,0
7500,0,95,3
7520,1,93,6
7540,0,86,14
7560,0,70,29
7580,2,62,32
7600,10,64,21
7620,25,43,25
7640,27,47,14
7660,19,68,7
7680,52,28,8
7700,55,20,22
7720,86,1,11
7740,91,2,7
7760,94,1,3
7780,78,9,12
7800,84,5,10
7820,65,6,28
7840,59,8,31
7860,43,17,34
7880,33,11,55
7900,40,17,37
7920,21,14,65
7940,34,13,51
7960,31,2,67
7980,14,10,76
8000,17,2,81
8020,18,10,72
8040,13,8,78
8060,22,1,77
8080,12,2,86
8100,30,1,68
8120,20,16,64
8140,48,5,46
8160,14,2,84
8180,96,0,2
8200,0,0,0
8220,0,0,0
