Position in alignment,NC_028981.1 - PP766455,NC_028981.1 - NC_028366.1,PP766455 - NC_028366.1
6800,1,0,99
6820,0,0,100
6840,0,0,100
6860,0,0,98
6880,0,0,100
6900,0,0,100
6920,0,0,98
6940,0,0,100
6960,2,1,97
6980,0,0,99
7000,0,1,96
7020,2,5,91
7040,0,1,98
7060,0,0,100
7080,0,0,99
7100,0,0,100
7120,0,0,100
7140,0,0,100
7160,1,0,98
7180,0,0,100
7200,1,0,99
7220,3,0,94
7240,19,0,77
7260,15,0,73
7280,9,0,88
7300,17,0,80
7320,10,0,84
7340,5,0,92
7360,4,1,94
7380,15,9,70
7400,7,26,60
7420,3,4,91
7440,1,3,95
7460,2,11,82
7480,3,13,81
7500,11,6,80
7520,5,9,83
7540,1,34,60
7560,7,16,76
7580,6,5,88
7600,8,9,83
7620,5,18,77
7640,10,19,70
7660,3,10,87
7680,3,1,96
7700,1,3,96
7720,5,2,93
7740,5,0,95
7760,0,0,100
7780,1,0,99
7800,2,0,98
7820,6,0,87
7840,0,0,94
7860,0,0,0
7880,0,0,0
7900,0,0,0
