accessiom,Position,Coverage,rPM,virus,species,type
OQ818316,113,638,10.21813639,Pteropus rufus mischivirus,Pteropus rufus,full
OQ818316,114,638,10.21813639,Pteropus rufus mischivirus,Pteropus rufus,full
OQ818316,115,638,10.21813639,Pteropus rufus mischivirus,Pteropus rufus,full
OQ818316,116,640,10.25016817,Pteropus rufus mischivirus,Pteropus rufus,full
OQ818316,117,640,10.25016817,Pteropus rufus mischivirus,Pteropus rufus,full
OQ818316,118,640,10.25016817,Pteropus rufus mischivirus,Pteropus rufus,full
OQ818316,119,640,10.25016817,Pteropus rufus mischivirus,Pteropus rufus,full
OQ818316,120,643,10.29821583,Pteropus rufus mischivirus,Pteropus rufus,full
OQ818316,121,643,10.29821583,Pteropus rufus mischivirus,Pteropus rufus,full
OQ818316,122,643,10.29821583,Pteropus rufus mischivirus,Pteropus rufus,full
OQ818316,123,644,10.31423172,Pteropus rufus mischivirus,Pteropus rufus,full
OQ818316,124,644,10.31423172,Pteropus rufus mischivirus,Pteropus rufus,full
OQ818316,125,650,10.41032704,Pteropus rufus mischivirus,Pteropus rufus,full
OQ818316,126,650,10.41032704,Pteropus rufus mischivirus,Pteropus rufus,full
OQ818316,127,651,10.42634293,Pteropus rufus mischivirus,Pteropus rufus,full
OQ818316,128,651,10.42634293,Pteropus rufus mischivirus,Pteropus rufus,full
OQ818316,129,651,10.42634293,Pteropus rufus mischivirus,Pteropus rufus,full
OQ818316,130,651,10.42634293,Pteropus rufus mischivirus,Pteropus rufus,full
OQ818316,131,651,10.42634293,Pteropus rufus mischivirus,Pteropus rufus,full
OQ818316,132,656,10.50642237,Pteropus rufus mischivirus,Pteropus rufus,full
OQ818316,133,656,10.50642237,Pteropus rufus mischivirus,Pteropus rufus,full
OQ818316,134,656,10.50642237,Pteropus rufus mischivirus,Pteropus rufus,full
OQ818316,135,659,10.55447003,Pteropus rufus mischivirus,Pteropus rufus,full
OQ818316,136,659,10.55447003,Pteropus rufus mischivirus,Pteropus rufus,full
OQ818316,137,659,10.55447003,Pteropus rufus mischivirus,Pteropus rufus,full
OQ818316,138,677,10.84275601,Pteropus rufus mischivirus,Pteropus rufus,full
OQ818316,139,680,10.89080368,Pteropus rufus mischivirus,Pteropus rufus,full
OQ818316,140,680,10.89080368,Pteropus rufus mischivirus,Pteropus rufus,full
OQ818316,141,680,10.89080368,Pteropus rufus mischivirus,Pteropus rufus,full
OQ818316,142,687,11.00291489,Pteropus rufus mischivirus,Pteropus rufus,full
OQ818316,143,690,11.05096255,Pteropus rufus mischivirus,Pteropus rufus,full
OQ818316,144,690,11.05096255,Pteropus rufus mischivirus,Pteropus rufus,full
OQ818316,145,690,11.05096255,Pteropus rufus mischivirus,Pteropus rufus,full
OQ818316,146,691,11.06697844,Pteropus rufus mischivirus,Pteropus rufus,full
OQ818316,147,702,11.24315321,Pteropus rufus mischivirus,Pteropus rufus,full
OQ818316,148,702,11.24315321,Pteropus rufus mischivirus,Pteropus rufus,full
OQ818316,149,704,11.27518498,Pteropus rufus mischivirus,Pteropus rufus,full
OQ818316,150,706,11.30721676,Pteropus rufus mischivirus,Pteropus rufus,full
OQ818316,151,706,11.30721676,Pteropus rufus mischivirus,Pteropus rufus,full
OQ818316,152,706,11.30721676,Pteropus rufus mischivirus,Pteropus rufus,full
OQ818316,153,714,11.43534386,Pteropus rufus mischivirus,Pteropus rufus,full
OQ818316,154,721,11.54745508,Pteropus rufus mischivirus,Pteropus rufus,full
OQ818316,155,722,11.56347096,Pteropus rufus mischivirus,Pteropus rufus,full
OQ818316,156,722,11.56347096,Pteropus rufus mischivirus,Pteropus rufus,full
OQ818316,157,723,11.57948685,Pteropus rufus mischivirus,Pteropus rufus,full
OQ818316,158,731,11.70761395,Pteropus rufus mischivirus,Pteropus rufus,full
OQ818316,159,740,11.85175694,Pteropus rufus mischivirus,Pteropus rufus,full
OQ818316,160,740,11.85175694,Pteropus rufus mischivirus,Pteropus rufus,full
OQ818316,161,743,11.89980461,Pteropus rufus mischivirus,Pteropus rufus,full
OQ818316,162,752,12.0439476,Pteropus rufus mischivirus,Pteropus rufus,full
OQ818316,163,755,12.09199526,Pteropus rufus mischivirus,Pteropus rufus,full
OQ818316,164,755,12.09199526,Pteropus rufus mischivirus,Pteropus rufus,full
OQ818316,165,755,12.09199526,Pteropus rufus mischivirus,Pteropus rufus,full
OQ818316,166,765,12.25215414,Pteropus rufus mischivirus,Pteropus rufus,full
OQ818316,167,765,12.25215414,Pteropus rufus mischivirus,Pteropus rufus,full
OQ818316,168,765,12.25215414,Pteropus rufus mischivirus,Pteropus rufus,full
OQ818316,169,765,12.25215414,Pteropus rufus mischivirus,Pteropus rufus,full
OQ818316,170,767,12.28418591,Pteropus rufus mischivirus,Pteropus rufus,full
OQ818316,171,767,12.28418591,Pteropus rufus mischivirus,Pteropus rufus,full
OQ818316,172,770,12.33223358,Pteropus rufus mischivirus,Pteropus rufus,full
OQ818316,173,772,12.36426535,Pteropus rufus mischivirus,Pteropus rufus,full
OQ818316,174,775,12.41231301,Pteropus rufus mischivirus,Pteropus rufus,full
OQ818316,175,775,12.41231301,Pteropus rufus mischivirus,Pteropus rufus,full
OQ818316,176,774,12.39629713,Pteropus rufus mischivirus,Pteropus rufus,full
OQ818316,177,754,12.07597937,Pteropus rufus mischivirus,Pteropus rufus,full
OQ818316,178,757,12.12402703,Pteropus rufus mischivirus,Pteropus rufus,full
OQ818316,179,761,12.18809059,Pteropus rufus mischivirus,Pteropus rufus,full
OQ818316,180,762,12.20410647,Pteropus rufus mischivirus,Pteropus rufus,full
OQ818316,181,739,11.83574106,Pteropus rufus mischivirus,Pteropus rufus,full
OQ818316,182,727,11.6435504,Pteropus rufus mischivirus,Pteropus rufus,full
OQ818316,183,730,11.69159807,Pteropus rufus mischivirus,Pteropus rufus,full
OQ818316,184,724,11.59550274,Pteropus rufus mischivirus,Pteropus rufus,full
OQ818316,185,724,11.59550274,Pteropus rufus mischivirus,Pteropus rufus,full
OQ818316,186,709,11.35526442,Pteropus rufus mischivirus,Pteropus rufus,full
OQ818316,187,700,11.21112143,Pteropus rufus mischivirus,Pteropus rufus,full
OQ818316,188,706,11.30721676,Pteropus rufus mischivirus,Pteropus rufus,full
OQ818316,189,691,11.06697844,Pteropus rufus mischivirus,Pteropus rufus,full
OQ818316,190,686,10.986899,Pteropus rufus mischivirus,Pteropus rufus,full
OQ818316,191,655,10.49040648,Pteropus rufus mischivirus,Pteropus rufus,full
OQ818316,192,658,10.53845415,Pteropus rufus mischivirus,Pteropus rufus,full
OQ818316,193,658,10.53845415,Pteropus rufus mischivirus,Pteropus rufus,full
OQ818316,194,661,10.58650181,Pteropus rufus mischivirus,Pteropus rufus,full
OQ818316,195,663,10.61853359,Pteropus rufus mischivirus,Pteropus rufus,full
OQ818316,196,648,10.37829527,Pteropus rufus mischivirus,Pteropus rufus,full
OQ818316,197,649,10.39431116,Pteropus rufus mischivirus,Pteropus rufus,full
OQ818316,198,661,10.58650181,Pteropus rufus mischivirus,Pteropus rufus,full
OQ818316,199,661,10.58650181,Pteropus rufus mischivirus,Pteropus rufus,full
OQ818316,200,661,10.58650181,Pteropus rufus mischivirus,Pteropus rufus,full
OQ818316,201,661,10.58650181,Pteropus rufus mischivirus,Pteropus rufus,full
OQ818316,202,661,10.58650181,Pteropus rufus mischivirus,Pteropus rufus,full
OQ818316,203,672,10.76267658,Pteropus rufus mischivirus,Pteropus rufus,full
OQ818316,204,672,10.76267658,Pteropus rufus mischivirus,Pteropus rufus,full
OQ818316,205,673,10.77869246,Pteropus rufus mischivirus,Pteropus rufus,full
OQ818316,206,672,10.76267658,Pteropus rufus mischivirus,Pteropus rufus,full
OQ818316,207,672,10.76267658,Pteropus rufus mischivirus,Pteropus rufus,full
OQ818316,208,673,10.77869246,Pteropus rufus mischivirus,Pteropus rufus,full
OQ818316,209,673,10.77869246,Pteropus rufus mischivirus,Pteropus rufus,full
OQ818316,210,679,10.87478779,Pteropus rufus mischivirus,Pteropus rufus,full
OQ818316,211,685,10.97088312,Pteropus rufus mischivirus,Pteropus rufus,full
OQ818316,212,687,11.00291489,Pteropus rufus mischivirus,Pteropus rufus,full
OQ818316,213,687,11.00291489,Pteropus rufus mischivirus,Pteropus rufus,full
OQ818316,214,702,11.24315321,Pteropus rufus mischivirus,Pteropus rufus,full
OQ818316,215,710,11.37128031,Pteropus rufus mischivirus,Pteropus rufus,full
OQ818316,216,746,11.94785227,Pteropus rufus mischivirus,Pteropus rufus,full
OQ818316,217,746,11.94785227,Pteropus rufus mischivirus,Pteropus rufus,full
OQ818316,218,751,12.02793171,Pteropus rufus mischivirus,Pteropus rufus,full
OQ818316,219,751,12.02793171,Pteropus rufus mischivirus,Pteropus rufus,full
OQ818316,220,759,12.15605881,Pteropus rufus mischivirus,Pteropus rufus,full
OQ818316,221,763,12.22012236,Pteropus rufus mischivirus,Pteropus rufus,full
OQ818316,222,766,12.26817002,Pteropus rufus mischivirus,Pteropus rufus,full
OQ818316,223,794,12.71661488,Pteropus rufus mischivirus,Pteropus rufus,full
OQ818316,224,802,12.84474198,Pteropus rufus mischivirus,Pteropus rufus,full
OQ818316,225,822,13.16505974,Pteropus rufus mischivirus,Pteropus rufus,full
OQ818316,226,843,13.50139338,Pteropus rufus mischivirus,Pteropus rufus,full
OQ818316,227,841,13.46936161,Pteropus rufus mischivirus,Pteropus rufus,full
OQ818316,228,864,13.83772703,Pteropus rufus mischivirus,Pteropus rufus,full
OQ818316,229,851,13.62952048,Pteropus rufus mischivirus,Pteropus rufus,full
OQ818316,230,850,13.6135046,Pteropus rufus mischivirus,Pteropus rufus,full
OQ818316,231,835,13.37326628,Pteropus rufus mischivirus,Pteropus rufus,full
OQ818316,232,836,13.38928217,Pteropus rufus mischivirus,Pteropus rufus,full
OQ818316,233,844,13.51740927,Pteropus rufus mischivirus,Pteropus rufus,full
OQ818316,234,830,13.29318684,Pteropus rufus mischivirus,Pteropus rufus,full
OQ818316,235,819,13.11701208,Pteropus rufus mischivirus,Pteropus rufus,full
OQ818316,236,715,11.45135975,Pteropus rufus mischivirus,Pteropus rufus,full
OQ818316,237,713,11.41932797,Pteropus rufus mischivirus,Pteropus rufus,full
OQ818316,238,696,11.14705788,Pteropus rufus mischivirus,Pteropus rufus,full
OQ818316,239,701,11.22713732,Pteropus rufus mischivirus,Pteropus rufus,full
OQ818316,240,690,11.05096255,Pteropus rufus mischivirus,Pteropus rufus,full
OQ818316,241,679,10.87478779,Pteropus rufus mischivirus,Pteropus rufus,full
OQ818316,242,674,10.79470835,Pteropus rufus mischivirus,Pteropus rufus,full
OQ818316,243,642,10.28219994,Pteropus rufus mischivirus,Pteropus rufus,full
OQ818316,244,647,10.36227938,Pteropus rufus mischivirus,Pteropus rufus,full
OQ818316,245,687,11.00291489,Pteropus rufus mischivirus,Pteropus rufus,full
OQ818316,246,674,10.79470835,Pteropus rufus mischivirus,Pteropus rufus,full
OQ818316,247,652,10.44235882,Pteropus rufus mischivirus,Pteropus rufus,full
OQ818316,248,665,10.65056536,Pteropus rufus mischivirus,Pteropus rufus,full
OQ818316,249,679,10.87478779,Pteropus rufus mischivirus,Pteropus rufus,full
OQ818316,250,688,11.01893078,Pteropus rufus mischivirus,Pteropus rufus,full
OQ818316,251,691,11.06697844,Pteropus rufus mischivirus,Pteropus rufus,full
OQ818316,252,726,11.62753451,Pteropus rufus mischivirus,Pteropus rufus,full
OQ818316,253,739,11.83574106,Pteropus rufus mischivirus,Pteropus rufus,full
OQ818316,254,721,11.54745508,Pteropus rufus mischivirus,Pteropus rufus,full
OQ818316,255,735,11.7716775,Pteropus rufus mischivirus,Pteropus rufus,full
OQ818316,256,732,11.72362984,Pteropus rufus mischivirus,Pteropus rufus,full
OQ818316,257,770,12.33223358,Pteropus rufus mischivirus,Pteropus rufus,full
OQ818316,258,798,12.78067843,Pteropus rufus mischivirus,Pteropus rufus,full
OQ818316,259,800,12.81271021,Pteropus rufus mischivirus,Pteropus rufus,full
OQ818316,260,807,12.92482142,Pteropus rufus mischivirus,Pteropus rufus,full
OQ818316,261,809,12.9568532,Pteropus rufus mischivirus,Pteropus rufus,full
OQ818316,262,819,13.11701208,Pteropus rufus mischivirus,Pteropus rufus,full
OQ818316,263,819,13.11701208,Pteropus rufus mischivirus,Pteropus rufus,full
OQ818316,264,824,13.19709151,Pteropus rufus mischivirus,Pteropus rufus,full
OQ818316,265,824,13.19709151,Pteropus rufus mischivirus,Pteropus rufus,full
OQ818316,266,824,13.19709151,Pteropus rufus mischivirus,Pteropus rufus,full
OQ818316,267,824,13.19709151,Pteropus rufus mischivirus,Pteropus rufus,full
OQ818316,268,826,13.22912329,Pteropus rufus mischivirus,Pteropus rufus,full
OQ818316,269,840,13.45334572,Pteropus rufus mischivirus,Pteropus rufus,full
OQ818316,270,844,13.51740927,Pteropus rufus mischivirus,Pteropus rufus,full
OQ818316,271,844,13.51740927,Pteropus rufus mischivirus,Pteropus rufus,full
OQ818316,272,838,13.42131394,Pteropus rufus mischivirus,Pteropus rufus,full
OQ818316,273,841,13.46936161,Pteropus rufus mischivirus,Pteropus rufus,full
OQ818316,274,870,13.93382235,Pteropus rufus mischivirus,Pteropus rufus,full
OQ818316,275,870,13.93382235,Pteropus rufus mischivirus,Pteropus rufus,full
OQ818316,276,870,13.93382235,Pteropus rufus mischivirus,Pteropus rufus,full
OQ818316,277,880,14.09398123,Pteropus rufus mischivirus,Pteropus rufus,full
OQ818316,278,884,14.15804478,Pteropus rufus mischivirus,Pteropus rufus,full
OQ818316,279,895,14.33421955,Pteropus rufus mischivirus,Pteropus rufus,full
OQ818316,280,896,14.35023543,Pteropus rufus mischivirus,Pteropus rufus,full
OQ818316,281,897,14.36625132,Pteropus rufus mischivirus,Pteropus rufus,full
OQ818316,282,896,14.35023543,Pteropus rufus mischivirus,Pteropus rufus,full
OQ818316,283,896,14.35023543,Pteropus rufus mischivirus,Pteropus rufus,full
OQ818316,284,901,14.43031487,Pteropus rufus mischivirus,Pteropus rufus,full
OQ818316,285,908,14.54242609,Pteropus rufus mischivirus,Pteropus rufus,full
OQ818316,286,905,14.49437842,Pteropus rufus mischivirus,Pteropus rufus,full
OQ818316,287,909,14.55844197,Pteropus rufus mischivirus,Pteropus rufus,full
OQ818316,288,910,14.57445786,Pteropus rufus mischivirus,Pteropus rufus,full
OQ818316,289,907,14.5264102,Pteropus rufus mischivirus,Pteropus rufus,full
OQ818316,290,908,14.54242609,Pteropus rufus mischivirus,Pteropus rufus,full
OQ818316,291,910,14.57445786,Pteropus rufus mischivirus,Pteropus rufus,full
OQ818316,292,910,14.57445786,Pteropus rufus mischivirus,Pteropus rufus,full
OQ818316,293,917,14.68656908,Pteropus rufus mischivirus,Pteropus rufus,full
OQ818316,294,905,14.49437842,Pteropus rufus mischivirus,Pteropus rufus,full
OQ818316,295,907,14.5264102,Pteropus rufus mischivirus,Pteropus rufus,full
OQ818316,296,908,14.54242609,Pteropus rufus mischivirus,Pteropus rufus,full
OQ818316,297,919,14.71860085,Pteropus rufus mischivirus,Pteropus rufus,full
OQ818316,298,919,14.71860085,Pteropus rufus mischivirus,Pteropus rufus,full
OQ818316,299,919,14.71860085,Pteropus rufus mischivirus,Pteropus rufus,full
OQ818316,300,911,14.59047375,Pteropus rufus mischivirus,Pteropus rufus,full
OQ818316,301,905,14.49437842,Pteropus rufus mischivirus,Pteropus rufus,full
OQ818316,302,907,14.5264102,Pteropus rufus mischivirus,Pteropus rufus,full
OQ818316,303,907,14.5264102,Pteropus rufus mischivirus,Pteropus rufus,full
OQ818316,304,906,14.51039431,Pteropus rufus mischivirus,Pteropus rufus,full
OQ818316,305,898,14.38226721,Pteropus rufus mischivirus,Pteropus rufus,full
OQ818316,306,887,14.20609244,Pteropus rufus mischivirus,Pteropus rufus,full
OQ818316,307,887,14.20609244,Pteropus rufus mischivirus,Pteropus rufus,full
OQ818316,308,887,14.20609244,Pteropus rufus mischivirus,Pteropus rufus,full
OQ818316,309,891,14.27015599,Pteropus rufus mischivirus,Pteropus rufus,full
OQ818316,310,886,14.19007656,Pteropus rufus mischivirus,Pteropus rufus,full
OQ818316,311,889,14.23812422,Pteropus rufus mischivirus,Pteropus rufus,full
OQ818316,312,889,14.23812422,Pteropus rufus mischivirus,Pteropus rufus,full
OQ818316,313,891,14.27015599,Pteropus rufus mischivirus,Pteropus rufus,full
OQ818316,314,883,14.14202889,Pteropus rufus mischivirus,Pteropus rufus,full
OQ818316,315,903,14.46234665,Pteropus rufus mischivirus,Pteropus rufus,full
OQ818316,316,904,14.47836254,Pteropus rufus mischivirus,Pteropus rufus,full
OQ818316,317,906,14.51039431,Pteropus rufus mischivirus,Pteropus rufus,full
OQ818316,318,908,14.54242609,Pteropus rufus mischivirus,Pteropus rufus,full
OQ818316,319,907,14.5264102,Pteropus rufus mischivirus,Pteropus rufus,full
OQ818316,320,905,14.49437842,Pteropus rufus mischivirus,Pteropus rufus,full
OQ818316,321,902,14.44633076,Pteropus rufus mischivirus,Pteropus rufus,full
OQ818316,322,914,14.63852141,Pteropus rufus mischivirus,Pteropus rufus,full
OQ818316,323,913,14.62250553,Pteropus rufus mischivirus,Pteropus rufus,full
OQ818316,324,908,14.54242609,Pteropus rufus mischivirus,Pteropus rufus,full
OQ818316,325,905,14.49437842,Pteropus rufus mischivirus,Pteropus rufus,full
OQ818316,326,900,14.41429898,Pteropus rufus mischivirus,Pteropus rufus,full
OQ818316,327,899,14.3982831,Pteropus rufus mischivirus,Pteropus rufus,full
OQ818316,328,908,14.54242609,Pteropus rufus mischivirus,Pteropus rufus,full
OQ818316,329,919,14.71860085,Pteropus rufus mischivirus,Pteropus rufus,full
OQ818316,330,916,14.67055319,Pteropus rufus mischivirus,Pteropus rufus,full
OQ818316,331,913,14.62250553,Pteropus rufus mischivirus,Pteropus rufus,full
OQ818316,332,916,14.67055319,Pteropus rufus mischivirus,Pteropus rufus,full
OQ818316,333,916,14.67055319,Pteropus rufus mischivirus,Pteropus rufus,full
OQ818316,334,918,14.70258496,Pteropus rufus mischivirus,Pteropus rufus,full
OQ818316,335,906,14.51039431,Pteropus rufus mischivirus,Pteropus rufus,full
OQ818316,336,910,14.57445786,Pteropus rufus mischivirus,Pteropus rufus,full
OQ818316,337,911,14.59047375,Pteropus rufus mischivirus,Pteropus rufus,full
OQ818316,338,911,14.59047375,Pteropus rufus mischivirus,Pteropus rufus,full
OQ818316,339,927,14.84672795,Pteropus rufus mischivirus,Pteropus rufus,full
OQ818316,340,931,14.91079151,Pteropus rufus mischivirus,Pteropus rufus,full
