pointer,NC_028366 - KT452729,NC_028366 - PP766457,KT452729 - PP766457
6820,0,100,0
6840,0,100,0
6860,14,83,1
6880,17,72,4
6900,15,78,0
6920,8,81,5
6940,1,83,13
6960,0,84,15
6980,0,82,15
7000,0,86,10
7020,0,64,31
7040,0,81,15
7060,0,81,16
7080,0,91,7
7100,0,97,2
7120,0,96,3
7140,0,99,1
7160,0,99,1
7180,0,100,0
7200,0,100,0
7220,0,100,0
7240,0,100,0
7260,0,100,0
7280,0,100,0
7300,0,100,0
7320,0,100,0
7340,0,100,0
7360,0,100,0
7380,0,100,0
7400,0,100,0
7420,0,100,0
7440,0,100,0
7460,0,100,0
7480,0,99,1
7500,0,100,0
7520,0,99,1
7540,0,98,2
7560,0,100,0
7580,0,99,1
7600,0,100,0
7620,0,100,0
7640,0,100,0
7660,0,100,0
7680,0,100,0
7700,0,100,0
7720,0,100,0
7740,0,100,0
7760,0,100,0
7780,0,99,0
7800,1,68,0
7820,0,0,0
7840,0,0,0
7860,0,0,0
7880,0,0,0
