pointer,r_aegypticus_kenya - PP766459,r_aegypticus_kenya - e_helvum_cameroon,PP766459 - e_helvum_cameroon
6920,0,95,5
6940,0,92,8
6960,0,100,0
6980,0,100,0
7000,0,100,0
7020,0,100,0
7040,0,100,0
7060,0,100,0
7080,0,100,0
7100,0,100,0
7120,0,100,0
7140,0,100,0
7160,0,100,0
7180,0,100,0
7200,0,100,0
7220,0,100,0
7240,0,100,0
7260,0,98,2
7280,0,98,2
7300,0,95,5
7320,0,93,7
7340,0,89,11
7360,0,94,6
7380,0,99,1
7400,0,97,3
7420,0,99,1
7440,0,99,1
7460,0,100,0
7480,0,90,10
7500,0,92,8
7520,0,85,15
7540,0,92,8
7560,0,62,38
7580,0,14,86
7600,0,5,94
7620,0,11,89
7640,0,19,81
7660,0,34,66
7680,0,57,43
7700,0,30,70
7720,1,40,59
7740,2,17,81
7760,3,14,83
7780,0,11,89
7800,1,29,70
7820,0,8,92
7840,0,4,96
7860,1,1,97
7880,2,2,88
7900,4,1,90
7920,2,0,97
7940,1,1,98
7960,2,0,97
7980,1,2,96
8000,6,8,86
8020,25,17,57
8040,15,25,59
8060,4,7,89
8080,3,15,82
8100,1,6,93
8120,0,14,86
8140,0,42,58
8160,0,76,24
8180,0,78,22
8200,0,44,55
8220,0,63,36
8240,0,64,35
8260,0,64,36
