pointer,JN699046,NC_033776,OM105025
6380,23,69,8
6400,36,55,9
6420,70,29,1
6440,84,13,3
6460,36,58,6
6480,-1,-1,-1
6500,-1,-1,-1
6520,-1,-1,-1
6540,0,47,53
6560,0,50,50
6580,2,42,56
6600,4,32,64
6620,1,45,54
6640,2,78,20
6660,2,75,23
6680,0,70,30
6700,7,62,31
6720,1,68,31
6740,26,43,31
6760,3,66,31
6780,4,55,41
6800,2,67,31
6820,2,93,5
6840,2,96,2
6860,11,82,7
6880,4,92,4
6900,4,95,1
6920,10,90,0
6940,4,96,0
6960,9,91,0
6980,10,90,0
7000,13,87,0
7020,22,78,0
7040,49,51,0
7060,44,56,0
7080,57,43,0
7100,65,34,1
7120,38,53,9
7140,71,21,8
7160,51,15,34
7180,49,19,32
7200,31,40,29
7220,16,60,24
7240,16,54,30
7260,2,61,37
7280,4,48,48
7300,26,41,33
7320,33,24,43
7340,16,60,24
7360,23,58,19
7380,20,47,33
7400,40,1,59
7420,29,6,65
7440,32,1,67
7460,29,7,64
7480,44,15,41
7500,8,15,77
7520,57,6,37
7540,73,7,20
7560,51,21,28
7580,48,23,29
7600,30,43,27
7620,44,43,13
7640,23,74,3
7660,10,86,4
7680,2,92,6
7700,8,88,4
7720,1,96,3
7740,5,89,6
7760,5,86,9
7780,14,68,18
7800,13,67,20
