pointer,NC_033820,OQ818321,OQ818329
3020,98,0,2
3040,97,0,3
3060,99,0,1
3080,100,0,0
3100,100,0,0
3120,98,1,1
3140,99,1,0
3160,100,0,0
3180,100,0,0
3200,100,0,0
3220,100,0,0
3240,99,0,1
3260,100,0,0
3280,100,0,0
3300,100,0,0
3320,99,0,1
3340,98,0,2
3360,94,0,6
3380,96,0,4
3400,74,0,26
3420,85,0,15
3440,91,0,9
3460,76,1,23
3480,95,0,5
3500,91,0,9
3520,88,0,12
3540,91,0,9
3560,90,0,10
3580,97,0,3
3600,97,0,3
3620,97,0,3
3640,98,0,2
3660,97,0,3
3680,95,0,5
3700,97,0,3
3720,98,0,2
3740,99,0,1
3760,100,0,0
3780,98,0,2
3800,94,1,5
3820,89,4,7
3840,96,2,2
3860,85,11,4
3880,89,10,1
3900,96,4,0
3920,87,11,2
3940,84,10,6
3960,74,14,12
3980,84,11,5
4000,71,23,6
4020,81,18,1
4040,59,40,1
4060,92,8,0
4080,99,1,0
4100,81,17,2
4120,78,20,2
4140,78,20,2
4160,70,30,0
4180,76,24,0
4200,89,11,0
4220,99,1,0
4240,100,0,0
4260,99,1,0
4280,85,15,0
4300,96,4,0
4320,98,2,0
4340,97,3,0
4360,100,0,0
4380,99,1,0
4400,98,2,0
4420,100,0,0
4440,99,0,1
4460,99,1,0
4480,100,0,0
4500,99,0,1
4520,100,0,0
4540,100,0,0
4560,100,0,0
4580,100,0,0
4600,100,0,0
4620,100,0,0
4640,100,0,0
4660,100,0,0
4680,100,0,0
4700,100,0,0
4720,100,0,0
4740,100,0,0
4760,100,0,0
4780,100,0,0
4800,99,1,0
4820,99,0,1
4840,95,3,2
4860,92,6,2
4880,93,7,0
4900,93,6,1
4920,99,1,0
4940,100,0,0
4960,100,0,0
4980,100,0,0
5000,100,0,0
5020,100,0,0
5040,100,0,0
5060,100,0,0
5080,100,0,0
5100,100,0,0
5120,100,0,0
5140,100,0,0
5160,100,0,0
5180,100,0,0
5200,100,0,0
5220,100,0,0
5240,99,0,1
5260,100,0,0
5280,99,0,1
5300,100,0,0
5320,100,0,0
5340,100,0,0
5360,100,0,0
5380,100,0,0
5400,100,0,0
5420,100,0,0
5440,100,0,0
5460,100,0,0
5480,100,0,0
5500,100,0,0
5520,100,0,0
5540,99,1,0
5560,100,0,0
5580,100,0,0
5600,100,0,0
5620,99,0,1
5640,98,0,2
5660,98,0,2
5680,99,0,1
5700,100,0,0
5720,100,0,0
5740,100,0,0
5760,100,0,0
5780,99,0,1
5800,100,0,0
5820,100,0,0
5840,100,0,0
5860,100,0,0
5880,100,0,0
5900,100,0,0
5920,100,0,0
5940,100,0,0
5960,100,0,0
5980,100,0,0
6000,100,0,0
6020,100,0,0
6040,100,0,0
6060,100,0,0
6080,100,0,0
6100,100,0,0
6120,100,0,0
6140,100,0,0
6160,100,0,0
6180,100,0,0
6200,100,0,0
6220,100,0,0
6240,100,0,0
6260,100,0,0
6280,100,0,0
6300,100,0,0
6320,100,0,0
6340,100,0,0
6360,100,0,0
6380,100,0,0
6400,100,0,0
6420,100,0,0
6440,100,0,0
6460,100,0,0
6480,100,0,0
6500,100,0,0
6520,100,0,0
6540,100,0,0
6560,100,0,0
6580,100,0,0
6600,100,0,0
6620,100,0,0
6640,100,0,0
6660,100,0,0
6680,99,0,1
6700,99,0,1
6720,96,1,3
6740,98,0,2
6760,100,0,0
6780,100,0,0
6800,100,0,0
6820,100,0,0
6840,100,0,0
6860,100,0,0
6880,100,0,0
6900,100,0,0
6920,100,0,0
6940,100,0,0
6960,100,0,0
6980,100,0,0
7000,100,0,0
7020,100,0,0
7040,100,0,0
7060,100,0,0
7080,100,0,0
7100,100,0,0
7120,100,0,0
7140,100,0,0
7160,100,0,0
7180,100,0,0
7200,100,0,0
7220,100,0,0
7240,100,0,0
7260,100,0,0
7280,100,0,0
7300,100,0,0
7320,100,0,0
7340,100,0,0
7360,100,0,0
7380,100,0,0
7400,99,0,1
7420,100,0,0
7440,100,0,0
7460,100,0,0
7480,100,0,0
7500,100,0,0
7520,100,0,0
7540,100,0,0
7560,100,0,0
7580,100,0,0
7600,100,0,0
7620,100,0,0
7640,100,0,0
7660,100,0,0
7680,100,0,0
7700,100,0,0
7720,99,0,1
7740,100,0,0
7760,100,0,0
7780,100,0,0
7800,100,0,0
7820,100,0,0
