Accession,Organism_Name,Isolate,Species,Genus,Country,source,Host,Collection_Date,novel
HQ437707.1,Hepatovirus A,,Hepatovirus A,Hepatovirus,Russia,Homo sapiens,0,2007,0
JQ425480.1,Hepatovirus A,,Hepatovirus A,Hepatovirus,USA,Homo sapiens,0,2012,0
JQ655151.1,Hepatovirus A,Kor-HAV-F,Hepatovirus A,Hepatovirus,South Korea,Homo sapiens,0,2011,0
KC182587.1,Hepatovirus A,A2,Hepatovirus A,Hepatovirus,Mexico,Homo sapiens,0,2009,0
KF569906.1,Hepatovirus A,,Hepatovirus A,Hepatovirus,China,Homo sapiens,0,2012,0
KJ427799.1,Hepatovirus A,253042/2013,Hepatovirus A,Hepatovirus,Italy,Frozen berries,0,2013,0
KP177964.1,Hepatovirus A,td51,Hepatovirus A,Hepatovirus,China,Homo sapiens,0,2007,0
KP879216.1,Hepatovirus A,18f,Hepatovirus A,Hepatovirus,USA,Homo sapiens,0,1991,0
KP879217.1,Hepatovirus A,p16,Hepatovirus A,Hepatovirus,USA,Homo sapiens,0,1993,0
KT229611.1,Hepatovirus A,2ID,Hepatovirus A,Hepatovirus,China,Marmota monax,0,2013,0
KT229612.1,Hepatovirus A,3ID,Hepatovirus A,Hepatovirus,China,Marmota monax,0,2013,0
KT452641.1,Rodent hepatovirus,KS11510Myogla2011,Rodent hepatovirus,Hepatovirus,Germany,Myodes glareolus,0,2011,0
KT452661.1,Shrew hepatovirus,KS121289Sorara2012,Hepatovirus I,Hepatovirus,Germany,Sorex araneus,0,2012,0
KT452695.1,Hedgehog hepatovirus,Igel75Erieur2014,Hepatovirus H,Hepatovirus,Germany,Erinaceus europaeus,0,2014,0
KT452698.1,Hedgehog hepatovirus,Igel68Erieur2014,Hepatovirus H,Hepatovirus,Germany,Erinaceus europaeus,0,2014,0
KT819575.1,Hepatovirus A,KibOB-1,Hepatovirus A,Hepatovirus,Uganda,Papio anubis,0,2010,0
KX035096.1,Hepatovirus A,18f.1,Hepatovirus A,Hepatovirus,USA,Homo sapiens,0,2013,0
KX228694.1,Human hepatitis A virus,HAV/Egy/BI-11/2015,Hepatovirus A,Hepatovirus,Egypt,Homo sapiens,0,2014,0
KX420952.1,Hepatovirus A,KSA215,Hepatovirus A,Hepatovirus,Saudi Arabia,Rhinopoma hardwickii,1,2012,0
KX523680.1,Hepatovirus A,LV8,Hepatovirus A,Hepatovirus,China,Homo sapiens,0,1988,0
KY003229.1,Hepatovirus A,20160920,Hepatovirus A,Hepatovirus,South Africa,Homo sapiens,0,2011,0
LC049337.1,Hepatovirus A,MNA12-001,Hepatovirus A,Hepatovirus,Mongolia,Homo sapiens,0,2012,0
LC049338.1,Hepatovirus A,MNA09-B1141,Hepatovirus A,Hepatovirus,Mongolia,Homo sapiens,0,2009,0
LC049339.1,Hepatovirus A,MNA06-2130,Hepatovirus A,Hepatovirus,Mongolia,Homo sapiens,0,2006,0
LC049340.1,Hepatovirus A,MNA10-B1355,Hepatovirus A,Hepatovirus,Mongolia,Homo sapiens,0,2010,0
LC049341.1,Hepatovirus A,MNA12-130,Hepatovirus A,Hepatovirus,Mongolia,Homo sapiens,0,2012,0
LC049342.1,Hepatovirus A,MNA06-2148,Hepatovirus A,Hepatovirus,Mongolia,Homo sapiens,0,2012,0
LC128713.1,Hepatovirus A,,Hepatovirus A,Hepatovirus,Thailand,Homo sapiens,0,2000,0
LC191189.1,Hepatovirus A,HA16-0511,Hepatovirus A,Hepatovirus,Japan,Homo sapiens,0,2015,0
LC373510.1,Human hepatitis A virus,HA16-1496,Hepatovirus A,Hepatovirus,Japan,Homo sapiens,0,2014,0
LC416593.1,Human hepatitis A virus,HA18-0500,Hepatovirus A,Hepatovirus,Japan,Homo sapiens,0,2018,0
LC416594.1,Human hepatitis A virus,HA18-0551,Hepatovirus A,Hepatovirus,Japan,Homo sapiens,0,2018,0
LC416595.1,Human hepatitis A virus,HA18-0838,Hepatovirus A,Hepatovirus,Japan,Homo sapiens,0,2018,0
LC435031.1,Human hepatitis A virus,HA18-1053,Hepatovirus A,Hepatovirus,Japan,Homo sapiens,0,2018,0
LC435032.1,Human hepatitis A virus,HA18-1167,Hepatovirus A,Hepatovirus,Japan,Homo sapiens,0,2018,0
LC515196.1,Hepatovirus A,,Hepatovirus A,Hepatovirus,Gabon,Homo sapiens,0,2016,0
LC515197.1,Hepatovirus A,,Hepatovirus A,Hepatovirus,Gabon,Homo sapiens,0,2016,0
LC515198.1,Hepatovirus A,,Hepatovirus A,Hepatovirus,Gabon,Homo sapiens,0,2016,0
LC515199.1,Hepatovirus A,,Hepatovirus A,Hepatovirus,Gabon,Homo sapiens,0,2016,0
LC515200.1,Hepatovirus A,,Hepatovirus A,Hepatovirus,Gabon,Homo sapiens,0,2016,0
LC515201.1,Hepatovirus A,,Hepatovirus A,Hepatovirus,Gabon,Homo sapiens,0,2016,0
LC515202.1,Hepatovirus A,,Hepatovirus A,Hepatovirus,Gabon,Homo sapiens,0,2016,0
MG049743.1,Hepatovirus A,,Hepatovirus A,Hepatovirus,Brazil,Homo sapiens,0,2017,0
MG181943.1,Didelphis aurita hepatitis A virus,,Hepatovirus A,Hepatovirus,Brazil,Didelphis aurita,0,2015,0
MG546668.1,Human hepatitis A virus,Ahvaz,Hepatovirus A,Hepatovirus,Iran,Homo sapiens,0,2017,0
MG559674.1,Hepatovirus sp.,HepV-bat3206/Hipposideros_armiger/2011,Hepatovirus sp.,Hepatovirus,China,Hipposideros armiger,1,2011,0
MH577308.1,Hepatovirus A,,Hepatovirus A,Hepatovirus,USA,Homo sapiens,0,2017,0
MH577309.1,Hepatovirus A,,Hepatovirus A,Hepatovirus,USA,Homo sapiens,0,2017,0
MH577312.1,Hepatovirus A,,Hepatovirus A,Hepatovirus,USA,Homo sapiens,0,2017,0
MH577313.1,Hepatovirus A,,Hepatovirus A,Hepatovirus,USA,Homo sapiens,0,2017,0
MH577314.1,Hepatovirus A,,Hepatovirus A,Hepatovirus,USA,Homo sapiens,0,2018,0
MK829707.1,Hepatovirus A,NH2013,Hepatovirus A,Hepatovirus,USA,Homo sapiens,0,2013,0
MN062165.1,Hepatovirus A,,Hepatovirus A,Hepatovirus,USA,Homo sapiens,0,2018,0
MN062166.1,Hepatovirus A,,Hepatovirus A,Hepatovirus,USA,Homo sapiens,0,2018,0
MN062167.1,Hepatovirus A,,Hepatovirus A,Hepatovirus,USA,Homo sapiens,0,2018,0
MN832785.1,Hepatovirus A,18IRL46925,Hepatovirus A,Hepatovirus,Ireland,Homo sapiens,0,2018,0
MN832786.1,Hepatovirus A,18IRL89195,Hepatovirus A,Hepatovirus,Ireland,Homo sapiens,0,2018,0
MT181522.1,Hepatovirus A,,Hepatovirus A,Hepatovirus,United Kingdom,Cell culture,0,2019,0
MT457854.1,Hepatovirus sp.,,Hepatovirus sp.,Hepatovirus,Australia,Aves,0,2013,0
MW391925.1,Hepatovirus sp.,YS,Hepatovirus sp.,Hepatovirus,China,Apodemus peninsulae,0,2019,0
NC_001489.1,Hepatovirus A,,Hepatovirus A,Hepatovirus,USA,Homo sapiens,0,1987,0
NC_001547.1,Sindbis virus,,Sindbis virus,Alphavirus,USA,Cell culture,0,1981,0
NC_027818.1,Phopivirus,,Hepatovirus B,Hepatovirus,USA,Phoca vitulina,0,2011,0
NC_028363.1,Rodent hepatovirus RMU101637Micarv2010,RMU101637Micarv2010,Hepatovirus D,Hepatovirus,Germany,Microtus arvalis,0,2010,0
NC_028364.1,Shrew hepatovirus KS121232Sorara2012,KS121232Sorara2012,Hepatovirus I,Hepatovirus,Germany,Sorex araneus,0,2012,0
NC_028365.1,Hedgehog hepatovirus Igel8Erieur2014,Igel8Erieur2014,Hepatovirus H,Hepatovirus,Germany,Erinaceus europaeus,0,2014,0
NC_028366.1,hepatovirus H2,M32Eidhel2010,Hepatovirus H,Hepatovirus,Ghana,Eidolon helvum,1,2010,0
NC_028981.1,Tupaia hepatovirus A,TN1,Tupaia hepatovirus A,Hepatovirus,China,Tupaia chinensis,0,2012,0
NC_038313.1,Bat hepatovirus SMG18520Minmav2014,SMG18520Minmav2014,Hepatovirus C,Hepatovirus,Madagascar,Miniopterus,1,2014,0
NC_038314.1,Rodent hepatovirus CIV459Lopsik2004,CIV459Lopsik2004,Hepatovirus E,Hepatovirus,Cote d'Ivoire,Lophuromys sikapusi,0,2004,0
NC_038315.1,Rodent hepatovirus KEF121Sigmas2012,KEF121Sigmas2012,Hepatovirus F,Hepatovirus,Mexico,Sigmodon mascotensis,0,2012,0
NC_038316.1,Bat hepatovirus BUO2BF86Colafr2010,BUO2BF86Colafr2010,Hepatovirus G,Hepatovirus,Ghana,Coleura afra,0,2010,0
OK625565.1,Hepatovirus A,Hepatovirus A/0789/Haiti/2016,Hepatovirus A,Hepatovirus,Haiti,Homo sapiens,0,2016,0
OM302498.1,Eptesicus fuscus hepatovirus,15893,Eptesicus fuscus hepatovirus,Hepatovirus,USA,Eptesicus fuscus,1,2021,0
OQ161772.2,Hepatovirus A,HAV/Pecs/HUN-A394/2022/HUN,Hepatovirus A,Hepatovirus,Hungary,Homo sapiens,0,2022,0
OQ559662.1,Simian hepatitis A virus,SHAV/Macaca/Germany/2021,Hepatovirus A,Hepatovirus,Germany,Macaca fascicularis,0,2021,0
OR261026.1,Hepatovirus A,,Hepatovirus A,Hepatovirus,Australia,Homo sapiens,0,2023,0
OR261027.1,Hepatovirus A,,Hepatovirus A,Hepatovirus,Australia,Homo sapiens,0,2023,0
OR367421.1,Hepatovirus sp. 'sotense',CH-APSJS/2021,Hepatovirus sp. 'sotense',Hepatovirus,Brazil,Artibeus planirostris,0,2021,0
OR452341.1,Hepatovirus A,Chu-alp-02,Hepatovirus A,Hepatovirus,Bolivia,Vicugna pacos,0,2019,0
OR452343.1,Hepatovirus A,Chu-alp-20,Hepatovirus A,Hepatovirus,Bolivia,Vicugna pacos,0,2019,0
OR452344.1,Hepatovirus A,Chu-alp-21,Hepatovirus A,Hepatovirus,Bolivia,Vicugna pacos,0,2019,0
OR867083.1,Hepatovirus sp.,HAQL/13130,Hepatovirus sp.,Hepatovirus,China,Hipposideros armiger,1,2022,0
OR867084.1,Hepatovirus sp.,HAXW/11608,Hepatovirus sp.,Hepatovirus,China,Hipposideros armiger,1,2022,0
OR867085.1,Hepatovirus sp.,HAZY/12611,Hepatovirus sp.,Hepatovirus,China,Hipposideros armiger,1,2022,0
OR867086.1,Hepatovirus sp.,HLNN/50370,Hepatovirus sp.,Hepatovirus,China,Hipposideros larvatus,1,2015,0
OR951271.1,Hipposideros bat hepatovirus,GD2016,Hipposideros bat hepatovirus,Hepatovirus,China,Hipposideros larvatus,1,2016,0
OR951272.1,Hipposideros bat hepatovirus,GD2018,Hipposideros bat hepatovirus,Hepatovirus,China,Hipposideros larvatus,1,2018,0
OR951275.1,Hipposideros bat hepatovirus,HI2019,Hipposideros bat hepatovirus,Hepatovirus,China,Hipposideros larvatus,1,2019,0
OR951296.1,Hipposideros bat hepatovirus,YN2016,Hipposideros bat hepatovirus,Hepatovirus,China,Hipposideros armiger,1,2016,0
OR951317.1,Taphozous bat hepatovirus,GX2017_242_3607,Taphozous bat hepatovirus,Hepatovirus,China,Taphozous melanopogon,1,2017,0
OR951320.1,Taphozous bat hepatovirus,GX2017_243_69439,Taphozous bat hepatovirus,Hepatovirus,China,Taphozous melanopogon,1,2017,0
X83302.1,Hepatovirus A,,Hepatovirus A,Hepatovirus,Italy,Homo sapiens,0,1905,0
PP766455,Eidolon dupreanum hepatovirus,KEL72,Eidolon dupreanum hepatovirus,Hepatovirus,Madagascar,Eidolon dupreanum,1,2014,1
PP766457,Eidolon dupreanum hepatovirus,KEL148.1,Eidolon dupreanum hepatovirus,Hepatovirus,Madagascar,Eidolon dupreanum,1,2018,1
OQ818337,Eidolon dupreanum hepatovirus,KEL148,Eidolon dupreanum hepatovirus,Hepatovirus,Madagascar,Eidolon dupreanum,1,2018,1
