Accession,Organism_Name,Isolate,Species,Genus,Country,source,Host,Collection_Date,novel
OR672552.1,Sapovirus GI,QD-F-22013,Sapporo virus,Sapovirus,China,Homo sapiens,0,2022,0
OR672558.1,Sapovirus GI,QD-F-22112,Sapporo virus,Sapovirus,China,Homo sapiens,0,2022,0
OR672553.1,Sapovirus GI,RC-21013,Sapporo virus,Sapovirus,China,Homo sapiens,0,2020,0
OR672551.1,Sapovirus GI,RC-21071,Sapporo virus,Sapovirus,China,Homo sapiens,0,2021,0
OR672556.1,Sapovirus GI,RC-21100,Sapporo virus,Sapovirus,China,Homo sapiens,0,2021,0
OR672554.1,Sapovirus GI,RC-22152,Sapporo virus,Sapovirus,China,Homo sapiens,0,2022,0
MK250985.1,Sapovirus GI,BRA/TO-66,Sapporo virus,Sapovirus,Brazil,Homo sapiens,0,2015,0
OR672559.1,Sapovirus GI,RC-21020,Sapporo virus,Sapovirus,China,Homo sapiens,0,2021,0
LC504342.1,Sapovirus GI,,Sapporo virus,Sapovirus,Japan,Homo sapiens,0,2011,0
OP255973.1,Sapovirus GI,,Sapporo virus,Sapovirus,Netherlands,Homo sapiens,0,2016,0
LC504326.1,Sapovirus GI,,Sapporo virus,Sapovirus,Japan,Homo sapiens,0,2007,0
MK250987.1,Sapovirus GI,Hu/BRA/2014/GI.2/TO-89,Sapporo virus,Sapovirus,Brazil,Homo sapiens,0,2014,0
MK250986.1,Sapovirus GI,Hu/BRA/2013/GI.2/TO-07,Sapporo virus,Sapovirus,Brazil,Homo sapiens,0,2013,0
MK250988.1,Sapovirus GI,Hu/BRA/2015/GI.2/TO-90,Sapporo virus,Sapovirus,Brazil,Homo sapiens,0,2015,0
LC715151.1,Sapovirus GI,GI.1-AK20-P1,Sapporo virus,Sapovirus,Japan,Homo sapiens,0,2022,0
MG515476.1,Sapovirus GI,,Sapporo virus,Sapovirus,China,Homo sapiens,0,2016,0
MG515477.1,Sapovirus GI,,Sapporo virus,Sapovirus,China,Homo sapiens,0,2016,0
MG515478.1,Sapovirus GI,,Sapporo virus,Sapovirus,China,Homo sapiens,0,2016,0
MG515479.1,Sapovirus GI,,Sapporo virus,Sapovirus,China,Homo sapiens,0,2016,0
LC504350.1,Sapovirus GI,,Sapporo virus,Sapovirus,Japan,Homo sapiens,0,2012,0
LC504367.1,Sapovirus GI,,Sapporo virus,Sapovirus,Japan,Homo sapiens,0,2012,0
LC504385.1,Sapovirus GI,,Sapporo virus,Sapovirus,Japan,Homo sapiens,0,2013,0
LC504371.1,Sapovirus GI,,Sapporo virus,Sapovirus,Japan,Homo sapiens,0,2013,0
LC504354.1,Sapovirus GI,,Sapporo virus,Sapovirus,Japan,Homo sapiens,0,2013,0
LC504334.1,Sapovirus GI,,Sapporo virus,Sapovirus,Japan,Homo sapiens,0,2001,0
LC504364.1,Sapovirus GI,,Sapporo virus,Sapovirus,Japan,Homo sapiens,0,2012,0
LC504365.1,Sapovirus GI,,Sapporo virus,Sapovirus,Japan,Homo sapiens,0,2012,0
MK111628.1,Sapovirus GI.1,Hu/Guangzhou/GZ2013-L013/CHN/2013,Sapporo virus,Sapovirus,China,Homo sapiens,0,2013,0
MK111629.1,Sapovirus GI.1,Hu/Guangzhou/GZ2013-L030/CHN/2013,Sapporo virus,Sapovirus,China,Homo sapiens,0,2013,0
MK111630.1,Sapovirus GI.1,Hu/Guangzhou/GZ2014-L078/CHN/2014,Sapporo virus,Sapovirus,China,Homo sapiens,0,2014,0
LC671561.1,Sapovirus GI.1,AH20,Sapporo virus,Sapovirus,Japan,Homo sapiens,0,2020,0
MN102397.1,Sapovirus GI.2,,Sapporo virus,Sapovirus,Taiwan,Homo sapiens,0,2009,0
MN509083.1,Sapovirus GI.6,,Sapporo virus,Sapovirus,USA,Homo sapiens,0,2016,0
MZ488272.1,Sapovirus GII,G19_13.5_JUN17,Sapporo virus,Sapovirus,Mexico,Homo sapiens,0,2017,0
KP067444.1,Sapovirus GII,,Sapporo virus,Sapovirus,Philippines,Homo sapiens,0,2012,0
MG515473.1,Sapovirus GII,,Sapporo virus,Sapovirus,China,Homo sapiens,0,2015,0
MG515474.1,Sapovirus GII,,Sapporo virus,Sapovirus,China,Homo sapiens,0,2015,0
MG515475.1,Sapovirus GII,,Sapporo virus,Sapovirus,China,Homo sapiens,0,2015,0
LC715150.1,Sapovirus GII,GII.3-AK11-P1,Sapporo virus,Sapovirus,Japan,Homo sapiens,0,2022,0
LC504404.1,Sapovirus GII,,Sapporo virus,Sapovirus,Japan,Homo sapiens,0,2014,0
KX274477.1,Sapovirus GII.4,116006,Sapporo virus,Sapovirus,Brazil,Homo sapiens,0,2011,0
MN102403.1,Sapovirus GII.5,,Sapporo virus,Sapovirus,Taiwan,Homo sapiens,0,2008,0
MK599471.1,Sapovirus GII.8,Hu/Guangzhou/GZ2014-L231/CHN/2014,Sapporo virus,Sapovirus,China,Homo sapiens,0,2014,0
MN102408.1,Sapovirus GII.8,,Sapporo virus,Sapovirus,Taiwan,Homo sapiens,0,2014,0
MN102407.1,Sapovirus GII.8,,Sapporo virus,Sapovirus,Taiwan,Homo sapiens,0,2014,0
KX688105.1,Sapovirus GIII,1ah,Sapporo virus,Sapovirus,China,Sus scrofa,0,2010,0
OK484998.1,Sapovirus GIII,,Sapporo virus,Sapovirus,China,Sus scrofa,0,2020,0
OK484999.1,Sapovirus GIII,,Sapporo virus,Sapovirus,China,Sus scrofa,0,2020,0
MW285640.1,Sapovirus GIII,,Sapporo virus,Sapovirus,China,Sus scrofa,0,2020,0
MW285641.1,Sapovirus GIII,,Sapporo virus,Sapovirus,China,Sus scrofa,0,2020,0
OK485000.1,Sapovirus GIII,,Sapporo virus,Sapovirus,China,Sus scrofa,0,2020,0
MW285642.1,Sapovirus GIII,,Sapporo virus,Sapovirus,China,Sus scrofa,0,2020,0
KX688107.1,Sapovirus GIII,p2,Sapporo virus,Sapovirus,China,Sus scrofa,0,2015,0
LC215883.1,Sapovirus GIII/HgTa1,,Sapporo virus,Sapovirus,Japan,Sus scrofa,0,2016,0
LC215884.1,Sapovirus GIII/HgTa3-1,,Sapporo virus,Sapovirus,Japan,Sus scrofa,0,2016,0
LC215880.1,Sapovirus GIII/HgYa1-1,,Sapporo virus,Sapovirus,Japan,Sus scrofa,0,2016,0
LC215881.1,Sapovirus GIII/HgYa2-1,,Sapporo virus,Sapovirus,Japan,Sus scrofa,0,2016,0
LC215882.1,Sapovirus GIII/HgYa2-2,,Sapporo virus,Sapovirus,Japan,Sus scrofa,0,2016,0
LC215875.1,Sapovirus GIII/Ishi-Im1-3,,Sapporo virus,Sapovirus,Japan,Sus scrofa,0,2015,0
LC215876.1,Sapovirus GIII/Ishi-Im3-2,,Sapporo virus,Sapovirus,Japan,Sus scrofa,0,2015,0
LC215878.1,Sapovirus GIII/Ishi-Im7-1,,Sapporo virus,Sapovirus,Japan,Sus scrofa,0,2015,0
LC215877.1,Sapovirus GIII/Ishi-Kah3,,Sapporo virus,Sapovirus,Japan,Sus scrofa,0,2015,0
LC215879.1,Sapovirus GIII/Ishi-Kah6,,Sapporo virus,Sapovirus,Japan,Sus scrofa,0,2016,0
LC215874.1,Sapovirus GIII/MoI2-1-1,,Sapporo virus,Sapovirus,Japan,Sus scrofa,0,2015,0
MN102395.1,Sapovirus GIV.1,,Sapporo virus,Sapovirus,Taiwan,Homo sapiens,0,2008,0
OK484997.1,Sapovirus GV,,Sapporo virus,Sapovirus,China,Sus scrofa,0,2020,0
MW285639.1,Sapovirus GV,,Sapporo virus,Sapovirus,China,Sus scrofa,0,2020,0
LC483440.1,Sapovirus GV,,Sapporo virus,Sapovirus,Japan,Sus scrofa,0,2018,0
LC215885.1,Sapovirus GV/HkKa2-1,,Sapporo virus,Sapovirus,Japan,Sus scrofa,0,2015,0
KX000383.1,Sapovirus GV/WG194D-1,,Sapporo virus,Sapovirus,USA,Sus scrofa,0,2009,0
LC483441.1,Sapovirus GVI,,Sapporo virus,Sapovirus,Japan,Sus scrofa,0,2018,0
LC215886.1,Sapovirus GVI/HgOg2-4,,Sapporo virus,Sapovirus,Japan,Sus scrofa,0,2015,0
LC215887.1,Sapovirus GVI/Ishi-Im7-2,,Sapporo virus,Sapovirus,Japan,Sus scrofa,0,2016,0
LC215888.1,Sapovirus GVI/Ishi-Im9,,Sapporo virus,Sapovirus,Japan,Sus scrofa,0,2016,0
MF766258.1,Sapovirus GVII,Po/SH1703/China/2017,Sapporo virus,Sapovirus,China,Sus scrofa,0,2017,0
LC215889.1,Sapovirus GVII/HgTa2-1,,Sapporo virus,Sapovirus,Japan,Sus scrofa,0,2015,0
LC215890.1,Sapovirus GVII/HgTa2-2-1,,Sapporo virus,Sapovirus,Japan,Sus scrofa,0,2015,0
LC215892.1,Sapovirus GVII/Ishi-Im1-2,,Sapporo virus,Sapovirus,Japan,Sus scrofa,0,2015,0
LC215893.1,Sapovirus GVII/Ishi-Im1-4,,Sapporo virus,Sapovirus,Japan,Sus scrofa,0,2015,0
LC215894.1,Sapovirus GVII/Ishi-Im3-1,,Sapporo virus,Sapovirus,Japan,Sus scrofa,0,2015,0
LC215891.1,Sapovirus GVII/MoI2-1-2,,Sapporo virus,Sapovirus,Japan,Sus scrofa,0,2015,0
KX000384.1,Sapovirus GVII/RV0042,,Sapporo virus,Sapovirus,USA,Sus scrofa,0,2011,0
LC215895.1,Sapovirus GVIII/Ishi-Im1-1,,Sapporo virus,Sapovirus,Japan,Sus scrofa,0,2015,0
PP105600.1,Sapovirus GX,,Sapporo virus,Sapovirus,Hungary,Canis aureus,0,2020,0
LC215896.2,Sapovirus GX/HgTa2,,Sapporo virus,Sapovirus,Japan,Sus scrofa,0,2016,0
LC215897.2,Sapovirus GX/HgTa3-2,,Sapporo virus,Sapovirus,Japan,Sus scrofa,0,2016,0
LC215898.1,Sapovirus GXI/HgTa2-2-2,,Sapporo virus,Sapovirus,Japan,Sus scrofa,0,2015,0
LC215899.2,Sapovirus GXI/Ishi-Im7-3,,Sapporo virus,Sapovirus,Japan,Sus scrofa,0,2016,0
AB630068.3,Sapovirus Hu/20082029/2008/JP,,Sapporo virus,Sapovirus,Japan,Homo sapiens,0,2008,0
AB522390.3,Sapovirus Hu/D1714-B/2008/JPN,,Sapporo virus,Sapovirus,Japan,Homo sapiens,0,2008,0
NC_006269.1,Sapovirus Hu/Dresden/pJG-Sap01/DE,,Sapporo virus,Sapovirus,Germany,Homo sapiens,0,2007,0
JX993277.1,Sapovirus Hu/G1/BE-HPI01/DE/2012,BE-HPI01,Sapporo virus,Sapovirus,Germany,Homo sapiens,0,2012,0
KT327081.1,Sapovirus Hu/G1/Zhejiang1/China/2014,Hu/G1/Zhejiang1/China/2014,Sapporo virus,Sapovirus,China,Homo sapiens,0,2014,0
KP298674.1,Sapovirus Hu/GI.1/Seoul/ROK62/2013/KOR,,Sapporo virus,Sapovirus,South Korea,Homo sapiens,0,2013,0
AB614356.1,Sapovirus Hu/GI.2/BR-DF01/BRA/2009,Hu/GI.2/BR-DF01/BRA/2009,Sapporo virus,Sapovirus,Brazil,Homo sapiens,0,2009,0
LC380411.1,Sapovirus Hu/GI.6/Nichinan/FP05284/2005/JPN,,Sapporo virus,Sapovirus,Japan,Homo sapiens,0,2005,0
KX980412.1,Sapovirus Hu/GI/Hunan/China/2016,Hu/GI/Hunan/China/2016,Sapporo virus,Sapovirus,China,Homo sapiens,0,2016,0
NC_075724.1,Sapovirus Hu/GI/Sapporo/MT-2010/1982,,Sapporo virus,Sapovirus,Japan,Homo sapiens,0,1982,0
LC190463.1,Sapovirus Hu/GII/JP/2010/Kashiwa1,,Sapporo virus,Sapovirus,Japan,Homo sapiens,0,2010,0
AB689845.2,Sapovirus Hu/Kumamoto129/Jun2010/JPN,,Sapporo virus,Sapovirus,Japan,Homo sapiens,0,2010,0
AB689846.2,Sapovirus Hu/Kumamoto130/Jul2010/JPN,,Sapporo virus,Sapovirus,Japan,Homo sapiens,0,2010,0
AB455793.2,Sapovirus Hu/Kushiro5/2007/JP,Hu/Kushiro5/2007/JP,Sapporo virus,Sapovirus,Japan,Homo sapiens,0,2007,0
NC_027026.1,Sapovirus Hu/Nagoya/NGY-1/2012/JPN,,Sapporo virus,Sapovirus,Japan,Homo sapiens,0,2015,0
AB623037.2,Sapovirus Hu/OH08021/2008/JP,,Sapporo virus,Sapovirus,Japan,Homo sapiens,0,2008,0
NC_010624.1,Sapovirus Mc10,,Sapporo virus,Sapovirus,Thailand,Homo sapiens,0,2005,0
AY237422.3,Sapovirus Mc114,,Sapporo virus,Sapovirus,Japan,Homo sapiens,0,2004,0
AY237419.2,Sapovirus Mc2,,Sapporo virus,Sapovirus,Thailand,Homo sapiens,0,2004,0
AY237423.2,Sapovirus N21,,Sapporo virus,Sapovirus,Thailand,Homo sapiens,0,2004,0
AY646853.2,Sapovirus NongKhai-50/Thailand,,Sapporo virus,Sapovirus,Thailand,Homo sapiens,0,2004,0
KF204570.1,Sapovirus pig/Gansu/CH430/2012/CHN,CH430,Sapporo virus,Sapovirus,China,Sus scrofa,0,2012,0
KJ508818.1,Sapovirus pig/GVI/OH-JJ674/2000/US,,Sapporo virus,Sapovirus,USA,Sus scrofa,0,2000,0
FJ387164.1,Sapovirus pig/sav1/2008/CHN,Ch-sw-sav1,Sapporo virus,Sapovirus,China,Sus scrofa,0,2008,0
AY974192.2,Sapovirus Po/OH-JJ681/2000/US,Po/OH-JJ681/2000/US,Sapporo virus,Sapovirus,USA,Sus scrofa,0,2000,0
MH003837.1,Sapovirus rat/S4-82,,Sapovirus rat/S4-82,Sapovirus,China,Rattus norvegicus,0,2016,0
AY646855.2,Sapovirus SaKaeo-15/Thailand,,Sapporo virus,Sapovirus,Thailand,Homo sapiens,0,2004,0
MZ576278.1,Sapovirus Sapozj-9,,Sapovirus Sapozj-9,Sapovirus,China,Homo sapiens,0,2016,0
OR837777.1,Sapovirus sp.,SaV/A18/AFP18/NGR/2020/S018,Sapovirus sp.,Sapovirus,Nigeria,Homo sapiens,0,2020,0
OR517473.1,Sapovirus sp.,Hu/NI/2017/GI.2/CNDR695,Sapovirus sp.,Sapovirus,Nicaragua,Homo sapiens,0,2017,0
OR837774.1,Sapovirus sp.,SaV/A14/AFP01/NGR/2020/S01,Sapovirus sp.,Sapovirus,Nigeria,Homo sapiens,0,2020,0
MF944258.1,Sapovirus sp.,,Sapovirus sp.,Sapovirus,China,Homo sapiens,0,2015,0
MN187064.1,Sapovirus sp.,,Sapovirus sp.,Sapovirus,China,Homo sapiens,0,2015,0
OR837779.1,Sapovirus sp.,SaV/A36/AFP33/NGR/2020/S033,Sapovirus sp.,Sapovirus,Nigeria,Homo sapiens,0,2020,0
OR837776.1,Sapovirus sp.,SaV/A16/AFP15/NGR/2020/S015,Sapovirus sp.,Sapovirus,Nigeria,Homo sapiens,0,2020,0
OR837781.1,Sapovirus sp.,SaV/A143/AFP46/NGR/2020/S046,Sapovirus sp.,Sapovirus,Nigeria,Homo sapiens,0,2020,0
OR837780.1,Sapovirus sp.,SaV/A143/AFP39/NGR/2020/S039,Sapovirus sp.,Sapovirus,Nigeria,Homo sapiens,0,2020,0
KY040366.1,Sapporo virus,,Sapporo virus,Sapovirus,Sweden,Homo sapiens,0,2016,0
KX431437.1,Sapporo virus,Hu/GV/0003/Sollentuna/2016/SWE,Sapporo virus,Sapovirus,Sweden,Homo sapiens,0,2016,0
NC_001547.1,Sindbis virus,,Sindbis virus,Alphavirus,USA,Cell culture,0,1981,0
PP766459,Eidolon dupreanum sapovirus 1,KEL168,Eidolon dupreanum sapovirus 1,Sapovirus,Madagascar,Eidolon dupreanum,1,2018,1
