Accession,Organism_Name,Isolate,Species,Genus,Country,Host,Collection_Date
MW316756.1,Porcine sapovirus,,Sapporo virus,Sapovirus,USA,Sus scrofa,2019-08-06
MW316744.1,Porcine sapovirus,,Sapporo virus,Sapovirus,USA,Sus scrofa,2020-02-25
MW316751.1,Porcine sapovirus,,Sapporo virus,Sapovirus,USA,Sus scrofa,2020-09-01
MW316743.1,Porcine sapovirus,,Sapporo virus,Sapovirus,USA,Sus scrofa,2019-02-12
MW316750.1,Porcine sapovirus,,Sapporo virus,Sapovirus,USA,Sus scrofa,2020-09-01
MK965904.1,Porcine sapovirus,,Sapporo virus,Sapovirus,USA,Sus scrofa,2019
MK965898.1,Porcine sapovirus,,Sapporo virus,Sapovirus,USA,Sus scrofa,2019
MW316759.1,Porcine sapovirus,,Sapporo virus,Sapovirus,USA,Sus scrofa,2019-10-01
KT922089.1,Porcine sapovirus,,Sapporo virus,Sapovirus,USA,,
NC_006554.1,Sapovirus C12,,Sapporo virus,Sapovirus,Japan,,
AY646854.2,Sapovirus Chanthaburi-74/Thailand,,Sapporo virus,Sapovirus,Thailand,,
AB522397.2,Sapovirus D1737-A/Jun2008/JPN,,Sapporo virus,Sapovirus,Japan,Homo sapiens,
MK250983.1,Sapovirus GI,Hu/BRA/2015/GI.2/TO-65,Sapporo virus,Sapovirus,Brazil,Homo sapiens,2015
MK250984.1,Sapovirus GI,Hu/BRA/2014/GI.2/TO-31,Sapporo virus,Sapovirus,Brazil,Homo sapiens,2014
LC504312.1,Sapovirus GI,,Sapporo virus,Sapovirus,Japan,Homo sapiens,2013
LC504315.1,Sapovirus GI,,Sapporo virus,Sapovirus,Japan,Homo sapiens,2013
LC504341.1,Sapovirus GI,,Sapporo virus,Sapovirus,Japan,Homo sapiens,2010
OR672557.1,Sapovirus GI,QD-F-22007,Sapporo virus,Sapovirus,China,Homo sapiens,2022-01-17
OR672555.1,Sapovirus GI,QD-F-22010,Sapporo virus,Sapovirus,China,Homo sapiens,2022-01-25
OR672552.1,Sapovirus GI,QD-F-22013,Sapporo virus,Sapovirus,China,Homo sapiens,2022-02-15
OR672558.1,Sapovirus GI,QD-F-22112,Sapporo virus,Sapovirus,China,Homo sapiens,2022-10-07
OR672553.1,Sapovirus GI,RC-21013,Sapporo virus,Sapovirus,China,Homo sapiens,2020-02-03
OR672551.1,Sapovirus GI,RC-21071,Sapporo virus,Sapovirus,China,Homo sapiens,2021-10-20
OR672556.1,Sapovirus GI,RC-21100,Sapporo virus,Sapovirus,China,Homo sapiens,2021-10-28
OR672554.1,Sapovirus GI,RC-22152,Sapporo virus,Sapovirus,China,Homo sapiens,2022-11-17
MK250985.1,Sapovirus GI,BRA/TO-66,Sapporo virus,Sapovirus,Brazil,Homo sapiens,2015
OR672559.1,Sapovirus GI,RC-21020,Sapporo virus,Sapovirus,China,Homo sapiens,2021-02-28
LC504342.1,Sapovirus GI,,Sapporo virus,Sapovirus,Japan,Homo sapiens,2011
OP255973.1,Sapovirus GI,,Sapporo virus,Sapovirus,Netherlands,Homo sapiens,2016-08-16
LC504326.1,Sapovirus GI,,Sapporo virus,Sapovirus,Japan,Homo sapiens,2007
MK250987.1,Sapovirus GI,Hu/BRA/2014/GI.2/TO-89,Sapporo virus,Sapovirus,Brazil,Homo sapiens,2014
MK250986.1,Sapovirus GI,Hu/BRA/2013/GI.2/TO-07,Sapporo virus,Sapovirus,Brazil,Homo sapiens,2013
MK250988.1,Sapovirus GI,Hu/BRA/2015/GI.2/TO-90,Sapporo virus,Sapovirus,Brazil,Homo sapiens,2015
LC715151.1,Sapovirus GI,GI.1-AK20-P1,Sapporo virus,Sapovirus,Japan,Homo sapiens,
MG515476.1,Sapovirus GI,,Sapporo virus,Sapovirus,China,Homo sapiens,16-Oct
MG515477.1,Sapovirus GI,,Sapporo virus,Sapovirus,China,Homo sapiens,16-Oct
MG515478.1,Sapovirus GI,,Sapporo virus,Sapovirus,China,Homo sapiens,16-Oct
MG515479.1,Sapovirus GI,,Sapporo virus,Sapovirus,China,Homo sapiens,16-Oct
LC504350.1,Sapovirus GI,,Sapporo virus,Sapovirus,Japan,Homo sapiens,2012
LC504367.1,Sapovirus GI,,Sapporo virus,Sapovirus,Japan,Homo sapiens,2012
LC504385.1,Sapovirus GI,,Sapporo virus,Sapovirus,Japan,Homo sapiens,2013
LC504371.1,Sapovirus GI,,Sapporo virus,Sapovirus,Japan,Homo sapiens,2013
LC504354.1,Sapovirus GI,,Sapporo virus,Sapovirus,Japan,Homo sapiens,2013
LC504334.1,Sapovirus GI,,Sapporo virus,Sapovirus,Japan,Homo sapiens,2001
LC504364.1,Sapovirus GI,,Sapporo virus,Sapovirus,Japan,Homo sapiens,2012
LC504365.1,Sapovirus GI,,Sapporo virus,Sapovirus,Japan,Homo sapiens,2012
MK111628.1,Sapovirus GI.1,Hu/Guangzhou/GZ2013-L013/CHN/2013,Sapporo virus,Sapovirus,China,Homo sapiens,2013-11-05
MK111629.1,Sapovirus GI.1,Hu/Guangzhou/GZ2013-L030/CHN/2013,Sapporo virus,Sapovirus,China,Homo sapiens,2013-11-26
MK111630.1,Sapovirus GI.1,Hu/Guangzhou/GZ2014-L078/CHN/2014,Sapporo virus,Sapovirus,China,Homo sapiens,2014-01-09
LC671561.1,Sapovirus GI.1,AH20,Sapporo virus,Sapovirus,Japan,Homo sapiens,2020-02-20
MN102397.1,Sapovirus GI.2,,Sapporo virus,Sapovirus,Taiwan,Homo sapiens,09-Jun
MN509083.1,Sapovirus GI.6,,Sapporo virus,Sapovirus,USA,Homo sapiens,16-Jan
MZ488272.1,Sapovirus GII,G19_13.5_JUN17,Sapporo virus,Sapovirus,Mexico,Homo sapiens,2017-06-21
KP067444.1,Sapovirus GII,,Sapporo virus,Sapovirus,Philippines,Homo sapiens,2012-09-29
MG515473.1,Sapovirus GII,,Sapporo virus,Sapovirus,China,Homo sapiens,15-Dec
MG515474.1,Sapovirus GII,,Sapporo virus,Sapovirus,China,Homo sapiens,15-Dec
MG515475.1,Sapovirus GII,,Sapporo virus,Sapovirus,China,Homo sapiens,15-Dec
LC715150.1,Sapovirus GII,GII.3-AK11-P1,Sapporo virus,Sapovirus,Japan,Homo sapiens,
LC504404.1,Sapovirus GII,,Sapporo virus,Sapovirus,Japan,Homo sapiens,2014
KX274477.1,Sapovirus GII.4,116006,Sapporo virus,Sapovirus,Brazil,Homo sapiens,2011-09-02
MN102403.1,Sapovirus GII.5,,Sapporo virus,Sapovirus,Taiwan,Homo sapiens,08-Mar
MK599471.1,Sapovirus GII.8,Hu/Guangzhou/GZ2014-L231/CHN/2014,Sapporo virus,Sapovirus,China,Homo sapiens,2014-06-18
MN102408.1,Sapovirus GII.8,,Sapporo virus,Sapovirus,Taiwan,Homo sapiens,14-Apr
MN102407.1,Sapovirus GII.8,,Sapporo virus,Sapovirus,Taiwan,Homo sapiens,14-Apr
KX688105.1,Sapovirus GIII,1ah,Sapporo virus,Sapovirus,China,Sus scrofa,2010
OK484998.1,Sapovirus GIII,,Sapporo virus,Sapovirus,China,Sus scrofa,2020-06-08
OK484999.1,Sapovirus GIII,,Sapporo virus,Sapovirus,China,Sus scrofa,2020-06-08
MW285640.1,Sapovirus GIII,,Sapporo virus,Sapovirus,China,Sus scrofa,2020-06-28
MW285641.1,Sapovirus GIII,,Sapporo virus,Sapovirus,China,Sus scrofa,2020-07-24
OK485000.1,Sapovirus GIII,,Sapporo virus,Sapovirus,China,Sus scrofa,2020-06-08
MW285642.1,Sapovirus GIII,,Sapporo virus,Sapovirus,China,Sus scrofa,2020-08-08
KX688107.1,Sapovirus GIII,p2,Sapporo virus,Sapovirus,China,Sus scrofa,2015-10-16
LC215883.1,Sapovirus GIII/HgTa1,,Sapporo virus,Sapovirus,Japan,Sus scrofa,16-Dec
LC215884.1,Sapovirus GIII/HgTa3-1,,Sapporo virus,Sapovirus,Japan,Sus scrofa,16-Dec
LC215880.1,Sapovirus GIII/HgYa1-1,,Sapporo virus,Sapovirus,Japan,Sus scrofa,16-Dec
LC215881.1,Sapovirus GIII/HgYa2-1,,Sapporo virus,Sapovirus,Japan,Sus scrofa,16-Dec
LC215882.1,Sapovirus GIII/HgYa2-2,,Sapporo virus,Sapovirus,Japan,Sus scrofa,16-Dec
LC215875.1,Sapovirus GIII/Ishi-Im1-3,,Sapporo virus,Sapovirus,Japan,Sus scrofa,15-Nov
LC215876.1,Sapovirus GIII/Ishi-Im3-2,,Sapporo virus,Sapovirus,Japan,Sus scrofa,15-Nov
LC215878.1,Sapovirus GIII/Ishi-Im7-1,,Sapporo virus,Sapovirus,Japan,Sus scrofa,15-Nov
LC215877.1,Sapovirus GIII/Ishi-Kah3,,Sapporo virus,Sapovirus,Japan,Sus scrofa,15-Nov
LC215879.1,Sapovirus GIII/Ishi-Kah6,,Sapporo virus,Sapovirus,Japan,Sus scrofa,16-Nov
LC215874.1,Sapovirus GIII/MoI2-1-1,,Sapporo virus,Sapovirus,Japan,Sus scrofa,15-Sep
MN102395.1,Sapovirus GIV.1,,Sapporo virus,Sapovirus,Taiwan,Homo sapiens,08-Mar
OK484997.1,Sapovirus GV,,Sapporo virus,Sapovirus,China,Sus scrofa,2020-06-18
MW285639.1,Sapovirus GV,,Sapporo virus,Sapovirus,China,Sus scrofa,2020-05-28
LC483440.1,Sapovirus GV,,Sapporo virus,Sapovirus,Japan,Sus scrofa,2018-11-15
LC215885.1,Sapovirus GV/HkKa2-1,,Sapporo virus,Sapovirus,Japan,Sus scrofa,15-Sep
KX000383.1,Sapovirus GV/WG194D-1,,Sapporo virus,Sapovirus,USA,Sus scrofa,2009-07-22
LC483441.1,Sapovirus GVI,,Sapporo virus,Sapovirus,Japan,Sus scrofa,2018-06-19
LC215886.1,Sapovirus GVI/HgOg2-4,,Sapporo virus,Sapovirus,Japan,Sus scrofa,15-Sep
LC215887.1,Sapovirus GVI/Ishi-Im7-2,,Sapporo virus,Sapovirus,Japan,Sus scrofa,16-Nov
LC215888.1,Sapovirus GVI/Ishi-Im9,,Sapporo virus,Sapovirus,Japan,Sus scrofa,16-Nov
MF766258.1,Sapovirus GVII,Po/SH1703/China/2017,Sapporo virus,Sapovirus,China,Sus scrofa,2017-03-20
LC215889.1,Sapovirus GVII/HgTa2-1,,Sapporo virus,Sapovirus,Japan,Sus scrofa,15-Sep
LC215890.1,Sapovirus GVII/HgTa2-2-1,,Sapporo virus,Sapovirus,Japan,Sus scrofa,15-Sep
LC215892.1,Sapovirus GVII/Ishi-Im1-2,,Sapporo virus,Sapovirus,Japan,Sus scrofa,15-Nov
LC215893.1,Sapovirus GVII/Ishi-Im1-4,,Sapporo virus,Sapovirus,Japan,Sus scrofa,15-Nov
LC215894.1,Sapovirus GVII/Ishi-Im3-1,,Sapporo virus,Sapovirus,Japan,Sus scrofa,15-Nov
LC215891.1,Sapovirus GVII/MoI2-1-2,,Sapporo virus,Sapovirus,Japan,Sus scrofa,15-Sep
KX000384.1,Sapovirus GVII/RV0042,,Sapporo virus,Sapovirus,USA,Sus scrofa,2011-06-22
LC215895.1,Sapovirus GVIII/Ishi-Im1-1,,Sapporo virus,Sapovirus,Japan,Sus scrofa,15-Nov
PP105600.1,Sapovirus GX,,Sapporo virus,Sapovirus,Hungary,Canis aureus,20-May
LC215896.2,Sapovirus GX/HgTa2,,Sapporo virus,Sapovirus,Japan,Sus scrofa,16-Dec
LC215897.2,Sapovirus GX/HgTa3-2,,Sapporo virus,Sapovirus,Japan,Sus scrofa,16-Dec
LC215898.1,Sapovirus GXI/HgTa2-2-2,,Sapporo virus,Sapovirus,Japan,Sus scrofa,15-Sep
LC215899.2,Sapovirus GXI/Ishi-Im7-3,,Sapporo virus,Sapovirus,Japan,Sus scrofa,16-Nov
AB630068.3,Sapovirus Hu/20082029/2008/JP,,Sapporo virus,Sapovirus,Japan,Homo sapiens,08-May
AB522390.3,Sapovirus Hu/D1714-B/2008/JPN,,Sapporo virus,Sapovirus,Japan,Homo sapiens,08-Jun
NC_006269.1,Sapovirus Hu/Dresden/pJG-Sap01/DE,,Sapporo virus,Sapovirus,,,
JX993277.1,Sapovirus Hu/G1/BE-HPI01/DE/2012,BE-HPI01,Sapporo virus,Sapovirus,Germany,Homo sapiens,2012-10-01
KT327081.1,Sapovirus Hu/G1/Zhejiang1/China/2014,Hu/G1/Zhejiang1/China/2014,Sapporo virus,Sapovirus,China,Homo sapiens,2014-12-26
KP298674.1,Sapovirus Hu/GI.1/Seoul/ROK62/2013/KOR,,Sapporo virus,Sapovirus,South Korea,Homo sapiens,2013-12-23
AB614356.1,Sapovirus Hu/GI.2/BR-DF01/BRA/2009,Hu/GI.2/BR-DF01/BRA/2009,Sapporo virus,Sapovirus,Brazil,Homo sapiens,09-Feb
LC380411.1,Sapovirus Hu/GI.6/Nichinan/FP05284/2005/JPN,,Sapporo virus,Sapovirus,Japan,Homo sapiens,05-May
KX980412.1,Sapovirus Hu/GI/Hunan/China/2016,Hu/GI/Hunan/China/2016,Sapporo virus,Sapovirus,China,Homo sapiens,2016-10-11
NC_075724.1,Sapovirus Hu/GI/Sapporo/MT-2010/1982,,Sapporo virus,Sapovirus,Japan,Homo sapiens,1982
LC190463.1,Sapovirus Hu/GII/JP/2010/Kashiwa1,,Sapporo virus,Sapovirus,Japan,,10-Apr
AB689845.2,Sapovirus Hu/Kumamoto129/Jun2010/JPN,,Sapporo virus,Sapovirus,Japan,Homo sapiens,10-Jun
AB689846.2,Sapovirus Hu/Kumamoto130/Jul2010/JPN,,Sapporo virus,Sapovirus,Japan,Homo sapiens,10-Jul
AB455793.2,Sapovirus Hu/Kushiro5/2007/JP,Hu/Kushiro5/2007/JP,Sapporo virus,Sapovirus,,,
NC_027026.1,Sapovirus Hu/Nagoya/NGY-1/2012/JPN,,Sapporo virus,Sapovirus,Japan,,
AB623037.2,Sapovirus Hu/OH08021/2008/JP,,Sapporo virus,Sapovirus,Japan,Homo sapiens,08-Nov
NC_010624.1,Sapovirus Mc10,,Sapporo virus,Sapovirus,Thailand,,
AY237422.3,Sapovirus Mc114,,Sapporo virus,Sapovirus,Japan,Homo sapiens,
AY237419.2,Sapovirus Mc2,,Sapporo virus,Sapovirus,Thailand,,
AY237423.2,Sapovirus N21,,Sapporo virus,Sapovirus,,,
AY646853.2,Sapovirus NongKhai-50/Thailand,,Sapporo virus,Sapovirus,Thailand,,
KF204570.1,Sapovirus pig/Gansu/CH430/2012/CHN,CH430,Sapporo virus,Sapovirus,China,Sus scrofa,12-Jun
KJ508818.1,Sapovirus pig/GVI/OH-JJ674/2000/US,,Sapporo virus,Sapovirus,USA,Sus scrofa,2000
FJ387164.1,Sapovirus pig/sav1/2008/CHN,Ch-sw-sav1,Sapporo virus,Sapovirus,China,Sus scrofa,08-Apr
AY974192.2,Sapovirus Po/OH-JJ681/2000/US,Po/OH-JJ681/2000/US,Sapporo virus,Sapovirus,USA,Sus scrofa,2000
MH003837.1,Sapovirus rat/S4-82,,Sapovirus rat/S4-82,Sapovirus,China,Rattus norvegicus,2016
AY646855.2,Sapovirus SaKaeo-15/Thailand,,Sapporo virus,Sapovirus,Thailand,,
MZ576278.1,Sapovirus Sapozj-9,,Sapovirus Sapozj-9,Sapovirus,China,Homo sapiens,2016
OR837777.1,Sapovirus sp.,SaV/A18/AFP18/NGR/2020/S018,Sapovirus sp.,Sapovirus,Nigeria,Homo sapiens,20-May
OR517473.1,Sapovirus sp.,Hu/NI/2017/GI.2/CNDR695,Sapovirus sp.,Sapovirus,Nicaragua,Homo sapiens,2017
OR837774.1,Sapovirus sp.,SaV/A14/AFP01/NGR/2020/S01,Sapovirus sp.,Sapovirus,Nigeria,Homo sapiens,20-Jan
MF944258.1,Sapovirus sp.,,Sapovirus sp.,Sapovirus,China,Homo sapiens,2015-10-18
MN187064.1,Sapovirus sp.,,Sapovirus sp.,Sapovirus,China,Homo sapiens,2015-09-07
OR837779.1,Sapovirus sp.,SaV/A36/AFP33/NGR/2020/S033,Sapovirus sp.,Sapovirus,Nigeria,Homo sapiens,20-Aug
OR837776.1,Sapovirus sp.,SaV/A16/AFP15/NGR/2020/S015,Sapovirus sp.,Sapovirus,Nigeria,Homo sapiens,20-Apr
OR837781.1,Sapovirus sp.,SaV/A143/AFP46/NGR/2020/S046,Sapovirus sp.,Sapovirus,Nigeria,Homo sapiens,20-Nov
OR837780.1,Sapovirus sp.,SaV/A143/AFP39/NGR/2020/S039,Sapovirus sp.,Sapovirus,Nigeria,Homo sapiens,20-Sep
KY040366.1,Sapporo virus,,Sapporo virus,Sapovirus,Sweden,Homo sapiens,16-Jun
KX431437.1,Sapporo virus,Hu/GV/0003/Sollentuna/2016/SWE,Sapporo virus,Sapovirus,Sweden,Homo sapiens,2016
NC_001547.1,Sindbis virus,,Sindbis virus,Alphavirus,USA,Cell culture,1981
OQ818319,Eidolon dupreanum sapovirus 1,KEL166,Eidolon dupreanum sapovirus 1,Sapovirus,Madagascar,Eidolon dupreanum,2018
OQ818340,Eidolon dupreanum sapovirus 2,KEL207,Eidolon dupreanum sapovirus 2,Sapovirus,Madagascar,Eidolon dupreanum,2018
PP766459,Eidolon dupreanum sapovirus 1,KEL168,Eidolon dupreanum sapovirus 1,Sapovirus,Madagascar,Eidolon dupreanum,2018
