sample_id,any_picorna,any_calici,any_pos,virus_general,dataset,specific_roost_site,roost_site,latitude_s,longitude_e,sampling_session,processing_date,year,bat_species,bat_sex,bat_age_class,young_of_year,pupmom_pair,pup_or_mom,sampleid_pupmom_pair,bat_weight_g,body_length_cm,bat_forearm_mm,bat_tibia_mm,ear_length_mm,gonad_length_mm,gonad_width_mm,predicted_mass_g,mass_forearm_residual
AMB129,0,0,0,,CZID,Ambakoana,Ambakoana,-18.513,48.1665,40,2018-02-25,2018,Pteropus rufus,male,A,no,no,NA,NA,580,24.8,167,78.8,21.6,8.4,10.4,645.2375201,-65.23752008
AMB13,0,0,0,,NIH,Ambakoana,Ambakoana,-18.513,48.1665,3,2013-11-18,2013,Pteropus rufus,female,L,NA,NA,NA,NA,650,26,161,81.2,20.8,NA,NA,NA,NA
AMB130,0,0,0,,CZID,Ambakoana,Ambakoana,-18.513,48.1665,40,2018-02-26,2018,Pteropus rufus,female,NL,no,no,NA,NA,565,23.9,168,75.2,26.3,7.1,11.5,579.5212872,-14.5212872
AMB131,0,0,0,,CZID,Ambakoana,Ambakoana,-18.513,48.1665,40,2018-02-27,2018,Pteropus rufus,female,NL,no,no,NA,NA,580,25.9,167,81.5,23.6,5.8,8.1,574.5379607,5.462039278
AMB132,0,0,0,,CZID,Ambakoana,Ambakoana,-18.513,48.1665,40,2018-02-28,2018,Pteropus rufus,male,A,no,no,NA,NA,685,26.4,168,79.5,25.2,19.95,20.3,654.4259542,30.57404584
AMB133,0,0,0,,CZID,Ambakoana,Ambakoana,-18.513,48.1665,40,2018-02-28,2018,Pteropus rufus,male,J,yes,no,NA,NA,370,23.4,155,68,25.5,16.4,17.1,NA,NA
AMB134,0,0,0,,CZID,Ambakoana,Ambakoana,-18.513,48.1665,40,2018-03-01,2018,Pteropus rufus,male,A,no,no,NA,NA,730,21.2,168,77.9,27.6,20.3,22.7,654.4259542,75.57404584
AMB135,0,0,0,,CZID,Ambakoana,Ambakoana,-18.513,48.1665,40,2018-03-01,2018,Pteropus rufus,male,A,no,no,NA,NA,770,26.1,178,69.3,22.7,18,18.8,750.4704682,19.52953185
AMB137,0,0,0,,CZID,Ambakoana,Ambakoana,-18.513,48.1665,40,2018-03-01,2018,Pteropus rufus,female,J,yes,no,NA,NA,350,21.6,140.3,62.3,19.9,small,small,NA,NA
AMB138,0,0,0,,CZID,Ambakoana,Ambakoana,-18.513,48.1665,40,2018-03-02,2018,Pteropus rufus,male,A,no,no,NA,NA,785,29.8,169,79.9,24.2,19.6,22.4,663.6895379,121.3104621
AMB139,0,0,0,,CZID,Ambakoana,Ambakoana,-18.513,48.1665,40,2018-03-02,2018,Pteropus rufus,male,A,no,no,NA,NA,670,25.2,164,80.4,22.4,16.4,20.1,618.1214614,51.87853858
AMB140,0,0,0,,CZID,Ambakoana,Ambakoana,-18.513,48.1665,44,2018-04-16,2018,Pteropus rufus,female,J,yes,no,NA,NA,315,23.5,138,64.3,27.2,4.7,1.3,NA,NA
AMB141,0,0,0,,CZID/NIH,Ambakoana,Ambakoana,-18.513,48.1665,44,2018-04-16,2018,Pteropus rufus,male,A,no,no,NA,NA,710,28.6,174,80.7,27.4,24.6,18,711.1404373,-1.140437341
AMB142,0,0,0,,CZID,Ambakoana,Ambakoana,-18.513,48.1665,44,2018-04-17,2018,Pteropus rufus,male,J,yes,no,NA,NA,310,23,141,68.1,28.5,small,small,NA,NA
AMB143,0,0,0,,CZID,Ambakoana,Ambakoana,-18.513,48.1665,44,2018-04-17,2018,Pteropus rufus,male,A,no,no,NA,NA,880,27,170,84,27.4,18.3,17,673.0284357,206.9715643
AMB144,0,0,0,,CZID,Ambakoana,Ambakoana,-18.513,48.1665,44,2018-04-17,2018,Pteropus rufus,male,J,yes,no,NA,NA,460,23.5,151,72.9,27.8,small,small,NA,NA
AMB145,0,0,0,,CZID,Ambakoana,Ambakoana,-18.513,48.1665,44,2018-04-18,2018,Pteropus rufus,male,A,no,no,NA,NA,630,28.4,167,81.6,26.6,16.4,15.2,645.2375201,-15.23752008
AMB146,0,0,0,,CZID,Ambakoana,Ambakoana,-18.513,48.1665,44,2018-04-19,2018,Pteropus rufus,male,J,yes,no,NA,NA,400,23,145,70.1,25.3,small,small,NA,NA
AMB147,0,0,0,,CZID,Ambakoana,Ambakoana,-18.513,48.1665,44,2018-04-21,2018,Pteropus rufus,male,A,no,no,NA,NA,620,25,167,81,30.5,unknown,unknown,645.2375201,-25.23752008
AMB149,0,0,0,,CZID,Ambakoana,Ambakoana,-18.513,48.1665,48,2018-08-05,2018,Pteropus rufus,female,NL,no,no,NA,NA,480,22.5,145.5,69.9,28.5,6.1,2.8,470.6920709,9.307929051
AMB15,0,0,0,,CZID,Ambakoana,Ambakoana,-18.513,48.1665,3,2013-11-18,2013,Pteropus rufus,male,J,NA,NA,NA,NA,130,15,96,54,20.8,NA,NA,NA,NA
AMB150,1,0,1,Mischivirus,CZID,Ambakoana,Ambakoana,-18.513,48.1665,48,2018-08-06,2018,Pteropus rufus,male,A,no,no,NA,NA,415,23,146.9,67.1,37.4,small,small,476.2230735,-61.2230735
AMB151,0,0,0,,CZID,Ambakoana,Ambakoana,-18.513,48.1665,48,2018-08-07,2018,Pteropus rufus,male,A,no,no,NA,NA,550,25.5,168,84.5,27.5,small,small,654.4259542,-104.4259542
AMB152,0,0,0,,CZID,Ambakoana,Ambakoana,-18.513,48.1665,48,2018-08-07,2018,Pteropus rufus,male,A,no,no,NA,NA,660,27,170,83.9,35,small,small,673.0284357,-13.02843575
AMB153,0,0,0,,CZID,Ambakoana,Ambakoana,-18.513,48.1665,48,2018-08-07,2018,Pteropus rufus,male,J,yes,no,NA,NA,490,24,147.8,71.3,28.9,small,small,NA,NA
AMB154,0,0,0,,CZID,Ambakoana,Ambakoana,-18.513,48.1665,48,2018-08-07,2018,Pteropus rufus,female,J,yes,no,NA,NA,445,21.5,147.6,72,26.1,1.4,3.3,NA,NA
AMB155,0,0,0,,CZID,Ambakoana,Ambakoana,-18.513,48.1665,48,2018-08-08,2018,Pteropus rufus,female,NL,no,no,NA,NA,495,23,160,81.5,28.7,small,2.3,540.0298056,-45.02980558
AMB156,0,0,0,,CZID,Ambakoana,Ambakoana,-18.513,48.1665,54,2018-12-21,2018,Pteropus rufus,female,L,no,no,NA,NA,590,24.5,158,82.68,25.2,13.49,10.71,530.2922812,59.7077188
AMB157,0,0,0,,CZID,Ambakoana,Ambakoana,-18.513,48.1665,54,2018-12-24,2018,Pteropus rufus,male,A,no,no,NA,NA,780,25.5,170,84.64,31,19.5,17.84,673.0284357,106.9715643
AMB158,0,0,0,,CZID,Ambakoana,Ambakoana,-18.513,48.1665,57,2019-01-06,2019,Pteropus rufus,male,A,no,no,NA,NA,790,27,172,86.3,30.9,21.85,18.95,691.9328289,98.06717113
AMB159,0,0,0,,CZID/NIH,Ambakoana,Ambakoana,-18.513,48.1665,57,2019-01-06,2019,Pteropus rufus,female,NL,no,no,NA,NA,560,26,164,81.22,20.06,13.85,10.53,559.668006,0.331994046
AMB16,0,0,0,,NIH,Ambakoana,Ambakoana,-18.513,48.1665,3,2013-11-18,2013,Pteropus rufus,female,L,NA,NA,NA,NA,550,27.8,162,74,22,NA,NA,NA,NA
AMB160,0,0,0,,CZID,Ambakoana,Ambakoana,-18.513,48.1665,57,2019-01-07,2019,Pteropus rufus,female,NL,no,no,NA,NA,535,25.5,162,80.27,25.65,10.92,9.61,549.8218383,-14.82183833
AMB162,0,0,0,,CZID/NIH,Ambakoana,Ambakoana,-18.513,48.1665,61,2019-02-14,2019,Pteropus rufus,male,A,no,no,NA,NA,680,28.2,174,80.4,27.3,18.2,20.4,711.1404373,-31.14043734
AMB165,0,0,0,,CZID,Ambakoana,Ambakoana,-18.513,48.1665,64,2019-03-22,2019,Pteropus rufus,male,A,no,no,NA,NA,575,27.6,163,77.7,27.4,6.8,7.1,609.2319685,-34.23196845
AMB166,0,0,0,,NIH,Ambakoana,Ambakoana,-18.513,48.1665,64,2019-03-25,2019,Pteropus rufus,male,A,no,no,NA,NA,690,24.5,160,91.8,28.1,16.9,15.8,583.0087221,106.9912779
AMB17,0,0,0,,NIH,Ambakoana,Ambakoana,-18.513,48.1665,3,2013-11-18,2013,Pteropus rufus,female,L,NA,NA,NA,NA,520,27.5,168,80,23,NA,NA,NA,NA
AMB170,0,0,0,,CZID/NIH,Ambakoana,Ambakoana,-18.513,48.1665,64,2019-03-27,2019,Pteropus rufus,male,J,yes,no,NA,NA,255,19.8,132.4,60.4,23.6,small,small,NA,NA
AMB171,0,0,0,,CZID/NIH,Ambakoana,Ambakoana,-18.513,48.1665,64,2019-03-28,2019,Pteropus rufus,male,A,no,no,NA,NA,645,27.6,167,83.4,32.3,15.8,20,645.2375201,-0.237520081
AMB172,0,0,0,,CZID/NIH,Ambakoana,Ambakoana,-18.513,48.1665,64,2019-03-31,2019,Pteropus rufus,male,A,no,no,NA,NA,670,28.5,165,80.9,25.3,14.4,19.3,627.0854398,42.91456023
AMB173,0,0,0,,CZID/NIH,Ambakoana,Ambakoana,-18.513,48.1665,64,2019-03-31,2019,Pteropus rufus,female,NL,no,no,NA,NA,395,24.8,146.7,72.5,24,small,small,476.31795,-81.31795002
AMB174,0,0,0,,CZID,Ambakoana,Ambakoana,-18.513,48.1665,64,2019-03-31,2019,Pteropus rufus,male,A,no,no,NA,NA,735,28.3,174,84.1,25.2,16,22.3,711.1404373,23.85956266
AMB18,0,0,0,,NIH,Ambakoana,Ambakoana,-18.513,48.1665,3,2013-11-18,2013,Pteropus rufus,male,J,NA,NA,NA,NA,145,18.2,98.9,51,19.8,NA,NA,NA,NA
AMB35,0,0,0,,NIH,Ambakoana,Ambakoana,-18.513,48.1665,11,2014-09-06,2014,Pteropus rufus,male,A,NA,NA,NA,NA,600,24.5,168,85.2,31.9,NA,NA,NA,NA
AMB39,0,0,0,,NIH,Ambakoana,Ambakoana,-18.513,48.1665,17,2014-12-05,2014,Pteropus rufus,male,A,NA,NA,NA,NA,720,27.8,159,78.7,24.6,4.6,9.9,NA,NA
AMB43,0,0,0,,NIH,Ambakoana,Ambakoana,-18.513,48.1665,17,2014-12-06,2014,Pteropus rufus,female,L,NA,NA,NA,NA,720,23,162,72.8,23.8,14.9,15.8,NA,NA
AMB44,0,0,0,,NIH,Ambakoana,Ambakoana,-18.513,48.1665,17,2014-12-06,2014,Pteropus rufus,male,J,NA,NA,NA,NA,160,15.5,108.3,48.8,20.1,4.1,6.3,NA,NA
AMB55,0,0,0,,NIH,Ambakoana,Ambakoana,-18.513,48.1665,17,2014-12-08,2014,Pteropus rufus,female,NL,NA,NA,NA,NA,600,25.2,160,78.1,25.1,11.1,17.1,NA,NA
AMB57,0,0,0,,NIH,Ambakoana,Ambakoana,-18.513,48.1665,17,2014-12-09,2014,Pteropus rufus,female,L,NA,NA,NA,NA,630,25.1,164,78.2,27.8,11.5,14.4,NA,NA
AMB58,0,0,0,,NIH,Ambakoana,Ambakoana,-18.513,48.1665,17,2014-12-09,2014,Pteropus rufus,female,J,NA,NA,NA,NA,170,16.5,109.1,52.1,25.1,small,NA,NA,NA
AMB59,0,0,0,,NIH,Ambakoana,Ambakoana,-18.513,48.1665,17,2014-12-09,2014,Pteropus rufus,female,L,NA,NA,NA,NA,630,25.4,163,84.7,26.9,10.7,16.7,NA,NA
AMB61,0,0,0,,CZID/NIH,Ambakoana,Ambakoana,-18.513,48.1665,17,2014-12-09,2014,Pteropus rufus,male,A,NA,NA,NA,NA,810,28.1,173,83.8,33.8,15.7,29.7,NA,NA
AMB64,0,0,0,,NIH,Ambakoana,Ambakoana,-18.513,48.1665,22,2015-03-18,2015,Pteropus rufus,male,A,NA,NA,NA,NA,785,28.2,174,82.1,25.1,18.9,21.6,NA,NA
AMB68,0,0,0,,NIH,Ambakoana,Ambakoana,-18.513,48.1665,22,2015-03-20,2015,Pteropus rufus,male,A,NA,NA,NA,NA,780,28.5,171,74.2,28.7,17.8,23.5,NA,NA
AMB69,0,0,0,,NIH,Ambakoana,Ambakoana,-18.513,48.1665,22,2015-03-20,2015,Pteropus rufus,male,A,NA,NA,NA,NA,750,28.5,175,85,29.6,19.5,21.2,NA,NA
AMB70,0,0,0,,NIH,Ambakoana,Ambakoana,-18.513,48.1665,22,2015-03-20,2015,Pteropus rufus,male,A,NA,NA,NA,NA,660,28.2,161,78.3,21.7,12.4,18.4,NA,NA
AMB71,0,0,0,,NIH,Ambakoana,Ambakoana,-18.513,48.1665,22,2015-03-20,2015,Pteropus rufus,male,J,NA,NA,NA,NA,410,23.8,151,71.3,27.2,5.1,6.4,NA,NA
AMB72,0,0,0,,NIH,Ambakoana,Ambakoana,-18.513,48.1665,22,2015-03-21,2015,Pteropus rufus,male,A,NA,NA,NA,NA,750,29.2,181,92.2,31.3,15.9,18.4,NA,NA
AMB75,0,0,0,,NIH,Ambakoana,Ambakoana,-18.513,48.1665,22,2015-03-22,2015,Pteropus rufus,male,A,NA,NA,NA,NA,710,28.2,170,86.2,22.8,18.7,22.4,NA,NA
AMB76,0,0,0,,CZID/NIH,Ambakoana,Ambakoana,-18.513,48.1665,22,2015-03-22,2015,Pteropus rufus,male,A,NA,NA,NA,NA,770,29.5,191,84.2,26.8,18.2,19.4,NA,NA
AMB77,0,0,0,,NIH,Ambakoana,Ambakoana,-18.513,48.1665,22,2015-03-22,2015,Pteropus rufus,male,J,NA,NA,NA,NA,660,26.8,168,80.2,24.7,10.7,15.8,NA,NA
AMB79,0,0,0,,NIH,Ambakoana,Ambakoana,-18.513,48.1665,27,2015-05-11,2015,Pteropus rufus,male,A,NA,NA,NA,NA,910,32,176,83.3,32.8,18.1,24.1,NA,NA
AMB8,0,0,0,,CZID,Ambakoana,Ambakoana,-18.513,48.1665,3,2013-11-16,2013,Pteropus rufus,female,NL,NA,NA,NA,NA,640,23.4,166,85,27,NA,NA,NA,NA
AMB80,0,0,0,,CZID/NIH,Ambakoana,Ambakoana,-18.513,48.1665,27,2015-05-11,2015,Pteropus rufus,male,A,NA,NA,NA,NA,860,28.4,176,87.4,26.2,18.2,18.9,NA,NA
AND12,0,0,0,,NIH,Ankarana_Canyon,Ankarana,-12.9435,49.0555,9,2014-08-02,2014,Eidolon dupreanum,male,A,NA,NA,NA,NA,350,19.5,129.1,67.7,28.7,NA,NA,NA,NA
AND19,0,0,0,,NIH,Ankarana_Canyon,Ankarana,-12.9435,49.0555,9,2014-08-03,2014,Eidolon dupreanum,male,A,NA,NA,NA,NA,315,20.5,120.3,60.9,27.5,NA,NA,NA,NA
AND24,0,0,0,,NIH,Ankarana_Canyon,Ankarana,-12.9435,49.0555,14,2014-10-14,2014,Eidolon dupreanum,male,A,NA,NA,NA,NA,310,21.5,132.5,63.7,27.2,13.4,17.5,NA,NA
AND26,0,0,0,,NIH,Ankarana_Canyon,Ankarana,-12.9435,49.0555,14,2014-10-14,2014,Eidolon dupreanum,male,J,NA,NA,NA,NA,50,10.01,66.6,36.4,19.1,4.9,6.1,NA,NA
AND27,0,0,0,,NIH,Ankarana_Canyon,Ankarana,-12.9435,49.0555,14,2014-10-14,2014,Eidolon dupreanum,male,A,NA,NA,NA,NA,370,29.8,130.1,64.2,31,14.5,17.2,NA,NA
AND28,0,0,0,,NIH,Ankarana_Canyon,Ankarana,-12.9435,49.0555,14,2014-10-14,2014,Eidolon dupreanum,female,NL,NA,NA,NA,NA,310,21.5,132,64.5,28.5,5.5,11.5,NA,NA
AND29,0,0,0,,NIH,Ankarana_Canyon,Ankarana,-12.9435,49.0555,14,2014-10-14,2014,Eidolon dupreanum,male,A,NA,NA,NA,NA,300,22.5,128.3,58.5,31.9,10.5,14.5,NA,NA
AND30,0,0,0,,NIH,Ankarana_Canyon,Ankarana,-12.9435,49.0555,14,2014-10-16,2014,Eidolon dupreanum,male,A,NA,NA,NA,NA,325,21.5,134.2,61.2,32.9,11,17.5,NA,NA
AND31,0,0,0,,NIH,Ankarana_Canyon,Ankarana,-12.9435,49.0555,14,2014-10-16,2014,Eidolon dupreanum,male,A,NA,NA,NA,NA,260,17.5,130,61.5,25,12.5,14.5,NA,NA
AND32,0,0,0,,NIH,Ankarana_Canyon,Ankarana,-12.9435,49.0555,14,2014-10-17,2014,Eidolon dupreanum,male,A,NA,NA,NA,NA,330,20.4,129.5,62.8,31.1,13.5,18.5,NA,NA
AND33,0,0,0,,NIH,Ankarana_Canyon,Ankarana,-12.9435,49.0555,14,2014-10-17,2014,Eidolon dupreanum,male,A,NA,NA,NA,NA,320,22.5,125.2,61,32.2,10.5,15,NA,NA
AND35,0,0,0,,NIH,Ankarana_Canyon,Ankarana,-12.9435,49.0555,14,2014-10-18,2014,Eidolon dupreanum,male,A,NA,NA,NA,NA,330,20.7,129.3,62.7,28.5,11.9,14.3,NA,NA
AND36,0,0,0,,NIH,Ankarana_Canyon,Ankarana,-12.9435,49.0555,23,2015-03-30,2015,Eidolon dupreanum,male,A,NA,NA,NA,NA,340,22.5,138.7,67.9,32.5,12.6,15.2,NA,NA
AND37,0,0,0,,NIH,Ankarana_Canyon,Ankarana,-12.9435,49.0555,23,2015-03-30,2015,Eidolon dupreanum,male,A,NA,NA,NA,NA,280,23.2,129.9,60.5,31.6,13.7,13.9,NA,NA
AND38,0,0,0,,NIH,Ankarana_Canyon,Ankarana,-12.9435,49.0555,23,2015-03-30,2015,Eidolon dupreanum,male,A,NA,NA,NA,NA,295,20.4,125.1,60.9,31.3,14.2,18.1,NA,NA
AND40,0,0,0,,NIH,Ankarana_Canyon,Ankarana,-12.9435,49.0555,23,2015-03-31,2015,Eidolon dupreanum,male,A,NA,NA,NA,NA,270,19.1,128.4,60.6,29.2,12.5,13.2,NA,NA
AND41,0,0,0,,NIH,Ankarana_Canyon,Ankarana,-12.9435,49.0555,73,2019-08-08,2019,Eidolon dupreanum,male,A,no,no,NA,NA,165,21.9,132.5,64.3,26.2,13,11.8,330.6904266,-165.6904266
AND42,0,0,0,,NIH,Ankarana_Canyon,Ankarana,-12.9435,49.0555,73,2019-08-08,2019,Eidolon dupreanum,male,A,no,no,NA,NA,365,23,135.1,64,25.9,13.5,9.8,339.1338951,25.86610489
ANGB110,1,0,1,Kobuvirus,NIH,Angavobe,AngavoKely,-18.9327,47.7578,30,2015-06-23,2015,Eidolon dupreanum,female,NL,NA,NA,NA,NA,300,22,133.95,63.57,28.53,6.58,7.77,NA,NA
ANGB114,0,0,0,,NIH,Angavobe,AngavoKely,-18.9327,47.7578,33,2016-01-08,2016,Eidolon dupreanum,male,A,NA,NA,NA,NA,270,21.3,129.4,59.8,27.6,small,small,NA,NA
ANGB121,1,0,1,Kobuvirus,NIH,Angavobe,AngavoKely,-18.9327,47.7578,33,2016-01-08,2016,Eidolon dupreanum,male,A,NA,NA,NA,NA,360,21,128.8,63.11,29.66,small,small,NA,NA
ANGB122,0,0,0,,NIH,Angavobe,AngavoKely,-18.9327,47.7578,33,2016-01-08,2016,Eidolon dupreanum,male,A,NA,NA,NA,NA,360,22.5,133,65.11,29.2,small,small,NA,NA
ANGB123,0,0,0,,NIH,Angavobe,AngavoKely,-18.9327,47.7578,33,2016-01-08,2016,Eidolon dupreanum,male,A,NA,NA,NA,NA,320,22.5,128,61.67,32.26,small,small,NA,NA
ANGB125,0,0,0,,CZID,Angavobe,AngavoKely,-18.9327,47.7578,37,2018-02-14,2018,Eidolon dupreanum,male,A,no,no,NA,NA,385,22.5,137.6,65,28.5,24.9,28.3,347.2983332,37.70166682
ANGB127,0,0,0,,CZID,Angavobe,AngavoKely,-18.9327,47.7578,37,2018-02-14,2018,Eidolon dupreanum,male,A,no,no,NA,NA,295,21.5,130.5,64.1,31.7,small,small,324.2288517,-29.22885172
ANGB128,0,0,0,,CZID,Angavobe,AngavoKely,-18.9327,47.7578,37,2018-02-14,2018,Eidolon dupreanum,male,A,no,no,NA,NA,325,22.5,134.1,65.2,32.3,26,30,335.8806351,-10.88063508
ANGB129,0,0,0,,CZID,Angavobe,AngavoKely,-18.9327,47.7578,37,2018-02-14,2018,Eidolon dupreanum,female,NL,no,no,NA,NA,NA,21,128.5,61.5,31.8,small,small,NA,NA
ANGB130,0,0,0,,CZID,Angavobe,AngavoKely,-18.9327,47.7578,37,2018-02-14,2018,Eidolon dupreanum,female,NL,no,no,NA,NA,330,21,129.2,65.6,32.6,9.3,10.6,310.0600695,19.9399305
ANGB131,0,0,0,,CZID,Angavobe,AngavoKely,-18.9327,47.7578,37,2018-02-14,2018,Eidolon dupreanum,female,NL,no,no,NA,NA,310,21.8,138.2,66.4,34.4,10,11.5,340.6230634,-30.62306341
ANGB132,0,0,0,,CZID,Angavobe,AngavoKely,-18.9327,47.7578,37,2018-02-14,2018,Eidolon dupreanum,male,A,no,no,NA,NA,350,20.3,130.6,62.5,37.1,18.5,19.2,324.5512351,25.44876485
ANGB133,0,0,0,,CZID,Angavobe,AngavoKely,-18.9327,47.7578,37,2018-02-14,2018,Eidolon dupreanum,female,NL,no,no,NA,NA,285,20.5,132.2,59.1,28,8.6,8.7,320.1569818,-35.1569818
ANGB134,0,0,0,,CZID,Angavobe,AngavoKely,-18.9327,47.7578,41,2018-04-09,2018,Eidolon dupreanum,female,NL,no,no,NA,NA,290,20.5,127.7,71.9,22.3,8.3,6.7,305.0461948,-15.04619477
ANGB135,0,0,0,,CZID/NIH,Angavobe,AngavoKely,-18.9327,47.7578,41,2018-04-09,2018,Eidolon dupreanum,female,NL,no,no,NA,NA,320,22,133.9,63.8,23.01,4.7,1.5,325.9191107,-5.919110689
ANGB136,0,0,0,,CZID,Angavobe,AngavoKely,-18.9327,47.7578,41,2018-04-09,2018,Eidolon dupreanum,female,NL,no,no,NA,NA,290,21.5,127.7,71.3,22.3,3.9,2,305.0461948,-15.04619477
ANGB137,0,0,0,,CZID/NIH,Angavobe,AngavoKely,-18.9327,47.7578,41,2018-04-09,2018,Eidolon dupreanum,female,NL,no,no,NA,NA,290,20.5,135.8,63.5,22.6,3.9,1.3,332.3935009,-42.39350088
ANGB138,0,0,0,,CZID/NIH,Angavobe,AngavoKely,-18.9327,47.7578,41,2018-04-09,2018,Eidolon dupreanum,female,NL,no,no,NA,NA,295,21.5,126.8,62.5,23,9.3,7.3,302.0490296,-7.049029592
ANGB139,0,0,0,,CZID,Angavobe,AngavoKely,-18.9327,47.7578,41,2018-04-09,2018,Eidolon dupreanum,female,NL,no,no,NA,NA,320,21,133.8,63.5,24.2,9,7.8,325.5793557,-5.579355682
ANGB140,0,0,0,,CZID,Angavobe,AngavoKely,-18.9327,47.7578,41,2018-04-09,2018,Eidolon dupreanum,female,NL,no,no,NA,NA,310,21.5,126.6,63.2,22.8,8.8,5.4,301.3841342,8.615865813
ANGB141,1,0,1,Kobuvirus,CZID/NIH,Angavobe,AngavoKely,-18.9327,47.7578,41,2018-04-09,2018,Eidolon dupreanum,female,NL,no,no,NA,NA,300,22,128.9,64.6,23,4.5,2.2,309.0554407,-9.055440743
ANGB142,0,0,0,,CZID/NIH,Angavobe,AngavoKely,-18.9327,47.7578,41,2018-04-09,2018,Eidolon dupreanum,male,A,no,no,NA,NA,370,21.5,131.6,61.9,22.7,23,15.5,327.7791014,42.22089864
ANGB143,0,0,0,,CZID,Angavobe,AngavoKely,-18.9327,47.7578,45,2018-07-27,2018,Eidolon dupreanum,female,NL,no,no,NA,NA,300,18.5,132.7,63,30.8,6.5,7.5,321.8486971,-21.84869713
ANGB144,0,0,0,,CZID,Angavobe,AngavoKely,-18.9327,47.7578,45,2018-07-27,2018,Eidolon dupreanum,female,NL,no,no,NA,NA,281,20.5,124.2,60.4,26.4,7.1,4.1,293.437942,-12.43794198
ANGB145,0,0,0,,CZID,Angavobe,AngavoKely,-18.9327,47.7578,45,2018-07-27,2018,Eidolon dupreanum,female,NL,no,no,NA,NA,320,20,129.9,58.4,30.3,8.2,7,312.4077955,7.592204454
ANGB146,0,0,0,,CZID,Angavobe,AngavoKely,-18.9327,47.7578,45,2018-07-27,2018,Eidolon dupreanum,male,J,yes,no,NA,NA,250,18,122.3,57.5,29.3,small,small,NA,NA
ANGB147,0,0,0,,CZID,Angavobe,AngavoKely,-18.9327,47.7578,45,2018-07-27,2018,Eidolon dupreanum,female,NL,no,no,NA,NA,320,19,125.2,63.3,31.3,7,5.1,296.7415332,23.25846681
ANGB148,0,0,0,,CZID,Angavobe,AngavoKely,-18.9327,47.7578,45,2018-07-27,2018,Eidolon dupreanum,female,NL,no,no,NA,NA,300,18.5,129.3,61,28.2,8.8,4,310.3951512,-10.39515122
ANGB149,0,0,0,,CZID,Angavobe,AngavoKely,-18.9327,47.7578,45,2018-07-27,2018,Eidolon dupreanum,female,NL,no,no,NA,NA,280,20.5,125.5,59,27.2,6.3,4.3,297.7346539,-17.73465391
ANGB15,0,0,0,,NIH,Angavobe,AngavoKely,-18.9327,47.7578,4,2013-11-24,2013,Eidolon dupreanum,female,J,NA,NA,NA,NA,75,11.7,79,30,24,NA,NA,NA,NA
ANGB150,0,0,0,,CZID,Angavobe,AngavoKely,-18.9327,47.7578,45,2018-07-27,2018,Eidolon dupreanum,female,NL,no,no,NA,NA,330,20.5,129.5,60.5,25.3,8,5.7,311.0656226,18.93437744
