sample_id,any_picorna,any_calici,any_pos,virus_family,virus_general,dataset,num_contigs,num_reads,num_reads_log,specific_roost_site,roost_site,latitude_s,longitude_e,sampling_session,processing_date,year,bat_species,bat_sex,bat_age_class,young_of_year,pupmom_pair,pup_or_mom,sampleid_pupmom_pair
KEL273,1,0,1,Picornaviridae,Sapelovirus,CZID/NIH,3,131,2.117271296,Angavokely,AngavoKely,-18.9327,47.7578,56,2019-01-07,2019,Eidolon dupreanum,male,A,no,no,NA,NA
KEL275B,1,0,1,Picornaviridae,Sapelovirus,CZID,2,69,1.838849091,Angavokely,AngavoKely,-18.9327,47.7578,63,2019-03-14,2019,Eidolon dupreanum,female,NL,no,no,NA,NA
KEL298,1,0,1,Picornaviridae,Sapelovirus,CZID/NIH,3,197,2.294466226,Angavokely,AngavoKely,-18.9327,47.7578,60,2019-02-06,2019,Eidolon dupreanum,male,A,no,no,NA,NA
KEL318,1,0,1,Picornaviridae,Kobuvirus,CZID/NIH,1,30035,4.477627636,Angavokely,AngavoKely,-18.9327,47.7578,66,2019-04-23,2019,Eidolon dupreanum,female,NL,NA,no,NA,NA
KEL367,1,0,1,Picornaviridae,Cardiovirus,NIH,1,91641,4.96208982,Angavokely,AngavoKely,-18.9327,47.7578,75,2019-08-24,2019,Eidolon dupreanum,male,A,no,no,NA,NA
KEL72,1,0,1,Picornaviridae,Hepatovirus,NIH,1,1335,3.125481266,Angavokely,AngavoKely,-18.9327,47.7578,20,2014-12-17,2014,Eidolon dupreanum,male,A,NA,NA,NA,NA
KEL86,1,0,1,Picornaviridae,Kobuvirus,NIH,1,4175,3.62065648,Angavokely,AngavoKely,-18.9327,47.7578,20,2014-12-18,2014,Eidolon dupreanum,male,A,NA,NA,NA,NA
MIZ179,0,1,1,Caliciviridae,Sapovirus,CZID,1,25,1.397940009,Maromizaha,Maromizaha,-18.9623,48.4525,43,2018-04-14,2018,Rousettus madagascariensis,male,A,no,no,NA,NA
MIZ190,1,0,1,Picornaviridae,Teschovirus,CZID,1,8917,3.950218767,Maromizaha,Maromizaha,-18.9623,48.4525,47,2018-07-29,2018,Rousettus madagascariensis,male,A,no,no,NA,NA
MIZ194,1,0,1,Picornaviridae,Unclassified picornavirus,CZID,1,37,1.568201724,Maromizaha,Maromizaha,-18.9623,48.4525,47,2018-07-29,2018,Rousettus madagascariensis,female,NL,no,no,NA,NA
MIZ205,1,0,1,Picornaviridae,Teschovirus,CZID,1,164750,5.216825423,Maromizaha,Maromizaha,-18.9623,48.4525,47,2018-07-29,2018,Rousettus madagascariensis,male,A,no,no,NA,NA
MIZ214,1,0,1,Picornaviridae,Unclassified picornavirus,CZID,1,702,2.846337112,Maromizaha,Maromizaha,-18.9623,48.4525,50,2018-09-11,2018,Rousettus madagascariensis,male,A,no,no,NA,NA
MIZ219,0,1,1,Caliciviridae,Sapovirus,CZID,2,112,2.049218023,Maromizaha,Maromizaha,-18.9623,48.4525,50,2018-09-11,2018,Rousettus madagascariensis,male,A,no,no,NA,NA
MIZ240,1,0,1,Picornaviridae,Unclassified picornavirus,CZID,1,707,2.849419414,Maromizaha,Maromizaha,-18.9623,48.4525,50,2018-09-11,2018,Rousettus madagascariensis,male,A,no,no,NA,NA
MIZ243,1,0,1,Picornaviridae,Sapelovirus,CZID,1,1585,3.200029267,Maromizaha,Maromizaha,-18.9623,48.4525,50,2018-09-12,2018,Rousettus madagascariensis,male,J,yes,no,NA,NA
MIZ345,0,1,1,Caliciviridae,Sapovirus,CZID,1,124,2.093421685,Maromizaha,Maromizaha,-18.9623,48.4525,59,2019-01-31,2019,Rousettus madagascariensis,female,J,yes,yes,pup,MIZ342
MIZ405,1,0,1,Picornaviridae,Unclassified picornavirus,CZID/NIH,4,1232,3.090610708,Maromizaha,Maromizaha,-18.9623,48.4525,65,2019-04-09,2019,Rousettus madagascariensis,male,A,NA,no,NA,NA
MIZ405,0,1,1,Caliciviridae,Sapovirus,CZID/NIH,5,443,2.646403726,Maromizaha,Maromizaha,-18.9623,48.4525,65,2019-04-09,2019,Rousettus madagascariensis,male,A,NA,no,NA,NA
