Accession,Isolate,Species,Genus,Family,Country,source,Host,Collection_Date,novel
JX569711.1,T10-259,Enterovirus C,Enterovirus,Picornaviridae,Chad,Homo sapiens,0,2010,0
JX569712.1,T09-216,Enterovirus C,Enterovirus,Picornaviridae,Chad,Homo sapiens,0,2009,0
KC785524.1,,Enterovirus C,Enterovirus,Picornaviridae,Gambia,Homo sapiens,0,2009,0
KF040078.1,MB6249,Enterovirus MB6249,Enterovirus,Picornaviridae,Cameroon,Pan troglodytes,0,2013,0
KF040079.1,MB6250,Enterovirus MB6250,Enterovirus,Picornaviridae,Cameroon,Pan troglodytes,0,2013,0
KF040080.1,MB6201,Enterovirus D,Enterovirus,Picornaviridae,Cameroon,Gorilla gorilla,0,2013,0
KF040081.1,MB6128,Enterovirus MB6128,Enterovirus,Picornaviridae,Cameroon,Gorilla gorilla,0,2013,0
KF541635.1,MNR_RCMH7,Enterovirus 123,Enterovirus,Picornaviridae,Cameroon,Mandrillus sphinx,0,2008,0
KF541637.1,MNK_RCMH3,Enterovirus 123,Enterovirus,Picornaviridae,Cameroon,Platyrrhini,0,2008,0
KF647849.1,SAT3/KNP/10/90,Foot-and-mouth disease virus,Aphthovirus,Picornaviridae,South Africa,Bos taurus,0,1990,0
KF647851.1,SAT3/ZIM/5/91,Foot-and-mouth disease virus,Aphthovirus,Picornaviridae,Zimbabwe,Bos taurus,0,1991,0
KF647852.1,SAT1/KNP/196/91,Foot-and-mouth disease virus,Aphthovirus,Picornaviridae,South Africa,Bos taurus,0,1991,0
KF647857.1,SAT1/ZIM/25/90,Foot-and-mouth disease virus,Aphthovirus,Picornaviridae,Zimbabwe,Bos taurus,0,1990,0
KF647858.1,SAT1/MOZ/03/02,Foot-and-mouth disease virus,Aphthovirus,Picornaviridae,Mozambique,Bos taurus,0,2002,0
KF647860.1,SAT1/TAN/01/99,Foot-and-mouth disease virus,Aphthovirus,Picornaviridae,Tanzania,Bos taurus,0,1999,0
KF647861.1,SAT1/KEN/05/98,Foot-and-mouth disease virus,Aphthovirus,Picornaviridae,Kenya,Bos taurus,0,1998,0
KF647865.1,SAT1/UGA/01/97,Foot-and-mouth disease virus,Aphthovirus,Picornaviridae,Uganda,Bos taurus,0,1997,0
KF647866.1,SAT1/UGA/03/99,Foot-and-mouth disease virus,Aphthovirus,Picornaviridae,Uganda,Bos taurus,0,1999,0
KF647867.1,SAT1/NIG/05/81,Foot-and-mouth disease virus,Aphthovirus,Picornaviridae,Nigeria,Bos taurus,0,1981,0
KF647868.1,SAT1/SUD/03/76,Foot-and-mouth disease virus,Aphthovirus,Picornaviridae,Sudan,Bos taurus,0,1976,0
KF647869.1,SAT1/NIG/15/75,Foot-and-mouth disease virus,Aphthovirus,Picornaviridae,Nigeria,Bos taurus,0,1975,0
KF647870.1,SAT1/NIG/06/76,Foot-and-mouth disease virus,Aphthovirus,Picornaviridae,Nigeria,Bos taurus,0,1976,0
KJ144902.1,SAT2/KNP/19/89,Foot-and-mouth disease virus,Aphthovirus,Picornaviridae,South Africa,Syncerus caffer,0,1989,0
KJ144904.1,SAT2/KNP/51/93,Foot-and-mouth disease virus,Aphthovirus,Picornaviridae,South Africa,Aepyceros melampus,0,1993,0
KJ144905.1,SAT2/SAR/16/83,Foot-and-mouth disease virus,Aphthovirus,Picornaviridae,South Africa,Aepyceros melampus,0,1983,0
KJ144906.1,SAT2/ZIM/08/94,Foot-and-mouth disease virus,Aphthovirus,Picornaviridae,Zimbabwe,Syncerus caffer,0,1994,0
KJ144907.1,SAT2/ZIM/GN/10/91,Foot-and-mouth disease virus,Aphthovirus,Picornaviridae,Zimbabwe,Syncerus caffer,0,1991,0
KJ144908.1,SAT2/ZIM/01/88,Foot-and-mouth disease virus,Aphthovirus,Picornaviridae,Zimbabwe,Syncerus caffer,0,1988,0
KJ144909.1,SAT2/ZIM/34/90,Foot-and-mouth disease virus,Aphthovirus,Picornaviridae,Zimbabwe,Syncerus caffer,0,1990,0
KJ144910.1,SAT2/ZIM/14/90,Foot-and-mouth disease virus,Aphthovirus,Picornaviridae,Zimbabwe,Syncerus caffer,0,1990,0
KJ144914.1,SAT2/ANG/4/74,Foot-and-mouth disease virus,Aphthovirus,Picornaviridae,Angola,Bos taurus,0,1974,0
KJ144915.1,SAT2/KEN/03/57,Foot-and-mouth disease virus,Aphthovirus,Picornaviridae,Kenya,Bos taurus,0,1957,0
KJ144916.1,SAT2/SEN/7/83,Foot-and-mouth disease virus,Aphthovirus,Picornaviridae,Senegal,Bos taurus,0,1983,0
KJ144917.1,SAT2/GHA/08/91,Foot-and-mouth disease virus,Aphthovirus,Picornaviridae,Ghana,Bos taurus,0,1991,0
KJ144918.1,SAT2/UGA/02/02,Foot-and-mouth disease virus,Aphthovirus,Picornaviridae,Uganda,Bos taurus,0,2002,0
KJ144919.1,SAT2/RWA/02/01,Foot-and-mouth disease virus,Aphthovirus,Picornaviridae,Rwanda,Bos taurus,0,2001,0
KJ144921.1,SAT2/ERI/12/98,Foot-and-mouth disease virus,Aphthovirus,Picornaviridae,Eritrea,Bos taurus,0,1998,0
KJ144922.1,O/UGA/07/03,Foot-and-mouth disease virus,Aphthovirus,Picornaviridae,Uganda,Bos taurus,0,2003,0
KJ144923.1,O/TAN/03/96,Foot-and-mouth disease virus,Aphthovirus,Picornaviridae,Tanzania,Bos taurus,0,1996,0
KJ144925.1,O/UGA/01/75,Foot-and-mouth disease virus,Aphthovirus,Picornaviridae,Uganda,Bos taurus,0,1975,0
KJ144926.1,O/UGA/06/76,Foot-and-mouth disease virus,Aphthovirus,Picornaviridae,Uganda,Bos taurus,0,1976,0
KJ144927.1,O/UGA/17/98,Foot-and-mouth disease virus,Aphthovirus,Picornaviridae,Uganda,Bos taurus,0,1998,0
KJ144928.1,O/KEN/10/95,Foot-and-mouth disease virus,Aphthovirus,Picornaviridae,Kenya,Bos taurus,0,1995,0
KJ144929.1,O/ETH/03/96,Foot-and-mouth disease virus,Aphthovirus,Picornaviridae,Ethiopia,Bos taurus,0,1996,0
KJ144930.1,O/SUD/04/80,Foot-and-mouth disease virus,Aphthovirus,Picornaviridae,Sudan,Bos taurus,0,1980,0
KJ144932.1,A/CIV/4/95,Foot-and-mouth disease virus,Aphthovirus,Picornaviridae,Cote d'Ivoire,Bos taurus,0,1974,0
KJ144933.1,A/SEN/10/97,Foot-and-mouth disease virus,Aphthovirus,Picornaviridae,Senegal,Bos taurus,0,1997,0
KJ144934.1,A/ETH/07/92,Foot-and-mouth disease virus,Aphthovirus,Picornaviridae,Ethiopia,Bos taurus,0,1992,0
KJ144935.1,A/SOM/01/78,Foot-and-mouth disease virus,Aphthovirus,Picornaviridae,Somalia,Bos taurus,0,1978,0
KJ144936.1,A/ETH/02/79,Foot-and-mouth disease virus,Aphthovirus,Picornaviridae,Ethiopia,Bos taurus,0,1979,0
KJ144937.1,A/TAN/04/80,Foot-and-mouth disease virus,Aphthovirus,Picornaviridae,Tanzania,Bos taurus,0,1980,0
KJ155495.1,EGY1218587,Enterovirus C,Enterovirus,Picornaviridae,Egypt,Homo sapiens,0,2012,0
KJ170436.1,,Enterovirus C,Enterovirus,Picornaviridae,Nigeria,Homo sapiens,0,2010,0
KJ170437.1,,Enterovirus C,Enterovirus,Picornaviridae,Nigeria,Homo sapiens,0,2012,0
KJ170467.1,,Enterovirus C,Enterovirus,Picornaviridae,Nigeria,Homo sapiens,0,2009,0
KJ418244.1,GAB130,Enterovirus B,Enterovirus,Picornaviridae,Gabon,Pan troglodytes troglodytes,0,2009,0
KJ420747.1,GR_2815/07,Enterovirus sp.,Enterovirus,Picornaviridae,Cameroon,Mandrillus sphinx,0,2007,0
KJ420748.1,CPML_3961/08,Enterovirus sp.,Enterovirus,Picornaviridae,Cameroon,Mandrillus sphinx,0,2008,0
KJ676543.1,SEN/5/75,Foot-and-mouth disease virus,Aphthovirus,Picornaviridae,Senegal,Bos taurus,0,1975,0
KJ701248.1,GAB_98,Enterovirus B,Enterovirus,Picornaviridae,Gabon,Pan troglodytes troglodytes,0,2010,0
KJ701249.1,GAB_653,Enterovirus B,Enterovirus,Picornaviridae,Gabon,Mandrillus sphinx,0,2010,0
KJ820999.1,,Foot-and-mouth disease virus,Aphthovirus,Picornaviridae,Uganda,Bos taurus,0,2013,0
KM068048.1,DD2,Aichivirus A,Kobuvirus,Picornaviridae,Tanzania,Canis lupus familiaris,0,2003,0
KM068049.1,82,Aichivirus A,Kobuvirus,Picornaviridae,Tanzania,Canis adustus,0,2010,0
KM068050.1,75,Aichivirus A,Kobuvirus,Picornaviridae,Tanzania,Canis aureus,0,2011,0
KM068051.1,B103,Aichivirus A,Kobuvirus,Picornaviridae,Tanzania,Crocuta crocuta,0,2010,0
KM268897.1,KEN/1/2004,Foot-and-mouth disease virus,Aphthovirus,Picornaviridae,Kenya,Bos taurus,0,2004,0
KM268899.1,TAN/22/2012,Foot-and-mouth disease virus,Aphthovirus,Picornaviridae,Tanzania,Bos taurus,0,2012,0
KM268901.1,ZIM/6/91,Foot-and-mouth disease virus,Aphthovirus,Picornaviridae,Zimbabwe,Bos taurus,0,1991,0
KM273013.1,Mar-38,Enterovirus B,Enterovirus,Picornaviridae,DRC,Homo sapiens,0,2014,0
KM273014.1,05-May,Enterovirus C,Enterovirus,Picornaviridae,Djibouti,Homo sapiens,0,2014,0
KM667941.1,BEV/Egypt/2014,Enterovirus E,Enterovirus,Picornaviridae,Egypt,Bos taurus,0,2014,0
KM880096.1,,Enterovirus C,Enterovirus,Picornaviridae,Burundi,Homo sapiens,0,2010,0
KP940473.1,FMD/O/Dakahlia/Egypt/2014,Foot-and-mouth disease virus,Aphthovirus,Picornaviridae,Egypt,Bos taurus,0,2014,0
KR108950.1,KNP-10-90,Foot-and-mouth disease virus,Aphthovirus,Picornaviridae,South Africa,Syncerus caffer,0,2009,0
KT319121.2,,Parechovirus A,Parechovirus,Picornaviridae,Cote d'Ivoire,Homo sapiens,0,2014,0
KT452729.1,FO1AF48Rhilan2010,Hepatovirus G,Hepatovirus,Picornaviridae,Ghana,Rhinolophus landeri,1,2010,0
KT819575.1,KibOB-1,Hepatovirus A,Hepatovirus,Picornaviridae,Uganda,Papio anubis,0,2010,0
KU291242.1,MOR/1/2015,Foot-and-mouth disease virus,Aphthovirus,Picornaviridae,Morocco,Bos taurus,0,2015,0
KU821590.1,SAT1/NAM01/2010,Foot-and-mouth disease virus,Aphthovirus,Picornaviridae,Namibia,Bos taurus,0,2010,0
KU821591.1,O/ZAM14/2010,Foot-and-mouth disease virus,Aphthovirus,Picornaviridae,Zambia,Bos taurus,0,2010,0
KU821592.1,SAT2/ZAM18/2009,Foot-and-mouth disease virus,Aphthovirus,Picornaviridae,Zambia,Bos taurus,0,2009,0
KU955338.1,,Cardiovirus A,Cardiovirus,Picornaviridae,Central African Republic,Tatera,0,1983,0
KX162678.1,,Enterovirus C,Enterovirus,Picornaviridae,Cameroon,Homo sapiens,0,2012,0
KX162679.1,,Enterovirus C,Enterovirus,Picornaviridae,Cameroon,Homo sapiens,0,2014,0
KX162682.1,,Enterovirus C,Enterovirus,Picornaviridae,Central African Republic,Homo sapiens,0,2011,0
KX162683.1,,Enterovirus C,Enterovirus,Picornaviridae,Chad,Homo sapiens,0,2011,0
KX162684.1,,Enterovirus C,Enterovirus,Picornaviridae,Chad,Homo sapiens,0,2012,0
KX162694.1,,Enterovirus C,Enterovirus,Picornaviridae,Equatorial Guinea,Homo sapiens,0,2014,0
KX162696.1,,Enterovirus C,Enterovirus,Picornaviridae,Nigeria,Homo sapiens,0,2006,0
KX162707.1,,Enterovirus C,Enterovirus,Picornaviridae,Nigeria,Homo sapiens,0,2011,0
KX162713.1,,Enterovirus C,Enterovirus,Picornaviridae,Nigeria,Homo sapiens,0,2014,0
KX162714.1,,Enterovirus C,Enterovirus,Picornaviridae,Nigeria,Homo sapiens,0,2015,0
KX228694.1,HAV/Egy/BI-11/2015,Hepatovirus A,Hepatovirus,Picornaviridae,Egypt,Homo sapiens,0,2014,0
KY003229.1,20160920,Hepatovirus A,Hepatovirus,Picornaviridae,South Africa,Homo sapiens,0,2011,0
KY407744.1,,Aichivirus B,Kobuvirus,Picornaviridae,Egypt,Bos taurus,0,2014,0
KY825720.1,SAT2/EGY/24/2014,Foot-and-mouth disease virus,Aphthovirus,Picornaviridae,Egypt,Bos taurus,0,2014,0
KY825728.1,SAT1/SAR/3/2000,Foot-and-mouth disease virus,Aphthovirus,Picornaviridae,South Africa,Bos taurus,0,1920,0
KY941931.1,,Enterovirus C,Enterovirus,Picornaviridae,Ethiopia,Homo sapiens,0,2013,0
LC456870.1,,Foot-and-mouth disease virus,Aphthovirus,Picornaviridae,Ghana,Bos indicus,0,2018,0
LC508226.1,PSV-20-V,Sapelovirus A,Sapelovirus,Picornaviridae,Zambia,Sus scrofa,0,2018,0
LC515196.1,,Hepatovirus A,Hepatovirus,Picornaviridae,Gabon,Homo sapiens,0,2016,0
LC585221.1,,Cardiovirus A,Cardiovirus,Picornaviridae,Zambia,Mastomys natalensis,0,2012,0
LK021688.1,,Enterovirus A,Enterovirus,Picornaviridae,Madagascar,Homo sapiens,0,2011,0
LR798439.1,ALG-2013-328-DZA,Enterovirus A,Enterovirus,Picornaviridae,Algeria,Homo sapiens,0,2013,0
LS451300.1,,Enterovirus C,Enterovirus,Picornaviridae,Madagascar,Homo sapiens,0,2003,0
LT719061.1,,Enterovirus A,Enterovirus,Picornaviridae,Madagascar,Homo sapiens,0,2007,0
LT719064.1,,Enterovirus A,Enterovirus,Picornaviridae,Madagascar,Homo sapiens,0,2010,0
LT719065.1,,Enterovirus A,Enterovirus,Picornaviridae,Madagascar,Homo sapiens,0,2004,0
LT719066.1,,Enterovirus A,Enterovirus,Picornaviridae,Cameroon,Homo sapiens,0,2008,0
LT719068.1,,Enterovirus A,Enterovirus,Picornaviridae,Central African Republic,Homo sapiens,0,2003,0
LT934386.1,stool,Enterovirus A,Enterovirus,Picornaviridae,Tunisia,Homo sapiens,0,2017,0
LT934387.1,stool,Enterovirus C,Enterovirus,Picornaviridae,Tunisia,Homo sapiens,0,2017,0
MF189567.1,,Enterovirus C,Enterovirus,Picornaviridae,Uganda,Homo sapiens,0,2017,0
MF346171.1,114_C6,Enterovirus C,Enterovirus,Picornaviridae,Guinea,Homo sapiens,0,2015,0
MF521674.1,15_491,Enterovirus B,Enterovirus,Picornaviridae,Niger,Homo sapiens,0,2015,0
MF593269.1,BatPicV/NeoC21877/RSA,Picornaviridae sp.,Unclassified,Picornaviridae,South Africa,Neoromicia,1,2017,0
MF621608.1,ETH_P11,Human cosavirus,Cosavirus,Picornaviridae,Ethiopia,Homo sapiens,0,2016,0
MF621614.1,ETH/2016/P16,Hepatovirus A,Hepatovirus,Picornaviridae,Ethiopia,Homo sapiens,0,2016,0
MF678825.1,SAT1/NIG/3/15,Foot-and-mouth disease virus,Aphthovirus,Picornaviridae,Nigeria,Bos taurus,0,2015,0
MF990293.1,ETH_P4/E16_2016,Enterovirus B,Enterovirus,Picornaviridae,Ethiopia,Homo sapiens,0,2016,0
MF990304.1,ETH_P16/A20_2016,Enterovirus C,Enterovirus,Picornaviridae,Ethiopia,Homo sapiens,0,2016,0
MG009596.1,ETH/2016/P4,Aichivirus A,Kobuvirus,Picornaviridae,Ethiopia,Homo sapiens,0,2016,0
MG013988.1,15-355,Enterovirus A,Enterovirus,Picornaviridae,Senegal,Homo sapiens,0,2015,0
MG026486.1,ETH_P5_2016,Parechovirus A,Parechovirus,Picornaviridae,Ethiopia,Homo sapiens,0,2016,0
MG026496.1,ETH_P28_2016,Salivirus sp.,Salivirus,Picornaviridae,Ethiopia,Homo sapiens,0,2016,0
MG672478.1,NER-13-194,Enterovirus A,Enterovirus,Picornaviridae,Niger,Homo sapiens,0,2017,0
MG672479.1,GIN-13-365,Enterovirus A,Enterovirus,Picornaviridae,Guinea,Homo sapiens,0,2017,0
MG672480.1,SEN-14-157,Enterovirus A,Enterovirus,Picornaviridae,Senegal,Homo sapiens,0,2017,0
MG672481.1,MRT-14-250,Enterovirus A,Enterovirus,Picornaviridae,Mauritania,Homo sapiens,0,2017,0
MG672482.1,SEN-14-254,Enterovirus A,Enterovirus,Picornaviridae,Senegal,Homo sapiens,0,2017,0
MG692407.1,ETH_P25/A14_2016,Enterovirus A,Enterovirus,Picornaviridae,Ethiopia,Homo sapiens,0,2016,0
MG725872.1,A/NIG/1/13,Foot-and-mouth disease virus,Aphthovirus,Picornaviridae,Nigeria,Bos taurus,0,2013,0
MG888045.1,,Mischivirus B,Mischivirus,Picornaviridae,Algeria,Miniopterus,1,2017,0
MG913340.1,ALG/1/2017,Foot-and-mouth disease virus,Aphthovirus,Picornaviridae,Algeria,Bos taurus,0,2017,0
MG983695.1,LIB/7/2013,Foot-and-mouth disease virus,Aphthovirus,Picornaviridae,Libya,Bos taurus,0,2013,0
MG983698.1,MUR/5/2016,Foot-and-mouth disease virus,Aphthovirus,Picornaviridae,Mauritius,Bos taurus,0,2016,0
MH005790.1,,Enterovirus B,Enterovirus,Picornaviridae,Ghana,Homo sapiens,0,2017,0
MH053305.1,EGY/1/72,Foot-and-mouth disease virus,Aphthovirus,Picornaviridae,Egypt,Bos taurus,0,1972,0
MH053306.1,TCH/2/73,Foot-and-mouth disease virus,Aphthovirus,Picornaviridae,Chad,Bos taurus,0,1973,0
MH053307.1,Zambia/90,Foot-and-mouth disease virus,Aphthovirus,Picornaviridae,Zambia,Bos taurus,0,1990,0
MH053308.1,ETH/1/71,Foot-and-mouth disease virus,Aphthovirus,Picornaviridae,Ethiopia,Bos taurus,0,1971,0
MH053309.1,KEN/32/70 (K267/67),Foot-and-mouth disease virus,Aphthovirus,Picornaviridae,Kenya,Bos taurus,0,1967,0
MH053310.1,UGA/18/70,Foot-and-mouth disease virus,Aphthovirus,Picornaviridae,Uganda,Bos taurus,0,1970,0
MH053311.1,ETH/3/2004,Foot-and-mouth disease virus,Aphthovirus,Picornaviridae,Ethiopia,Bos taurus,0,2004,0
MH053312.1,ETH/58/2005,Foot-and-mouth disease virus,Aphthovirus,Picornaviridae,Ethiopia,Bos taurus,0,2005,0
MH053313.1,ETH/2/2006,Foot-and-mouth disease virus,Aphthovirus,Picornaviridae,Ethiopia,Bos taurus,0,2006,0
MH053314.1,ETH/1/2007,Foot-and-mouth disease virus,Aphthovirus,Picornaviridae,Ethiopia,Bos taurus,0,2007,0
MH053315.1,SUD/1/76,Foot-and-mouth disease virus,Aphthovirus,Picornaviridae,Sudan,Bos taurus,0,1976,0
MH053316.1,UGA/5/96,Foot-and-mouth disease virus,Aphthovirus,Picornaviridae,Uganda,Bos taurus,0,1996,0
MH053317.1,UGA/17/98,Foot-and-mouth disease virus,Aphthovirus,Picornaviridae,Uganda,Bos taurus,0,1998,0
MH053318.1,UGA/3/2002,Foot-and-mouth disease virus,Aphthovirus,Picornaviridae,Uganda,Bos taurus,0,2002,0
MH053319.1,BOT-BUFF/62/74,Foot-and-mouth disease virus,Aphthovirus,Picornaviridae,Botswana,Syncerus caffer,0,1974,0
MH053320.1,K303/83,Foot-and-mouth disease virus,Aphthovirus,Picornaviridae,Kenya,Bos taurus,0,1983,0
MH053321.1,MOZ/5/81,Foot-and-mouth disease virus,Aphthovirus,Picornaviridae,Mozambique,Bos taurus,0,1981,0
MH053322.1,SWA/2/89,Foot-and-mouth disease virus,Aphthovirus,Picornaviridae,Namibia,Syncerus caffer,0,1989,0
MH053323.1,TCH/1/72,Foot-and-mouth disease virus,Aphthovirus,Picornaviridae,Chad,Bos taurus,0,1972,0
MH053324.1,UGA/47/71,Foot-and-mouth disease virus,Aphthovirus,Picornaviridae,Uganda,Bos taurus,0,1971,0
MH053325.1,UGA/6/78,Foot-and-mouth disease virus,Aphthovirus,Picornaviridae,Uganda,Bos taurus,0,1978,0
MH053328.1,BOT-BUFF/2/68,Foot-and-mouth disease virus,Aphthovirus,Picornaviridae,Botswana,Syncerus caffer,0,1968,0
MH053329.1,BOT-BUFF/2/69,Foot-and-mouth disease virus,Aphthovirus,Picornaviridae,Botswana,Syncerus caffer,0,1969,0
MH053333.1,ETH/1/90,Foot-and-mouth disease virus,Aphthovirus,Picornaviridae,Ethiopia,Bos taurus,0,1989,0
MH053334.1,NR/1/64,Foot-and-mouth disease virus,Aphthovirus,Picornaviridae,Zambia,Bos taurus,0,1964,0
MH053335.1,SRHO/1/65,Foot-and-mouth disease virus,Aphthovirus,Picornaviridae,Zimbabwe,Bos taurus,0,1965,0
MH053338.1,BOT/109/66,Foot-and-mouth disease virus,Aphthovirus,Picornaviridae,Botswana,Bos taurus,0,1966,0
MH053339.1,BOT-BUFF/13/70,Foot-and-mouth disease virus,Aphthovirus,Picornaviridae,Botswana,Syncerus caffer,0,1970,0
MH053340.1,MAL/3/76,Foot-and-mouth disease virus,Aphthovirus,Picornaviridae,Malawi,Bos taurus,0,1976,0
MH053341.1,UGA-BUFF/27/70,Foot-and-mouth disease virus,Aphthovirus,Picornaviridae,Uganda,Syncerus caffer,0,1970,0
MH053343.1,RV/7/34,Foot-and-mouth disease virus,Aphthovirus,Picornaviridae,Zimbabwe,Bos taurus,0,1934,0
MH053344.1,RHO/7/74,Foot-and-mouth disease virus,Aphthovirus,Picornaviridae,Zimbabwe,Bos taurus,0,1974,0
MH053348.1,RHO/11/77,Foot-and-mouth disease virus,Aphthovirus,Picornaviridae,Zimbabwe,Bos taurus,0,1977,0
MH053349.1,ZIM/P6/83 (WN-16),Foot-and-mouth disease virus,Aphthovirus,Picornaviridae,Zimbabwe,Syncerus caffer,0,1983,0
MH053351.1,ZIM/2/84,Foot-and-mouth disease virus,Aphthovirus,Picornaviridae,Zimbabwe,Bos taurus,0,1984,0
MH053352.1,ZIM/P27/90 (DSA-31),Foot-and-mouth disease virus,Aphthovirus,Picornaviridae,Zimbabwe,Syncerus caffer,0,1990,0
MH084298.1,Env_SEN_Feb2013-C116a,Enterovirus C,Enterovirus,Picornaviridae,Senegal,Sewage,0,2013,0
MH167965.1,FMDV_O/MOY2_099_P_2016,Foot-and-mouth disease virus,Aphthovirus,Picornaviridae,Uganda,Bos taurus,0,2016,0
MH685681.1,E0-163,Rhinovirus A,Enterovirus,Picornaviridae,Uganda,Homo sapiens,0,2013,0
MH685694.1,E0-133,Rhinovirus C,Enterovirus,Picornaviridae,Uganda,Homo sapiens,0,2013,0
MH685712.1,E0-150,Enterovirus B,Enterovirus,Picornaviridae,Uganda,Homo sapiens,0,2013,0
MH685713.1,E0-67,Enterovirus A,Enterovirus,Picornaviridae,Uganda,Homo sapiens,0,2013,0
MH685714.1,E0-198,Hepatovirus A,Hepatovirus,Picornaviridae,Uganda,Homo sapiens,0,2013,0
MH719217.1,,Enterovirus E,Enterovirus,Picornaviridae,Nigeria,Bos taurus,0,2017,0
MH732737.1,,Enterovirus B,Enterovirus,Picornaviridae,Nigeria,Homo sapiens,0,2010,0
MH745407.1,,Enterovirus B,Enterovirus,Picornaviridae,Nigeria,Homo sapiens,0,2014,0
MH791293.1,AMU_200,Foot-and-mouth disease virus,Aphthovirus,Picornaviridae,Uganda,Bos taurus,0,2017,0
MH933760.1,HCoSV/CMRHP6A/CMR/2014,Human cosavirus,Cosavirus,Picornaviridae,Cameroon,Homo sapiens,0,2014,0
MH933766.1,HAV/Human/CMRHP2/CMR/2014,Hepatovirus A,Hepatovirus,Picornaviridae,Cameroon,Homo sapiens,0,2014,0
MH933779.1,HPeV-16/CMRHP2/CMR/2014,Parechovirus A,Parechovirus,Picornaviridae,Cameroon,Homo sapiens,0,2014,0
MH933792.1,Cardiovirus-B/CMRHP35/CMR/2014,Cardiovirus B,Cardiovirus,Picornaviridae,Cameroon,Homo sapiens,0,2014,0
MH933843.1,EV/Human/CMRHP1/CMR/2014,Human enterovirus,Enterovirus,Picornaviridae,Cameroon,Homo sapiens,0,2014,0
MK032893.1,E-19_CAF-BAN-05-150a,Enterovirus B,Enterovirus,Picornaviridae,Central African Republic,Homo sapiens,0,2005,0
MK032895.1,EV-D111_CAF-BAN-06-150,Enterovirus D,Enterovirus,Picornaviridae,Central African Republic,Homo sapiens,0,2006,0
MK032897.1,EV-D111_CAF-OUP-05-059,Enterovirus D,Enterovirus,Picornaviridae,Central African Republic,Homo sapiens,0,2005,0
MK159694.1,,Enterovirus B,Enterovirus,Picornaviridae,Nigeria,Homo sapiens,0,2014,0
