Position,Coverage,rPM,rPM
269,4,0.086312928,-1.063924151
270,4,0.086312928,-1.063924151
271,4,0.086312928,-1.063924151
272,4,0.086312928,-1.063924151
273,4,0.086312928,-1.063924151
274,4,0.086312928,-1.063924151
275,4,0.086312928,-1.063924151
276,4,0.086312928,-1.063924151
277,4,0.086312928,-1.063924151
278,4,0.086312928,-1.063924151
279,4,0.086312928,-1.063924151
280,4,0.086312928,-1.063924151
281,5,0.107891159,-0.967014142
282,5,0.107891159,-0.967014142
283,5,0.107891159,-0.967014142
284,5,0.107891159,-0.967014142
285,5,0.107891159,-0.967014142
286,6,0.129469391,-0.887832895
287,6,0.129469391,-0.887832895
288,7,0.151047623,-0.820886105
289,7,0.151047623,-0.820886105
290,8,0.172625855,-0.762894157
291,8,0.172625855,-0.762894157
292,8,0.172625855,-0.762894157
293,8,0.172625855,-0.762894157
294,8,0.172625855,-0.762894157
295,8,0.172625855,-0.762894157
296,8,0.172625855,-0.762894157
297,8,0.172625855,-0.762894157
298,8,0.172625855,-0.762894157
299,8,0.172625855,-0.762894157
300,8,0.172625855,-0.762894157
301,8,0.172625855,-0.762894157
302,8,0.172625855,-0.762894157
303,8,0.172625855,-0.762894157
304,8,0.172625855,-0.762894157
305,5,0.107891159,-0.967014142
306,5,0.107891159,-0.967014142
307,5,0.107891159,-0.967014142
308,5,0.107891159,-0.967014142
309,5,0.107891159,-0.967014142
310,5,0.107891159,-0.967014142
311,5,0.107891159,-0.967014142
312,5,0.107891159,-0.967014142
313,5,0.107891159,-0.967014142
314,5,0.107891159,-0.967014142
315,5,0.107891159,-0.967014142
316,5,0.107891159,-0.967014142
317,5,0.107891159,-0.967014142
318,5,0.107891159,-0.967014142
319,5,0.107891159,-0.967014142
320,5,0.107891159,-0.967014142
321,5,0.107891159,-0.967014142
322,5,0.107891159,-0.967014142
323,4,0.086312928,-1.063924151
324,4,0.086312928,-1.063924151
325,4,0.086312928,-1.063924151
326,4,0.086312928,-1.063924151
327,4,0.086312928,-1.063924151
328,4,0.086312928,-1.063924151
329,5,0.107891159,-0.967014142
330,5,0.107891159,-0.967014142
331,5,0.107891159,-0.967014142
332,5,0.107891159,-0.967014142
333,5,0.107891159,-0.967014142
334,5,0.107891159,-0.967014142
335,5,0.107891159,-0.967014142
336,5,0.107891159,-0.967014142
337,6,0.129469391,-0.887832895
338,6,0.129469391,-0.887832895
339,6,0.129469391,-0.887832895
340,6,0.129469391,-0.887832895
341,6,0.129469391,-0.887832895
342,6,0.129469391,-0.887832895
343,6,0.129469391,-0.887832895
344,6,0.129469391,-0.887832895
345,6,0.129469391,-0.887832895
346,6,0.129469391,-0.887832895
347,6,0.129469391,-0.887832895
348,6,0.129469391,-0.887832895
349,6,0.129469391,-0.887832895
350,6,0.129469391,-0.887832895
351,6,0.129469391,-0.887832895
352,6,0.129469391,-0.887832895
353,6,0.129469391,-0.887832895
354,6,0.129469391,-0.887832895
355,6,0.129469391,-0.887832895
356,6,0.129469391,-0.887832895
357,8,0.172625855,-0.762894157
358,8,0.172625855,-0.762894157
359,9,0.194204087,-0.711741635
360,9,0.194204087,-0.711741635
361,9,0.194204087,-0.711741635
362,9,0.194204087,-0.711741635
363,9,0.194204087,-0.711741635
364,9,0.194204087,-0.711741635
365,9,0.194204087,-0.711741635
366,9,0.194204087,-0.711741635
367,9,0.194204087,-0.711741635
368,9,0.194204087,-0.711741635
369,9,0.194204087,-0.711741635
370,9,0.194204087,-0.711741635
371,9,0.194204087,-0.711741635
372,9,0.194204087,-0.711741635
373,9,0.194204087,-0.711741635
374,9,0.194204087,-0.711741635
375,9,0.194204087,-0.711741635
376,9,0.194204087,-0.711741635
377,9,0.194204087,-0.711741635
378,9,0.194204087,-0.711741635
379,9,0.194204087,-0.711741635
380,9,0.194204087,-0.711741635
381,9,0.194204087,-0.711741635
382,9,0.194204087,-0.711741635
383,9,0.194204087,-0.711741635
384,9,0.194204087,-0.711741635
385,9,0.194204087,-0.711741635
386,9,0.194204087,-0.711741635
387,9,0.194204087,-0.711741635
388,9,0.194204087,-0.711741635
389,9,0.194204087,-0.711741635
390,9,0.194204087,-0.711741635
391,9,0.194204087,-0.711741635
392,9,0.194204087,-0.711741635
393,9,0.194204087,-0.711741635
394,9,0.194204087,-0.711741635
395,9,0.194204087,-0.711741635
396,9,0.194204087,-0.711741635
397,9,0.194204087,-0.711741635
398,9,0.194204087,-0.711741635
399,9,0.194204087,-0.711741635
400,9,0.194204087,-0.711741635
401,9,0.194204087,-0.711741635
402,9,0.194204087,-0.711741635
403,9,0.194204087,-0.711741635
404,9,0.194204087,-0.711741635
405,9,0.194204087,-0.711741635
406,10,0.215782319,-0.665984144
407,10,0.215782319,-0.665984144
408,12,0.258938783,-0.586802897
409,12,0.258938783,-0.586802897
410,12,0.258938783,-0.586802897
411,12,0.258938783,-0.586802897
412,12,0.258938783,-0.586802897
413,12,0.258938783,-0.586802897
414,12,0.258938783,-0.586802897
415,12,0.258938783,-0.586802897
416,12,0.258938783,-0.586802897
417,12,0.258938783,-0.586802897
418,12,0.258938783,-0.586802897
419,12,0.258938783,-0.586802897
420,12,0.258938783,-0.586802897
421,12,0.258938783,-0.586802897
422,12,0.258938783,-0.586802897
423,12,0.258938783,-0.586802897
424,12,0.258938783,-0.586802897
425,12,0.258938783,-0.586802897
426,12,0.258938783,-0.586802897
427,11,0.237360551,-0.624591459
428,12,0.258938783,-0.586802897
429,12,0.258938783,-0.586802897
430,12,0.258938783,-0.586802897
431,12,0.258938783,-0.586802897
432,11,0.237360551,-0.624591459
433,11,0.237360551,-0.624591459
434,10,0.215782319,-0.665984144
435,10,0.215782319,-0.665984144
436,9,0.194204087,-0.711741635
437,9,0.194204087,-0.711741635
438,9,0.194204087,-0.711741635
439,9,0.194204087,-0.711741635
440,10,0.215782319,-0.665984144
441,10,0.215782319,-0.665984144
442,10,0.215782319,-0.665984144
443,10,0.215782319,-0.665984144
444,10,0.215782319,-0.665984144
445,10,0.215782319,-0.665984144
446,10,0.215782319,-0.665984144
447,10,0.215782319,-0.665984144
448,10,0.215782319,-0.665984144
449,10,0.215782319,-0.665984144
450,10,0.215782319,-0.665984144
451,10,0.215782319,-0.665984144
452,10,0.215782319,-0.665984144
453,10,0.215782319,-0.665984144
454,10,0.215782319,-0.665984144
455,11,0.237360551,-0.624591459
456,11,0.237360551,-0.624591459
457,11,0.237360551,-0.624591459
458,11,0.237360551,-0.624591459
459,11,0.237360551,-0.624591459
460,11,0.237360551,-0.624591459
461,11,0.237360551,-0.624591459
462,11,0.237360551,-0.624591459
463,11,0.237360551,-0.624591459
464,11,0.237360551,-0.624591459
465,11,0.237360551,-0.624591459
466,11,0.237360551,-0.624591459
467,11,0.237360551,-0.624591459
468,11,0.237360551,-0.624591459
469,11,0.237360551,-0.624591459
470,12,0.258938783,-0.586802897
471,13,0.280517014,-0.552040793
472,13,0.280517014,-0.552040793
473,13,0.280517014,-0.552040793
474,13,0.280517014,-0.552040793
475,12,0.258938783,-0.586802897
476,12,0.258938783,-0.586802897
477,12,0.258938783,-0.586802897
478,13,0.280517014,-0.552040793
479,13,0.280517014,-0.552040793
480,14,0.302095246,-0.519856109
481,14,0.302095246,-0.519856109
482,15,0.323673478,-0.489892885
483,14,0.302095246,-0.519856109
484,14,0.302095246,-0.519856109
485,14,0.302095246,-0.519856109
486,14,0.302095246,-0.519856109
487,14,0.302095246,-0.519856109
488,14,0.302095246,-0.519856109
489,14,0.302095246,-0.519856109
490,16,0.34525171,-0.461864162
491,16,0.34525171,-0.461864162
492,16,0.34525171,-0.461864162
493,16,0.34525171,-0.461864162
494,16,0.34525171,-0.461864162
495,16,0.34525171,-0.461864162
496,16,0.34525171,-0.461864162
497,16,0.34525171,-0.461864162
498,16,0.34525171,-0.461864162
499,16,0.34525171,-0.461864162
500,16,0.34525171,-0.461864162
501,16,0.34525171,-0.461864162
502,16,0.34525171,-0.461864162
503,14,0.302095246,-0.519856109
504,14,0.302095246,-0.519856109
505,14,0.302095246,-0.519856109
506,14,0.302095246,-0.519856109
507,14,0.302095246,-0.519856109
508,14,0.302095246,-0.519856109
509,14,0.302095246,-0.519856109
510,14,0.302095246,-0.519856109
511,14,0.302095246,-0.519856109
512,14,0.302095246,-0.519856109
513,14,0.302095246,-0.519856109
514,14,0.302095246,-0.519856109
515,14,0.302095246,-0.519856109
516,14,0.302095246,-0.519856109
517,14,0.302095246,-0.519856109
518,14,0.302095246,-0.519856109
519,14,0.302095246,-0.519856109
520,14,0.302095246,-0.519856109
521,14,0.302095246,-0.519856109
522,14,0.302095246,-0.519856109
523,14,0.302095246,-0.519856109
524,14,0.302095246,-0.519856109
525,14,0.302095246,-0.519856109
526,17,0.366829942,-0.435535223
527,18,0.388408174,-0.410711639
528,18,0.388408174,-0.410711639
529,18,0.388408174,-0.410711639
530,18,0.388408174,-0.410711639
531,18,0.388408174,-0.410711639
532,18,0.388408174,-0.410711639
533,18,0.388408174,-0.410711639
534,18,0.388408174,-0.410711639
535,18,0.388408174,-0.410711639
536,18,0.388408174,-0.410711639
537,18,0.388408174,-0.410711639
538,18,0.388408174,-0.410711639
539,18,0.388408174,-0.410711639
540,18,0.388408174,-0.410711639
541,18,0.388408174,-0.410711639
542,18,0.388408174,-0.410711639
543,18,0.388408174,-0.410711639
544,18,0.388408174,-0.410711639
545,18,0.388408174,-0.410711639
546,18,0.388408174,-0.410711639
547,18,0.388408174,-0.410711639
548,18,0.388408174,-0.410711639
549,18,0.388408174,-0.410711639
550,18,0.388408174,-0.410711639
551,18,0.388408174,-0.410711639
552,17,0.366829942,-0.435535223
553,17,0.366829942,-0.435535223
554,15,0.323673478,-0.489892885
555,15,0.323673478,-0.489892885
556,17,0.366829942,-0.435535223
557,17,0.366829942,-0.435535223
558,17,0.366829942,-0.435535223
559,17,0.366829942,-0.435535223
560,17,0.366829942,-0.435535223
561,17,0.366829942,-0.435535223
562,18,0.388408174,-0.410711639
563,18,0.388408174,-0.410711639
564,18,0.388408174,-0.410711639
565,18,0.388408174,-0.410711639
566,18,0.388408174,-0.410711639
567,18,0.388408174,-0.410711639
568,18,0.388408174,-0.410711639
569,18,0.388408174,-0.410711639
570,18,0.388408174,-0.410711639
571,18,0.388408174,-0.410711639
572,18,0.388408174,-0.410711639
573,18,0.388408174,-0.410711639
574,17,0.366829942,-0.435535223
575,17,0.366829942,-0.435535223
576,17,0.366829942,-0.435535223
577,17,0.366829942,-0.435535223
578,17,0.366829942,-0.435535223
579,17,0.366829942,-0.435535223
580,17,0.366829942,-0.435535223
581,17,0.366829942,-0.435535223
582,17,0.366829942,-0.435535223
583,17,0.366829942,-0.435535223
584,17,0.366829942,-0.435535223
585,17,0.366829942,-0.435535223
586,16,0.34525171,-0.461864162
587,16,0.34525171,-0.461864162
588,16,0.34525171,-0.461864162
589,16,0.34525171,-0.461864162
590,16,0.34525171,-0.461864162
591,17,0.366829942,-0.435535223
592,17,0.366829942,-0.435535223
593,17,0.366829942,-0.435535223
594,17,0.366829942,-0.435535223
595,17,0.366829942,-0.435535223
596,17,0.366829942,-0.435535223
597,17,0.366829942,-0.435535223
598,17,0.366829942,-0.435535223
599,17,0.366829942,-0.435535223
600,17,0.366829942,-0.435535223
601,16,0.34525171,-0.461864162
602,16,0.34525171,-0.461864162
603,16,0.34525171,-0.461864162
604,16,0.34525171,-0.461864162
605,16,0.34525171,-0.461864162
606,16,0.34525171,-0.461864162
607,16,0.34525171,-0.461864162
608,16,0.34525171,-0.461864162
609,16,0.34525171,-0.461864162
610,17,0.366829942,-0.435535223
611,17,0.366829942,-0.435535223
612,17,0.366829942,-0.435535223
613,17,0.366829942,-0.435535223
614,17,0.366829942,-0.435535223
615,17,0.366829942,-0.435535223
616,16,0.34525171,-0.461864162
617,16,0.34525171,-0.461864162
618,16,0.34525171,-0.461864162
619,16,0.34525171,-0.461864162
620,16,0.34525171,-0.461864162
621,16,0.34525171,-0.461864162
622,16,0.34525171,-0.461864162
623,16,0.34525171,-0.461864162
624,15,0.323673478,-0.489892885
625,15,0.323673478,-0.489892885
626,14,0.302095246,-0.519856109
627,14,0.302095246,-0.519856109
628,13,0.280517014,-0.552040793
629,13,0.280517014,-0.552040793
630,13,0.280517014,-0.552040793
631,13,0.280517014,-0.552040793
632,13,0.280517014,-0.552040793
633,13,0.280517014,-0.552040793
634,13,0.280517014,-0.552040793
635,15,0.323673478,-0.489892885
636,13,0.280517014,-0.552040793
637,13,0.280517014,-0.552040793
638,13,0.280517014,-0.552040793
639,13,0.280517014,-0.552040793
640,13,0.280517014,-0.552040793
641,13,0.280517014,-0.552040793
642,13,0.280517014,-0.552040793
643,13,0.280517014,-0.552040793
644,13,0.280517014,-0.552040793
645,13,0.280517014,-0.552040793
646,13,0.280517014,-0.552040793
647,13,0.280517014,-0.552040793
648,13,0.280517014,-0.552040793
649,13,0.280517014,-0.552040793
650,13,0.280517014,-0.552040793
651,12,0.258938783,-0.586802897
652,12,0.258938783,-0.586802897
653,12,0.258938783,-0.586802897
654,12,0.258938783,-0.586802897
655,12,0.258938783,-0.586802897
656,12,0.258938783,-0.586802897
657,12,0.258938783,-0.586802897
658,12,0.258938783,-0.586802897
659,12,0.258938783,-0.586802897
660,12,0.258938783,-0.586802897
661,12,0.258938783,-0.586802897
662,12,0.258938783,-0.586802897
663,12,0.258938783,-0.586802897
664,12,0.258938783,-0.586802897
665,12,0.258938783,-0.586802897
666,12,0.258938783,-0.586802897
667,12,0.258938783,-0.586802897
668,12,0.258938783,-0.586802897
669,12,0.258938783,-0.586802897
670,12,0.258938783,-0.586802897
671,12,0.258938783,-0.586802897
672,9,0.194204087,-0.711741635
673,8,0.172625855,-0.762894157
674,8,0.172625855,-0.762894157
675,8,0.172625855,-0.762894157
676,8,0.172625855,-0.762894157
677,8,0.172625855,-0.762894157
678,8,0.172625855,-0.762894157
679,8,0.172625855,-0.762894157
680,8,0.172625855,-0.762894157
681,8,0.172625855,-0.762894157
682,8,0.172625855,-0.762894157
683,8,0.172625855,-0.762894157
684,8,0.172625855,-0.762894157
685,9,0.194204087,-0.711741635
686,9,0.194204087,-0.711741635
687,9,0.194204087,-0.711741635
688,9,0.194204087,-0.711741635
689,9,0.194204087,-0.711741635
690,9,0.194204087,-0.711741635
691,9,0.194204087,-0.711741635
692,9,0.194204087,-0.711741635
693,9,0.194204087,-0.711741635
694,9,0.194204087,-0.711741635
695,9,0.194204087,-0.711741635
696,9,0.194204087,-0.711741635
697,9,0.194204087,-0.711741635
698,9,0.194204087,-0.711741635
699,9,0.194204087,-0.711741635
700,9,0.194204087,-0.711741635
701,9,0.194204087,-0.711741635
702,7,0.151047623,-0.820886105
703,7,0.151047623,-0.820886105
704,7,0.151047623,-0.820886105
705,7,0.151047623,-0.820886105
706,7,0.151047623,-0.820886105
707,7,0.151047623,-0.820886105
708,6,0.129469391,-0.887832895
709,6,0.129469391,-0.887832895
710,6,0.129469391,-0.887832895
711,6,0.129469391,-0.887832895
712,6,0.129469391,-0.887832895
713,6,0.129469391,-0.887832895
714,6,0.129469391,-0.887832895
715,6,0.129469391,-0.887832895
716,7,0.151047623,-0.820886105
717,7,0.151047623,-0.820886105
718,7,0.151047623,-0.820886105
719,7,0.151047623,-0.820886105
720,7,0.151047623,-0.820886105
721,7,0.151047623,-0.820886105
722,7,0.151047623,-0.820886105
723,7,0.151047623,-0.820886105
724,7,0.151047623,-0.820886105
725,7,0.151047623,-0.820886105
726,7,0.151047623,-0.820886105
727,7,0.151047623,-0.820886105
728,7,0.151047623,-0.820886105
729,7,0.151047623,-0.820886105
730,7,0.151047623,-0.820886105
731,7,0.151047623,-0.820886105
732,7,0.151047623,-0.820886105
733,7,0.151047623,-0.820886105
734,7,0.151047623,-0.820886105
735,7,0.151047623,-0.820886105
736,7,0.151047623,-0.820886105
737,6,0.129469391,-0.887832895
738,6,0.129469391,-0.887832895
739,6,0.129469391,-0.887832895
740,6,0.129469391,-0.887832895
741,6,0.129469391,-0.887832895
742,6,0.129469391,-0.887832895
743,7,0.151047623,-0.820886105
744,7,0.151047623,-0.820886105
745,7,0.151047623,-0.820886105
746,7,0.151047623,-0.820886105
747,7,0.151047623,-0.820886105
748,7,0.151047623,-0.820886105
749,7,0.151047623,-0.820886105
750,7,0.151047623,-0.820886105
751,7,0.151047623,-0.820886105
752,7,0.151047623,-0.820886105
753,7,0.151047623,-0.820886105
754,7,0.151047623,-0.820886105
755,7,0.151047623,-0.820886105
756,6,0.129469391,-0.887832895
757,6,0.129469391,-0.887832895
758,6,0.129469391,-0.887832895
759,6,0.129469391,-0.887832895
760,6,0.129469391,-0.887832895
761,6,0.129469391,-0.887832895
762,6,0.129469391,-0.887832895
763,6,0.129469391,-0.887832895
764,6,0.129469391,-0.887832895
765,6,0.129469391,-0.887832895
766,7,0.151047623,-0.820886105
767,7,0.151047623,-0.820886105
768,7,0.151047623,-0.820886105
769,7,0.151047623,-0.820886105
770,7,0.151047623,-0.820886105
771,7,0.151047623,-0.820886105
772,7,0.151047623,-0.820886105
773,7,0.151047623,-0.820886105
774,8,0.172625855,-0.762894157
775,8,0.172625855,-0.762894157
776,8,0.172625855,-0.762894157
777,8,0.172625855,-0.762894157
778,8,0.172625855,-0.762894157
779,8,0.172625855,-0.762894157
780,8,0.172625855,-0.762894157
781,6,0.129469391,-0.887832895
782,6,0.129469391,-0.887832895
783,6,0.129469391,-0.887832895
784,6,0.129469391,-0.887832895
785,6,0.129469391,-0.887832895
786,7,0.151047623,-0.820886105
787,7,0.151047623,-0.820886105
788,7,0.151047623,-0.820886105
789,7,0.151047623,-0.820886105
790,7,0.151047623,-0.820886105
791,7,0.151047623,-0.820886105
792,7,0.151047623,-0.820886105
793,7,0.151047623,-0.820886105
794,7,0.151047623,-0.820886105
795,7,0.151047623,-0.820886105
796,7,0.151047623,-0.820886105
797,7,0.151047623,-0.820886105
798,7,0.151047623,-0.820886105
799,7,0.151047623,-0.820886105
800,7,0.151047623,-0.820886105
801,7,0.151047623,-0.820886105
802,8,0.172625855,-0.762894157
803,8,0.172625855,-0.762894157
804,8,0.172625855,-0.762894157
805,8,0.172625855,-0.762894157
806,8,0.172625855,-0.762894157
807,8,0.172625855,-0.762894157
808,8,0.172625855,-0.762894157
809,8,0.172625855,-0.762894157
810,8,0.172625855,-0.762894157
811,8,0.172625855,-0.762894157
812,8,0.172625855,-0.762894157
813,8,0.172625855,-0.762894157
814,8,0.172625855,-0.762894157
815,8,0.172625855,-0.762894157
816,8,0.172625855,-0.762894157
817,9,0.194204087,-0.711741635
818,9,0.194204087,-0.711741635
819,9,0.194204087,-0.711741635
820,9,0.194204087,-0.711741635
821,9,0.194204087,-0.711741635
