name,date
MZ544214.1,2014-06-10
MZ544215.1,2014-06-11
MZ544216.1,2014-06-17
MZ544217.1,2014-06-17
MZ544218.1,2014-06-11
MZ544225.1,2014-09-18
MZ544227.1,2014-11-11
MZ544228.1,2014-11-11
MZ544229.1,2014-11-11
MZ544230.1,2014-11-12
MZ544231.1,2014-11-12
MZ544237.1,2015-02-04
MZ544238.1,2015-02-04
MZ544239.1,2015-02-13
MZ544240.1,2014-09-16
MZ544241.1,2014-06-11
MZ544242.1,2014-06-11
MZ544243.1,2014-09-16
MZ544244.1,2014-06-11
MZ544245.1,2015-02-06
MZ544246.1,2014-09-16
MZ544247.1,2014-06-10
MZ544295.1,2014-06-17
MZ544296.1,2014-06-11
MZ544297.1,2014-06-17
MZ544298.1,2014-06-11
MZ544299.1,2014-06-11
MZ544300.1,2014-06-17
MZ544301.1,2014-09-17
MZ544302.1,2014-09-18
MZ544303.1,2014-09-16
MZ544304.1,2014-09-17
MZ544305.1,2014-11-11
MZ544306.1,2014-11-13
MZ544307.1,2015-02-06
MZ544308.1,2015-02-13
MZ544309.1,2014-06-11
MZ544310.1,2014-06-11
MZ544311.1,2014-06-10
MZ544312.1,2014-06-11
MZ544313.1,2014-06-11
MZ544315.1,2014-06-17
MZ544316.1,2014-06-17
MZ544317.1,2014-06-11
MZ544318.1,2014-06-11
MZ544319.1,2014-06-17
MZ544320.1,2014-06-17
MZ544321.1,2014-06-17
MZ544322.1,2014-06-17
MZ544323.1,2014-06-17
MZ544324.1,2014-06-11
MZ544325.1,2014-06-17
MZ544326.1,2014-06-17
MZ544327.1,2014-06-17
MZ544328.1,2014-06-17
MZ544329.1,2014-06-11
MZ544330.1,2014-06-17
MZ544331.1,2014-06-11
MZ544332.1,2014-06-17
MZ544333.1,2014-06-17
MZ544334.1,2014-06-11
MZ544335.1,2014-06-11
MZ544336.1,2014-06-11
MZ544337.1,2014-06-11
MZ544338.1,2014-06-17
MZ544339.1,2014-06-17
MZ544341.1,2014-06-17
MZ544342.1,2014-06-17
MZ544343.1,2014-09-18
MZ544344.1,2014-09-18
MZ544345.1,2014-09-18
MZ544346.1,2014-09-18
MZ544347.1,2014-09-18
MZ544348.1,2014-09-18
MZ544349.1,2014-09-18
MZ544350.1,2014-09-18
MZ544351.1,2014-09-18
MZ544352.1,2014-09-18
MZ544353.1,2014-09-18
MZ544354.1,2014-09-18
MZ544355.1,2014-09-18
MZ544356.1,2014-09-16
MZ544357.1,2014-09-16
MZ544358.1,2014-09-16
MZ544359.1,2014-11-13
MZ544361.1,2015-02-06
MZ544362.1,2015-02-13
MZ544363.1,2015-02-13
MZ544364.1,2015-02-13
NC_030886.1,2010-06-09
OK149219.1,2017-07-15
OK149220.1,2017-07-15
OM302498.1,2018-07-27
ON375332.1,2020-07-08
ON375333.1,2018-07-27
ON584157.1,2020-07-08
ON872527.1,2019-07-15
OP287812.1,2018-07-27
OP880198.1,2020-07-08
OP930874.1,2022-07-15
OP930875.1,2022-07-15
OP963614.1,2018-07-15
OP963615.1,2018-07-15
OP963617.1,2018-07-15
OP963618.1,2018-07-15
OP963619.1,2018-07-15
OP963620.1,2015-07-15
OP963621.1,2018-07-15
OP963622.1,2016-07-15
OP963623.1,2017-07-15
OP963670.1,2018-07-15
OP963671.1,2018-07-15
OQ363751.1,2022-07-15
OQ363752.1,2022-07-15
OQ363753.1,2022-07-15
OQ363754.1,2022-07-15
OQ363755.1,2022-07-15
OQ363757.1,2010-11-15
OQ363758.1,2020-11-15
OQ363759.1,2022-07-15
OQ363761.1,2020-11-15
OQ363764.1,2022-07-15
OQ363766.1,2021-12-15
OQ363767.1,2022-01-15
OQ363768.1,2022-04-15
OQ363769.1,2020-12-15
OQ363770.1,2020-12-15
OQ363771.1,2020-12-15
OQ363772.1,2021-12-15
OQ363773.1,2020-12-15
OQ363774.1,2021-12-15
OQ363775.1,2021-12-15
OQ363777.1,2020-11-15
OQ363779.1,2021-10-15
OQ363780.1,2020-11-15
OQ363781.1,2020-11-15
OQ363782.1,2021-11-15
OQ363783.1,2020-12-15
OQ363784.1,2021-11-15
OQ363785.1,2021-08-15
OQ363786.1,2021-05-15
OQ363789.1,2022-08-15
OQ363791.1,2022-08-15
OQ363803.1,2022-08-15
OQ363805.1,2022-08-15
OQ363806.1,2022-08-15
OQ709197.1,2018-07-15
OQ818316,2018-08-16
OQ818317,2018-02-15
OQ818318,2018-02-15
OQ818319,2018-07-27
OQ818320,2019-01-07
OQ818321,2019-04-23
OQ818322,2018-07-29
OQ818323,2018-07-29
OQ818324,2018-09-11
OQ818325,2018-09-11
OQ818326,2018-09-11
OQ818327,2018-09-11
OQ818328,2018-09-12
OQ818329,2018-09-12
OQ818330,2018-02-23
OQ818331,2018-03-01
OQ818335,2018-08-06
OQ818336,2019-01-07
OQ818337,2018-02-15
OQ818339,2018-02-15
OQ818340,2018-04-10
OQ818341,2018-07-27
