Accession,old_tip_label,Isolate,Species,Genus,Family,Country,Host,bat_Host,Collection_Date,novel
NC_003783.1,NC_003783.1,,Triatoma virus,Triatovirus,Dicistroviridae,Argentina,Triatoma infestans,0,1999,0
NC_003784.1,NC_003784.1,,Black queen cell virus,Triatovirus,Dicistroviridae,South Africa,Apis mellifera,0,1999,0
NC_003785.2,NC_003785.2,S-58,Satsuma dwarf virus,Sadwavirus,Secoviridae,USA,Satsuma mandarin,0,1997,0
NC_003787.1,NC_003787.1,,Apple latent spherical virus,Cheravirus,Secoviridae,Japan,Malus domestica,0,1999,0
NC_003791.1,NC_003791.1,,Cycas necrotic stunt virus,Nepovirus,Secoviridae,Japan,Cycas,0,1999,0
NC_003799.1,NC_003799.1,Y-SqMV,Squash mosaic virus,Comovirus,Secoviridae,Japan,Cucurbita,0,2001,0
NC_003839.2,NC_003839.2,,Tomato ringspot virus,Nepovirus,Secoviridae,USA,Solanum lycopersicum,0,1991,0
NC_003840.1,NC_003840.1,,Tomato ringspot virus,Nepovirus,Secoviridae,USA,Solanum lycopersicum,0,1995,0
NC_003924.1,NC_003924.1,,Cricket paralysis virus,Cripavirus,Dicistroviridae,USA,Grylloidea,0,1999,0
NC_003976.2,NC_003976.2,,Parechovirus B,Parechovirus,Picornaviridae,Sweden,Myodes glareolus,0,2000,0
NC_003983.1,NC_003983.1,,Erbovirus A,Erbovirus,Picornaviridae,Austria,Equus caballus,0,1996,0
NC_003985.1,NC_003985.1,F65,Teschovirus A,Teschovirus,Picornaviridae,United Kingdom,Sus scrofa,0,1998,0
NC_003987.1,NC_003987.1,,Sapelovirus A,Sapelovirus,Picornaviridae,Germany,Sus scrofa,0,2001,0
NC_003988.1,NC_003988.1,,Enterovirus H,Enterovirus,Picornaviridae,USA,Simiiformes,0,1999,0
NC_003990.1,NC_003990.1,,Tremovirus A,Tremovirus,Picornaviridae,USA,Galus gallus,0,1997,0
NC_004064.1,NC_004064.1,,Newbury 1 virus,Nebovirus,Caliciviridae,USA,Bovinae,0,2002,0
NC_004365.1,NC_004365.1,,Aphid lethal paralysis virus,Cripavirus,Dicistroviridae,Netherlands,Aphidoidea,0,2002,0
NC_004421.1,NC_004421.1,,Aichivirus B,Kobuvirus,Picornaviridae,Japan,Bos taurus,0,2002,0
NC_004439.1,NC_004439.1,MJ,Tomato black ring virus,Nepovirus,Secoviridae,Poland,Solanum lycopersicum,0,2002,0
NC_004441.1,NC_004441.1,,Enterovirus G,Enterovirus,Picornaviridae,Germany,Sus scrofa,0,2001,0
NC_004451.1,NC_004451.1,,Sapelovirus B,Sapelovirus,Picornaviridae,USA,Simiiformes,0,2001,0
NC_004541.1,NC_004541.1,,Vesicular exanthema of swine virus,Vesivirus,Caliciviridae,USA,Odobenus rosmarus,0,2000,0
NC_004542.1,NC_004542.1,,Canine vesivirus,Vesivirus,Caliciviridae,Japan,Canidae,0,2000,0
NC_004807.1,NC_004807.1,,Kashmir bee virus,Aparavirus,Dicistroviridae,USA,Apidae,0,2003,0
NC_004830.2,NC_004830.2,,Deformed wing virus,Iflavirus,Iflaviridae,Italy,Apis mellifera,0,2002,0
NC_005092.1,NC_005092.1,,Ectropis obliqua virus,Iflavirus,Iflaviridae,China,Ectropis obliqua,0,2013,0
NC_005096.1,NC_005096.1,,Tobacco ringspot virus,Nepovirus,Secoviridae,USA,Nicotiana tabacum,0,2003,0
NC_005097.1,NC_005097.1,,Tobacco ringspot virus,Nepovirus,Secoviridae,USA,Nicotiana tabacum,0,1996,0
NC_005266.1,NC_005266.1,,Raspberry ringspot virus,Nepovirus,Secoviridae,Germnay,Vitis vinifera,0,2003,0
NC_005281.1,NC_005281.1,,Heterosigma akashiwo RNA virus,Marnavirus,Marnaviridae,Canada,Heterosigma akashiwo,0,2003,0
NC_005289.1,NC_005289.1,,Broad bean wilt virus 1,Fabavirus,Secoviridae,USA,Fabaceae,0,2002,0
NC_006056.1,NC_006056.1,,Arabis mosaic virus,Nepovirus,Secoviridae,USA,Grapevine,0,2001,0
NC_006057.1,NC_006057.1,Neustadt an der Weinstrasse (NW),Arabis mosaic virus,Nepovirus,Secoviridae,Germany,Vitis,0,2003,0
NC_006269.1,NC_006269.1,,Sapporo virus,Sapovirus,Caliciviridae,Germany,Homo sapiens,0,2004,0
NC_006271.1,NC_006271.1,potato,Cherry rasp leaf virus,Cheravirus,Secoviridae,USA,Solanum tuberosum,0,2004,0
NC_006494.1,NC_006494.1,,Varroa destructor virus 1,Iflavirus,Iflaviridae,Netherlands,Varroa destructor,0,2003,0
NC_006553.1,NC_006553.1,TW90A,Anativirus A,Anativirus,Picornaviridae,Taiwan,Simiiformes,0,2004,0
NC_006554.1,NC_006554.1,,Sapporo virus,Sapovirus,Caliciviridae,Japan,Homo sapiens,0,2004,0
NC_006559.1,NC_006559.1,,Solenopsis invicta virus 1,Aparavirus,Dicistroviridae,USA,Solenopsis invicta,0,2004,0
NC_006875.1,NC_006875.1,TCG 14,Calicivirus isolate TCG,Calicivirus,Caliciviridae,Japan,Bos taurus,0,2003,0
NC_006964.1,NC_006964.1,NCGR MEN 454.001,Stralarivirus SLRSV,Stralarivirus,Secoviridae,USA,Fragaria _ ananassa,0,2004,0
NC_006965.1,NC_006965.1,NCGR MEN 454.001,Stralarivirus SLRSV,Stralarivirus,Secoviridae,USA,Fragaria _ ananassa,0,2004,0
NC_007522.1,NC_007522.1,,Aurantiochytrium single-stranded RNA virus 01,Labyrnavirus,Marnaviridae,Japan,Schizochytrium sp,0,2004,0
NC_007916.1,NC_007916.1,,Newbury 1 virus,Nebovirus,Caliciviridae,United Kingdom,Bos taurus,0,2005,0
NC_008029.1,NC_008029.1,,Homalodisca coagulata virus 1,Triatovirus,Dicistroviridae,USA,Homalodisca vitripennis,0,2005,0
NC_008182.1,NC_008182.1,BRDaV-1,Black raspberry necrosis virus,Sadwavirus,Secoviridae,USA,Rubus occidentalis,0,2005,0
NC_008250.2,NC_008250.2,,Avihepatovirus A,Avihepatovirus,Picornaviridae,USA,Anatidae,0,2005,0
NC_008311.1,NC_008311.1,Mu/NoV/GV/MNV1/2002/USA,Norwalk virus,Norovirus,Caliciviridae,USA,Homo sapiens,0,2005,0
NC_008580.1,NC_008580.1,,Rabbit vesivirus,Vesivirus,Caliciviridae,USA,Oryctolagus cuniculus,0,2004,0
NC_008714.1,NC_008714.1,W1,Enterovirus F,Enterovirus,Picornaviridae,New Zealand,Trichosurus vulpecula,0,2003,0
NC_009013.1,NC_009013.1,PRI-ToTV0301,Tomato torrado virus,Torradovirus,Secoviridae,Spain,Solanum lycopersicum,0,2003,0
NC_009025.1,NC_009025.1,,Israeli acute paralysis virus,Aparavirus,Dicistroviridae,Israel,Apis,0,2004,0
NC_009448.2,NC_009448.2,,Cardiovirus B,Cardiovirus,Picornaviridae,USA,Homo sapiens,0,2006,0
NC_009530.1,NC_009530.1,,Brevicoryne brassicae virus,Iflavirus,Iflaviridae,United Kingdom,Brevicoryne brassicae,0,2007,0
NC_009757.1,NC_009757.1,,Jericarnavirus A,Sogarnavirus,Marnaviridae,Canada,environmental sample,0,2006,0
NC_009758.1,NC_009758.1,,Jericarnavirus B,Locarnavirus,Marnaviridae,Canada,environmental sample,0,2006,0
NC_009891.1,NC_009891.1,HO.02.21,Aquamavirus A,Aquamavirus,Picornaviridae,Canada,Pusa hispida,0,2007,0
NC_009996.1,NC_009996.1,,Rhinovirus C,Enterovirus,Picornaviridae,Hong Kong,Homo sapiens,0,2007,0
NC_010354.1,NC_010354.1,,Bovine rhinitis B virus,Aphthovirus,Picornaviridae,United Kingdom,Bos taurus,0,2007,0
NC_010415.1,NC_010415.1,Simian enterovirus SV6,Enterovirus J,Enterovirus,Picornaviridae,USA,Simiiformes,0,2000,0
NC_010624.1,NC_010624.1,,Sapporo virus,Sapovirus,Caliciviridae,Thailand,Homo sapiens,0,2003,0
NC_010709.1,NC_010709.1,,Radish mosaic virus,Comovirus,Secoviridae,Japan,Raphanus sativus,0,2007,0
NC_010810.1,NC_010810.1,,Cardiovirus D,Cardiovirus,Picornaviridae,USA,Homo sapiens,0,2008,0
NC_010987.1,NC_010987.1,PRI-TMarV0601,Tomato marchitez virus,Torradovirus,Secoviridae,Mexico,Solanum lycopersicum L.,0,2007,0
NC_011050.1,NC_011050.1,SSL2004-250F,Steller sea lion vesivirus,Vesivirus,Caliciviridae,USA,Eumetopias jubatus,0,2006,0
NC_011190.1,NC_011190.1,GZ1,Gentian mosaic virus,Fabavirus,Secoviridae,China,Mikania micrantha H.B.K,0,2007,0
NC_011349.1,NC_011349.1,SVV-001,Senecavirus A,Senecavirus,Picornaviridae,USA,Homo sapiens,0,2006,0
NC_011704.1,NC_011704.1,MIC-07,Rabbit calicivirus Australia 1 MIC-07,Lagovirus,Caliciviridae,Australia,Oryctolagus cuniculus,0,2007,0
NC_011829.0,NC_011829.1,,Porcine kobuvirus,Kobuvirus,Picornaviridae,USA,Sus scrofa,0,2007,0
NC_012212.1,NC_012212.1,,Chaetoceros socialis forma radians RNA virus 1,Bacillarnavirus,Marnaviridae,Japan,Chaetoceros socialis,0,2005,0
NC_012531.1,NC_012531.1,DM,Solenopsis invicta virus 3,Invictavirus,Solinviviridae,USA,Solenopsis invicta,0,2007,0
NC_012699.1,NC_012699.1,,St-Valerien swine virus,Calicivirus,Caliciviridae,Canada,Sus scrofa,0,2006,0
NC_012798.1,NC_012798.1,,Cosavirus E,Cosavirus,Picornaviridae,Australia,Homo sapiens,0,1981,0
NC_012800.1,NC_012800.1,553,Cosavirus A,Cosavirus,Picornaviridae,Pakistan,Homo sapiens,0,2008,0
NC_012801.1,NC_012801.1,2263,Cosavirus B,Cosavirus,Picornaviridae,Pakistan,Homo sapiens,0,2008,0
NC_012802.1,NC_012802.1,5004,Cosavirus D,Cosavirus,Picornaviridae,Pakistan,Homo sapiens,0,2008,0
NC_012957.1,NC_012957.1,,Salivirus A,Salivirus,Picornaviridae,Nigeria,Homo sapiens,0,2007,0
NC_012986.1,NC_012986.1,02394-01,Salivirus A,Salivirus,Picornaviridae,USA,Homo sapiens,0,2002,0
NC_013075.1,NC_013075.1,,Tomato chocolate spot virus,Torradovirus,Secoviridae,Guatemala,Solanum lycopersicum,0,2009,0
NC_013218.1,NC_013218.1,Toledo,Turnip ringspot virus,Comovirus,Secoviridae,USA,Brassica rapa subsp. Rapa,0,2009,0
NC_013695.1,NC_013695.1,Simian picornavirus strain N203,Enterovirus J,Enterovirus,Picornaviridae,USA,Simiiformes,0,2001,0
NC_014137.1,NC_014137.1,,Slow bee paralysis virus,Iflavirus,Iflaviridae,United Kingdom,Apis mellifera,0,2007,0
NC_014411.1,NC_014411.1,,Passerivirus A,Passerivirus,Picornaviridae,Hong Kong,Turdus pallidus,0,2007,0
NC_014412.1,NC_014412.1,,Oscivirus A,Oscivirus,Picornaviridae,Hong Kong,Copsychus saularis,0,2007,0
NC_014413.1,NC_014413.1,,Oscivirus A,Oscivirus,Picornaviridae,Hong Kong,Turdus hortulorum,0,2007,0
NC_014793.1,NC_014793.1,,Mud crab virus,Aparavirus,Dicistroviridae,China,Scylla serrata,0,2004,0
NC_015414.1,NC_015414.1,E395,Cherry leaf roll virus,Nepovirus,Secoviridae,Germany,Rheum,0,1987,0
NC_015492.1,NC_015492.1,Serb1,Grapevine Bulgarian latent virus,Nepovirus,Secoviridae,Serbia,Vitis vinifera,0,2009,0
NC_015626.1,NC_015626.1,,Pigeon picornavirus B,Unclassified,Picornaviridae,Norway,Columbidae,0,2003,0
NC_015934.1,NC_015934.1,,Bat picornavirus 3,Unclassified,Picornaviridae,Hong Kong,Rhinolophus sinicus,1,2008,0
NC_015936.1,NC_015936.1,,Mouse kobuvirus M-5/USA/2010,Kobuvirus,Picornaviridae,USA,Peromyscus crinitus,0,2010,0
NC_015940.1,NC_015940.1,,Bat picornavirus 1,Unclassified,Picornaviridae,Hong Kong,Miniopterus pusillus,1,2008,0
NC_015941.1,NC_015941.1,,Bat picornavirus 2,Unclassified,Picornaviridae,Hong Kong,Miniopterus magnater,1,2005,0
NC_016156.1,NC_016156.1,,Feline picornavirus,Unclassified,Picornaviridae,Hong Kong,Felis catus,0,2007,0
NC_016403.1,NC_016403.1,,Quail picornavirus QPV1/HUN/2010,Unclassified,Picornaviridae,Hungary,Coturnix coturnix,0,2010,0
NC_016405.1,NC_016405.1,,Spodoptera exigua iflavirus 1,Iflavirus,Iflaviridae,Spain,Spodoptera exigua,0,2011,0
NC_016443.1,NC_016443.1,KP2,Chocolate lily virus A,Sadwavirus,Secoviridae,Australia,Dichopogon strictus,0,2010,0
NC_016769.1,NC_016769.1,SH-W-CHN/2010/China,Aichivirus C,Kobuvirus,Picornaviridae,China,Sus scrofa,0,2010,0
NC_016964.1,NC_016964.1,325,Mischivirus D,Mischivirus,Picornaviridae,Hong Kong,Canis lupus familiaris,0,2008,0
NC_017936.1,NC_017936.1,,Bat sapovirus TLC58/HK,Sapovirus,Caliciviridae,Hong Kong,Chiroptera,1,2011,0
NC_017939.1,NC_017939.1,N66,Grapevine deformation virus,Nepovirus,Secoviridae,Turkey,Vitis vinifera,0,2011,0
NC_018226.1,NC_018226.1,,Pasivirus A,Pasivirus,Picornaviridae,France,Sus scrofa,0,2011,0
NC_018383.1,NC_018383.1,A34,Grapevine Anatolian ringspot virus,Nepovirus,Secoviridae,Turkey,Vitis vinifera,0,2010,0
NC_018384.1,NC_018384.1,,Grapevine Anatolian ringspot virus,Nepovirus,Secoviridae,Italy,Vitis,0,2003,0
NC_018400.1,NC_018400.1,,Gallivirus A,Gallivirus,Picornaviridae,Hungary,Meleagris gallopavo,0,2011,0
NC_018506.1,NC_018506.1,04-032,Limnipivirus A,Limnipivirus,Picornaviridae,USA,Lepomis macrochirus,0,2003,0
NC_018570.2,NC_018570.2,,Macrobrachium rosenbergii Taihu virus,Dicistrovirus,Dicistroviridae,China,Macrobrachium rosenbergii,0,2010,0
NC_018613.1,NC_018613.1,RsRNAV06,Rhizosolenia setigera RNA virus 01,Bacillarnavirus,Marnaviridae,Japan,Rhizosolenia setigera,0,2005,0
NC_018668.1,NC_018668.1,,Hunnivirus A,Hunnivirus,Picornaviridae,Hungary,Bos taurus,0,2008,0
NC_019712.1,NC_019712.1,,Mink calicivirus,Vesivirus,Caliciviridae,China,Mustela lutreola,0,2007,0
NC_020898.1,NC_020898.1,PV-0082,Arracacha virus B,Cheravirus,Secoviridae,Peru,Oxalis tuberosa,0,1981,0
NC_021178.1,NC_021178.1,,Cadicivirus A,Dicipivirus,Picornaviridae,Hong Kong,Canis lupus familiaris,0,2008,0
NC_021201.1,NC_021201.1,,Melegrivirus A,Megrivirus,Picornaviridae,USA,Meleagris gallopavo,0,2010,0
NC_021220.1,NC_021220.1,,Enterovirus F,Enterovirus,Picornaviridae,Germany,Bovinae,0,2005,0
NC_021482.1,NC_021482.1,,Parechovirus C,Parechovirus,Picornaviridae,Central African Republic,Hylomyscus,0,2013,0
NC_021566.1,NC_021566.1,Izumo,Nilaparvata lugens honeydew virus-2,Iflavirus,Iflaviridae,Japan,Nilaparvata lugens,0,2013,0
NC_021567.1,NC_021567.1,Kagoshima,Nilaparvata lugens honeydew virus-3,Iflavirus,Iflaviridae,Japan,Nilaparvata lugens,0,2013,0
NC_022004.1,NC_022004.1,EV-11,Broad bean true mosaic virus,Comovirus,Secoviridae,Germany,Vicia faba,0,2010,0
NC_022332.1,NC_022332.1,,Potamipivirus A,Potamipivirus,Picornaviridae,Germany,Anguilla anguilla,0,2005,0
NC_022611.1,NC_022611.1,Beltsville,Halyomorpha halys virus,Iflavirus,Iflaviridae,USA,Halyomorpha halys,0,2012,0
NC_022798.1,NC_022798.1,PRI-Ec,Potato black ringspot virus,Nepovirus,Secoviridae,United Kingdom,Solanum tuberosum,0,2013,0
NC_022802.1,NC_022802.1,FFUP1,Sakobuvirus A,Sakobuvirus,Picornaviridae,Portugal,Felis catus,0,2012,0
NC_023016.1,NC_023016.1,DSMZ PV-0454,Lamium mild mosaic virus,Fabavirus,Secoviridae,United Kingdom,Lamium album,0,1953,0
NC_023021.1,NC_023021.1,Fex1,Formica exsecta virus 1,Unclassified,Dicistroviridae,Finland,Formica exsecta,0,2013,0
NC_023022.1,NC_023022.1,Fex2,Formica exsecta virus 2,Iflavirus,Iflaviridae,Finland,Formica exsecta,0,2013,0
NC_023162.1,NC_023162.1,F37/06,Limnipivirus B,Limnipivirus,Picornaviridae,Germany,Cyprinus carpio,0,2003,0
NC_023422.1,NC_023422.1,12Q108,Aichivirus C,Kobuvirus,Picornaviridae,South Korea,Capra hircus,0,2012,0
NC_023483.1,NC_023483.1,LnApIV-02,Antheraea pernyi iflavirus,Iflavirus,Iflaviridae,China,Antheraea pernyi,0,2013,0
NC_023627.1,NC_023627.1,Nanjing,Laodelphax striatella honeydew virus 1,Iflavirus,Iflaviridae,China,Laodelphax striatellus,0,2013,0
NC_023676.1,NC_023676.1,Korean,Spodoptera exigua iflavirus 2,Iflavirus,Iflaviridae,South Korea,Spodoptera exigua,0,2010,0
NC_023858.1,NC_023858.1,,Melegrivirus A,Megrivirus,Picornaviridae,Hungary,Meleagris gallopavo,0,2011,0
NC_023861.1,NC_023861.1,,Sicinivirus A,Sicinivirus,Picornaviridae,Ireland,Gallus gallus,0,2013,0
NC_023984.1,NC_023984.1,Cosavirus_Amsterdam_1994,Human cosavirus,Cosavirus,Picornaviridae,Netherlands,Homo sapiens,0,1994,0
NC_023985.1,NC_023985.1,,Aalivirus A,Aalivirus,Picornaviridae,China,Anas platyrhynchos,0,2012,0
NC_023987.1,NC_023987.1,,Mosavirus A,Mosavirus,Picornaviridae,Hungary,Coracias garrulus,0,2011,0
NC_023988.1,NC_023988.1,UF4,Tortoise rafivirus A,Unclassified,Picornaviridae,USA,Indotestudo forstenii,0,2009,0
NC_024016.1,NC_024016.1,,Heliconius erato iflavirus,Iflavirus,Iflaviridae,Costa Rica,Heliconius erato,0,2011,0
NC_024031.1,NC_024031.1,Nordland/2011,Nordland virus,Salovirus,Caliciviridae,Norway,Salmo salar,0,2011,0
NC_024070.1,NC_024070.1,,Rosavirus A,Rosavirus,Picornaviridae,Gambia,Homo sapiens,0,2008,0
NC_024073.1,NC_024073.1,CPML_8109/08,Enterovirus sp.,Enterovirus,Picornaviridae,Cameroon,Mandrillus sphinx,0,2008,0
NC_024078.1,NC_024078.1,,Goose calicivirus,Calicivirus,Caliciviridae,China,Anatidae,0,2012,0
NC_024120.1,NC_024120.1,,Megrivirus A,Megrivirus,Picornaviridae,China,Anas platyrhynchos,0,2013,0
NC_024489.1,NC_024489.1,AglaRNAV,Astarnavirus,Kusarnavirus,Marnaviridae,Japan,Bacillariophyceae,0,2009,0
NC_024497.1,NC_024497.1,Ames,Lymantria dispar iflavirus 1,Iflavirus,Iflaviridae,USA,Lymantria,0,2011,0
NC_024765.1,NC_024765.1,55C,Chicken picornavirus 1,Unclassified,Picornaviridae,Hong Kong,Gallus gallus,0,2008,0
NC_024766.1,NC_024766.1,44C,Avisivirus B,Avisivirus,Picornaviridae,Hong Kong,Gallus gallus,0,2008,0
NC_024767.1,NC_024767.1,45C,Avisivirus C,Avisivirus,Picornaviridae,Hong Kong,Gallus gallus,0,2008,0
NC_024768.1,NC_024768.1,5C,Chicken picornavirus 4,Unclassified,Picornaviridae,Hong Kong,Gallus gallus,0,2008,0
NC_024769.1,NC_024769.1,27C,Megrivirus C,Megrivirus,Picornaviridae,Hong Kong,Gallus gallus,0,2008,0
NC_024770.1,NC_024770.1,518C,Gallivirus A,Gallivirus,Picornaviridae,Hong Kong,Gallus gallus,0,2010,0
NC_025114.1,NC_025114.1,SaliV-FHB,Salivirus FHB,Salivirus,Picornaviridae,China,Homo sapiens,0,2011,0
NC_025219.1,NC_025219.1,,Cripavirus NB-1/2011/HUN,Cripavirus,Dicistroviridae,Hungary,Chiroptera,1,2011,0
NC_025432.1,NC_025432.1,,Orivirus A,Orivirus,Picornaviridae,Hungary,Gallus gallus,0,2013,0
NC_025474.1,NC_025474.1,,Crohivirus A,Crohivirus,Picornaviridae,Zambia,Crocidura hirta,0,2012,0
NC_025479.2,NC_025479.2,CTV-1_RNA1_H6,Carrot torradovirus 1,Torradovirus,Secoviridae,United Kingdom,Daucus carota,0,2012,0
NC_025675.1,NC_025675.1,NrHuV/NYC-E21,Hunnivirus A,Hunnivirus,Picornaviridae,USA,Rattus norvegicus,0,2012,0
NC_025676.1,NC_025676.1,,San Miguel sea lion virus 8,Vesivirus,Caliciviridae,USA,Otariinae,0,1981,0
NC_025788.1,NC_025788.1,LsPV2,Laodelphax striatellus picorna-like virus 2,Iflavirus,Iflaviridae,South Korea,Laodelphax striatellus,0,2011,0
NC_025835.1,NC_025835.1,,Dinocampus coccinellae paralysis virus,Iflavirus,Iflaviridae,Canada,Dinocampus coccinellae,0,2009,0
NC_025890.1,NC_025890.1,,Torchivirus A,Torchivirus,Picornaviridae,Germany,Testudo hermanni,0,2004,0
NC_025961.1,NC_025961.1,Cosa-CHN,Cosavirus JMY-2014,Cosavirus,Picornaviridae,China,Homo sapiens,0,2012,0
NC_026249.1,NC_026249.1,TCH6,Bopivirus A,Bopivirus,Picornaviridae,USA,Bos taurus,0,2013,0
NC_026250.1,NC_026250.1,,Thaumetopoea pityocampa iflavirus 1,Iflavirus,Iflaviridae,Turkey,Thaumetopoea pityocampa,0,2014,0
NC_026315.1,NC_026315.1,Mis101308/2012,Malagasivirus A,Malagasivirus,Picornaviridae,USA,Lemur catta,0,2012,0
NC_026316.1,NC_026316.1,Nai108015/2012,Malagasivirus B,Malagasivirus,Picornaviridae,USA,Varecia variegata,0,2012,0
NC_026470.1,NC_026470.1,PREDICT-06105,Mischivirus C,Mischivirus,Picornaviridae,Democratic Republic of the Congo,Macronycteris gigas,1,2013,0
