name,date
NC_018384.1,2011-04-15
NC_018400.1,2003-11-15
NC_018506.1,2004-01-10
NC_018570.2,2005-11-29
NC_018613.1,2008-02-29
NC_018668.1,2007-01-07
NC_019712.1,1981-07-01
NC_020898.1,2007-01-08
NC_021178.1,2007-11-10
NC_021201.1,2005-06-14
NC_021220.1,2002-05-13
NC_021482.1,2006-11-13
NC_021566.1,2006-11-13
NC_021567.1,2010-02-17
NC_022004.1,2005-05-15
NC_022332.1,2012-12-15
NC_022611.1,2013-03-25
NC_022798.1,2012-01-12
NC_022802.1,1953-07-01
NC_023016.1,2008-05-13
NC_023021.1,2008-05-13
NC_023022.1,2007-01-03
NC_023162.1,2007-01-12
NC_023422.1,2010-04-13
NC_023483.1,2008-05-13
NC_023627.1,2010-06-17
NC_023676.1,2007-01-11
NC_023858.1,2010-09-13
NC_023861.1,1994-03-22
NC_023984.1,2010-10-12
NC_023985.1,2011-07-15
NC_023987.1,2009-07-15
NC_023988.1,2012-01-11
NC_024016.1,2007-01-11
NC_024031.1,2008-10-29
NC_024070.1,2008-10-29
NC_024073.1,2012-10-15
NC_024078.1,2013-02-19
NC_024120.1,2003-01-09
NC_024489.1,2011-11-17
NC_024497.1,2010-10-08
NC_024765.1,2010-10-08
NC_024766.1,2010-10-08
NC_024767.1,2010-10-08
NC_024768.1,2010-10-08
NC_024769.1,2010-09-16
NC_024770.1,2007-01-11
NC_025114.1,2004-01-11
NC_025219.1,2007-01-13
NC_025432.1,2005-01-12
NC_025474.1,2007-01-12
NC_025479.2,2012-02-12
NC_025675.1,1981-07-01
NC_025676.1,2007-01-11
NC_025788.1,2007-01-09
NC_025835.1,2007-01-04
NC_025890.1,2008-11-12
NC_025961.1,2007-01-13
NC_026249.1,2001-04-14
NC_026250.1,2007-01-12
NC_026315.1,2007-01-12
NC_026316.1,2007-01-13
NC_026470.1,2009-02-14
NC_026733.1,2013-06-22
NC_026921.1,2007-01-12
NC_027026.1,2007-01-14
NC_027054.1,2003-01-12
NC_027122.1,2001-01-10
NC_027128.1,2003-01-13
NC_027214.1,2014-11-25
NC_027713.1,2011-11-30
NC_027818.1,2014-06-15
NC_027915.1,2001-01-12
NC_027917.1,2002-02-15
NC_027918.1,2011-01-14
NC_027919.1,1988-07-01
NC_027926.1,2001-05-15
NC_028139.1,2007-01-10
NC_028363.1,2007-01-12
NC_028364.1,2007-01-14
NC_028365.1,2007-01-10
NC_028366.1,2015-02-15
NC_028380.1,2007-01-13
NC_028964.1,2007-01-13
NC_028970.1,2001-01-12
NC_028981.1,2007-01-15
NC_029038.1,2015-09-19
NC_029052.1,2007-01-15
NC_029306.1,2009-09-15
NC_029307.1,2009-09-15
NC_029309.1,2007-01-06
NC_029645.1,2006-06-06
NC_029646.1,2012-01-10
NC_029647.1,2014-09-15
NC_029854.1,2016-01-25
NC_029905.1,2009-09-13
NC_030454.1,2004-01-11
NC_030651.1,2007-01-12
NC_030793.1,2016-04-22
NC_030843.1,2014-05-28
NC_030886.1,2002-06-09
NC_031105.1,2009-03-24
NC_031106.1,2016-06-15
NC_031324.1,2016-01-28
NC_031338.1,2016-06-17
NC_031687.1,2016-06-17
NC_031688.1,2016-06-25
NC_031749.1,2001-01-15
NC_031766.1,2016-06-21
NC_032087.1,2007-01-11
NC_032112.1,2007-01-11
NC_032115.1,2004-01-14
NC_032126.1,2007-01-13
NC_032222.1,2007-01-10
NC_032270.1,2007-01-13
NC_032978.1,2015-07-31
NC_033081.1,2007-01-13
NC_033152.1,2007-01-14
NC_033492.1,2009-01-13
NC_033619.1,2014-10-21
NC_033695.1,2001-01-14
NC_033776.1,2006-01-14
NC_033793.1,2012-01-13
NC_033818.1,2012-01-13
NC_033819.1,2012-01-13
NC_033820.1,2012-01-13
NC_033823.1,2012-01-13
NC_033824.1,1986-07-01
NC_034206.1,2016-03-13
NC_034217.1,2014-03-20
NC_034245.1,2014-04-20
NC_034267.1,2012-01-10
NC_034381.1,2001-05-16
NC_034384.1,2007-01-07
NC_034385.1,2001-09-16
NC_034444.1,2004-03-13
NC_034453.1,2017-01-20
NC_034617.1,2009-01-15
NC_034971.1,2007-01-11
NC_034973.1,2015-02-15
NC_035110.1,2007-10-14
NC_035115.1,2014-11-15
NC_035184.1,2006-10-17
NC_035198.1,2007-01-11
NC_035214.1,2012-08-17
NC_035218.1,2007-01-12
NC_035221.1,2005-02-17
NC_035450.1,2007-01-17
NC_035455.1,2005-02-17
NC_035457.1,2007-01-12
NC_035675.1,2006-01-14
NC_035779.1,2014-09-22
NC_036389.1,2010-01-10
NC_036585.1,2014-11-14
NC_036588.1,2007-01-13
NC_037654.1,2009-01-08
NC_038301.1,2012-11-29
NC_038302.1,1962-07-01
NC_038303.1,2010-01-10
NC_038304.1,2010-12-17
NC_038305.1,2006-04-19
NC_038306.1,2018-08-24
NC_038307.1,2010-01-03
NC_038308.1,2007-02-27
NC_038309.1,2002-03-13
NC_038310.1,2011-10-08
NC_038311.1,2006-04-19
NC_038312.1,2007-01-14
NC_038313.1,2007-01-04
NC_038314.1,2007-01-12
NC_038315.1,2007-01-10
NC_038316.1,2007-01-11
NC_038317.1,2007-01-11
NC_038318.1,2018-08-24
NC_038319.1,2007-01-06
NC_038320.1,2008-10-02
NC_038321.1,2007-10-08
NC_038760.1,2003-01-11
NC_038761.1,2003-01-11
NC_038762.1,2003-01-11
NC_038764.1,2003-01-11
NC_038765.1,2007-01-10
NC_038767.1,2001-11-15
NC_038878.1,2007-01-10
NC_038880.1,2007-01-11
NC_038957.1,2009-01-11
NC_038961.1,2016-04-27
NC_038989.1,2001-09-15
NC_039004.1,2003-01-15
NC_039073.1,2016-05-23
NC_039077.1,2011-01-05
NC_039209.1,1965-07-01
NC_039210.1,2007-01-11
NC_039212.1,2007-01-12
NC_039235.1,2005-02-17
NC_039236.1,2007-01-15
NC_039475.1,2012-12-16
NC_039476.1,2006-01-16
NC_039477.1,2007-01-07
NC_039897.1,2007-01-17
NC_040399.1,1977-07-01
NC_040417.1,2007-02-16
NC_040574.1,2007-01-15
NC_040586.1,2009-02-16
NC_040587.1,2007-01-14
NC_040601.1,2007-01-13
NC_040605.1,2004-01-15
NC_040611.1,2004-01-17
NC_040642.1,2007-02-16
NC_040646.1,2007-06-11
NC_040673.1,2007-01-13
NC_040674.1,2015-07-20
NC_040675.1,2007-01-13
NC_040684.1,2007-02-16
NC_040716.1,2004-01-17
NC_040724.1,2013-07-21
NC_040798.1,2007-02-16
NC_040832.1,2015-12-17
NC_040876.1,2007-01-13
NC_043072.1,2007-01-10
NC_043447.1,2001-10-08
NC_043512.1,2007-01-11
NC_043516.1,2010-01-25
NC_043519.1,2004-01-14
NC_043542.1,2012-01-17
NC_043544.1,2016-07-18
NC_043684.1,2007-01-07
NC_044045.1,2007-01-11
NC_044046.1,2007-01-07
NC_044047.1,1998-07-01
NC_044853.1,2000-07-01
NC_044854.1,2005-11-16
NC_044855.1,2007-06-11
NC_044856.1,2008-05-27
NC_044932.1,2007-01-10
NC_045762.1,2012-02-02
NC_055108.1,2003-01-09
NC_055125.1,2001-09-17
NC_055156.1,2007-01-15
NC_055159.1,2014-08-15
NC_055160.1,2007-01-15
NC_055161.1,2018-07-27
OP287812.1,2018-07-27
OQ818330,2018-02-23
OQ818331,2018-03-01
OQ818332,2018-03-01
OQ818333,2018-03-02
OQ818334,2018-04-13
OQ818335,2018-08-06
OQ818336,2019-01-07
OQ818337,2018-02-15
OQ818338,2018-02-15
OQ818339,2018-02-15
OQ818340,2018-04-10
OQ818341,2018-07-27
OQ818342,2019-01-07
OQ818343,2019-03-14
OQ818344,2019-02-06
OQ818345,2018-04-14
OQ818346,2018-07-29
OQ818347,2018-09-11
OQ818348,2019-01-31
