pointer,OQ818339,OQ818341,HQ585111,OP880198,OQ363752,OQ363755,OQ363761,MK468720
5920,0,54,8,6,0,0,0,1
5940,0,54,6,7,0,0,0,1
5960,0,52,4,4,0,0,0,4
5980,0,54,1,14,0,0,0,3
6000,0,43,5,4,0,0,0,6
6020,0,27,4,22,0,0,0,9
6040,3,18,19,36,0,0,0,1
6060,4,24,10,8,0,0,0,4
6080,5,15,14,12,0,0,0,5
6100,11,16,4,6,0,0,0,12
6120,6,12,2,14,0,0,0,18
6140,10,7,7,24,0,0,0,7
6160,14,8,10,23,0,0,0,12
6180,24,10,7,10,0,0,0,24
6200,4,8,5,29,0,0,0,12
6220,5,16,5,19,0,0,0,14
6240,4,43,0,9,0,0,0,9
6260,0,69,3,6,0,0,0,3
6280,0,91,2,3,0,0,0,1
6300,0,94,0,0,0,0,0,0
6320,0,99,0,0,0,0,0,0
6340,0,99,0,0,0,0,0,0
6360,0,97,0,2,0,0,0,0
6380,0,98,0,1,0,0,0,0
6400,0,99,0,1,0,0,0,0
6420,0,100,0,0,0,0,0,0
6440,0,93,0,2,0,0,0,0
6460,0,94,0,6,0,0,0,0
6480,0,94,0,4,0,0,0,0
6500,0,90,0,8,0,0,0,0
6520,0,55,6,29,0,0,0,0
6540,1,59,1,12,0,0,0,1
6560,2,49,0,18,0,0,0,3
6580,1,58,0,14,0,0,0,1
6600,8,25,1,20,0,0,0,2
6620,3,24,0,18,0,0,0,1
6640,2,27,0,9,0,0,0,0
6660,2,58,3,11,0,0,0,0
6680,1,54,1,3,0,0,0,0
6700,2,64,1,4,0,0,0,0
6720,1,58,3,4,0,0,0,0
6740,0,76,4,1,0,0,0,0
6760,0,82,9,0,0,0,0,0
6780,0,84,2,1,0,0,0,0
6800,0,87,6,0,0,0,0,0
6820,1,79,15,2,0,0,0,0
6840,0,80,11,2,0,0,0,0
6860,6,47,18,6,0,0,0,0
6880,11,38,9,16,0,0,0,0
6900,14,42,5,11,0,0,0,0
6920,6,42,5,23,0,0,0,0
6940,13,24,4,25,0,0,0,0
6960,5,10,3,34,0,0,0,0
6980,8,16,3,26,0,0,0,1
7000,7,34,1,17,0,0,0,2
7020,6,37,0,7,0,0,0,2
7040,5,19,4,7,0,0,0,2
7060,2,17,1,7,0,0,0,3
7080,1,25,2,4,0,0,0,6
7100,0,52,0,2,0,0,0,2
7120,0,72,1,3,0,0,0,0
7140,1,72,2,2,0,0,0,0
7160,0,77,2,7,0,0,0,0
7180,1,88,0,0,0,0,0,0
7200,1,95,0,0,0,0,0,0
7220,2,80,4,0,0,0,0,1
7240,0,95,2,1,0,0,0,0
7260,2,89,3,1,0,0,0,0
7280,0,75,1,1,0,0,0,0
7300,3,60,6,1,0,0,0,0
7320,1,30,0,0,0,0,0,0
7340,7,57,1,0,0,0,0,0
7360,7,57,2,0,0,0,0,1
7380,5,35,4,0,0,0,0,0
7400,5,62,2,3,0,0,0,0
7420,6,52,17,4,0,0,0,0
7440,7,69,14,1,0,0,0,0
7460,4,84,4,1,0,0,0,0
7480,2,85,11,0,0,0,0,0
7500,4,82,11,0,0,0,0,0
7520,8,83,7,1,0,0,0,0
7540,9,55,7,5,0,0,0,0
7560,16,59,5,3,0,0,0,0
7580,4,91,2,1,0,0,0,0
7600,3,87,6,0,0,0,0,0
7620,4,93,0,1,0,0,0,0
7640,2,97,0,0,0,0,0,0
7660,0,100,0,0,0,0,0,0
7680,0,98,0,0,0,0,0,0
7700,0,95,0,0,0,0,0,0
7720,0,99,0,0,0,0,0,0
7740,0,100,0,0,0,0,0,0
7760,0,99,0,0,0,0,0,0
7780,0,100,0,0,0,0,0,0
7800,5,90,0,0,0,0,0,0
7820,0,97,0,0,0,0,0,0
7840,0,97,0,0,0,0,0,0
7860,3,83,1,2,0,0,0,0
7880,2,74,4,2,0,0,0,0
7900,7,64,2,2,0,0,0,0
7920,8,68,3,0,0,0,0,0
7940,5,70,4,0,0,0,0,0
7960,8,75,2,0,0,0,0,0
7980,4,68,10,0,0,0,0,0
8000,1,70,6,0,0,0,0,3
8020,-1,-1,-1,-1,-1,-1,-1,-1
8040,0,82,0,0,0,0,0,2
8060,0,96,0,0,0,0,0,0
8080,1,80,0,0,0,0,0,11
8100,1,80,0,0,0,0,0,8
8120,0,76,0,0,0,0,0,14
8140,2,82,0,0,0,0,0,8
8160,0,76,0,0,0,0,0,12
8180,1,77,0,1,0,0,0,8
8200,1,83,0,4,0,0,0,3
8220,1,90,0,2,0,0,0,1
8240,2,80,0,0,0,0,0,3
8260,5,66,0,6,0,0,0,2
8280,3,74,0,5,0,0,0,0
8300,3,67,0,8,0,0,0,0
8320,2,87,0,3,0,0,0,1
8340,10,81,0,3,0,0,0,0
8360,11,60,0,17,0,0,0,1
8380,12,72,0,5,0,0,0,1
8400,20,45,0,10,0,0,0,2
8420,11,65,0,4,0,0,0,1
8440,5,76,0,8,0,0,0,1
8460,6,78,0,12,0,0,0,0
8480,6,69,0,8,0,0,0,3
8500,1,80,0,4,0,0,0,7
8520,1,69,0,3,0,0,0,10
8540,3,69,3,6,0,0,0,7
8560,1,90,0,1,0,0,0,4
8580,0,89,0,3,0,0,0,0
8600,0,99,0,0,0,0,0,0
8620,8,88,0,1,0,0,0,2
8640,6,90,0,2,0,0,0,2
8660,0,96,0,0,0,0,0,1
8680,0,99,1,0,0,0,0,0
8700,0,97,1,0,0,0,0,2
8720,0,100,0,0,0,0,0,0
8740,2,97,0,0,0,0,0,0
8760,2,96,0,0,0,0,0,0
8780,0,98,0,0,0,0,0,0
8800,0,99,0,0,0,0,0,0
8820,0,98,0,0,0,0,0,0
8840,0,91,2,0,0,0,0,2
8860,0,94,0,0,0,0,0,5
8880,0,82,1,0,0,0,0,9
8900,0,82,0,1,0,0,0,12
8920,2,64,0,1,0,0,0,10
8940,0,55,1,0,0,0,0,29
8960,0,53,2,0,0,0,0,24
8980,2,48,2,1,0,1,0,14
9000,1,68,0,2,0,0,0,4
9020,3,70,0,7,0,0,0,3
9040,3,56,0,33,0,0,0,0
9060,0,56,0,32,0,0,0,2
9080,2,77,0,14,0,0,0,1
9100,1,68,0,21,0,0,0,5
9120,1,78,0,4,0,0,0,1
9140,0,79,0,9,0,0,0,5
9160,0,76,0,7,0,0,0,8
9180,0,75,0,7,0,0,0,6
9200,0,47,0,25,0,0,0,15
9220,0,38,0,25,0,0,0,5
9240,0,49,0,27,0,0,0,8
9260,0,66,0,11,0,0,0,6
9280,0,48,0,21,0,0,0,3
9300,0,49,0,18,0,0,0,4
9320,3,27,0,46,0,0,0,5
9340,1,25,0,50,0,0,0,1
9360,5,36,4,28,0,0,0,0
9380,4,45,1,11,0,0,0,4
9400,7,65,0,14,0,0,0,0
9420,10,70,0,4,0,0,0,0
9440,7,77,0,6,0,0,0,0
9460,11,60,0,18,0,0,0,0
9480,12,56,0,24,0,0,0,0
9500,18,49,0,13,0,0,0,0
9520,4,88,0,3,0,0,0,0
9540,3,86,0,4,0,0,0,0
9560,1,88,0,3,0,0,0,0
9580,0,96,0,3,0,0,0,0
9600,0,98,0,0,0,0,0,0
9620,0,97,0,0,0,0,0,0
9640,0,98,0,0,0,0,0,0
9660,1,97,0,0,0,0,0,0
9680,1,96,0,1,0,0,0,0
9700,0,100,0,0,0,0,0,0
9720,0,100,0,0,0,0,0,0
9740,0,100,0,0,0,0,0,0
9760,0,92,0,8,0,0,0,0
9780,0,88,3,5,0,0,0,0
9800,0,83,0,5,0,1,0,2
9820,0,60,2,22,2,0,1,0
9840,0,66,1,18,0,0,0,0
9860,0,80,0,11,0,0,0,0
9880,0,84,0,5,0,0,0,1
9900,0,79,0,2,0,0,1,1
9920,0,54,0,15,0,0,0,7
9940,0,44,0,16,0,0,2,8
9960,0,46,0,21,0,0,4,10
9980,0,52,0,12,0,0,2,8
10000,0,72,0,14,0,0,0,0
10020,1,74,0,20,0,0,0,1
10040,0,84,0,12,0,0,0,1
10060,0,72,0,25,0,0,0,2
10080,0,61,0,36,0,0,0,0
10100,0,82,0,16,0,0,0,0
10120,0,89,0,8,0,0,0,1
10140,0,82,0,14,0,0,0,0
10160,0,79,0,18,0,0,0,0
10180,0,81,0,16,0,0,0,0
10200,0,86,0,12,0,0,0,0
10220,0,97,0,0,0,0,0,0
10240,0,95,0,0,0,0,0,0
10260,0,95,0,1,0,0,0,0
10280,0,95,0,0,0,0,0,0
10300,0,88,1,0,0,0,0,0
10320,0,90,0,0,0,0,0,0
10340,0,100,0,0,0,0,0,0
10360,0,98,0,2,0,0,0,0
10380,0,99,0,0,0,0,0,0
10400,0,99,0,0,0,0,0,0
10420,0,90,1,4,0,0,0,0
10440,0,97,0,1,0,0,0,0
10460,0,98,0,0,0,0,0,0
10480,0,99,0,0,0,0,0,0
10500,0,96,1,0,0,0,0,0
10520,2,74,9,0,0,0,0,0
10540,2,68,8,0,0,0,0,0
10560,2,51,20,0,0,0,0,2
10580,11,42,8,0,0,0,0,0
10600,28,35,6,1,0,0,0,1
10620,-1,-1,-1,-1,-1,-1,-1,-1
10640,9,61,8,1,0,0,0,0
10660,7,35,12,0,0,0,0,0
10680,1,65,7,1,0,0,0,4
10700,1,56,3,1,0,0,0,13
10720,0,56,3,0,0,0,0,16
10740,1,35,5,0,0,0,0,23
10760,2,81,0,0,0,0,0,1
10780,1,92,0,0,0,0,0,2
10800,0,87,0,0,0,0,0,5
10820,0,89,0,0,0,0,0,3
10840,0,91,0,0,0,0,0,6
10860,0,98,0,0,0,0,0,2
10880,0,87,0,0,0,0,0,12
10900,0,99,0,0,0,0,0,0
10920,0,99,0,0,0,0,0,1
10940,0,96,0,0,0,0,0,3
10960,0,90,6,0,0,0,0,2
10980,0,90,6,1,0,0,0,0
11000,0,91,2,1,0,0,0,1
11020,1,83,9,0,0,0,0,0
11040,2,70,18,1,0,0,0,0
11060,0,69,12,2,0,0,0,0
11080,1,72,1,15,0,0,0,0
11100,0,58,13,16,0,0,0,0
11120,1,62,14,9,0,0,0,0
11140,0,86,7,2,0,0,0,0
11160,10,77,2,0,0,0,0,0
11180,0,95,0,0,0,0,0,0
11200,2,83,1,3,0,0,0,0
11220,0,89,2,0,0,0,0,0
11240,1,94,0,1,0,0,0,0
11260,0,99,0,0,0,0,0,0
11280,0,98,0,0,0,0,0,0
11300,0,97,0,0,0,0,0,0
11320,1,93,0,0,0,0,0,1
11340,2,92,0,2,0,0,0,1
11360,3,89,0,0,0,0,0,0
11380,2,76,0,0,0,0,0,12
11400,2,84,0,0,0,0,0,6
11420,5,82,0,0,0,0,0,5
11440,3,47,0,1,0,0,0,35
11460,10,29,1,2,0,0,0,46
11480,2,33,1,0,0,0,0,47
11500,1,49,2,1,0,0,0,33
11520,1,47,1,0,0,0,0,32
11540,1,49,3,0,0,0,0,25
11560,0,44,0,0,0,0,0,39
11580,-1,-1,-1,-1,-1,-1,-1,-1
11600,-1,-1,-1,-1,-1,-1,-1,-1
11620,-1,-1,-1,-1,-1,-1,-1,-1
11640,-1,-1,-1,-1,-1,-1,-1,-1
11660,-1,-1,-1,-1,-1,-1,-1,-1
11680,-1,-1,-1,-1,-1,-1,-1,-1
11700,-1,-1,-1,-1,-1,-1,-1,-1
11720,-1,-1,-1,-1,-1,-1,-1,-1
11740,-1,-1,-1,-1,-1,-1,-1,-1
11760,-1,-1,-1,-1,-1,-1,-1,-1
11780,-1,-1,-1,-1,-1,-1,-1,-1
11800,-1,-1,-1,-1,-1,-1,-1,-1
11820,-1,-1,-1,-1,-1,-1,-1,-1
11840,-1,-1,-1,-1,-1,-1,-1,-1
11860,-1,-1,-1,-1,-1,-1,-1,-1
11880,-1,-1,-1,-1,-1,-1,-1,-1
11900,-1,-1,-1,-1,-1,-1,-1,-1
11920,-1,-1,-1,-1,-1,-1,-1,-1
11940,-1,-1,-1,-1,-1,-1,-1,-1
11960,-1,-1,-1,-1,-1,-1,-1,-1
11980,-1,-1,-1,-1,-1,-1,-1,-1
12000,-1,-1,-1,-1,-1,-1,-1,-1
12020,-1,-1,-1,-1,-1,-1,-1,-1
12040,-1,-1,-1,-1,-1,-1,-1,-1
12060,-1,-1,-1,-1,-1,-1,-1,-1
12080,-1,-1,-1,-1,-1,-1,-1,-1
12100,-1,-1,-1,-1,-1,-1,-1,-1
12120,-1,-1,-1,-1,-1,-1,-1,-1
12140,-1,-1,-1,-1,-1,-1,-1,-1
12160,-1,-1,-1,-1,-1,-1,-1,-1
12180,-1,-1,-1,-1,-1,-1,-1,-1
12200,-1,-1,-1,-1,-1,-1,-1,-1
12220,-1,-1,-1,-1,-1,-1,-1,-1
12240,-1,-1,-1,-1,-1,-1,-1,-1
12260,-1,-1,-1,-1,-1,-1,-1,-1
12280,-1,-1,-1,-1,-1,-1,-1,-1
12300,-1,-1,-1,-1,-1,-1,-1,-1
12320,-1,-1,-1,-1,-1,-1,-1,-1
12340,-1,-1,-1,-1,-1,-1,-1,-1
12360,-1,-1,-1,-1,-1,-1,-1,-1
12380,-1,-1,-1,-1,-1,-1,-1,-1
12400,-1,-1,-1,-1,-1,-1,-1,-1
12420,-1,-1,-1,-1,-1,-1,-1,-1
12440,-1,-1,-1,-1,-1,-1,-1,-1
12460,-1,-1,-1,-1,-1,-1,-1,-1
12480,-1,-1,-1,-1,-1,-1,-1,-1
12500,-1,-1,-1,-1,-1,-1,-1,-1
12520,-1,-1,-1,-1,-1,-1,-1,-1
12540,-1,-1,-1,-1,-1,-1,-1,-1
12560,-1,-1,-1,-1,-1,-1,-1,-1
12580,-1,-1,-1,-1,-1,-1,-1,-1
12600,-1,-1,-1,-1,-1,-1,-1,-1
12620,-1,-1,-1,-1,-1,-1,-1,-1
12640,-1,-1,-1,-1,-1,-1,-1,-1
12660,-1,-1,-1,-1,-1,-1,-1,-1
12680,-1,-1,-1,-1,-1,-1,-1,-1
12700,-1,-1,-1,-1,-1,-1,-1,-1
12720,-1,-1,-1,-1,-1,-1,-1,-1
12740,-1,-1,-1,-1,-1,-1,-1,-1
12760,-1,-1,-1,-1,-1,-1,-1,-1
12780,-1,-1,-1,-1,-1,-1,-1,-1
12800,-1,-1,-1,-1,-1,-1,-1,-1
12820,-1,-1,-1,-1,-1,-1,-1,-1
12840,-1,-1,-1,-1,-1,-1,-1,-1
12860,-1,-1,-1,-1,-1,-1,-1,-1
12880,-1,-1,-1,-1,-1,-1,-1,-1
12900,-1,-1,-1,-1,-1,-1,-1,-1
12920,-1,-1,-1,-1,-1,-1,-1,-1
12940,-1,-1,-1,-1,-1,-1,-1,-1
12960,-1,-1,-1,-1,-1,-1,-1,-1
12980,-1,-1,-1,-1,-1,-1,-1,-1
13000,-1,-1,-1,-1,-1,-1,-1,-1
13020,-1,-1,-1,-1,-1,-1,-1,-1
13040,-1,-1,-1,-1,-1,-1,-1,-1
13060,-1,-1,-1,-1,-1,-1,-1,-1
13080,-1,-1,-1,-1,-1,-1,-1,-1
13100,-1,-1,-1,-1,-1,-1,-1,-1
13120,-1,-1,-1,-1,-1,-1,-1,-1
13140,-1,-1,-1,-1,-1,-1,-1,-1
13160,-1,-1,-1,-1,-1,-1,-1,-1
13180,-1,-1,-1,-1,-1,-1,-1,-1
13200,-1,-1,-1,-1,-1,-1,-1,-1
13220,-1,-1,-1,-1,-1,-1,-1,-1
13240,-1,-1,-1,-1,-1,-1,-1,-1
13260,-1,-1,-1,-1,-1,-1,-1,-1
13280,-1,-1,-1,-1,-1,-1,-1,-1
13300,-1,-1,-1,-1,-1,-1,-1,-1
13320,-1,-1,-1,-1,-1,-1,-1,-1
13340,-1,-1,-1,-1,-1,-1,-1,-1
13360,-1,-1,-1,-1,-1,-1,-1,-1
13380,-1,-1,-1,-1,-1,-1,-1,-1
13400,-1,-1,-1,-1,-1,-1,-1,-1
13420,-1,-1,-1,-1,-1,-1,-1,-1
13440,-1,-1,-1,-1,-1,-1,-1,-1
13460,-1,-1,-1,-1,-1,-1,-1,-1
13480,-1,-1,-1,-1,-1,-1,-1,-1
13500,-1,-1,-1,-1,-1,-1,-1,-1
13520,-1,-1,-1,-1,-1,-1,-1,-1
13540,-1,-1,-1,-1,-1,-1,-1,-1
13560,-1,-1,-1,-1,-1,-1,-1,-1
13580,-1,-1,-1,-1,-1,-1,-1,-1
13600,-1,-1,-1,-1,-1,-1,-1,-1
13620,-1,-1,-1,-1,-1,-1,-1,-1
13640,-1,-1,-1,-1,-1,-1,-1,-1
13660,-1,-1,-1,-1,-1,-1,-1,-1
13680,-1,-1,-1,-1,-1,-1,-1,-1
13700,-1,-1,-1,-1,-1,-1,-1,-1
13720,-1,-1,-1,-1,-1,-1,-1,-1
13740,-1,-1,-1,-1,-1,-1,-1,-1
13760,-1,-1,-1,-1,-1,-1,-1,-1
13780,-1,-1,-1,-1,-1,-1,-1,-1
13800,-1,-1,-1,-1,-1,-1,-1,-1
13820,-1,-1,-1,-1,-1,-1,-1,-1
13840,-1,-1,-1,-1,-1,-1,-1,-1
13860,-1,-1,-1,-1,-1,-1,-1,-1
13880,-1,-1,-1,-1,-1,-1,-1,-1
