CenterPos,KX759618,KX759621,KX759620,KX759622,KX759619,KX759623,OP963623
6520,0,0,0,0,16,20,0
6540,0,0,0,0,20,7,0
6560,0,0,0,0,24,4,0
6580,0,0,0,0,38,10,0
6600,0,0,0,0,21,25,0
6620,0,0,0,0,27,15,0
6640,0,0,0,0,17,23,0
6660,0,0,0,0,21,48,0
6680,0,0,0,0,19,58,0
6700,0,0,0,0,13,51,0
6720,0,0,0,0,7,68,0
6740,0,0,0,0,10,54,0
6760,0,0,0,0,4,71,0
6780,0,0,0,0,5,61,2
6800,0,0,0,0,2,54,0
6820,0,0,0,0,0,23,2
6840,0,0,0,0,9,19,0
6860,0,0,0,0,12,15,0
6880,0,0,0,0,3,20,0
6900,0,0,0,0,2,44,0
6920,0,0,0,0,2,37,0
6940,0,0,0,0,8,22,0
6960,0,0,0,0,13,14,0
6980,0,0,0,0,17,6,0
7000,0,0,0,0,20,2,0
7020,0,0,0,0,56,16,0
7040,0,0,0,0,22,3,0
7060,0,0,0,0,17,1,0
7080,0,0,0,0,18,0,0
7100,0,0,0,0,28,0,1
7120,0,0,0,0,19,2,7
7140,0,0,0,0,47,2,4
7160,0,0,0,0,22,0,7
7180,0,0,0,0,21,0,17
7200,0,0,0,0,24,1,7
7220,0,0,0,0,13,0,57
7240,0,0,0,0,26,3,57
7260,0,0,0,0,44,5,42
7280,0,0,0,0,46,10,38
7300,-1,-1,-1,-1,-1,-1,-1
7320,-1,-1,-1,-1,-1,-1,-1
7340,0,0,0,0,32,8,2
7360,0,0,0,0,30,23,10
7380,0,0,0,0,26,24,7
7400,0,0,0,0,33,24,17
7420,0,0,0,0,33,31,7
7440,0,0,0,0,27,41,1
7460,0,0,0,0,11,20,1
7480,0,0,0,0,2,11,1
7500,0,0,0,0,2,14,0
7520,0,0,0,0,10,18,0
7540,-1,-1,-1,-1,-1,-1,-1
7560,-1,-1,-1,-1,-1,-1,-1
7580,-1,-1,-1,-1,-1,-1,-1
7600,-1,-1,-1,-1,-1,-1,-1
7620,-1,-1,-1,-1,-1,-1,-1
7640,-1,-1,-1,-1,-1,-1,-1
7660,-1,-1,-1,-1,-1,-1,-1
7680,-1,-1,-1,-1,-1,-1,-1
7700,-1,-1,-1,-1,-1,-1,-1
