CenterPos,JQ814851,KP054273,KP054276,KP054277,KP054278,MG888045,KP100644
7200,1,0,0,0,0,0,99
7220,0,0,0,0,0,0,100
7240,0,0,0,0,0,0,98
7260,0,0,0,0,0,0,100
7280,0,0,0,0,0,0,100
7300,0,0,0,0,0,0,100
7320,0,0,0,0,0,0,89
7340,0,0,0,0,0,0,98
7360,0,0,0,0,0,0,97
7380,0,0,0,0,0,0,84
7400,0,0,0,0,0,0,68
7420,4,0,0,0,0,0,69
7440,4,0,0,0,0,0,77
7460,17,0,0,0,0,0,72
7480,3,0,0,0,0,0,96
7500,2,0,0,0,0,2,91
7520,1,0,0,0,0,1,98
7540,2,0,0,0,0,0,97
7560,2,0,0,0,0,0,98
7580,2,0,0,0,0,0,98
7600,3,0,0,0,0,0,97
7620,3,0,0,0,0,0,97
7640,7,0,0,0,0,0,93
7660,12,0,0,0,0,0,87
7680,14,0,0,0,0,0,84
7700,26,0,0,0,0,0,73
7720,21,0,0,0,0,0,78
7740,46,0,0,0,0,0,48
7760,47,0,0,0,0,0,50
7780,33,0,0,0,0,0,67
7800,34,0,0,0,0,0,65
7820,37,0,0,0,0,0,62
7840,7,0,0,0,0,1,84
7860,4,0,0,0,0,0,96
7880,6,0,0,0,0,0,87
7900,2,0,0,0,0,0,78
7920,25,0,0,0,0,1,37
7940,3,0,0,0,0,1,81
7960,0,0,0,0,0,0,88
7980,3,0,0,0,0,0,84
8000,1,0,0,0,0,0,88
8020,4,0,0,0,0,0,77
8040,2,0,0,0,0,0,97
8060,1,0,0,0,0,0,99
8080,0,0,0,0,0,0,100
8100,0,0,0,0,0,0,100
8120,0,0,0,0,0,0,99
8140,0,0,0,0,0,0,100
8160,0,0,0,0,0,0,100
8180,0,0,0,0,0,0,100
8200,0,0,0,0,0,0,100
8220,0,0,0,0,0,0,100
8240,0,0,0,0,0,0,100
8260,0,0,0,0,0,0,100
8280,0,0,0,0,0,0,98
8300,0,0,0,0,0,0,99
8320,0,0,0,0,0,0,100
8340,0,0,0,0,0,0,100
8360,0,0,0,0,0,0,100
8380,0,0,0,0,0,0,100
8400,0,0,0,0,0,0,97
8420,1,0,0,0,0,0,93
8440,1,0,0,0,0,0,99
8460,0,0,0,0,0,0,98
8480,0,0,0,0,0,0,99
8500,0,0,0,0,0,0,100
8520,0,0,0,0,0,0,98
8540,0,0,0,0,0,0,100
8560,0,0,0,0,0,0,100
8580,0,0,0,0,0,0,100
8600,0,0,0,0,0,0,100
8620,0,0,0,0,0,0,100
8640,0,0,0,0,0,0,100
8660,0,0,0,0,0,0,99
8680,0,0,0,0,0,0,100
8700,1,0,0,0,0,0,98
8720,0,0,0,0,0,0,100
8740,0,0,0,0,0,0,97
8760,3,1,0,0,0,0,92
8780,4,0,0,0,1,0,89
8800,2,0,0,0,0,0,96
8820,0,0,0,0,0,0,99
8840,0,0,0,0,0,0,100
8860,0,0,0,0,0,0,100
8880,0,0,0,0,0,0,100
8900,0,0,1,3,0,0,96
8920,0,2,1,2,3,0,90
8940,-1,-1,-1,-1,-1,-1,-1
8960,-1,-1,-1,-1,-1,-1,-1
8980,-1,-1,-1,-1,-1,-1,-1
