Accession,Organism_Name,Isolate,Species,Genus,Country,region,source,host_class,Host,Collection_Date,Seq_type
NC_033818.1,Kunsagivirus B,,Kunsagivirus B,Kunsagivirus,Cameroon,Africa,Eidolon helvum,Bat,1,2013,0
NC_033820.1,Bat sapelovirus,,Bat sapelovirus,Sapelovirus,Cameroon,Africa,Eidolon helvum,Bat,1,2013,0
NC_034381.1,mischivirus A1,,Mischivirus A,Mischivirus,China,Asia,Miniopterus schreibersii,Bat,1,2010,0
NC_038313.1,Bat hepatovirus SMG18520Minmav2014,SMG18520Minmav2014,Hepatovirus C,Hepatovirus,Madagascar,Africa,Miniopterus,Bat,1,2014,0
NC_043072.1,Bat picornavirus BatPV/V1/13 Hun,,Mischivirus B,Mischivirus,Hungary,Europe,Miniopterus schreibersii,Bat,1,2013,0
OP287812.1,Eidolon dupreanum kobuvirus,FEC145,Eidolon dupreanum kobuvirus,Kobuvirus,Madagascar,Africa,Eidolon dupreanum,Bat,1,2018,0
OP963623.1,Bat sapovirus BtSY2,,Bat sapovirus BtSY2,Sapovirus,China,Asia,Rousettus leschenaultii,Bat,1,2017,0
OQ709197.1,Bat sapovirus WD3,BtSaV/RlWD03,Bat sapovirus WD3,Sapovirus,China,Asia,Rousettus leschenaultii,Bat,1,2018,0
OQ818322.1,Eidolon dupreanum kobuvirus,KEL318,Eidolon dupreanum kobuvirus,Kobuvirus,Madagascar,Africa,Eidolon dupreanum,Bat,1,2019,0
OR867083.1,Hepatovirus sp.,HAQL/13130,Hepatovirus sp.,Hepatovirus,China,Asia,Hipposideros armiger,Bat,1,2022,0
OR951211.1,Bat kobuvirus,GX2018,Bat kobuvirus,Kobuvirus,China,Asia,Scotophilus kuhlii,Bat,1,2018,0
OR951280.1,Aichivirus F,GD2017_210_473,Aichivirus F,Kobuvirus,China,Asia,Myotis ricketti,Bat,1,2017,0
OR951324.1,Pteropodidae bat teschovirus,YN2017,Pteropodidae bat teschovirus,Teschovirus,China,Asia,Eonycteris spelaea,Bat,1,2017,0
OR951325.1,Pteropodidae bat sapelovirus,YN2017_252_13203,Pteropodidae bat sapelovirus,Sapelovirus,China,Asia,Eonycteris spelaea,Bat,1,2017,0
OR951332.1,Pteropodidae bat sapelovirus,YN2016,Pteropodidae bat sapelovirus,Sapelovirus,China,Asia,Rousettus leschenaultii,Bat,1,2016,0
OR951333.1,Pteropodidae bat teschovirus,YN2016_267_11102,Pteropodidae bat teschovirus,Teschovirus,China,Asia,Rousettus leschenaultii,Bat,1,2016,0
PP711909.1,Rousettus bat picornavirus,25A/Uganda/UR47/2018,Rousettus bat picornavirus,Unclassified bat picornavirus,Uganda,Africa,Rousettus aegypticus,Bat,1,2018,0
PP711911.1,Rousettus bat sapelovirus,10A/Kenya/BAT22/2015,Rousettus bat sapelovirus,Sapelovirus,Kenya,Africa,Rousettus aegypticus,Bat,1,2015,0
PP711912.1,Rousettus bat picornavirus,8A/Uganda/UGR5/2019,Rousettus bat picornavirus,Unclassified bat picornavirus,Uganda,Africa,Rousettus aegypticus,Bat,1,2019,0
PP711913.1,Rousettus bat picornavirus,11B/Kenya/BAT1828/2015,Rousettus bat picornavirus,Unclassified bat picornavirus,Kenya,Africa,Rousettus aegypticus,Bat,1,2015,0
PP711921.1,Eidolon bat sapelovirus,18A/Kenya/BAT509/2015,Eidolon bat sapelovirus,Sapelovirus,Kenya,Africa,Eidolon helvum,Bat,1,2015,0
PP711928.1,Rousettus bat picornavirus,24A/Uganda/UR13/2018,Rousettus bat picornavirus,Unclassified bat picornavirus,Uganda,Africa,Rousettus aegypticus,Bat,1,2018,0
PP711930.1,Rousettus bat picornavirus,25C/Kenya/BAT6/2015,Rousettus bat picornavirus,Unclassified bat picornavirus,Kenya,Africa,Rousettus aegypticus,Bat,1,2015,0
PP711934.1,Rousettus bat teschovirus,29A/Kenya/BAT3/2015,Rousettus bat teschovirus,Teschovirus,Kenya,Africa,Rousettus aegyptiacus,Bat,1,2015,0
PP711943.1,Eidolon bat sapelovirus,6A/Kenya/BAT606/2015,Eidolon bat sapelovirus,Sapelovirus,Kenya,Africa,Eidolon helvum,Bat,1,2015,0
PP711945.1,Rousettus bat picornavirus,8A/Uganda/UGR5/2019,Rousettus bat picornavirus,Unclassified bat picornavirus,Uganda,Africa,Rousettus aegypticus,Bat,1,2019,0
PP711946.1,Chaerephon bat picornavirus,9A/Kenya/BAT1462/2015,Chaerephon bat picornavirus,Unclassified bat picornavirus,Kenya,Africa,Chaerephon leucogaster,Bat,1,2015,0
PP711948.1,Rousettus bat teschovirus,31A/Uganda/UV8/2018,Rousettus bat teschovirus,Teschovirus,Uganda,Africa,Rousettus aegyptiacus,Bat,1,2018,0
PP712001.1,Rousettus bat calicivirus,16A/Kenya/BAT2/2015,Rousettus bat calicivirus,Sapovirus,Kenya,Africa,Rousettus aegypticus,Bat,1,2015,0
PP712004.1,Rousettus bat calicivirus,10B/Kenya/BAT12/2015,Rousettus bat calicivirus,Sapovirus,Kenya,Africa,Rousettus aegypticus,Bat,1,2015,0
PP712008.1,Rousettus bat calicivirus,13A/Kenya/BAT2797/2015,Rousettus bat calicivirus,Sapovirus,Kenya,Africa,Rousettus aegypticus,Bat,1,2015,0
PP712015.1,Rousettus bat calicivirus,1A/Kenya/BAT18/2015,Rousettus bat calicivirus,Sapovirus,Kenya,Africa,Rousettus aegypticus,Bat,1,2015,0
PP745912.1,Bat picornavirus 7,243_61024,Bat picornavirus 7,Unclassified bat picornavirus,China,Asia,Taphozous melanopogon,Bat,1,2017,0
PP746000.1,Bat picornavirus BtSY4,357_7225,Bat picornavirus BtSY4,Unclassified bat picornavirus,China,Asia,Rhinolophus sinicus,Bat,1,2021,0
