OQ818332 PRJNA954539 SAMN34150117 SRR24138297,OQ818332,RR034B_016_NODE_39,AMB137,"Pteropus rufus bee virus, partial genome",,
OQ818333 PRJNA954539 SAMN34150119 SRR24138364,OQ818333,RR034B_018_NODE_5,AMB139,"Pteropus rufus picorna-like virus, partial genome",,
OQ818334 PRJNA954539 SAMN34150128 SRR24138336,OQ818334,RR034B_028_NODE_1050,AMB149,"Pteropus rufus picorna-like virus, partial genome",,Reverse complement pulled from BLAST
OQ818335 PRJNA954539 SAMN34150129 SRR24138173,OQ818335,RR034B_029_NODE_116,AMB150,"Pteropus rufus felisavirus, partial genome",,Reverse complement pulled from BLAST
OQ818336 PRJNA837298 SAMN28493973 SRX15403738,OQ818336,RR034B_308_NODE_1,AMB160,"Pteropus rufus picorna-like virus, partial genome",,
OQ818337 PRJNA954539 SAMN34150177 SRR24138312,OQ818337,RR034B_079_NODE_4,KEL148,"Eidolon dupreanum hepatovirus, partial genome",,Reverse complement pulled from BLAST
OQ818338 PRJNA837298 SAMN28494000 SRX15403719,OQ818338,RR034B_338_NODE_17,KEL161,"Eidolon dupreanum cripavirus, partial genome",,
OQ818339 PRJNA954539 SAMN34150192 SRR24138254,OQ818339,RR034B_094_NODE_56,KEL164,"Eidolon dupreanum picorna-like virus, partial genome",,Reverse complement pulled from BLAST
OQ818340 PRJNA954539 SAMN34150231 SRR24138365,OQ818340,RR034B_137_NODE_352,KEL207,"Eidolon dupreanum sapovirus, partial genome",,Reverse complement pulled from BLAST
OQ818341 PRJNA954539 SAMN34150248 SRR24138240,OQ818341,RR034B_155_NODE_2,KEL225,"Eidolon dupreanum felisavirus, partial genome",,Reverse complement pulled from BLAST
OQ818342 PRJNA954539 SAMN34150282 SRR24138227,OQ818342,RR034B_190_NODE_884,KEL273,"Eidolon dupreanum sapelovirus, partial genome",,
OQ818343 PRJNA837298 SAMN28494055 SRX15403597,OQ818343,RR034B_393_NODE_55,KEL275B,"Eidolon dupreanum sapelovirus, partial genome",,
OQ818344 PRJNA837298 SAMN28494074 SRX15403558,OQ818344,RR034B_412_NODE_6,KEL298,"Eidolon dupreanum sapelovirus, partial genome",,
OQ818345 PRJNA954539 SAMN34150323 SRR24138183,OQ818345,RR034B_233_NODE_1161,MIZ179,"Rousettus madagascariensis sapovirus, partial genome",,
OQ818346 PRJNA954539 SAMN34150335 SRR24138214,OQ818346,RR034B_248_NODE_215,MIZ194,"Rousettus madagascariensis bat picornavirus, partial genome",,Reverse complement pulled from BLAST
OQ818347 PRJNA954539 SAMN34150358 SRR24138278,OQ818347,RR034B_271_NODE_34,MIZ219,"Rousettus madagascariensis sapovirus, partial genome",,Reverse complement pulled from BLAST
OQ818348 PRJNA837298 SAMN28494141 SRX15403670,OQ818348,RR034B_481_NODE_12,MIZ345,"Rousettus madagascariensis sapovirus, partial genome",,Reverse complement pulled from BLAST
