Accession,Organism_Name,Isolate,Species,Genus,Country,source,Host,Collection_Date,novel
MN685785.1,Sapelovirus A,,Sapelovirus A,Sapelovirus,China,Sus scrofa,0,2019,0
OM037653.1,Sapelovirus A,HLJ-12,Sapelovirus A,Sapelovirus,China,Sus scrofa,0,2020,0
OM037654.1,Sapelovirus A,HLJ-14,Sapelovirus A,Sapelovirus,China,Sus scrofa,0,2020,0
OM037655.1,Sapelovirus A,HLJ-15,Sapelovirus A,Sapelovirus,China,Sus scrofa,0,2020,0
LC326555.1,Sapelovirus A,,Sapelovirus A,Sapelovirus,Japan,Sus scrofa,0,2009,0
OM037656.1,Sapelovirus A,HLJ-41,Sapelovirus A,Sapelovirus,China,Sus scrofa,0,2020,0
KF539414.1,Sapelovirus A,,Sapelovirus A,Sapelovirus,China,Sus scrofa,0,2011,0
JX286666.1,Sapelovirus A,,Sapelovirus A,Sapelovirus,China,Sus scrofa,0,2011,0
MH626635.1,Sapelovirus A,,Sapelovirus A,Sapelovirus,China,Sus scrofa,0,2017,0
MN755857.1,Sapelovirus A,,Sapelovirus A,Sapelovirus,China,Sus scrofa,0,2018,0
MN755858.1,Sapelovirus A,,Sapelovirus A,Sapelovirus,China,Sus scrofa,0,2018,0
MN755859.1,Sapelovirus A,,Sapelovirus A,Sapelovirus,China,Sus scrofa,0,2018,0
MN755860.1,Sapelovirus A,,Sapelovirus A,Sapelovirus,China,Sus scrofa,0,2018,0
LC326556.1,Sapelovirus A,,Sapelovirus A,Sapelovirus,Japan,Sus scrofa,0,2009,0
MH626634.1,Sapelovirus A,,Sapelovirus A,Sapelovirus,China,Sus scrofa,0,2017,0
OQ447500.1,Sapelovirus A,,Sapelovirus A,Sapelovirus,China,Sus scrofa,0,2020,0
MN784122.1,Sapelovirus A,,Sapelovirus A,Sapelovirus,Nigeria,Mandrillus leucophaeus,0,2017,0
LC503602.1,Sapelovirus B,,Sapelovirus B,Sapelovirus,Cambodia,Macaca fascicularis,0,2017,0
LC386162.1,Sapelovirus-like porcine picornavirus Japan,,Sapelovirus-like porcine picornavirus Japan,Sapelovirus,Japan,Sus scrofa,0,2015,0
NC_004451.1,Simian sapelovirus 1,,Sapelovirus B,Sapelovirus,USA,Simiiformes,0,2003,0
MK521918.1,Tasmanian devil-associated sapelovirus,wukalina/Tasmania/Sarcophilus_harrisii/2017/DN125220,Tasmanian devil-associated sapelovirus,Sapelovirus,Australia,Sarcophilus harrisii,0,2017,0
NC_001547.1,Sindbis virus,,Sindbis virus,Alphavirus,USA,Cell culture,0,1981,0
OQ818320,Eidolon dupreanum sapelovirus 1,KEL233,Eidolon dupreanum sapelovirus 1,Sapelovirus,Madagascar,Eidolon dupreanum,1,2018,1
OQ818321,Eidolon dupreanum sapelovirus 2,KEL272,Eidolon dupreanum sapelovirus 2,Sapelovirus,Madagascar,Eidolon dupreanum,1,2019,1
OQ818329,Rousettus madagascariensis sapelovirus 1,MIZ243,Rousettus madagascariensis sapelovirus 1,Sapelovirus,Madagascar,Rousettus madagascariensis,1,2018,1
OQ818342,Eidolon dupreanum sapelovirus 1,KEL273,Eidolon dupreanum sapelovirus 1,Sapelovirus,Madagascar,Eidolon dupreanum,1,2019,1
OQ818344,Eidolon dupreanum sapelovirus 1,KEL298,Eidolon dupreanum sapelovirus 1,Sapelovirus,Madagascar,Eidolon dupreanum,1,2019,1
PP766463,Eidolon dupreanum sapelovirus 2,KEL273.2,Eidolon dupreanum sapelovirus 2,Sapelovirus,Madagascar,Eidolon dupreanum,1,2019,1
PP766464,Eidolon dupreanum sapelovirus 2,KEL275B.1,Eidolon dupreanum sapelovirus 2,Sapelovirus,Madagascar,Eidolon dupreanum,1,2019,1
PP766465,Eidolon dupreanum sapelovirus 1,KEL298.1,Eidolon dupreanum sapelovirus 1,Sapelovirus,Madagascar,Eidolon dupreanum,1,2019,1
