pointer,Bat_mischivirus_5,Mischivirus_B,NC_026470.1
4940,0,0,100
4960,0,0,100
4980,0,0,100
5000,0,0,100
5020,8,0,92
5040,6,4,90
5060,11,1,88
5080,21,5,74
5100,24,6,70
5120,34,1,65
5140,18,3,79
5160,24,1,75
5180,3,0,97
5200,2,0,98
5220,0,0,100
5240,1,0,99
5260,0,1,99
5280,0,0,100
5300,1,0,99
5320,0,1,99
5340,0,1,99
5360,1,2,97
5380,4,10,86
5400,7,20,73
5420,8,26,66
5440,19,37,44
5460,8,34,58
5480,19,25,56
5500,11,51,38
5520,7,67,26
5540,1,55,44
5560,4,50,46
5580,1,53,46
5600,1,31,68
5620,0,20,80
5640,0,21,79
5660,0,1,99
5680,0,3,97
5700,0,0,100
5720,0,0,100
5740,0,0,100
5760,0,0,100
5780,0,0,100
5800,0,0,100
5820,0,0,100
5840,0,0,100
5860,0,0,100
5880,0,0,100
5900,5,1,94
5920,1,1,98
5940,7,2,91
5960,3,1,96
5980,5,19,76
6000,5,7,88
6020,0,2,98
6040,0,2,98
6060,0,0,100
6080,0,0,100
6100,0,0,100
6120,0,0,100
6140,0,0,100
6160,1,0,99
6180,2,0,98
6200,9,0,91
6220,15,0,85
6240,26,0,74
6260,64,0,36
6280,57,0,43
6300,54,0,46
6320,62,0,38
6340,58,0,42
6360,34,0,66
6380,4,0,96
6400,12,0,88
6420,21,0,79
6440,3,0,97
6460,4,0,96
6480,1,0,99
6500,0,1,99
6520,3,1,96
6540,0,0,100
6560,0,0,100
6580,0,0,100
6600,0,0,100
6620,0,0,100
6640,0,0,100
6660,0,0,100
6680,0,0,100
6700,0,0,100
6720,0,0,100
6740,0,0,100
6760,2,0,98
6780,2,2,96
6800,0,0,100
6820,1,0,99
6840,0,0,100
6860,1,0,99
6880,2,0,98
6900,4,0,96
6920,8,1,91
6940,4,0,96
6960,3,0,97
6980,0,0,100
7000,6,1,93
7020,0,0,100
7040,1,0,99
7060,0,0,100
7080,0,0,100
7100,0,1,99
7120,0,7,93
7140,0,6,94
7160,0,2,98
7180,0,19,81
7200,2,9,89
7220,6,18,76
7240,2,7,91
7260,11,25,64
7280,7,37,56
7300,0,17,83
7320,2,1,97
7340,4,2,94
7360,0,0,100
7380,1,0,99
7400,0,1,99
7420,1,1,98
7440,3,5,92
7460,7,6,87
7480,17,3,80
7500,18,0,82
7520,13,2,85
7540,9,9,82
7560,8,9,83
7580,4,1,95
7600,2,0,98
7620,9,1,90
7640,4,1,95
7660,0,0,100
7680,0,0,100
7700,4,2,94
7720,2,10,88
7740,2,9,89
7760,4,32,64
7780,1,65,34
7800,15,60,25
7820,18,66,16
7840,17,15,68
7860,10,26,64
7880,5,35,60
7900,2,38,60
7920,2,42,56
7940,4,26,70
7960,2,6,92
7980,0,7,93
8000,0,4,96
8020,0,2,98
8040,0,21,79
8060,0,7,93
8080,0,10,90
8100,0,3,97
8120,0,0,100
8140,0,0,100
8160,2,0,98
8180,1,0,99
8200,4,0,96
8220,0,0,100
8240,14,0,86
8260,19,0,81
8280,24,3,73
8300,9,0,91
8320,0,0,100
8340,3,0,97
8360,1,1,98
8380,0,1,99
8400,0,0,100
8420,1,2,97
8440,0,0,100
8460,0,6,94
8480,0,1,99
8500,0,3,97
8520,1,14,85
8540,1,9,90
8560,1,19,80
8580,1,25,74
8600,0,17,83
8620,1,2,97
8640,0,6,94
8660,0,1,99
8680,0,2,98
8700,6,0,94
8720,0,0,100
8740,0,0,100
8760,0,0,100
8780,0,0,100
