pointer,OQ818322,PP766456,NC_034971.1,Rhinolophus_kobuvirus
2820,89,11,0,0
2840,84,15,0,0
2860,88,12,0,0
2880,91,7,0,0
2900,84,12,0,0
2920,82,16,0,0
2940,79,18,0,0
2960,78,18,0,0
2980,34,62,0,0
3000,36,62,0,0
3020,33,64,0,0
3040,18,68,0,0
3060,44,54,0,0
3080,44,52,0,0
3100,42,53,0,0
3120,51,47,0,0
3140,46,51,0,0
3160,31,66,0,0
3180,16,83,0,0
3200,25,72,0,0
3220,17,81,0,0
3240,21,73,0,0
3260,2,92,0,0
3280,2,93,0,0
3300,29,68,0,0
3320,29,68,0,0
3340,43,56,0,0
3360,59,38,0,0
3380,85,6,0,0
3400,91,3,0,0
3420,89,4,0,0
3440,84,3,0,0
3460,87,9,0,0
3480,87,7,0,0
3500,68,16,0,0
3520,56,21,0,0
3540,49,21,0,0
3560,71,14,0,0
3580,73,17,0,0
3600,48,27,0,0
3620,69,14,0,0
3640,63,13,0,0
3660,54,22,0,0
3680,63,16,0,0
3700,66,9,0,0
3720,74,10,0,0
3740,57,15,0,0
3760,18,46,0,0
3780,37,50,0,0
3800,70,26,0,0
3820,77,17,0,0
3840,69,26,0,0
3860,71,26,0,0
3880,52,39,0,0
3900,51,39,0,0
3920,85,12,0,0
3940,87,10,0,0
3960,94,6,0,0
3980,91,7,0,0
4000,80,15,0,0
4020,69,25,0,0
4040,72,26,0,0
4060,84,13,0,0
4080,92,8,0,0
4100,94,6,0,0
4120,79,19,0,0
4140,85,9,0,0
4160,77,14,0,0
4180,85,13,0,0
4200,80,8,0,0
4220,83,6,0,0
4240,79,8,0,0
4260,33,34,0,0
4280,66,24,0,0
4300,63,19,0,0
4320,71,14,0,0
4340,70,9,0,0
4360,72,15,0,0
4380,82,10,0,0
4400,63,19,0,0
4420,63,20,0,0
4440,71,14,0,0
4460,92,4,0,0
4480,76,14,0,0
4500,73,13,0,0
4520,79,13,0,0
4540,81,10,0,0
4560,46,53,0,0
4580,57,40,0,0
4600,41,55,0,0
4620,47,51,0,0
4640,47,49,0,0
4660,59,40,0,0
4680,61,37,0,0
4700,42,51,0,0
4720,32,64,0,0
4740,42,53,0,0
4760,25,10,0,0
4780,34,7,0,0
4800,30,11,0,0
4820,28,4,0,0
4840,30,12,0,0
4860,1,17,0,0
4880,36,7,0,0
4900,46,0,0,0
4920,46,0,0,0
4940,46,0,0,0
4960,98,0,0,0
4980,98,0,0,0
5000,96,1,0,0
5020,94,1,0,0
5040,92,2,0,0
5060,72,27,0,0
5080,24,65,0,0
5100,35,61,0,0
5120,37,59,0,0
5140,30,68,0,0
5160,38,57,0,0
5180,40,55,0,0
5200,41,58,0,0
5220,39,60,0,0
5240,42,55,0,0
5260,95,4,0,0
5280,94,0,0,0
5300,79,5,0,0
5320,58,40,0,0
5340,68,31,0,0
5360,74,24,0,0
5380,67,31,0,0
5400,72,24,0,0
5420,70,28,0,0
5440,67,30,0,0
5460,79,19,0,0
5480,61,36,0,0
5500,66,33,0,0
5520,76,4,0,0
5540,11,24,0,0
5560,61,7,0,0
5580,68,3,0,0
5600,69,8,0,0
5620,34,55,0,0
5640,40,56,0,0
5660,39,57,0,0
5680,39,61,0,0
5700,30,70,0,0
5720,36,63,0,0
5740,32,68,0,0
5760,2,96,0,0
5780,2,97,0,0
5800,27,73,0,0
5820,44,54,0,0
5840,51,47,0,0
5860,40,51,0,0
5880,67,20,0,0
5900,84,9,0,0
5920,97,2,0,0
5940,86,3,0,0
5960,84,2,0,0
5980,83,8,0,0
6000,79,9,0,0
6020,98,2,0,0
6040,97,1,0,0
6060,94,1,0,0
6080,98,1,0,0
6100,93,7,0,0
6120,94,6,0,0
6140,99,0,0,0
6160,99,0,0,0
6180,99,1,0,0
6200,97,1,0,0
6220,99,0,0,0
6240,98,0,0,0
6260,97,1,0,0
6280,89,7,0,0
6300,59,18,0,0
6320,63,19,0,0
6340,55,19,0,0
6360,60,21,0,0
6380,40,45,0,0
6400,31,58,0,0
6420,1,70,0,0
6440,1,70,0,0
6460,0,72,0,0
6480,14,61,0,0
6500,28,57,0,0
6520,17,57,0,0
6540,42,50,0,0
6560,51,42,0,0
6580,90,6,0,0
6600,94,4,0,0
6620,97,0,0,0
6640,95,2,0,0
6660,92,6,0,0
6680,74,16,0,0
6700,95,2,0,0
6720,87,5,0,0
6740,94,1,0,0
6760,63,1,0,0
6780,61,4,0,0
6800,71,0,0,0
6820,61,1,0,0
6840,63,2,0,0
6860,82,0,0,0
6880,79,0,0,0
6900,61,1,0,0
6920,76,1,0,0
6940,67,2,0,0
6960,83,0,0,0
6980,76,1,0,0
7000,84,1,0,0
7020,81,1,0,0
7040,80,1,0,0
7060,68,2,0,0
7080,67,1,0,0
7100,82,0,0,0
7120,50,3,0,0
7140,55,0,0,0
7160,96,1,0,0
7180,99,0,0,0
7200,94,2,0,0
7220,97,1,0,0
7240,97,1,0,0
7260,95,2,0,0
7280,98,1,0,0
7300,91,3,0,0
7320,95,1,0,0
7340,95,4,0,0
7360,95,3,0,0
7380,100,0,0,0
7400,96,1,0,0
7420,88,7,0,0
7440,88,8,0,0
7460,84,11,0,0
7480,22,17,0,0
7500,2,27,0,0
7520,1,33,0,0
7540,41,11,0,0
7560,73,6,0,0
7580,84,3,0,0
7600,87,1,0,0
7620,85,1,0,0
7640,87,1,0,0
7660,93,0,0,0
7680,98,2,0,0
7700,100,0,0,0
7720,99,0,0,0
7740,98,0,0,0
7760,98,0,0,0
7780,80,2,0,0
7800,83,3,0,0
7820,81,4,0,0
7840,72,1,0,0
7860,51,2,0,0
7880,54,2,0,0
7900,11,8,0,0
7920,20,8,0,0
7940,23,10,0,0
7960,15,2,0,0
7980,24,2,0,0
8000,15,2,0,0
8020,15,3,0,0
8040,53,3,0,0
8060,53,2,0,0
8080,4,5,0,0
8100,2,8,0,0
8120,4,6,0,0
8140,3,6,0,0
8160,10,10,0,0
8180,18,9,0,0
8200,9,10,0,0
8220,8,11,0,0
8240,12,12,0,0
8260,17,16,0,0
8280,30,41,0,0
8300,42,32,0,0
8320,31,34,0,0
8340,21,24,0,0
8360,17,53,0,0
8380,2,61,0,0
8400,1,66,0,0
8420,0,62,1,2
