Accession,Organism_Name,Isolate,Species,Genus,Country,Host,Collection_Date
OQ559662.1,Simian hepatitis A virus,SHAV/Macaca/Germany/2021,Hepatovirus A,Hepatovirus,Germany,Macaca fascicularis,2021
NC_038316.1,Bat hepatovirus BUO2BF86Colafr2010,BUO2BF86Colafr2010,Hepatovirus G,Hepatovirus,Ghana,Coleura afra,2010
NC_028366.1,hepatovirus H2,M32Eidhel2010,Hepatovirus H,Hepatovirus,Ghana,Eidolon helvum,2010
OK625565.1,Hepatovirus A,Hepatovirus A/0789/Haiti/2016,Hepatovirus A,Hepatovirus,Haiti,Homo sapiens,2016-11-11
OQ161772.2,Hepatovirus A,HAV/Pecs/HUN-A394/2022/HUN,Hepatovirus A,Hepatovirus,Hungary,Homo sapiens,22-Jul
FJ360730.1,Hepatovirus A,IND-HAV-06F,Hepatovirus A,Hepatovirus,India,Homo sapiens,2006-10-13
FJ360731.1,Hepatovirus A,IND-HAV-07F,Hepatovirus A,Hepatovirus,India,Homo sapiens,2007-01-01
FJ360732.1,Hepatovirus A,IND-HAV-08F,Hepatovirus A,Hepatovirus,India,Homo sapiens,2008-04-11
FJ360733.1,Hepatovirus A,IND-HAV-95F,Hepatovirus A,Hepatovirus,India,Homo sapiens,1995-11-29
FJ360735.1,Hepatovirus A,IND-HAV-97F,Hepatovirus A,Hepatovirus,India,Homo sapiens,1997-08-29
FJ360734.1,Hepatovirus A,IND-HAV-99F,Hepatovirus A,Hepatovirus,India,Homo sapiens,1999-07-20
EU140838.1,Simian hepatitis A virus,,Hepatovirus A,Hepatovirus,India,Macaca mulatta,
AB839692.1,Hepatovirus A,BaliA03-H29,Hepatovirus A,Hepatovirus,Indonesia,Homo sapiens,2003
AB839693.1,Hepatovirus A,JemberA07-SBY07,Hepatovirus A,Hepatovirus,Indonesia,Homo sapiens,2007
MG546668.1,Human hepatitis A virus,Ahvaz,Hepatovirus A,Hepatovirus,Iran,Homo sapiens,2017-06-22
MN832785.1,Hepatovirus A,18IRL46925,Hepatovirus A,Hepatovirus,Ireland,Homo sapiens,2018-11-09
MN832786.1,Hepatovirus A,18IRL89195,Hepatovirus A,Hepatovirus,Ireland,Homo sapiens,2018-08-07
AB279732.1,Hepatovirus A,HA-JNG04-90,Hepatovirus A,Hepatovirus,Japan,Homo sapiens,1990
AB279733.1,Hepatovirus A,HA-JNG08-92,Hepatovirus A,Hepatovirus,Japan,Homo sapiens,1992
LC191189.1,Hepatovirus A,HA16-0511,Hepatovirus A,Hepatovirus,Japan,Homo sapiens,2015
LC373510.1,Human hepatitis A virus,HA16-1496,Hepatovirus A,Hepatovirus,Japan,Homo sapiens,2014
LC416593.1,Human hepatitis A virus,HA18-0500,Hepatovirus A,Hepatovirus,Japan,Homo sapiens,2018-03-06
LC416594.1,Human hepatitis A virus,HA18-0551,Hepatovirus A,Hepatovirus,Japan,Homo sapiens,2018-04-19
LC416595.1,Human hepatitis A virus,HA18-0838,Hepatovirus A,Hepatovirus,Japan,Homo sapiens,2018-05-21
LC435031.1,Human hepatitis A virus,HA18-1053,Hepatovirus A,Hepatovirus,Japan,Homo sapiens,2018-07-26
LC435032.1,Human hepatitis A virus,HA18-1167,Hepatovirus A,Hepatovirus,Japan,Homo sapiens,2018-08-10
AB623053.1,Hepatovirus A,HA286-Aki1957,Hepatovirus A,Hepatovirus,Japan,Homo sapiens,1957-10-04
AB279735.1,Hepatovirus A,HAJ85-1,Hepatovirus A,Hepatovirus,Japan,Homo sapiens,1985
AB279734.1,Hepatovirus A,HAJ95-8,Hepatovirus A,Hepatovirus,Japan,Homo sapiens,1995
AB909123.1,Hepatovirus A,HAJHM-PapTok11,Hepatovirus A,Hepatovirus,Japan,Homo sapiens,2011-10-18
AB618529.1,Hepatovirus A,HAJIH-Fukuo10,Hepatovirus A,Hepatovirus,Japan,Homo sapiens,2010-04-12
AB618531.1,Hepatovirus A,HAJNS-BorSap10,Hepatovirus A,Hepatovirus,Japan,Homo sapiens,1999-06-17
NC_038313.1,Bat hepatovirus SMG18520Minmav2014,SMG18520Minmav2014,Hepatovirus C,Hepatovirus,Madagascar,Miniopterus,2014
KT452742.1,Bat hepatovirus SMG18520Minmav2014,SMG18520Minmav2014,Hepatovirus C,Hepatovirus,Madagascar,Miniopterus,2014
KC182590.1,Hepatovirus A,A1,Hepatovirus A,Hepatovirus,Mexico,Homo sapiens,2009
KC182587.1,Hepatovirus A,A2,Hepatovirus A,Hepatovirus,Mexico,Homo sapiens,2009
KC182589.1,Hepatovirus A,A3,Hepatovirus A,Hepatovirus,Mexico,Homo sapiens,2009
KC182588.1,Hepatovirus A,B1,Hepatovirus A,Hepatovirus,Mexico,Homo sapiens,2009
NC_038315.1,Rodent hepatovirus KEF121Sigmas2012,KEF121Sigmas2012,Hepatovirus F,Hepatovirus,Mexico,Sigmodon mascotensis,2012
LC049339.1,Hepatovirus A,MNA06-2130,Hepatovirus A,Hepatovirus,Mongolia,Homo sapiens,2006
LC049342.1,Hepatovirus A,MNA06-2148,Hepatovirus A,Hepatovirus,Mongolia,Homo sapiens,2012
LC049338.1,Hepatovirus A,MNA09-B1141,Hepatovirus A,Hepatovirus,Mongolia,Homo sapiens,2009
LC049340.1,Hepatovirus A,MNA10-B1355,Hepatovirus A,Hepatovirus,Mongolia,Homo sapiens,2010
LC049337.1,Hepatovirus A,MNA12-001,Hepatovirus A,Hepatovirus,Mongolia,Homo sapiens,2012
LC049341.1,Hepatovirus A,MNA12-130,Hepatovirus A,Hepatovirus,Mongolia,Homo sapiens,2012
HQ437707.1,Hepatovirus A,,Hepatovirus A,Hepatovirus,Russia,Homo sapiens,2007-04-10
AY644670.1,Hepatovirus A,,Hepatovirus A,Hepatovirus,Sierra Leone,Homo sapiens,
KY003229.1,Hepatovirus A,20160920,Hepatovirus A,Hepatovirus,South Africa,,2011
JQ655151.1,Hepatovirus A,Kor-HAV-F,Hepatovirus A,Hepatovirus,South Korea,Homo sapiens,2011-10-01
LC128713.1,Hepatovirus A,,Hepatovirus A,Hepatovirus,Thailand,Homo sapiens,2000-08-01
KT819575.1,Hepatovirus A,KibOB-1,Hepatovirus A,Hepatovirus,Uganda,Papio anubis,2010-09-14
EU526089.1,Hepatovirus A,HAV12,Hepatovirus A,Hepatovirus,Uruguay,Homo sapiens,
KX035096.1,Hepatovirus A,18f.1,Hepatovirus A,Hepatovirus,USA,Homo sapiens,2013-01-01
NC_027818.1,Phopivirus,,Hepatovirus B,Hepatovirus,USA,Phoca vitulina,2011-09-30
KR703607.1,Phopivirus,,Hepatovirus B,Hepatovirus,USA,Phoca vitulina,2011-09-30
MH577308.1,Hepatovirus A,,Hepatovirus A,Hepatovirus,USA,Homo sapiens,2017
MH577309.1,Hepatovirus A,,Hepatovirus A,Hepatovirus,USA,Homo sapiens,2017
MH577313.1,Hepatovirus A,,Hepatovirus A,Hepatovirus,USA,Homo sapiens,2017
MN062164.1,Hepatovirus A,,Hepatovirus A,Hepatovirus,USA,Homo sapiens,2017
MN062166.1,Hepatovirus A,,Hepatovirus A,Hepatovirus,USA,Homo sapiens,2018
MH577310.1,Hepatovirus A,,Hepatovirus A,Hepatovirus,USA,Homo sapiens,2017
MH577311.1,Hepatovirus A,,Hepatovirus A,Hepatovirus,USA,Homo sapiens,2018
MN062165.1,Hepatovirus A,,Hepatovirus A,Hepatovirus,USA,Homo sapiens,2018
MH577312.1,Hepatovirus A,,Hepatovirus A,Hepatovirus,USA,Homo sapiens,2017
JQ425480.1,Hepatovirus A,,Hepatovirus A,Hepatovirus,USA,Homo sapiens,
MN062167.1,Hepatovirus A,,Hepatovirus A,Hepatovirus,USA,Homo sapiens,2018
MH577314.1,Hepatovirus A,,Hepatovirus A,Hepatovirus,USA,Homo sapiens,2018
NC_001489.1,Hepatovirus A,,Hepatovirus A,Hepatovirus,,,
HQ246217.1,Hepatovirus A,,Hepatovirus A,Hepatovirus,,Pan troglodytes,May-80
