Accession,Organism_Name,Isolate,Species,Genus,Country,source,Host,Collection_Date,novel
DQ294633.1,Mengo virus,Rz-pMwt,Cardiovirus A,Cardiovirus,USA,Mus,0,2005,0
EF165067.2,cardiovirus D1,,Cardiovirus D,Cardiovirus,USA,Homo sapiens,0,2008,0
EU140838.1,Simian hepatitis A virus,,Hepatovirus A,Hepatovirus,India,Macaca mulatta,0,2007,0
EU542581.1,Rat theilovirus 1,,Cardiovirus B,Cardiovirus,USA,Rattus,0,2008,0
EU718732.1,Theiler's encephalomyelitis virus,TOB15,Cardiovirus B,Cardiovirus,USA,Mus,0,2008,0
EU787450.2,aichivirus C1,,Aichivirus C,Kobuvirus,Hungary,Sus scrofa,0,2007,0
FJ387164.1,Sapovirus pig/sav1/2008/CHN,Ch-sw-sav1,Sapporo virus,Sapovirus,China,Sus scrofa,0,2008,0
FJ890523.1,Aichi virus 1,Chshc7,Aichivirus A,Kobuvirus,China,Homo sapiens,0,2008,0
GU245693.2,aichivirus B3,,Aichivirus B,Kobuvirus,Hungary,Ovis aries,0,2009,0
GU292559.1,Kobuvirus pig/JY-2010a/CHN,Y-1-CHI,Aichivirus C,Kobuvirus,China,Sus scrofa,0,2010,0
GU595289.1,Human TMEV-like cardiovirus,HTCV-UC6,Cardiovirus B,Cardiovirus,USA,Homo sapiens,0,2001,0
HM002617.1,Sapovirus Hu/GI/Sapporo/MT-2010/1982,,Sapporo virus,Sapovirus,Japan,Homo sapiens,0,1982,0
HM181996.1,Saffold virus 3,SAFV-3_NL1999-590,Cardiovirus D,Cardiovirus,Netherlands,Homo sapiens,0,1998,0
HM769724.1,Hepatovirus A,HAV-Arg/06,Hepatovirus A,Hepatovirus,Argentina,Homo sapiens,0,2006,0
JF755427.1,aichivirus A3,,Aichivirus A,Kobuvirus,USA,Peromyscus crinitus,0,2010,0
JN088541.1,Canine kobuvirus US-PC0082,,Aichivirus A,Kobuvirus,USA,Canis lupus familiaris,0,2010,0
JQ898342.1,Kobuvirus sewage Kathmandu,KoV-SewKTM,Aichivirus A,Kobuvirus,Nepal,Homo sapiens,0,2009,0
JQ911763.1,Canine kobuvirus CH-1,,Aichivirus A,Kobuvirus,China,Canis lupus familiaris,0,2011,0
JQ975417.1,teschovirus A4,10BJ02,Teschovirus A,Teschovirus,China,Sus scrofa,0,2010,0
JX993277.1,Sapovirus Hu/G1/BE-HPI01/DE/2012,BE-HPI01,Sapporo virus,Sapovirus,Germany,Homo sapiens,0,2012,0
KC161964.1,Canine kobuvirus,,Canine kobuvirus,Kobuvirus,United Kingdom,Canis lupus familiaris,0,2008,0
KC757344.1,teschovirus A8,Fuyu/2009/2,Teschovirus A,Teschovirus,China,Sus scrofa,0,2009,0
KF204570.1,Sapovirus pig/Gansu/CH430/2012/CHN,CH430,Sapporo virus,Sapovirus,China,Sus scrofa,0,2012,0
KF793927.1,aichivirus C2,12Q108,Aichivirus C,Kobuvirus,South Korea,Capra hircus,0,2012,0
KF831027.1,aichivirus A4,,Aichivirus A,Kobuvirus,South Korea,Feliformia,0,2011,0
KF836387.1,Encephalomyocarditis virus,JZ1202,Cardiovirus A,Cardiovirus,China,Sus scrofa,0,2012,0
KF836388.1,Encephalomyocarditis virus,JZ1203,Cardiovirus A,Cardiovirus,China,Mus musculus,0,2012,0
KF924623.1,Canine kobuvirus,12D049,Canine kobuvirus,Kobuvirus,South Korea,Canis lupus familiaris,0,2012,0
KJ508818.1,Sapovirus pig/GVI/OH-JJ674/2000/US,,Sapporo virus,Sapovirus,USA,Sus scrofa,0,2000,0
KJ641691.1,aichivirus F2,BtMf-PicoV-2/GD2012,Aichivirus F,Kobuvirus,China,Miniopterus fuliginosus,1,2012,0
KJ821019.1,Sapelovirus A,KS04105,Sapelovirus A,Sapelovirus,South Korea,Sus scrofa,0,2004,0
KJ934637.1,aichivirus A5,,Aichivirus A,Kobuvirus,Hungary,Coracias garrulus,0,2011,0
KJ958930.1,Feline kobuvirus,12D240,Aichivirus A,Kobuvirus,South Korea,Feliformia,0,2012,0
KM068048.1,Canine kobuvirus 1,DD2,Aichivirus A,Kobuvirus,Tanzania,Canis lupus familiaris,0,2003,0
KM091960.1,Feline kobuvirus,,Aichivirus A,Kobuvirus,Italy,Felis catus,0,2013,0
KM269482.1,Encephalomyocarditis virus,,Cardiovirus A,Cardiovirus,USA,Pan troglodytes,0,1944,0
KP067444.1,Sapovirus GII,,Sapporo virus,Sapovirus,Philippines,Homo sapiens,0,2012,0
KP144318.1,Porcine kobuvirus JS-01-CHN/2013/China,,Aichivirus C,Kobuvirus,China,Sus scrofa domesticus,0,2013,0
KP298674.1,Sapovirus Hu/GI.1/Seoul/ROK62/2013/KOR,,Sapporo virus,Sapovirus,South Korea,Homo sapiens,0,2013,0
KT327081.1,Sapovirus Hu/G1/Zhejiang1/China/2014,Hu/G1/Zhejiang1/China/2014,Sapporo virus,Sapovirus,China,Homo sapiens,0,2014,0
KT452641.1,Rodent hepatovirus,KS11510Myogla2011,Rodent hepatovirus,Hepatovirus,Germany,Myodes glareolus,0,2011,0
KT452661.1,Shrew hepatovirus,KS121289Sorara2012,Hepatovirus I,Hepatovirus,Germany,Sorex araneus,0,2012,0
KT452695.1,Hedgehog hepatovirus,Igel75Erieur2014,Hepatovirus H,Hepatovirus,Germany,Erinaceus europaeus,0,2014,0
KT877158.1,hepatovirus H3,TN1,Hepatovirus H,Hepatovirus,China,Tupaia chinensis,0,2012,0
KU871313.1,Canine picornavirus,,Mischivirus D,Mischivirus,United Arab Emirates,Canis,0,2013,0
KU955338.1,Mengo virus,,Cardiovirus A,Cardiovirus,Central African Republic,Tatera,0,1983,0
KX000383.1,Sapovirus GV/WG194D-1,,Sapporo virus,Sapovirus,USA,Sus scrofa,0,2009,0
KX000384.1,Sapovirus GVII/RV0042,,Sapporo virus,Sapovirus,USA,Sus scrofa,0,2011,0
KX228694.1,Human hepatitis A virus,HAV/Egy/BI-11/2015,Hepatovirus A,Hepatovirus,Egypt,Homo sapiens,0,2014,0
KX231802.1,Mengo virus,,Cardiovirus A,Cardiovirus,Russia,Papio hamadryas,0,2007,0
KX274477.1,Sapovirus GII.4,116006,Sapporo virus,Sapovirus,Brazil,Homo sapiens,0,2011,0
KX420952.1,Hepatovirus A,KSA215,Hepatovirus A,Hepatovirus,Saudi Arabia,Rhinopoma hardwickii,1,2012,0
KX431437.1,Sapporo virus,Hu/GV/0003/Sollentuna/2016/SWE,Sapporo virus,Sapovirus,Sweden,Homo sapiens,0,2016,0
KX523680.1,Hepatovirus A,LV8,Hepatovirus A,Hepatovirus,China,Homo sapiens,0,1988,0
KX574284.1,Sapelovirus A,,Sapelovirus A,Sapelovirus,USA,Sus scrofa,0,2015,0
KX759618.1,Bat sapovirus,Bat-SaV/Limbe25/CAM/2014,Bat sapovirus,Sapovirus,Cameroon,Eidolon helvum,1,2014,0
KX759619.1,Bat sapovirus,Bat-SaV/Lysoka36/CAM/2014,Bat sapovirus,Sapovirus,Cameroon,Eidolon helvum,1,2014,0
KX759620.1,Bat sapovirus,Bat-SaV/Limbe65/CAM/2014,Bat sapovirus,Sapovirus,Cameroon,Eidolon helvum,1,2014,0
KX759621.1,Bat sapovirus,Bat-SaV/Limbe899a/CAM/2014,Bat sapovirus,Sapovirus,Cameroon,Eidolon helvum,1,2014,0
KX759622.1,Bat sapovirus,Bat-SaV/Limbe899b/CAM/2014,Bat sapovirus,Sapovirus,Cameroon,Eidolon helvum,1,2014,0
KX980412.1,Sapovirus Hu/GI/Hunan/China/2016,Hu/GI/Hunan/China/2016,Sapporo virus,Sapovirus,China,Homo sapiens,0,2016,0
KY407744.1,Bovine kobuvirus,,Aichivirus B,Kobuvirus,Egypt,Bos taurus,0,2014,0
KY855433.1,Marmot sapelovirus 2,,Marmot sapelovirus 2,Sapelovirus,China,Marmota himalayana,0,2013,0
KY855436.1,Marmot kobuvirus,,Marmot kobuvirus,Kobuvirus,China,Marmota himalayana,0,2013,0
LC190463.1,Sapovirus Hu/GII/JP/2010/Kashiwa1,,Sapporo virus,Sapovirus,Japan,Homo sapiens,0,2010,0
LC215874.1,Sapovirus GIII/MoI2-1-1,,Sapporo virus,Sapovirus,Japan,Sus scrofa,0,2015,0
LC215875.1,Sapovirus GIII/Ishi-Im1-3,,Sapporo virus,Sapovirus,Japan,Sus scrofa,0,2015,0
LC215876.1,Sapovirus GIII/Ishi-Im3-2,,Sapporo virus,Sapovirus,Japan,Sus scrofa,0,2015,0
LC215877.1,Sapovirus GIII/Ishi-Kah3,,Sapporo virus,Sapovirus,Japan,Sus scrofa,0,2015,0
LC215878.1,Sapovirus GIII/Ishi-Im7-1,,Sapporo virus,Sapovirus,Japan,Sus scrofa,0,2015,0
LC215879.1,Sapovirus GIII/Ishi-Kah6,,Sapporo virus,Sapovirus,Japan,Sus scrofa,0,2016,0
LC215880.1,Sapovirus GIII/HgYa1-1,,Sapporo virus,Sapovirus,Japan,Sus scrofa,0,2016,0
LC215881.1,Sapovirus GIII/HgYa2-1,,Sapporo virus,Sapovirus,Japan,Sus scrofa,0,2016,0
LC215882.1,Sapovirus GIII/HgYa2-2,,Sapporo virus,Sapovirus,Japan,Sus scrofa,0,2016,0
LC215883.1,Sapovirus GIII/HgTa1,,Sapporo virus,Sapovirus,Japan,Sus scrofa,0,2016,0
LC215884.1,Sapovirus GIII/HgTa3-1,,Sapporo virus,Sapovirus,Japan,Sus scrofa,0,2016,0
LC215885.1,Sapovirus GV/HkKa2-1,,Sapporo virus,Sapovirus,Japan,Sus scrofa,0,2015,0
LC215886.1,Sapovirus GVI/HgOg2-4,,Sapporo virus,Sapovirus,Japan,Sus scrofa,0,2015,0
LC215887.1,Sapovirus GVI/Ishi-Im7-2,,Sapporo virus,Sapovirus,Japan,Sus scrofa,0,2016,0
LC215888.1,Sapovirus GVI/Ishi-Im9,,Sapporo virus,Sapovirus,Japan,Sus scrofa,0,2016,0
LC215889.1,Sapovirus GVII/HgTa2-1,,Sapporo virus,Sapovirus,Japan,Sus scrofa,0,2015,0
LC215890.1,Sapovirus GVII/HgTa2-2-1,,Sapporo virus,Sapovirus,Japan,Sus scrofa,0,2015,0
LC215891.1,Sapovirus GVII/MoI2-1-2,,Sapporo virus,Sapovirus,Japan,Sus scrofa,0,2015,0
LC215892.1,Sapovirus GVII/Ishi-Im1-2,,Sapporo virus,Sapovirus,Japan,Sus scrofa,0,2015,0
LC215893.1,Sapovirus GVII/Ishi-Im1-4,,Sapporo virus,Sapovirus,Japan,Sus scrofa,0,2015,0
LC215894.1,Sapovirus GVII/Ishi-Im3-1,,Sapporo virus,Sapovirus,Japan,Sus scrofa,0,2015,0
LC215895.1,Sapovirus GVIII/Ishi-Im1-1,,Sapporo virus,Sapovirus,Japan,Sus scrofa,0,2015,0
LC215896.2,Sapovirus GX/HgTa2,,Sapporo virus,Sapovirus,Japan,Sus scrofa,0,2016,0
LC215897.2,Sapovirus GX/HgTa3-2,,Sapporo virus,Sapovirus,Japan,Sus scrofa,0,2016,0
LC215898.1,Sapovirus GXI/HgTa2-2-2,,Sapporo virus,Sapovirus,Japan,Sus scrofa,0,2015,0
LC215899.2,Sapovirus GXI/Ishi-Im7-3,,Sapporo virus,Sapovirus,Japan,Sus scrofa,0,2016,0
LC215900.1,Sapovirus GX/Ishi-Im7-4,,Sapporo virus,Sapovirus,Japan,Sus scrofa,0,2016,0
LC215901.1,Sapovirus GXI/HgYa1-2,,Sapporo virus,Sapovirus,Japan,Sus scrofa,0,2016,0
LC215902.1,Sapovirus GXI/HgYa1-3,,Sapporo virus,Sapovirus,Japan,Sus scrofa,0,2016,0
LC326556.1,Sapelovirus A,,Sapelovirus A,Sapelovirus,Japan,Sus scrofa,0,2009,0
LC380411.1,Sapovirus Hu/GI.6/Nichinan/FP05284/2005/JPN,,Sapporo virus,Sapovirus,Japan,Homo sapiens,0,2005,0
LC386152.1,teschovirus A1,,Teschovirus A,Teschovirus,Japan,Sus scrofa,0,2016,0
LC386154.1,Porcine teschovirus 15,,Porcine teschovirus 15,Teschovirus,Japan,Sus scrofa,0,2015,0
LC386158.1,Porcine teschovirus 16,,Porcine teschovirus 16,Teschovirus,Japan,Sus scrofa,0,2015,0
LC386162.1,Sapelovirus-like porcine picornavirus Japan,,Sapelovirus-like porcine picornavirus Japan,Sapelovirus,Japan,Sus scrofa,0,2015,0
LC416594.1,Human hepatitis A virus,HA18-0551,Hepatovirus A,Hepatovirus,Japan,Homo sapiens,0,2018,0
LC469052.1,Porcine sapovirus,,Sapporo virus,Sapovirus,Japan,Sus scrofa,0,2018,0
LC483441.1,Sapovirus GVI,,Sapporo virus,Sapovirus,Japan,Sus scrofa,0,2018,0
LC503602.1,Sapelovirus B,,Sapelovirus B,Sapelovirus,Cambodia,Macaca fascicularis,0,2017,0
LC515199.1,Hepatovirus A,,Hepatovirus A,Hepatovirus,Gabon,Homo sapiens,0,2016,0
LC671561.1,Sapovirus GI.1,AH20,Sapporo virus,Sapovirus,Japan,Homo sapiens,0,2020,0
LC715150.1,Sapovirus GII,GII.3-AK11-P1,Sapporo virus,Sapovirus,Japan,Homo sapiens,0,2022,0
LC715151.1,Sapovirus GI,GI.1-AK20-P1,Sapporo virus,Sapovirus,Japan,Homo sapiens,0,2020,0
LC721036.1,Feline kobuvirus,Y-1,Kobuvirus aichi,Kobuvirus,Japan,Felis catus,0,2019,0
LT900497.1,Sapelovirus A,PSV/GER/L00798-K11_14-02/2014,Sapelovirus A,Sapelovirus,Germany,Sus scrofa,0,2014,0
MF139053.1,Rodent Cardiovirus,SX1,Rodent Cardiovirus,Cardiovirus,China,Rattus,0,2014,0
MF766258.1,Sapovirus GVII,Po/SH1703/China/2017,Sapporo virus,Sapovirus,China,Sus scrofa,0,2017,0
MF944258.1,Sapovirus sp.,,Sapovirus sp.,Sapovirus,China,Homo sapiens,0,2015,0
MF967586.1,teschovirus A1,,Teschovirus A,Teschovirus,China,Sus scrofa,0,2016,0
MG049743.1,Hepatovirus A,,Hepatovirus A,Hepatovirus,Brazil,Homo sapiens,0,2017,0
MG181943.1,Didelphis aurita hepatitis A virus,,Hepatovirus A,Hepatovirus,Brazil,Didelphis aurita,0,2015,0
MG515473.1,Sapovirus GII,,Sapporo virus,Sapovirus,China,Homo sapiens,0,2015,0
MG546668.1,Human hepatitis A virus,Ahvaz,Hepatovirus A,Hepatovirus,Iran,Homo sapiens,0,2017,0
MG888045.1,Mischivirus B,,Mischivirus B,Mischivirus,Algeria,Miniopterus,1,2017,0
MH003837.1,Sapovirus rat/S4-82,,Sapovirus rat/S4-82,Sapovirus,China,Rattus norvegicus,0,2016,0
MH778548.1,Cardiovirus B,SAFV_BR193,Cardiovirus B,Cardiovirus,Brazil,Homo sapiens,0,2015,0
MK111630.1,Sapovirus GI.1,Hu/Guangzhou/GZ2014-L078/CHN/2014,Sapporo virus,Sapovirus,China,Homo sapiens,0,2014,0
MK250983.1,Sapovirus GI,Hu/BRA/2015/GI.2/TO-65,Sapporo virus,Sapovirus,Brazil,Homo sapiens,0,2015,0
MK521918.1,Tasmanian devil-associated sapelovirus,wukalina/Tasmania/Sarcophilus_harrisii/2017/DN125220,Tasmanian devil-associated sapelovirus,Sapelovirus,Australia,Sarcophilus harrisii,0,2017,0
MK599471.1,Sapovirus GII.8,Hu/Guangzhou/GZ2014-L231/CHN/2014,Sapporo virus,Sapovirus,China,Homo sapiens,0,2014,0
MK671314.1,Feline kobuvirus,FKV/18CC0503,Aichivirus A,Kobuvirus,China,Felis catus,0,2018,0
MK962337.1,Porcine sapovirus,,Sapporo virus,Sapovirus,Spain,Sus scrofa,0,2017,0
MN062165.1,Hepatovirus A,,Hepatovirus A,Hepatovirus,USA,Homo sapiens,0,2018,0
MN102395.1,Sapovirus GIV.1,,Sapporo virus,Sapovirus,Taiwan,Homo sapiens,0,2008,0
MN102397.1,Sapovirus GI.2,,Sapporo virus,Sapovirus,Taiwan,Homo sapiens,0,2009,0
MN102403.1,Sapovirus GII.5,,Sapporo virus,Sapovirus,Taiwan,Homo sapiens,0,2008,0
MN102407.1,Sapovirus GII.8,,Sapporo virus,Sapovirus,Taiwan,Homo sapiens,0,2014,0
MN102408.1,Sapovirus GII.8,,Sapporo virus,Sapovirus,Taiwan,Homo sapiens,0,2014,0
MN116646.1,Cardiovirus B,,Cardiovirus B,Cardiovirus,Hungary,Rattus norvegicus,0,2018,0
MN116647.1,Aichivirus A,,Aichivirus A,Kobuvirus,Hungary,Rattus norvegicus,0,2018,0
MN336260.1,Bovine kobuvirus,,Aichivirus B,Kobuvirus,USA,Bos taurus,0,2019,0
MN337880.1,Canine kobuvirus,,Canine kobuvirus,Kobuvirus,Germany,Vulpes vulpes,0,2016,0
MN509083.1,Sapovirus GI.6,,Sapporo virus,Sapovirus,USA,Homo sapiens,0,2016,0
MN547968.1,Encephalomyocarditis virus,SG-G15150-19,Cardiovirus A,Cardiovirus,Singapore,Cuniculus,0,2019,0
MN602325.1,Bat picornavirus,,Shanbavirus A,Shanbavirus,Italy,Pipistrellus pipistrellus,1,2017,0
MN604700.1,Caprine kobuvirus,MN1/2018,Aichivirus C,Kobuvirus,USA,Caprine,0,2017,0
MN807752.1,Sapelovirus A,,Sapelovirus A,Sapelovirus,Hungary,Sus scrofa domesticus,0,2013,0
MN836683.1,Sapelovirus A,SwPSV75BO2012,Sapelovirus A,Sapelovirus,Italy,Sus scrofa,0,2012,0
MT250508.1,Encephalomyocarditis virus,FRA/SIG/1/2013,Cardiovirus A,Cardiovirus,France,Loxodonta africana,0,2013,0
MT250509.1,Encephalomyocarditis virus,FRA/SIG/1/2014,Cardiovirus A,Cardiovirus,France,Rattus rattus,0,2013,0
MT457854.1,Hepatovirus sp.,,Hepatovirus sp.,Hepatovirus,Australia,Aves,0,2013,0
MT499387.1,Encephalomyocarditis virus,SG-NParks-M100-02,Cardiovirus A,Cardiovirus,Singapore,Pongo pygmaeus,0,2002,0
MT766372.1,Kobuvirus sp.,CHN/XJ/env/2018/ht8-ctg1,Kobuvirus sp.,Kobuvirus,China,Homo sapiens,0,2018,0
MW296158.1,Ovine kobuvirus,SKoV-China/SWUN/AB18/2019,Ovine kobuvirus,Kobuvirus,China,Ovis aries,0,2019,0
MW316743.1,Porcine sapovirus,,Sapporo virus,Sapovirus,USA,Sus scrofa,0,2019,0
MW391925.1,Hepatovirus sp.,YS,Hepatovirus sp.,Hepatovirus,China,Apodemus peninsulae,0,2019,0
MW605074.1,Bovine kobuvirus,,Aichivirus B,Kobuvirus,Canada,Bos taurus,0,2021,0
MZ382838.1,Marmot cardiovirus,,Marmot cardiovirus,Cardiovirus,China,Marmota,0,2014,0
MZ488272.1,Sapovirus GII,G19_13.5_JUN17,Sapporo virus,Sapovirus,Mexico,Homo sapiens,0,2017,0
MZ576278.1,Sapovirus Sapozj-9,,Sapovirus Sapozj-9,Sapovirus,China,Homo sapiens,0,2016,0
NC_000940.1,Cowden I virus,,Sapporo virus,Sapovirus,USA,Homo sapiens,0,1999,0
NC_001479.1,Encephalomyocarditis virus,,Cardiovirus A,Cardiovirus,USA,Homo sapiens,0,2000,0
NC_001918.1,Aichi virus 1,A846/88,Aichivirus A,Kobuvirus,Japan,Homo sapiens,0,1998,0
NC_003987.1,porcine sapelovirus 1,,Sapelovirus A,Sapelovirus,Germany,Sus scrofa,0,2001,0
NC_004421.1,Kobuvirus bejaponia,,Kobuvirus bejaponia,Kobuvirus,Japan,Bos taurus,0,2003,0
NC_004451.1,Simian sapelovirus 1,,Sapelovirus B,Sapelovirus,USA,Siimiformes,0,2001,0
NC_006554.1,Sapovirus C12,,Sapporo virus,Sapovirus,Japan,Sus scrofa,0,2004,0
NC_009448.2,Saffold virus,,Cardiovirus B,Cardiovirus,USA,Homo sapiens,0,2006,0
NC_010624.1,Sapovirus Mc10,,Sapporo virus,Sapovirus,Thailand,Homo sapiens,0,2003,0
NC_010810.1,Saffold virus 2,,Cardiovirus D,Cardiovirus,USA,Homo sapiens,0,2008,0
NC_011829.1,Porcine kobuvirus swine/S-1-HUN/2007/Hungary,,Aichivirus C,Kobuvirus,Hungary,Sus scrofa,0,2007,0
NC_015936.1,Mouse kobuvirus M-5/USA/2010,,Mouse kobuvirus M-5/USA/2010,Kobuvirus,USA,Peromyscus crinitus,0,2010,0
NC_016769.1,Porcine kobuvirus SH-W-CHN/2010/China,SH-W-CHN/2010/China,Aichivirus C,Kobuvirus,China,Sus scrofa,0,2010,0
NC_016964.1,Canine picornavirus,325,Mischivirus D,Mischivirus,Hong Kong,Canis lupus familiaris,0,2008,0
NC_017936.1,Bat sapovirus TLC58/HK,,Bat sapovirus TLC58/HK,Sapovirus,Hong Kong,Chiroptera,1,2001,0
NC_023422.1,Caprine kobuvirus,12Q108,Aichivirus C,Kobuvirus,South Korea,Capra hircus,0,2012,0
NC_026314.1,rabbit kobuvirus,Berlin/Jan2011/0572,Aichivirus E,Kobuvirus,Germany,Rattus norvegicus,0,2011,0
NC_026470.1,mischivirus C1,PREDICT-06105,Mischivirus C,Mischivirus,Democratic Republic of the Congo,Macronycteris gigas,1,2013,0
NC_027054.1,Porcine kobuvirus,JS-02a-CHN/2014/China,Aichivirus C,Kobuvirus,China,Sus scrofa,0,2014,0
NC_027818.1,Phopivirus,,Hepatovirus B,Hepatovirus,USA,Phoca vitulina,0,2011,0
NC_027918.1,Kobuvirus cattle/Kagoshima-2-24-KoV/2015/JPN,,Aichivirus D,Kobuvirus,Japan,Bos taurus,0,2015,0
NC_027919.1,Kobuvirus cattle/Kagoshima-1-22-KoV/2014/JPN,,Aichivirus D,Kobuvirus,Japan,Bos taurus,0,2014,0
NC_028363.1,Rodent hepatovirus RMU101637Micarv2010,RMU101637Micarv2010,Hepatovirus D,Hepatovirus,Germany,Microtus arvalis,0,2010,0
NC_028364.1,Shrew hepatovirus KS121232Sorara2012,KS121232Sorara2012,Hepatovirus I,Hepatovirus,Germany,Sorex araneus,0,2012,0
NC_028365.1,Hedgehog hepatovirus Igel8Erieur2014,Igel8Erieur2014,Hepatovirus H,Hepatovirus,Germany,Erinaceus europaeus,0,2014,0
NC_028366.1,hepatovirus H2,M32Eidhel2010,Hepatovirus H,Hepatovirus,Ghana,Eidolon helvum,1,2010,0
NC_028981.1,Tupaia hepatovirus A,TN1,Tupaia hepatovirus A,Hepatovirus,China,Tupaia chinensis,0,2012,0
NC_033776.1,Bat sapovirus,Bat-SaV/Limbe65/CAM/2014,Bat sapovirus,Sapovirus,Cameroon,Eidolon helvum,1,2014,0
NC_033818.1,Kunsagivirus B,,Kunsagivirus B,Kunsagivirus,Cameroon,Eidolon helvum,1,2013,0
NC_033820.1,Bat sapelovirus,,Bat sapelovirus,Sapelovirus,Cameroon,Eidolon helvum,1,2013,0
NC_034206.1,kunsagivirus C1,baboon/M27-KuV/1986/TAN,Kunsagivirus C,Kunsagivirus,Tanzania,Papio cynocephalus,0,1986,0
NC_034381.1,mischivirus A1,,Mischivirus A,Mischivirus,China,Miniopterus schreibersii,1,2010,0
NC_034971.1,Canine kobuvirus,SMCD-59,Canine kobuvirus,Kobuvirus,China,Canis lupus familiaris,0,2015,0
NC_038305.1,cardiovirus C1,BCV-1,Cardiovirus C,Cardiovirus,USA,Rattus norvegicus,0,2010,0
NC_038313.1,Bat hepatovirus SMG18520Minmav2014,SMG18520Minmav2014,Hepatovirus C,Hepatovirus,Madagascar,Miniopterus,1,2014,0
NC_038314.1,Rodent hepatovirus CIV459Lopsik2004,CIV459Lopsik2004,Hepatovirus E,Hepatovirus,Cote d'Ivoire,Lophuromys sikapusi,0,2004,0
NC_038315.1,Rodent hepatovirus KEF121Sigmas2012,KEF121Sigmas2012,Hepatovirus F,Hepatovirus,Mexico,Sigmodon mascotensis,0,2012,0
NC_038316.1,Bat hepatovirus BUO2BF86Colafr2010,BUO2BF86Colafr2010,Hepatovirus G,Hepatovirus,Ghana,Coleura afra,0,2010,0
NC_038317.1,Kunsagivirus A,,Kunsagivirus A,Kunsagivirus,Hungary,Coracias garrulus,0,2011,0
NC_038961.1,Shanbavirus A,BtMf-PicoV-1/SAX2011,Shanbavirus A,Shanbavirus,China,Miniopterus fuliginosus,1,2011,0
NC_040605.1,Marmot sapelovirus 1,,Marmot sapelovirus 1,Sapelovirus,China,Marmota himalayana,0,2013,0
NC_043071.1,Bat picornavirus,BtMr-PicoV/JX2010,Shanbavirus A,Shanbavirus,China,Myotis ricketti,1,2010,0
NC_043072.1,Bat picornavirus BatPV/V1/13 Hun,,Mischivirus B,Mischivirus,Hungary,Miniopterus schreibersii,1,2013,0
NC_075428.1,Canine picornavirus,A128thr,Mischivirus D,Mischivirus,USA,Canis lupus familiaris,0,1968,0
NC_075724.1,Sapovirus Hu/GI/Sapporo/MT-2010/1982,,Sapporo virus,Sapovirus,Japan,Homo sapiens,0,1982,0
NC_075977.1,cardiovirus F1,RtMruf-PicoV/JL2014-1,Cardiovirus F,Cardiovirus,China,Rodentia,0,2014,0
NC_075980.1,Teschovirus A,HuN41,Teschovirus A,Teschovirus,China,Sus scrofa,0,2017,0
NC_076039.1,Bat picornavirus,BtRf-PicoV-1/YN2012,Shanbavirus A,Shanbavirus,China,Rhinolophus ferrumequinum,1,2010,0
NC_076040.1,Bat picornavirus,BtNv-PicoV/SC2013,Shanbavirus A,Shanbavirus,China,Nyctalus velutinus,1,2013,0
NC_076099.1,cardiovirus E1,RtMrut-PicoV/JL2014-1,Cardiovirus E,Cardiovirus,China,Rodentia,0,2014,0
OK019998.1,Bovine kobuvirus,HNLD2019,Kobuvirus bejaponia,Kobuvirus,China,Bos taurus,0,2019,0
