pointer,OQ818323,OQ818324,LC386158,MG875515,MT295502
4820,8,24,0,0,0
4840,5,15,0,0,0
4860,1,22,0,0,0
4880,0,13,0,0,0
4900,0,2,0,0,0
4920,0,4,0,0,0
4940,0,16,0,0,0
4960,0,3,0,0,0
4980,0,4,0,0,0
5000,0,2,0,0,0
5020,0,0,0,0,0
5040,0,0,0,0,0
5060,0,1,0,0,0
5080,0,1,0,0,0
5100,0,1,0,0,0
5120,0,0,0,0,0
5140,0,0,0,0,0
5160,1,0,0,0,0
5180,0,1,0,0,0
5200,0,1,0,0,0
5220,0,3,0,0,0
5240,0,15,0,0,0
5260,2,7,0,0,0
5280,1,10,0,0,0
5300,0,3,0,0,0
5320,0,9,0,0,0
5340,0,21,0,0,0
5360,0,2,0,0,0
5380,0,0,0,0,0
5400,0,0,0,0,0
5420,2,3,0,0,0
5440,5,0,0,0,0
5460,6,1,0,0,0
5480,5,2,0,0,0
5500,9,6,0,0,0
5520,7,2,0,0,0
5540,4,0,0,0,0
5560,10,0,0,0,0
5580,17,8,0,0,0
5600,24,9,0,0,0
5620,8,5,0,0,0
5640,7,6,0,0,0
5660,2,8,0,0,0
5680,3,3,0,0,0
5700,24,7,0,0,0
5720,25,9,0,0,0
5740,31,26,0,0,0
5760,38,12,0,0,0
5780,25,19,0,0,0
5800,22,19,0,0,0
5820,35,19,0,0,0
5840,33,23,0,0,0
5860,19,10,0,0,0
5880,4,0,0,0,0
5900,4,2,0,0,0
5920,7,5,0,0,0
5940,13,4,0,0,0
5960,10,8,0,0,0
5980,5,15,0,0,0
6000,17,12,0,0,0
6020,18,5,0,0,0
6040,19,7,0,0,0
6060,18,20,0,0,0
6080,45,38,0,0,0
6100,43,22,0,0,0
6120,27,18,0,0,0
6140,9,24,0,0,0
6160,24,20,0,0,0
6180,13,6,0,0,0
6200,19,20,0,0,0
6220,8,13,0,0,0
6240,5,2,0,0,0
6260,3,1,0,0,0
6280,0,0,0,0,0
6300,0,0,0,0,1
6320,0,0,0,0,0
6340,0,0,0,0,0
6360,0,0,0,0,0
6380,0,0,0,0,0
6400,0,2,0,0,0
6420,0,0,0,0,0
6440,0,0,0,0,0
6460,0,1,0,0,0
6480,0,1,0,0,0
6500,0,1,0,0,0
6520,0,2,0,0,0
6540,1,7,0,0,0
6560,0,5,0,0,0
6580,0,0,0,0,0
6600,0,0,0,0,0
6620,0,2,0,0,0
6640,0,19,0,0,0
6660,0,15,0,0,0
6680,0,14,0,0,0
6700,0,5,0,0,0
6720,0,5,0,0,0
6740,0,7,0,0,0
6760,0,3,0,0,0
6780,0,0,0,0,0
6800,0,0,0,0,0
6820,3,1,0,0,0
6840,2,0,0,0,0
6860,1,1,0,0,0
6880,4,3,0,0,0
6900,3,14,0,0,0
6920,12,8,0,0,0
6940,0,3,0,0,0
6960,2,7,0,0,0
6980,3,10,0,0,0
7000,3,25,0,0,0
7020,0,34,0,0,0
7040,1,13,0,0,0
7060,0,10,0,0,0
7080,0,4,0,0,0
7100,0,5,0,0,1
7120,0,6,0,0,0
7140,0,0,0,0,3
7160,1,14,0,0,1
7180,0,5,0,0,0
7200,0,7,0,0,0
7220,0,0,0,0,0
7240,0,0,0,0,0
7260,0,0,0,0,0
7280,0,0,0,0,0
7300,0,0,0,0,0
7320,0,0,0,0,0
7340,0,0,0,0,0
7360,0,0,0,0,0
7380,0,0,0,0,0
7400,0,0,0,0,0
7420,0,0,0,0,0
7440,0,0,0,0,0
7460,1,0,0,0,0
7480,0,0,0,0,0
7500,0,0,0,0,0
7520,0,0,0,0,0
7540,0,0,0,0,0
7560,1,4,0,0,0
7580,0,1,0,0,0
