FileName: D:\sapelo_bootscan_align_nt.fasta
Window: 200 bp, Step: 20 bp, GapStrip: On, Reps: 100, Kimura (2-parameter), T/t: 2.0, Neighbor-Joining
This output generated using SimPlot v3.5.1 - software Copyright © 1997-2003 Stuart C. Ray - JHU

"Status","Group","Members"
"Ref","OQ818321","OQ818321"
"Ref","OQ818320","OQ818320"
"Query","OQ818329"
"Ref","NC_003987.1","NC_003987.1"
"Ref","NC_033820.1","NC_033820.1"
"Ref","Pteropodidae_bat_sapelovirus","Pteropodidae_bat_sapelovirus"


"CenterPos","OQ818321","OQ818320","NC_003987.1","NC_033820.1","Pteropodidae_bat_sapelovirus"
"3820","0","0","0","0","99"
"3840","0","0","0","0","98"
"3860","0","0","0","0","99"
"3880","0","0","0","0","100"
"3900","0","0","0","0","100"
"3920","0","0","0","0","99"
"3940","0","0","0","0","100"
"3960","0","0","0","0","100"
"3980","0","0","0","0","100"
"4000","0","0","0","0","100"
"4020","0","0","2","0","98"
"4040","0","0","2","0","98"
"4060","0","0","3","0","97"
"4080","0","0","2","0","98"
"4100","0","0","5","0","95"
"4120","0","0","9","0","91"
"4140","0","0","20","0","79"
"4160","0","0","24","0","76"
"4180","0","0","37","0","61"
"4200","0","0","14","0","80"
"4220","0","0","31","0","66"
"4240","0","0","11","0","88"
"4260","0","0","22","0","78"
"4280","0","0","45","0","54"
"4300","0","0","12","0","86"
"4320","0","0","35","0","65"
"4340","0","0","15","0","85"
"4360","0","0","2","0","98"
"4380","0","0","8","0","91"
"4400","0","0","20","0","80"
"4420","0","0","24","0","76"
"4440","0","0","28","0","72"
"4460","0","0","31","0","69"
"4480","0","0","35","0","64"
"4500","0","0","57","0","42"
"4520","0","0","29","0","63"
"4540","0","0","3","0","84"
"4560","0","0","13","0","79"
"4580","0","0","23","0","69"
"4600","0","0","3","0","94"
"4620","0","0","5","0","92"
"4640","0","0","8","0","88"
"4660","0","0","0","0","95"
"4680","0","0","0","0","97"
"4700","0","0","0","0","97"
"4720","0","0","0","0","100"
"4740","0","0","1","0","98"
"4760","0","0","2","0","98"
"4780","0","0","0","0","99"
"4800","0","0","2","0","97"
"4820","0","0","2","0","98"
"4840","0","0","4","0","95"
"4860","0","0","4","0","94"
"4880","0","0","0","0","97"
"4900","0","0","7","0","93"
"4920","0","0","1","0","99"
"4940","0","0","2","0","98"
"4960","0","0","1","0","98"
"4980","0","0","0","0","93"
"5000","0","0","0","0","99"
"5020","0","0","0","0","96"
"5040","0","0","0","0","100"
"5060","0","0","0","0","100"
"5080","0","0","0","0","100"
"5100","0","0","3","0","96"
"5120","0","0","6","0","91"
"5140","0","0","2","0","95"
"5160","0","0","1","0","98"
"5180","0","0","4","0","96"
"5200","0","0","13","0","80"
"5220","1","0","0","0","91"
"5240","0","0","1","0","95"
"5260","2","0","13","0","78"
"5280","3","0","21","0","53"
"5300","0","0","8","0","88"
"5320","1","0","3","0","96"
"5340","0","0","2","0","93"
"5360","0","0","14","0","70"
"5380","0","0","12","0","76"
"5400","0","0","6","0","86"
"5420","0","0","36","0","61"
"5440","0","0","29","0","65"
"5460","0","0","23","0","67"
"5480","0","0","5","0","80"
"5500","0","0","17","0","47"
"5520","0","0","26","0","61"
"5540","0","0","6","0","92"
"5560","0","0","0","0","100"
"5580","0","0","3","0","94"
"5600","0","0","6","0","90"
"5620","0","0","1","0","95"
"5640","0","0","2","0","97"
"5660","0","0","1","0","96"
"5680","0","0","4","0","94"
"5700","0","0","13","0","85"
"5720","0","0","9","0","90"
"5740","0","0","44","0","52"
"5760","1","0","52","0","44"
"5780","3","0","40","0","55"
"5800","2","0","41","0","53"
"5820","3","0","64","0","31"
"5840","4","0","48","0","45"
"5860","1","0","21","0","77"
"5880","1","0","17","0","82"
"5900","0","0","30","0","68"
"5920","1","0","39","0","55"
"5940","1","0","35","0","57"
"5960","0","0","20","0","75"
"5980","0","0","7","0","92"
"6000","0","0","12","0","88"
"6020","0","0","17","0","82"
"6040","0","0","41","0","57"
"6060","0","0","88","0","8"
"6080","0","0","67","0","30"
"6100","1","0","68","0","28"
"6120","0","0","84","0","13"
"6140","0","0","91","0","6"
"6160","0","0","95","0","3"
"6180","0","0","100","0","0"
"6200","0","0","98","0","1"
"6220","0","0","98","0","0"
"6240","0","0","94","0","1"
"6260","1","0","92","0","6"
"6280","0","0","92","0","5"
"6300","0","0","88","0","6"
"6320","0","0","58","0","18"
"6340","1","0","53","0","39"
"6360","1","0","9","0","78"
"6380","0","0","7","0","84"
"6400","0","0","4","0","96"
"6420","0","0","9","0","90"
"6440","0","0","11","0","88"
"6460","0","0","7","0","91"
"6480","0","0","12","0","87"
"6500","1","0","13","0","78"
"6520","3","0","14","0","77"
"6540","12","0","7","0","73"
"6560","12","0","18","0","46"
"6580","11","0","48","0","18"
"6600","3","0","70","0","12"
"6620","5","0","53","0","17"
"6640","17","0","40","0","7"
"6660","26","0","22","0","12"
"6680","12","0","11","0","15"
"6700","2","0","10","0","11"
"6720","4","0","18","0","21"
"6740","2","0","22","0","19"
"6760","10","0","22","0","7"
"6780","10","0","1","0","29"
"6800","4","0","2","0","10"
"6820","3","0","1","0","19"
"6840","1","0","0","0","14"
"6860","0","0","0","0","10"
"6880","0","0","1","0","34"
"6900","0","0","0","0","23"
"6920","0","0","0","0","34"
"6940","0","0","0","0","20"
"6960","0","0","0","0","35"
"6980","1","0","0","0","43"
"7000","1","0","0","0","75"
"7020","1","0","0","0","85"
"7040","4","0","0","0","78"
"7060","14","0","0","0","68"
"7080","30","0","1","0","47"
"7100","10","0","8","0","57"
"7120","10","0","13","0","16"
"7140","19","0","20","0","12"
"7160","11","0","73","0","0"
"7180","4","0","75","0","3"
"7200","7","0","60","0","6"
"7220","8","0","64","0","9"
"7240","6","0","69","0","11"
"7260","4","0","58","0","30"
"7280","1","0","32","0","36"
"7300","2","0","9","0","78"
"7320","18","0","0","0","82"
"7340","1","0","0","0","99"
"7360","4","0","0","0","96"
"7380","0","0","1","0","98"
"7400","0","0","1","0","98"
"7420","0","0","7","0","91"
"7440","0","0","1","0","99"
"7460","0","0","1","0","99"
"7480","0","0","10","0","89"
"7500","0","0","16","0","84"
"7520","0","0","36","0","64"
"7540","0","0","45","0","54"
"7560","0","0","46","0","53"
"7580","0","0","23","0","67"
"7600","0","0","15","0","71"
"7620","0","0","30","0","68"
"7640","0","0","57","0","40"
"7660","0","0","53","0","37"
"7680","1","0","67","0","24"
"7700","0","0","71","0","22"
"7720","0","0","70","0","11"
"7740","0","0","82","0","9"
"7760","0","0","90","0","0"
"7780","0","0","88","0","4"
"7800","0","0","78","0","13"
"7820","0","0","69","0","10"
"7840","0","0","42","0","22"
"7860","1","0","36","0","30"
"7880","0","0","20","0","49"
"7900","0","0","9","0","75"
"7920","0","0","7","0","88"
"7940","0","0","7","0","89"
"7960","2","0","2","0","73"
"7980","4","0","0","0","91"
"8000","10","0","3","0","68"
"8020","16","0","1","0","62"
"8040","8","0","6","0","59"
"8060","2","0","7","0","76"
"8080","2","0","7","0","62"
"8100","3","0","16","0","17"
"8120","32","0","3","0","3"
