FileName: D:\hepato_bootscan_align_nt.fasta
Window: 200 bp, Step: 20 bp, GapStrip: On, Reps: 100, Kimura (2-parameter), T/t: 2.0, Neighbor-Joining
This output generated using SimPlot v3.5.1 - software Copyright © 1997-2003 Stuart C. Ray - JHU

"Status","Group","Members"
"Query","PP766455"
"Ref","PP766457","PP766457"
"Ref","Hipposideros_bat_hepatovirus","Hipposideros_bat_hepatovirus"
"Ref","NC_028366.1","NC_028366.1"
"Ref","NC_028981.1","NC_028981.1"
"Ref","NC_038313.1","NC_038313.1"


"CenterPos","PP766457","Hipposideros_bat_hepatovirus","NC_028366.1","NC_028981.1","NC_038313.1"
"2840","100","0","0","0","0"
"2860","100","0","0","0","0"
"2880","100","0","0","0","0"
"2900","100","0","0","0","0"
"2920","100","0","0","0","0"
"2940","100","0","0","0","0"
"2960","100","0","0","0","0"
"2980","100","0","0","0","0"
"3000","100","0","0","0","0"
"3020","100","0","0","0","0"
"3040","100","0","0","0","0"
"3060","100","0","0","0","0"
"3080","100","0","0","0","0"
"3100","100","0","0","0","0"
"3120","100","0","0","0","0"
"3140","100","0","0","0","0"
"3160","100","0","0","0","0"
"3180","100","0","0","0","0"
"3200","100","0","0","0","0"
"3220","100","0","0","0","0"
"3240","100","0","0","0","0"
"3260","100","0","0","0","0"
"3280","100","0","0","0","0"
"3300","100","0","0","0","0"
"3320","100","0","0","0","0"
"3340","100","0","0","0","0"
"3360","100","0","0","0","0"
"3380","100","0","0","0","0"
"3400","100","0","0","0","0"
"3420","100","0","0","0","0"
"3440","100","0","0","0","0"
"3460","100","0","0","0","0"
"3480","100","0","0","0","0"
"3500","100","0","0","0","0"
"3520","100","0","0","0","0"
"3540","100","0","0","0","0"
"3560","100","0","0","0","0"
"3580","99","0","0","0","0"
"3600","98","0","0","0","0"
"3620","99","0","0","0","0"
"3640","100","0","0","0","0"
"3660","99","0","0","0","0"
"3680","100","0","0","0","0"
"3700","100","0","0","0","0"
"3720","100","0","0","0","0"
"3740","100","0","0","0","0"
"3760","100","0","0","0","0"
"3780","100","0","0","0","0"
"3800","99","0","0","0","0"
"3820","100","0","0","0","0"
"3840","100","0","0","0","0"
"3860","98","0","0","0","0"
"3880","100","0","0","0","0"
"3900","100","0","0","0","0"
"3920","100","0","0","0","0"
"3940","100","0","0","0","0"
"3960","100","0","0","0","0"
"3980","100","0","0","0","0"
"4000","100","0","0","0","0"
"4020","100","0","0","0","0"
"4040","99","0","1","0","0"
"4060","99","0","0","0","0"
"4080","96","0","0","0","0"
"4100","94","0","0","0","0"
"4120","97","0","0","1","0"
"4140","99","0","0","0","0"
"4160","93","0","0","0","1"
"4180","96","0","0","1","0"
"4200","93","1","0","0","0"
"4220","96","0","0","0","1"
"4240","100","0","0","0","0"
"4260","100","0","0","0","0"
"4280","100","0","0","0","0"
"4300","100","0","0","0","0"
"4320","100","0","0","0","0"
"4340","100","0","0","0","0"
"4360","100","0","0","0","0"
"4380","100","0","0","0","0"
"4400","98","0","0","0","0"
"4420","100","0","0","0","0"
"4440","100","0","0","0","0"
"4460","98","0","0","0","0"
"4480","93","0","0","0","1"
"4500","85","0","0","0","0"
"4520","87","0","0","0","0"
"4540","100","0","0","0","0"
"4560","93","0","0","0","0"
"4580","96","0","0","0","0"
"4600","100","0","0","0","0"
"4620","99","0","0","0","1"
"4640","99","0","0","0","1"
"4660","100","0","0","0","0"
"4680","100","0","0","0","0"
"4700","100","0","0","0","0"
"4720","100","0","0","0","0"
"4740","100","0","0","0","0"
"4760","100","0","0","0","0"
"4780","100","0","0","0","0"
"4800","100","0","0","0","0"
"4820","100","0","0","0","0"
"4840","100","0","0","0","0"
"4860","100","0","0","0","0"
"4880","100","0","0","0","0"
"4900","100","0","0","0","0"
"4920","100","0","0","0","0"
"4940","100","0","0","0","0"
"4960","100","0","0","0","0"
"4980","100","0","0","0","0"
"5000","100","0","0","0","0"
"5020","100","0","0","0","0"
"5040","100","0","0","0","0"
"5060","100","0","0","0","0"
"5080","100","0","0","0","0"
"5100","100","0","0","0","0"
"5120","100","0","0","0","0"
"5140","100","0","0","0","0"
"5160","100","0","0","0","0"
"5180","100","0","0","0","0"
"5200","100","0","0","0","0"
"5220","100","0","0","0","0"
"5240","100","0","0","0","0"
"5260","99","0","1","0","0"
"5280","100","0","0","0","0"
"5300","100","0","0","0","0"
"5320","100","0","0","0","0"
"5340","100","0","0","0","0"
"5360","100","0","0","0","0"
"5380","100","0","0","0","0"
"5400","100","0","0","0","0"
"5420","100","0","0","0","0"
"5440","100","0","0","0","0"
"5460","100","0","0","0","0"
"5480","100","0","0","0","0"
"5500","100","0","0","0","0"
"5520","100","0","0","0","0"
"5540","100","0","0","0","0"
"5560","100","0","0","0","0"
"5580","100","0","0","0","0"
"5600","100","0","0","0","0"
"5620","100","0","0","0","0"
"5640","100","0","0","0","0"
"5660","100","0","0","0","0"
"5680","100","0","0","0","0"
"5700","100","0","0","0","0"
"5720","100","0","0","0","0"
"5740","100","0","0","0","0"
"5760","100","0","0","0","0"
"5780","100","0","0","0","0"
"5800","100","0","0","0","0"
"5820","100","0","0","0","0"
"5840","100","0","0","0","0"
"5860","100","0","0","0","0"
"5880","100","0","0","0","0"
"5900","100","0","0","0","0"
"5920","100","0","0","0","0"
"5940","100","0","0","0","0"
"5960","100","0","0","0","0"
"5980","100","0","0","0","0"
"6000","100","0","0","0","0"
"6020","100","0","0","0","0"
"6040","99","0","0","0","0"
"6060","100","0","0","0","0"
"6080","100","0","0","0","0"
"6100","100","0","0","0","0"
"6120","100","0","0","0","0"
"6140","100","0","0","0","0"
"6160","100","0","0","0","0"
"6180","100","0","0","0","0"
"6200","100","0","0","0","0"
"6220","100","0","0","0","0"
"6240","100","0","0","0","0"
"6260","100","0","0","0","0"
"6280","100","0","0","0","0"
"6300","100","0","0","0","0"
"6320","100","0","0","0","0"
"6340","100","0","0","0","0"
"6360","100","0","0","0","0"
"6380","100","0","0","0","0"
"6400","100","0","0","0","0"
"6420","100","0","0","0","0"
"6440","100","0","0","0","0"
"6460","100","0","0","0","0"
"6480","100","0","0","0","0"
"6500","100","0","0","0","0"
"6520","100","0","0","0","0"
"6540","100","0","0","0","0"
"6560","100","0","0","0","0"
"6580","100","0","0","0","0"
"6600","100","0","0","0","0"
"6620","100","0","0","0","0"
"6640","100","0","0","0","0"
"6660","100","0","0","0","0"
"6680","100","0","0","0","0"
"6700","100","0","0","0","0"
"6720","100","0","0","0","0"
"6740","100","0","0","0","0"
"6760","100","0","0","0","0"
"6780","100","0","0","0","0"
"6800","100","0","0","0","0"
"6820","100","0","0","0","0"
"6840","100","0","0","0","0"
"6860","100","0","0","0","0"
"6880","100","0","0","0","0"
"6900","100","0","0","0","0"
"6920","100","0","0","0","0"
"6940","100","0","0","0","0"
"6960","100","0","0","0","0"
"6980","100","0","0","0","0"
"7000","100","0","0","0","0"
"7020","100","0","0","0","0"
"7040","100","0","0","0","0"
"7060","100","0","0","0","0"
"7080","100","0","0","0","0"
"7100","100","0","0","0","0"
"7120","100","0","0","0","0"
"7140","100","0","0","0","0"
"7160","100","0","0","0","0"
"7180","100","0","0","0","0"
"7200","100","0","0","0","0"
"7220","100","0","0","0","0"
"7240","100","0","0","0","0"
"7260","100","0","0","0","0"
"7280","100","0","0","0","0"
"7300","100","0","0","0","0"
"7320","100","0","0","0","0"
"7340","100","0","0","0","0"
"7360","100","0","0","0","0"
"7380","100","0","0","0","0"
"7400","100","0","0","0","0"
"7420","100","0","0","0","0"
"7440","100","0","0","0","0"
"7460","100","0","0","0","0"
"7480","100","0","0","0","0"
"7500","100","0","0","0","0"
"7520","100","0","0","0","0"
"7540","100","0","0","0","0"
"7560","100","0","0","0","0"
"7580","100","0","0","0","0"
"7600","100","0","0","0","0"
"7620","100","0","0","0","0"
"7640","100","0","0","0","0"
"7660","100","0","0","0","0"
"7680","100","0","0","0","0"
"7700","98","0","1","0","0"
"7720","99","0","0","0","0"
"7740","100","0","0","0","0"
"7760","100","0","0","0","0"
"7780","98","0","0","0","0"
"7800","74","0","5","5","0"
