pointer,OP287812,AB040749,AB084788,EU787450,LC055961,KJ641686
3000,100,0,0,0,0,0
3020,100,0,0,0,0,0
3040,100,0,0,0,0,0
3060,100,0,0,0,0,0
3080,100,0,0,0,0,0
3100,100,0,0,0,0,0
3120,100,0,0,0,0,0
3140,100,0,0,0,0,0
3160,100,0,0,0,0,0
3180,100,0,0,0,0,0
3200,100,0,0,0,0,0
3220,100,0,0,0,0,0
3240,100,0,0,0,0,0
3260,100,0,0,0,0,0
3280,100,0,0,0,0,0
3300,100,0,0,0,0,0
3320,100,0,0,0,0,0
3340,100,0,0,0,0,0
3360,100,0,0,0,0,0
3380,100,0,0,0,0,0
3400,100,0,0,0,0,0
3420,100,0,0,0,0,0
3440,100,0,0,0,0,0
3460,99,0,0,0,0,0
3480,100,0,0,0,0,0
3500,100,0,0,0,0,0
3520,100,0,0,0,0,0
3540,100,0,0,0,0,0
3560,99,1,0,0,0,0
3580,100,0,0,0,0,0
3600,100,0,0,0,0,0
3620,100,0,0,0,0,0
3640,100,0,0,0,0,0
3660,100,0,0,0,0,0
3680,100,0,0,0,0,0
3700,100,0,0,0,0,0
3720,100,0,0,0,0,0
3740,100,0,0,0,0,0
3760,100,0,0,0,0,0
3780,100,0,0,0,0,0
3800,100,0,0,0,0,0
3820,100,0,0,0,0,0
3840,100,0,0,0,0,0
3860,100,0,0,0,0,0
3880,100,0,0,0,0,0
3900,100,0,0,0,0,0
3920,100,0,0,0,0,0
3940,100,0,0,0,0,0
3960,99,0,0,0,0,0
3980,100,0,0,0,0,0
4000,100,0,0,0,0,0
4020,98,0,0,0,0,0
4040,99,0,0,0,0,1
4060,100,0,0,0,0,0
4080,100,0,0,0,0,0
4100,100,0,0,0,0,0
4120,99,1,0,0,0,0
4140,99,0,0,0,0,0
4160,100,0,0,0,0,0
4180,95,2,0,0,0,0
4200,99,0,0,0,0,0
4220,99,0,0,0,0,0
4240,96,1,0,0,0,0
4260,95,1,0,0,0,0
4280,92,2,0,0,0,1
4300,96,0,0,0,0,2
4320,88,1,0,0,0,1
4340,90,1,0,0,0,0
4360,100,0,0,0,0,0
4380,96,0,0,0,0,2
4400,95,0,0,0,0,0
4420,99,0,0,0,0,0
4440,100,0,0,0,0,0
4460,100,0,0,0,0,0
4480,100,0,0,0,0,0
4500,100,0,0,0,0,0
4520,100,0,0,0,0,0
4540,100,0,0,0,0,0
4560,100,0,0,0,0,0
4580,100,0,0,0,0,0
4600,100,0,0,0,0,0
4620,100,0,0,0,0,0
4640,100,0,0,0,0,0
4660,100,0,0,0,0,0
4680,100,0,0,0,0,0
4700,100,0,0,0,0,0
4720,100,0,0,0,0,0
4740,100,0,0,0,0,0
4760,100,0,0,0,0,0
4780,100,0,0,0,0,0
4800,100,0,0,0,0,0
4820,100,0,0,0,0,0
4840,100,0,0,0,0,0
4860,100,0,0,0,0,0
4880,98,0,0,0,0,0
4900,95,0,0,0,0,0
4920,92,0,0,0,0,0
4940,96,0,0,0,0,1
4960,94,0,0,0,0,1
4980,94,1,0,0,0,1
5000,77,7,0,0,0,3
5020,100,0,0,0,0,0
5040,99,0,0,0,0,0
5060,100,0,0,0,0,0
5080,98,0,0,0,0,1
5100,98,0,0,0,0,1
5120,99,0,0,0,0,1
5140,97,0,0,0,0,2
5160,100,0,0,0,0,0
5180,99,0,0,0,0,1
5200,100,0,0,0,0,0
5220,98,0,0,0,0,0
5240,100,0,0,0,0,0
5260,100,0,0,0,0,0
5280,100,0,0,0,0,0
5300,100,0,0,0,0,0
5320,100,0,0,0,0,0
5340,100,0,0,0,0,0
5360,100,0,0,0,0,0
5380,100,0,0,0,0,0
5400,100,0,0,0,0,0
5420,100,0,0,0,0,0
5440,100,0,0,0,0,0
5460,100,0,0,0,0,0
5480,99,1,0,0,0,0
5500,100,0,0,0,0,0
5520,100,0,0,0,0,0
5540,100,0,0,0,0,0
5560,100,0,0,0,0,0
5580,100,0,0,0,0,0
5600,100,0,0,0,0,0
5620,100,0,0,0,0,0
5640,100,0,0,0,0,0
5660,100,0,0,0,0,0
5680,100,0,0,0,0,0
5700,100,0,0,0,0,0
5720,100,0,0,0,0,0
5740,100,0,0,0,0,0
5760,100,0,0,0,0,0
5780,100,0,0,0,0,0
5800,99,0,0,0,0,0
5820,98,0,0,0,0,0
5840,100,0,0,0,0,0
5860,100,0,0,0,0,0
5880,100,0,0,0,0,0
5900,100,0,0,0,0,0
5920,100,0,0,0,0,0
5940,100,0,0,0,0,0
5960,100,0,0,0,0,0
5980,100,0,0,0,0,0
6000,100,0,0,0,0,0
6020,100,0,0,0,0,0
6040,100,0,0,0,0,0
6060,100,0,0,0,0,0
6080,100,0,0,0,0,0
6100,100,0,0,0,0,0
6120,100,0,0,0,0,0
6140,100,0,0,0,0,0
6160,100,0,0,0,0,0
6180,100,0,0,0,0,0
6200,100,0,0,0,0,0
6220,100,0,0,0,0,0
6240,100,0,0,0,0,0
6260,100,0,0,0,0,0
6280,100,0,0,0,0,0
6300,100,0,0,0,0,0
6320,100,0,0,0,0,0
6340,100,0,0,0,0,0
6360,100,0,0,0,0,0
6380,100,0,0,0,0,0
6400,100,0,0,0,0,0
6420,100,0,0,0,0,0
6440,99,0,0,0,0,0
6460,100,0,0,0,0,0
6480,100,0,0,0,0,0
6500,100,0,0,0,0,0
6520,100,0,0,0,0,0
6540,100,0,0,0,0,0
6560,100,0,0,0,0,0
6580,100,0,0,0,0,0
6600,99,0,0,0,0,0
6620,99,0,0,0,0,1
6640,100,0,0,0,0,0
6660,100,0,0,0,0,0
6680,100,0,0,0,0,0
6700,100,0,0,0,0,0
6720,100,0,0,0,0,0
6740,100,0,0,0,0,0
6760,100,0,0,0,0,0
6780,100,0,0,0,0,0
6800,100,0,0,0,0,0
6820,100,0,0,0,0,0
6840,100,0,0,0,0,0
6860,100,0,0,0,0,0
6880,100,0,0,0,0,0
6900,100,0,0,0,0,0
6920,100,0,0,0,0,0
6940,100,0,0,0,0,0
6960,100,0,0,0,0,0
6980,100,0,0,0,0,0
7000,100,0,0,0,0,0
7020,100,0,0,0,0,0
7040,100,0,0,0,0,0
7060,100,0,0,0,0,0
7080,100,0,0,0,0,0
7100,100,0,0,0,0,0
7120,100,0,0,0,0,0
7140,99,1,0,0,0,0
7160,100,0,0,0,0,0
7180,100,0,0,0,0,0
7200,100,0,0,0,0,0
7220,100,0,0,0,0,0
7240,100,0,0,0,0,0
7260,100,0,0,0,0,0
7280,100,0,0,0,0,0
7300,100,0,0,0,0,0
7320,100,0,0,0,0,0
7340,99,0,0,0,0,0
7360,100,0,0,0,0,0
7380,100,0,0,0,0,0
7400,100,0,0,0,0,0
7420,100,0,0,0,0,0
7440,100,0,0,0,0,0
7460,100,0,0,0,0,0
7480,100,0,0,0,0,0
7500,100,0,0,0,0,0
7520,100,0,0,0,0,0
7540,100,0,0,0,0,0
7560,100,0,0,0,0,0
7580,100,0,0,0,0,0
7600,100,0,0,0,0,0
7620,100,0,0,0,0,0
7640,100,0,0,0,0,0
7660,100,0,0,0,0,0
7680,100,0,0,0,0,0
7700,100,0,0,0,0,0
7720,100,0,0,0,0,0
7740,100,0,0,0,0,0
7760,100,0,0,0,0,0
7780,100,0,0,0,0,0
7800,100,0,0,0,0,0
7820,100,0,0,0,0,0
7840,100,0,0,0,0,0
7860,100,0,0,0,0,0
7880,100,0,0,0,0,0
7900,100,0,0,0,0,0
7920,100,0,0,0,0,0
7940,100,0,0,0,0,0
7960,100,0,0,0,0,0
7980,100,0,0,0,0,0
8000,100,0,0,0,0,0
8020,100,0,0,0,0,0
8040,100,0,0,0,0,0
8060,100,0,0,0,0,0
8080,100,0,0,0,0,0
8100,100,0,0,0,0,0
8120,100,0,0,0,0,0
8140,100,0,0,0,0,0
8160,100,0,0,0,0,0
8180,100,0,0,0,0,0
8200,100,0,0,0,0,0
8220,100,0,0,0,0,0
8240,100,0,0,0,0,0
8260,100,0,0,0,0,0
8280,100,0,0,0,0,0
8300,100,0,0,0,0,0
8320,100,0,0,0,0,0
8340,100,0,0,0,0,0
8360,100,0,0,0,0,0
8380,100,0,0,0,0,0
8400,100,0,0,0,0,0
8420,100,0,0,0,0,0
8440,100,0,0,0,0,0
8460,100,0,0,0,0,0
8480,100,0,0,0,0,0
8500,100,0,0,0,0,0
8520,100,0,0,0,0,0
8540,100,0,0,0,0,0
8560,100,0,0,0,0,0
8580,99,0,0,0,0,0
8600,100,0,0,0,0,0
8620,100,0,0,0,0,0
8640,100,0,0,0,0,0
8660,100,0,0,0,0,0
8680,100,0,0,0,0,0
8700,100,0,0,0,0,0
8720,100,0,0,0,0,0
8740,100,0,0,0,0,0
8760,100,0,0,0,0,0
8780,100,0,0,0,0,0
8800,100,0,0,0,0,0
8820,100,0,0,0,0,0
8840,100,0,0,0,0,0
8860,100,0,0,0,0,0
8880,100,0,0,0,0,0
8900,100,0,0,0,0,0
8920,100,0,0,0,0,0
8940,100,0,0,0,0,0
8960,100,0,0,0,0,0
8980,99,0,0,0,0,0
9000,99,0,0,0,0,0
9020,100,0,0,0,0,0
9040,99,0,0,0,0,0
9060,100,0,0,0,0,0
9080,100,0,0,0,0,0
9100,98,0,0,0,0,0
9120,99,0,0,0,0,0
9140,100,0,0,0,0,0
9160,100,0,0,0,0,0
9180,100,0,0,0,0,0
9200,99,1,0,0,0,0
9220,98,0,0,0,0,0
9240,97,0,0,0,0,0
9260,88,1,0,0,1,0
9280,82,3,0,0,2,0
