Name,Sequence Name,Type,Minimum,Maximum,Length
3B peptide,OQ818316,mat_peptide,5732,5866,135
3B peptide,OQ818317,mat_peptide,5024,5095,72
3B peptide,OQ818318,mat_peptide,5027,5101,75
3B peptide,OQ818320,mat_peptide,5610,5675,66
3B peptide,OQ818321,mat_peptide,5656,5721,66
3B peptide,OQ818322,mat_peptide,5994,6071,78
3B peptide,OQ818323,mat_peptide,5150,5224,75
3B peptide,OQ818324,mat_peptide,5166,5240,75
3B peptide,OQ818325,mat_peptide,5570,5638,69
3B peptide,OQ818328,mat_peptide,5504,5572,69
3B peptide,OQ818329,mat_peptide,5611,5676,66
3C peptide,OQ818316,mat_peptide,5867,6550,684
3C peptide,OQ818317,mat_peptide,5096,5656,561
3C peptide,OQ818318,mat_peptide,5102,5716,615
3C peptide,OQ818320,mat_peptide,5676,6221,546
3C peptide,OQ818321,mat_peptide,5722,6267,546
3C peptide,OQ818322,mat_peptide,6072,6641,570
3C peptide,OQ818323,mat_peptide,5225,5845,621
3C peptide,OQ818324,mat_peptide,5241,5861,621
3C peptide,OQ818325,mat_peptide,5639,6187,549
3C peptide,OQ818328,mat_peptide,5573,6121,549
3C peptide,OQ818329,mat_peptide,5677,6222,546
3D peptide,OQ818316,mat_peptide,6551,7795,1245
3D peptide,OQ818317,mat_peptide,5657,7147,1491
3D peptide,OQ818318,mat_peptide,5717,7057,1341
3D peptide,OQ818320,mat_peptide,6222,7607,1386
3D peptide,OQ818321,mat_peptide,6268,7653,1386
3D peptide,OQ818322,mat_peptide,6642,8045,1404
3D peptide,OQ818323,mat_peptide,5846,7189,1344
3D peptide,OQ818324,mat_peptide,5862,7205,1344
3D peptide,OQ818325,mat_peptide,6188,>7280,>1093
3D peptide,OQ818328,mat_peptide,6122,7507,1386
3D peptide,OQ818329,mat_peptide,6223,7608,1386
5'UTR,OQ818316,5'UTR,1,1135,1135
5'UTR,OQ818317,5'UTR,1,529,529
5'UTR,OQ818318,5'UTR,1,559,559
5'UTR,OQ818320,5'UTR,1,167,167
5'UTR,OQ818321,5'UTR,1,414,414
5'UTR,OQ818322,5'UTR,1,743,743
5'UTR,OQ818323,5'UTR,1,541,541
5'UTR,OQ818324,5'UTR,1,569,569
5'UTR,OQ818325,5'UTR,1,517,517
5'UTR,OQ818326,5'UTR,1,599,599
5'UTR,OQ818327,5'UTR,1,215,215
5'UTR,OQ818328,5'UTR,1,532,532
5'UTR,OQ818329,5'UTR,1,348,348
Helicase,OQ818319,mat_peptide,<1,980,>980
L peptide,OQ818316,mat_peptide,1136,1312,177
L peptide,OQ818318,mat_peptide,560,688,129
L peptide,OQ818320,mat_peptide,168,722,555
L peptide,OQ818321,mat_peptide,415,786,372
L peptide,OQ818322,mat_peptide,744,1298,555
L peptide,OQ818323,mat_peptide,542,748,207
L peptide,OQ818324,mat_peptide,570,920,351
L peptide,OQ818325,mat_peptide,518,769,252
L peptide,OQ818328,mat_peptide,533,703,171
L peptide,OQ818329,mat_peptide,349,720,372
NS4,OQ818319,mat_peptide,981,1823,843
polyprotein,OQ818319,CDS,<1,5792,>5792
polyprotein 1 CDS,OQ818326,CDS,600,6092,5493
polyprotein 2 CDS,OQ818327,CDS,216,3527,3312
polyprotein CDS,OQ818316,CDS,1136,7816,6681
polyprotein CDS,OQ818317,CDS,530,7186,6657
polyprotein CDS,OQ818318,CDS,560,7072,6513
polyprotein CDS,OQ818320,CDS,168,7610,7443
polyprotein CDS,OQ818321,CDS,415,7656,7242
polyprotein CDS,OQ818322,CDS,744,8048,7305
polyprotein CDS,OQ818323,CDS,542,7207,6666
polyprotein CDS,OQ818324,CDS,570,7223,6654
polyprotein CDS,OQ818325,CDS,518,>7280,>6763
polyprotein CDS,OQ818328,CDS,533,7510,6978
polyprotein CDS,OQ818329,CDS,349,7611,7263
Pro-Pol,OQ818319,mat_peptide,2160,4194,2035
putative minor structural protein CDS,OQ818319,CDS,5824,>6378,>555
VP0 peptide,OQ818316,mat_peptide,1313,2263,951
VP0 peptide,OQ818317,mat_peptide,530,1426,897
VP0 peptide,OQ818322,mat_peptide,1299,2411,1113
VP1,OQ818319,mat_peptide,4195,5795,1601
VP1 peptide,OQ818316,mat_peptide,3062,3823,762
VP1 peptide,OQ818317,mat_peptide,2111,2824,714
VP1 peptide,OQ818318,mat_peptide,2447,3244,798
VP1 peptide,OQ818320,mat_peptide,2301,3194,894
VP1 peptide,OQ818321,mat_peptide,2341,3249,909
VP1 peptide,OQ818322,mat_peptide,3081,3806,726
VP1 peptide,OQ818323,mat_peptide,2522,3337,816
VP1 peptide,OQ818324,mat_peptide,2607,3359,753
VP1 peptide,OQ818325,mat_peptide,2366,3298,933
VP1 peptide,OQ818328,mat_peptide,2300,3232,933
VP1 peptide,OQ818329,mat_peptide,2284,3252,969
VP2,OQ818319,mat_peptide,5824,>6378,>555
VP2 peptide,OQ818318,mat_peptide,895,1750,856
VP2 peptide,OQ818320,mat_peptide,876,1580,705
VP2 peptide,OQ818321,mat_peptide,940,1644,705
VP2 peptide,OQ818323,mat_peptide,1001,1825,825
VP2 peptide,OQ818324,mat_peptide,1290,2144,855
VP2 peptide,OQ818325,mat_peptide,965,1684,720
VP2 peptide,OQ818328,mat_peptide,899,1618,720
VP2 peptide,OQ818329,mat_peptide,874,1578,705
VP3 peptide,OQ818316,mat_peptide,2264,3061,798
VP3 peptide,OQ818317,mat_peptide,1427,2110,684
VP3 peptide,OQ818318,mat_peptide,1751,2446,696
VP3 peptide,OQ818320,mat_peptide,1581,2300,720
VP3 peptide,OQ818321,mat_peptide,1645,2340,696
VP3 peptide,OQ818322,mat_peptide,2412,3080,669
VP3 peptide,OQ818323,mat_peptide,1826,2521,696
VP3 peptide,OQ818324,mat_peptide,2145,2606,462
VP3 peptide,OQ818325,mat_peptide,1685,2365,681
VP3 peptide,OQ818328,mat_peptide,1619,2299,681
VP3 peptide,OQ818329,mat_peptide,1579,2283,705
VP4 peptide,OQ818318,mat_peptide,689,894,206
VP4 peptide,OQ818320,mat_peptide,723,875,153
VP4 peptide,OQ818321,mat_peptide,787,939,153
VP4 peptide,OQ818323,mat_peptide,749,1000,252
VP4 peptide,OQ818324,mat_peptide,921,1289,369
VP4 peptide,OQ818325,mat_peptide,770,964,195
VP4 peptide,OQ818328,mat_peptide,704,898,195
VP4 peptide,OQ818329,mat_peptide,721,873,153
Vpg,OQ818319,mat_peptide,1824,2159,336
