Accession,old_tip_label,Isolate,Species,Genus,Country,Host,bat_Host,Collection_Date,novel
NC_025114.1,NC_025114.1,SaliV-FHB,Salivirus FHB,Salivirus,China,Homo sapiens,0,2011,0
NC_025432.1,NC_025432.1,,Orivirus A,Orivirus,Hungary,Gallus gallus,0,2013,0
NC_025474.1,NC_025474.1,,Crohivirus A,Crohivirus,Zambia,Crocidura hirta,0,2012,0
NC_025675.1,NC_025675.1,NrHuV/NYC-E21,Hunnivirus A,Hunnivirus,USA,Rattus norvegicus,0,2012,0
NC_025890.1,NC_025890.1,,Torchivirus A,Torchivirus,Germany,Testudo hermanni,0,2004,0
NC_025961.1,NC_025961.1,Cosa-CHN,Cosavirus JMY-2014,Cosavirus,China,Homo sapiens,0,2012,0
NC_026249.1,NC_026249.1,TCH6,Bopivirus A,Bopivirus,USA,Bos taurus,0,2013,0
NC_026315.1,NC_026315.1,Mis101308/2012,Malagasivirus A,Malagasivirus,USA,Lemur catta,0,2012,0
NC_026316.1,NC_026316.1,Nai108015/2012,Malagasivirus B,Malagasivirus,USA,Varecia variegata,0,2012,0
NC_026470.1,NC_026470.1,PREDICT-06105,Mischivirus C,Mischivirus,Democratic Republic of the Congo,Macronycteris gigas,1,2013,0
NC_026921.1,NC_026921.1,,Harkavirus A,Harkavirus,Hungary,Falco tinnunculus,0,2013,0
NC_027054.1,NC_027054.1,JS-02a-CHN/2014/China,Aichivirus C,Kobuvirus,China,Sus scrofa,0,2014,0
NC_027214.1,NC_027214.1,,Ampivirus A,Ampivirus,Hungary,Lissotriton vulgaris,0,2013,0
NC_027818.1,NC_027818.1,,Hepatovirus B,Hepatovirus,USA,Phoca vitulina,0,2011,0
NC_027918.1,NC_027918.1,,Kobuvirus cattle/Kagoshima-2-24-KoV/2015/JPN,Kobuvirus,Japan,Bos taurus,0,2015,0
NC_027919.1,NC_027919.1,,Aichivirus D,Kobuvirus,Japan,Bos taurus,0,2014,0
NC_028363.1,NC_028363.1,RMU101637Micarv2010,Hepatovirus D,Hepatovirus,Germany,Microtus arvalis,0,2010,0
NC_028364.1,NC_028364.1,KS121232Sorara2012,Hepatovirus I,Hepatovirus,Germany,Sorex araneus,0,2012,0
NC_028365.1,NC_028365.1,Igel8Erieur2014,Hepatovirus H,Hepatovirus,Germany,Erinaceus europaeus,0,2014,0
NC_028366.1,NC_028366.1,M32Eidhel2010,Hepatovirus H,Hepatovirus,Ghana,Eidolon helvum,1,2010,0
NC_028380.1,NC_028380.1,JSY,Sicinivirus A,Sicinivirus,China,Gallus gallus,0,2015,0
NC_028964.1,NC_028964.1,,Gallivirus Pf-CHK1/GV,Gallivirus,Hungary,Gallus gallus,0,2013,0
NC_028970.1,NC_028970.1,,Avisivirus Pf-CHK1/AsV,Avisivirus,Hungary,Gallus gallus,0,2013,0
NC_028981.1,NC_028981.1,TN1,Tupaia hepatovirus A,Hepatovirus,China,Tupaia chinensis,0,2012,0
NC_029854.1,NC_029854.1,,Yak enterovirus,Enterovirus,China,Bos grunniens,0,2014,0
NC_029905.1,NC_029905.1,SEV-gx,Enterovirus L,Enterovirus,China,Macaca mulatta,0,2014,0
NC_030454.1,NC_030454.1,,Enterovirus A,Enterovirus,India,Homo sapiens,0,2013,0
NC_030843.1,NC_030843.1,,Washington bat picornavirus,Unclassified picornavirus,USA,Chiroptera,0,2016,0
NC_031105.1,NC_031105.1,,Rosavirus B,Rosavirus,Hong Kong,Rattus norvegicus,0,2009,0
NC_031106.1,NC_031106.1,,Rosavirus C,Rosavirus,Hong Kong,Rattus andamanensis,0,2009,0
NC_032126.1,NC_032126.1,,Livupivirus A,Livupivirus,Hungary,Lissotriton vulgaris,0,2014,0
NC_033695.1,NC_033695.1,,Enterovirus AN12,Enterovirus,Japan,Bos taurus,0,2014,0
NC_033793.1,NC_033793.1,HN56,Megrivirus A,Megrivirus,China,Anatidae,0,2014,0
NC_033818.1,NC_033818.1,,Kunsagivirus B,Kunsagivirus,Cameroon,Eidolon helvum,1,2013,0
NC_033819.1,NC_033819.1,,Crohivirus B,Crohivirus,Cameroon,Eidolon helvum,1,2013,0
NC_033820.1,NC_033820.1,,Bat sapelovirus,Sapelovirus,Cameroon,Eidolon helvum,1,2013,0
NC_034206.1,NC_034206.1,baboon/M27-KuV/1986/TAN,Kunsagivirus C,Kunsagivirus,Tanzania,Papio cynocephalus,0,1986,0
NC_034245.1,NC_034245.1,,Bovine rhinovirus 1,Aphthovirus,USA,Bovinae,0,2014,0
NC_034267.1,NC_034267.1,JL14,Enterovirus goat/JL14,Enterovirus,China,Capra hircus,0,2014,0
NC_034381.1,NC_034381.1,,Mischivirus A,Mischivirus,China,Miniopterus schreibersii,1,2010,0
NC_034385.1,NC_034385.1,,Cosavirus F,Cosavirus,Pakistan,Homo sapiens,0,2007,0
NC_034453.1,NC_034453.1,MpPeV1,Parechovirus D,Parechovirus,Netherlands,Mustela putorius furo,0,2013,0
NC_034617.1,NC_034617.1,,Megrivirus D,Megrivirus,Hungary,Circus aeruginosus,0,2014,0
NC_034971.1,NC_034971.1,SMCD-59,Canine kobuvirus,Kobuvirus,China,Canis lupus familiaris,0,2015,0
NC_035110.1,NC_035110.1,KGI-Bel-22,Fur seal picorna-like virus,Unclassified picornavirus,Antarctica,Arctocephalus gazella,0,2015,0
NC_035198.1,NC_035198.1,,Aimelvirus 2,Unclassified picornavirus,China,Ailuropoda melanoleuca,0,2017,0
NC_035779.1,NC_035779.1,,Falcon picornavirus,Unclassified picornavirus,Hungary,Falco vespertinus,0,2014,0
NC_036588.1,NC_036588.1,,Passerivirus sp.,Passerivirus,Hungary,Estrildidae,0,2014,0
NC_037654.1,NC_037654.1,LLT03,Sichuan takin enterovirus,Enterovirus,China,Budorcas taxicolor tibetana,0,2013,0
NC_038303.1,NC_038303.1,,Bovine rhinitis A virus,Aphthovirus,Germany,Bos taurus,0,1962,0
NC_038304.1,NC_038304.1,USA-IN1,Avisivirus A,Avisivirus,USA,Meleagris gallopavo,0,2010,0
NC_038305.1,NC_038305.1,BCV-1,Cardiovirus C,Cardiovirus,USA,Rattus norvegicus,0,2010,0
NC_038306.1,NC_038306.1,CA2,Enterovirus A,Enterovirus,USA,Homo sapiens,0,2019,0
NC_038307.1,NC_038307.1,,Enterovirus B,Enterovirus,USA,Homo sapiens,0,1992,0
NC_038308.1,NC_038308.1,,Enterovirus D,Enterovirus,USA,Homo sapiens,0,2004,0
NC_038309.1,NC_038309.1,,Enterovirus H,Enterovirus,USA,Simiiformes,0,2007,0
NC_038310.1,NC_038310.1,,Enterovirus I,Enterovirus,United Arab Emirates,Camelus dromedarius,0,2013,0
NC_038311.1,NC_038311.1,,Rhinovirus A,Enterovirus,USA,Homo sapiens,0,2009,0
NC_038312.1,NC_038312.1,,Rhinovirus B,Enterovirus,USA,Homo sapiens,0,2019,0
NC_038313.1,NC_038313.1,SMG18520Minmav2014,Hepatovirus C,Hepatovirus,Madagascar,Miniopterus,1,2014,0
NC_038314.1,NC_038314.1,CIV459Lopsik2004,Hepatovirus E,Hepatovirus,Cote d'Ivoire,Lophuromys sikapusi,0,2004,0
NC_038315.1,NC_038315.1,KEF121Sigmas2012,Hepatovirus F,Hepatovirus,Mexico,Sigmodon mascotensis,0,2012,0
NC_038316.1,NC_038316.1,BUO2BF86Colafr2010,Hepatovirus G,Hepatovirus,Ghana,Coleura afra,0,2010,0
NC_038317.1,NC_038317.1,,Kunsagivirus A,Kunsagivirus,Hungary,Coracias garrulus,0,2011,0
NC_038318.1,NC_038318.1,,Mosavirus A,Mosavirus,USA,Peromyscus crinitus,0,2010,0
NC_038319.1,NC_038319.1,,Parechovirus A,Parechovirus,Finland,Homo sapiens,0,1992,0
NC_038878.1,NC_038878.1,NAT001,Rhinovirus C,Enterovirus,USA,Homo sapiens,0,2001,0
NC_038880.1,NC_038880.1,,Rosavirus A,Rosavirus,USA,Peromyscus crinitus,0,2010,0
NC_038957.1,NC_038957.1,,Megrivirus B,Megrivirus,Hong Kong,Columbidae,0,2011,0
NC_038961.1,NC_038961.1,BtMf-PicoV-1/SAX2011,Shanbavirus A,Shanbavirus,China,Miniopterus fuliginosus,1,2011,0
NC_038989.1,NC_038989.1,rodent/Ee/PicoV/NX2015,Enterovirus K,Enterovirus,China,Rodentia,0,2016,0
NC_039004.1,NC_039004.1,KGI-Bel-P5/2015,Megrivirus E,Megrivirus,Antarctica,Pygoscelis adeliae,0,2015,0
NC_039209.1,NC_039209.1,,Equine rhinitis A virus,Aphthovirus,USA,Equus caballus,0,2005,0
NC_039210.1,NC_039210.1,o6pirbright iso58,Foot-and-mouth disease virus,Aphthovirus,United Kingdom,Homo sapiens,0,2019,0
NC_039212.1,NC_039212.1,FHMPV-1,Limnipivirus C,Limnipivirus,USA,Pimephales promelas,0,2011,0
NC_039235.1,NC_039235.1,,Megrivirus C,Megrivirus,Hungary,Gallus gallus,0,2012,0
NC_040605.1,NC_040605.1,,Marmot sapelovirus 1,Sapelovirus,China,Marmota himalayana,0,2013,0
NC_040611.1,NC_040611.1,,Cadicivirus B,Dicipivirus,Hungary,Erinaceus roumanicus,0,2015,0
NC_040642.1,NC_040642.1,,Rhimavirus A,Unclassified picornavirus,Australia,Rhinella marina,0,2017,0
NC_040673.1,NC_040673.1,,Tremovirus B,Tremovirus,China,Pelodiscus sinensis,0,2011,0
NC_040684.1,NC_040684.1,,Goose picornavirus 1,Unclassified picornavirus,Hungary,Anser albifrons,0,2013,0
NC_043072.1,NC_043072.1,,Mischivirus B,Mischivirus,Hungary,Miniopterus schreibersii,1,2013,0
NC_043544.1,NC_043544.1,,Rafivirus B,Rafivirus,China,Gekko similignum,0,2018,0
NC_055108.1,NC_055108.1,,Poecivirus A,Poecivirus,USA,Poecile atricapillus,0,2002,0
NC_055156.1,NC_055156.1,RtMp-PicoV/YN2014,Rabovirus B,Rabovirus,China,Rodentia,0,2017,0
NC_055159.1,NC_055159.1,,Tottorivirus A,Tottorivirus,Japan,Sus scrofa domesticus,0,2015,0
NC_055160.1,NC_055160.1,MPV/NYC/2014/M005/0074,Rabovirus D,Rabovirus,USA,Mus musculus,0,2014,0
NC_055161.1,NC_055161.1,,Ailurivirus A,Ailurivirus,China,Ailuropoda melanoleuca,0,2015,0
OP287812.1,OP287812.1,,Madagascar bat kobuvirus,Madagascar bat kobuvirus,Madagascar,Eidolon dupreanum,1,2018,0
NC_030886.1,NC_030886.1,GCCDC1 356,Rousettus bat coronavirus GCCDC1,Coronavirus,China,Rousettus leschenaulti,1,2018,0
OQ818316,OQ818316,,Unclassified,Mischivirus,Madagascar,Pteropus rufus,1,2018,1
OQ818317,OQ818317,,Unclassified,Kunsagivirus,Madagascar,Eidolon dupreanum,1,2018,1
OQ818318,OQ818318,,Unclassified,Teschovirus,Madagascar,Eidolon dupreanum,1,2018,1
OQ818320,OQ818320,,Unclassified,Sapelovirus,Madagascar,Eidolon dupreanum,1,2018,1
OQ818321,OQ818321,,Unclassified,Sapelovirus,Madagascar,Eidolon dupreanum,1,2019,1
OQ818322,OQ818322,,Unclassified,Kobuvirus,Madagascar,Eidolon dupreanum,1,2019,1
OQ818323,OQ818323,,Unclassified,Teschovirus,Madagascar,Rousettus madagascariensis,1,2018,1
OQ818324,OQ818324,,Unclassified,Teschovirus,Madagascar,Rousettus madagascariensis,1,2018,1
OQ818325,OQ818325,,Unclassified,Picornavirus,Madagascar,Rousettus madagascariensis,1,2018,1
OQ818328,OQ818328,,Unclassified,Picornavirus,Madagascar,Rousettus madagascariensis,1,2018,1
OQ818329,OQ818329,,Unclassified,Sapelovirus,Madagascar,Rousettus madagascariensis,1,2018,1
OQ818337,OQ818337,,Unclassified,Hepatovirus,Madagascar,Eidolon dupreanum,1,2018,1
