Accession,Isolate,Species,Genus,Family,Length,Country,Host,bat_Host,Collection_Date,novel
MZ544327.1,16715x48-64,Scotophilus kuhlii picornavirus,,Picornaviridae,3734,Viet Nam,Scotophilus kuhlii,,2014-06-17,
MZ544328.1,16715x55-49,Scotophilus kuhlii picornavirus,,Picornaviridae,7148,Viet Nam,Scotophilus kuhlii,,2014-06-17,
MZ544329.1,16715x62-221,Scotophilus kuhlii picornavirus,,Picornaviridae,2993,Viet Nam,Scotophilus kuhlii,,2014-06-11,
MZ544330.1,16715x63-83,Scotophilus kuhlii picornavirus,,Picornaviridae,3652,Viet Nam,Scotophilus kuhlii,,2014-06-17,
MZ544331.1,16715x70-52,Scotophilus kuhlii picornavirus,,Picornaviridae,5749,Viet Nam,Scotophilus kuhlii,,2014-06-11,
MZ544332.1,16715x71-53,Scotophilus kuhlii picornavirus,,Picornaviridae,6166,Viet Nam,Scotophilus kuhlii,,2014-06-17,
MZ544333.1,16715x71-138,Scotophilus kuhlii picornavirus,,Picornaviridae,3687,Viet Nam,Scotophilus kuhlii,,2014-06-17,
MZ544334.1,16715x78-128,Scotophilus kuhlii picornavirus,,Picornaviridae,3228,Viet Nam,Scotophilus kuhlii,,2014-06-11,
MZ544335.1,16715x78-135,Scotophilus kuhlii picornavirus,,Picornaviridae,3169,Viet Nam,Scotophilus kuhlii,,2014-06-11,
MZ544336.1,16715x86-61,Scotophilus kuhlii picornavirus,,Picornaviridae,4546,Viet Nam,Scotophilus kuhlii,,2014-06-11,
MZ544337.1,16715x86-129,Scotophilus kuhlii picornavirus,,Picornaviridae,3097,Viet Nam,Scotophilus kuhlii,,2014-06-11,
MZ544338.1,16715x87-66,Scotophilus kuhlii picornavirus,,Picornaviridae,4248,Viet Nam,Scotophilus kuhlii,,2014-06-17,
MZ544339.1,16715x87-110,Scotophilus kuhlii picornavirus,,Picornaviridae,3091,Viet Nam,Scotophilus kuhlii,,2014-06-17,
MZ544341.1,16715x95-53,Scotophilus kuhlii picornavirus,,Picornaviridae,5317,Viet Nam,Scotophilus kuhlii,,2014-06-17,
MZ544342.1,16715x95-54,Scotophilus kuhlii picornavirus,,Picornaviridae,5266,Viet Nam,Scotophilus kuhlii,,2014-06-17,
MZ544343.1,16845x8-72,Scotophilus kuhlii picornavirus,,Picornaviridae,4720,Viet Nam,Scotophilus kuhlii,,2014-09-18,
MZ544344.1,16845x24-69,Scotophilus kuhlii picornavirus,,Picornaviridae,4982,Viet Nam,Scotophilus kuhlii,,2014-09-18,
MZ544345.1,16845x32-41,Scotophilus kuhlii picornavirus,,Picornaviridae,5491,Viet Nam,Scotophilus kuhlii,,2014-09-18,
MZ544346.1,16845x32-90,Scotophilus kuhlii picornavirus,,Picornaviridae,3531,Viet Nam,Scotophilus kuhlii,,2014-09-18,
MZ544347.1,16845x40-27,Scotophilus kuhlii picornavirus,,Picornaviridae,6233,Viet Nam,Scotophilus kuhlii,,2014-09-18,
MZ544348.1,16845x40-47,Scotophilus kuhlii picornavirus,,Picornaviridae,4771,Viet Nam,Scotophilus kuhlii,,2014-09-18,
MZ544349.1,16845x55-96,Scotophilus kuhlii picornavirus,,Picornaviridae,4003,Viet Nam,Scotophilus kuhlii,,2014-09-18,
MZ544350.1,16845x55-175,Scotophilus kuhlii picornavirus,,Picornaviridae,2699,Viet Nam,Scotophilus kuhlii,,2014-09-18,
MZ544351.1,16845x56-21,Scotophilus kuhlii picornavirus,,Picornaviridae,6628,Viet Nam,Scotophilus kuhlii,,2014-09-18,
MZ544352.1,16845x56-22,Scotophilus kuhlii picornavirus,,Picornaviridae,6628,Viet Nam,Scotophilus kuhlii,,2014-09-18,
MZ544353.1,16845x63-107,Scotophilus kuhlii picornavirus,,Picornaviridae,4152,Viet Nam,Scotophilus kuhlii,,2014-09-18,
MZ544354.1,16845x64-33,Scotophilus kuhlii picornavirus,,Picornaviridae,7188,Viet Nam,Scotophilus kuhlii,,2014-09-18,
MZ544355.1,16845x64-101,Scotophilus kuhlii picornavirus,,Picornaviridae,3974,Viet Nam,Scotophilus kuhlii,,2014-09-18,
MZ544356.1,16845x85-72,Scotophilus kuhlii picornavirus,,Picornaviridae,4084,Viet Nam,Scotophilus kuhlii,,2014-09-16,
MZ544357.1,16845x85-73,Scotophilus kuhlii picornavirus,,Picornaviridae,4078,Viet Nam,Scotophilus kuhlii,,2014-09-16,
MZ544358.1,16845x85-100,Scotophilus kuhlii picornavirus,,Picornaviridae,3631,Viet Nam,Scotophilus kuhlii,,2014-09-16,
MZ544359.1,17819x30-142,Scotophilus kuhlii picornavirus,,Picornaviridae,4173,Viet Nam,Scotophilus kuhlii,,2014-11-13,
MZ544361.1,20745x10-59,Scotophilus kuhlii picornavirus,,Picornaviridae,5246,Viet Nam,Scotophilus kuhlii,,2015-02-06,
MZ544362.1,20745x13-25,Scotophilus kuhlii picornavirus,,Picornaviridae,6568,Viet Nam,Scotophilus kuhlii,,2015-02-13,
MZ544363.1,20745x13-43,Scotophilus kuhlii picornavirus,,Picornaviridae,4705,Viet Nam,Scotophilus kuhlii,,2015-02-13,
MZ544364.1,20745x21-24,Scotophilus kuhlii picornavirus,,Picornaviridae,5303,Viet Nam,Scotophilus kuhlii,,2015-02-13,
NC_030886.1,GCCDC1 356,Rousettus bat coronavirus GCCDC1,Coronavirus,Coronaviridae,,China,Rousettus leschenaulti,1,2018,0
OK149219.1,BatPeVyn11,Bat parechovirus,Parechovirus,Picornaviridae,7173,China,Hipposideros armiger,,2017,
OK149220.1,BatPeVyn20,Bat parechovirus,Parechovirus,Picornaviridae,7096,China,Hipposideros armiger,,2017,
OM302498.1,15893,Eptesicus fuscus hepatovirus,Hepatovirus,Picornaviridae,6921,USA,Eptesicus fuscus,,2021-07-29,
ON375332.1,BtPp-PicoV/F-HS1/SWE/2020,Shanbavirus A,Shanbavirus,Picornaviridae,7033,Sweden,Pipistrellus pygmaeus,,2020-06-11,
ON375333.1,BtPp-PicoV/F-HS2/SWE/2020,Shanbavirus A,Shanbavirus,Picornaviridae,5752,Sweden,Pipistrellus pygmaeus,,2020-06-11,
ON584157.1,15593,Eptesicus fuscus parechovirus,Parechovirus,Picornaviridae,7109,USA,Eptesicus fuscus,,2021-07-23,
ON872527.1,Ad02/aus/1,Bat faecal sapovirus,Sapovirus,Caliciviridae,7254,Australia,Pteropus poliocephalus,,2019,
OP287812.1,FEC145,Eidolon dupreanum kobuvirus,Kobuvirus,Picornaviridae,8263,Madagascar,Eidolon dupreanum,,2018-07-27,
OP880198.1,Sun-2020,Myotis brandtii picorna-like virus 1,,Picornaviridae,11121,Sweden,Myotis brandtii,,2020-07-08,
OP930874.1,GZ/L177.18/2022,Bat sapovirus,Sapovirus,Caliciviridae,7709,China,Ia io,,2022,
OP930875.1,GD/L107.18/2022,Bat sapovirus,Sapovirus,Caliciviridae,4756,China,Hipposideros armiger,,2022,
OP963614.1,,Bat picornavirus BtSY1,,Picornaviridae,7715,China,Rhinolophus pusillus,,2018,
OP963615.1,,Bat picornavirus BtSY2,,Picornaviridae,6850,China,Rhinolophus pusillus,,2018,
OP963617.1,,Bat picornavirus BtSY4,,Picornaviridae,7750,China,Rhinolophus marshalli,,2018,
OP963618.1,,Bat picornavirus BtSY5,,Picornaviridae,7253,China,Rhinolophus pusillus,,2018,
OP963619.1,,Bat picornavirus BtSY6,,Picornaviridae,6881,China,Rhinolophus marshalli,,2018,
OP963620.1,,Bat picornavirus BtSY7,,Picornaviridae,6914,China,Hipposideros larvatus,,2015,
OP963621.1,,Bat picornavirus BtSY8,,Picornaviridae,6915,China,Rhinolophus pusillus,,2018,
OP963622.1,,Bat sapovirus BtSY1,Sapovirus,Caliciviridae,7212,China,Cynopterus sphinx,,2016,
OP963623.1,,Bat sapovirus BtSY2,Sapovirus,Caliciviridae,7394,China,Rousettus leschenaultii,,2017,
OP963670.1,,Shanbavirus A,Shanbavirus,Picornaviridae,7829,China,Rhinolophus pusillus,,2018,
OP963671.1,,Bat sapovirus BtSY3,Sapovirus,Caliciviridae,3773,China,Rousettus leschenaultii,,2018,
OQ363751.1,GD/L117.18d/2022,Bat picornavirus 5,,Picornaviridae,11211,China,Miniopterus pusillus,,22-Jul,
OQ363752.1,GD/L117.18e/2022,Bat picornavirus 5,,Picornaviridae,11207,China,Miniopterus pusillus,,22-Jul,
