Accession,Isolate,Species,Genus,Family,Length,Country,source,Host,Collection_Date,novel
OQ363781.1,GD/L15.18/2020,Rhinolophus bat shanbavirus,Shanbavirus,Picornaviridae,7009,China,Rhinolophus pearsonii,1,20-Nov,0
OQ363782.1,GD/L71.18b/2021,Bat picornavirus 4,Unclassified,Picornaviridae,6931,China,Rhinolophus,1,21-Nov,0
OQ363783.1,GD/L26.18/2020,Bat picornavirus 4,Unclassified,Picornaviridae,6925,China,Rhinolophus sinicus,1,20-Dec,0
OQ363786.1,GD/L32.18/2021,Rhinolophus bat shanbavirus,Shanbavirus,Picornaviridae,6756,China,Rhinolophus pusillus,1,21-May,0
OQ363806.1,GZ/L175.18/2022,Bat picornavirus 1,Unclassified,Picornaviridae,7743,China,Miniopterus schreibersii,1,22-Aug,0
OQ818316,,Unclassified,Mischivirus,Picornaviridae,,Madagascar,Pteropus rufus,1,2018,1
OQ818317,,Unclassified,Kunsagivirus,Picornaviridae,,Madagascar,Eidolon dupreanum,1,2018,1
OQ818318,,Unclassified,Teschovirus,Picornaviridae,,Madagascar,Eidolon dupreanum,1,2018,1
OQ818319,,Unclassified,Sapovirus,Caliciviridae,,Madagascar,Eidolon dupreanum,1,2018,1
OQ818320,,Unclassified,Sapelovirus,Picornaviridae,,Madagascar,Eidolon dupreanum,1,2018,1
OQ818321,,Unclassified,Sapelovirus,Picornaviridae,,Madagascar,Eidolon dupreanum,1,2019,1
OQ818322,,Unclassified,Kobuvirus,Picornaviridae,,Madagascar,Eidolon dupreanum,1,2019,1
OQ818323,,Unclassified,Teschovirus,Picornaviridae,,Madagascar,Rousettus madagascariensis,1,2018,1
OQ818324,,Unclassified,Teschovirus,Picornaviridae,,Madagascar,Rousettus madagascariensis,1,2018,1
OQ818325,,Unclassified,Picornavirus,Picornaviridae,,Madagascar,Rousettus madagascariensis,1,2018,1
OQ818326,,Unclassified,Nepovirus,Secoviridae,,Madagascar,Rousettus madagascariensis,1,2018,1
OQ818328,,Unclassified,Picornavirus,Picornaviridae,,Madagascar,Rousettus madagascariensis,1,2018,1
OQ818329,,Unclassified,Sapelovirus,Picornaviridae,,Madagascar,Rousettus madagascariensis,1,2018,1
OQ818331,,Unclassified,Tetnovirus,Unclassified,,Madagascar,Pteropus rufus,1,2018,1
OQ818335,,Unclassified,Felisavirus,Unclassified,,Madagascar,Pteropus rufus,1,2018,1
OQ818336,,Unclassified,Picorna-like virus,Unclassified,,Madagascar,Pteropus rufus,1,2018,1
OQ818337,,Unclassified,Hepatovirus,Picornaviridae,,Madagascar,Eidolon dupreanum,1,2018,1
