pointer,KU955338,MT499387
444,84.0,84.0
445,84.0,84.0
446,84.0,84.0
447,85.0,85.0
448,85.0,85.0
449,85.0,85.0
450,85.0,85.0
451,85.0,85.0
452,85.0,84.0
453,86.0,85.0
454,86.0,85.0
455,85.0,85.0
456,85.0,85.0
457,85.0,85.0
458,84.0,84.0
459,83.0,84.0
460,83.0,84.0
461,83.0,84.0
462,83.0,85.0
463,83.0,85.0
464,83.0,85.0
465,83.0,85.0
466,83.0,85.0
467,82.0,85.0
468,82.0,85.0
469,82.0,85.0
470,81.0,84.0
471,82.0,84.0
472,82.0,84.0
473,81.0,84.0
474,82.0,85.0
475,82.0,85.0
476,82.0,85.0
477,82.0,85.0
478,82.0,85.0
479,82.0,84.0
480,83.0,84.0
481,83.0,84.0
482,82.0,83.0
483,82.0,83.0
484,82.0,83.0
485,82.0,82.0
486,83.0,82.0
487,83.0,82.0
488,82.0,81.0
489,82.0,82.0
490,82.0,82.0
491,81.0,81.0
492,82.0,82.0
493,82.0,82.0
494,82.0,82.0
495,82.0,82.0
496,82.0,82.0
497,82.0,81.0
498,82.0,81.0
499,82.0,81.0
500,81.0,80.0
501,81.0,80.0
502,81.0,80.0
503,80.0,80.0
504,81.0,81.0
505,81.0,81.0
506,80.0,80.0
507,80.0,81.0
508,80.0,81.0
509,80.0,80.0
510,80.0,81.0
511,80.0,81.0
512,80.0,81.0
513,80.0,81.0
514,80.0,81.0
515,79.0,80.0
516,80.0,81.0
517,80.0,81.0
518,79.0,80.0
519,80.0,81.0
520,80.0,81.0
521,80.0,81.0
522,80.0,81.0
523,80.0,81.0
524,80.0,81.0
525,81.0,81.0
526,81.0,81.0
527,80.0,81.0
528,81.0,82.0
529,81.0,82.0
530,80.0,81.0
531,80.0,81.0
532,80.0,81.0
533,79.0,80.0
534,80.0,80.0
535,80.0,80.0
536,80.0,80.0
537,81.0,80.0
538,81.0,80.0
539,81.0,79.0
540,81.0,79.0
541,81.0,79.0
542,80.0,78.0
543,80.0,79.0
544,80.0,79.0
545,79.0,78.0
546,79.0,78.0
547,79.0,78.0
548,78.0,77.0
549,78.0,77.0
550,78.0,77.0
551,78.0,76.0
552,78.0,77.0
553,78.0,77.0
554,77.0,76.0
555,78.0,76.0
556,78.0,76.0
557,78.0,76.0
558,79.0,77.0
559,80.0,78.0
560,79.0,77.0
561,78.0,77.0
562,78.0,77.0
563,77.0,76.0
564,77.0,76.0
565,77.0,76.0
566,76.0,75.0
567,77.0,75.0
568,77.0,75.0
569,76.0,74.0
570,77.0,75.0
571,77.0,75.0
572,76.0,75.0
573,77.0,75.0
574,77.0,75.0
575,77.0,75.0
576,77.0,75.0
577,77.0,75.0
578,76.0,75.0
579,76.0,76.0
580,76.0,76.0
581,75.0,75.0
582,76.0,76.0
583,77.0,77.0
584,77.0,76.0
585,77.0,77.0
586,77.0,77.0
587,76.0,76.0
588,77.0,77.0
589,77.0,77.0
590,76.0,77.0
591,77.0,78.0
592,77.0,78.0
593,76.0,77.0
594,76.0,77.0
595,76.0,77.0
596,76.0,77.0
597,76.0,78.0
598,76.0,78.0
599,76.0,78.0
600,77.0,79.0
601,77.0,79.0
602,77.0,79.0
603,78.0,79.0
604,78.0,79.0
605,78.0,79.0
606,79.0,80.0
607,79.0,80.0
608,79.0,80.0
609,79.0,81.0
610,79.0,81.0
611,78.0,80.0
612,78.0,80.0
613,78.0,81.0
614,77.0,80.0
615,78.0,81.0
616,78.0,81.0
617,77.0,81.0
618,78.0,82.0
619,78.0,82.0
620,78.0,82.0
621,78.0,82.0
622,78.0,82.0
623,77.0,81.0
624,77.0,81.0
625,77.0,81.0
626,76.0,80.0
627,77.0,80.0
628,77.0,80.0
629,76.0,80.0
630,77.0,81.0
631,77.0,81.0
632,76.0,81.0
633,77.0,82.0
634,77.0,82.0
635,77.0,82.0
636,77.0,82.0
637,77.0,82.0
638,77.0,82.0
639,78.0,83.0
640,78.0,83.0
641,77.0,82.0
642,78.0,82.0
643,78.0,82.0
644,77.0,82.0
645,78.0,83.0
646,78.0,83.0
647,77.0,83.0
648,78.0,84.0
649,78.0,84.0
650,78.0,83.0
651,78.0,84.0
652,78.0,84.0
653,78.0,84.0
654,79.0,85.0
655,79.0,85.0
656,78.0,84.0
657,78.0,84.0
658,78.0,84.0
659,78.0,84.0
660,79.0,85.0
661,80.0,85.0
662,79.0,85.0
663,80.0,86.0
664,80.0,86.0
665,79.0,85.0
666,80.0,86.0
667,80.0,86.0
668,79.0,85.0
669,80.0,86.0
670,80.0,86.0
671,79.0,85.0
672,80.0,85.0
673,80.0,85.0
674,79.0,84.0
675,79.0,84.0
676,79.0,84.0
677,79.0,84.0
678,80.0,84.0
679,80.0,84.0
680,80.0,83.0
681,81.0,84.0
682,81.0,84.0
683,81.0,83.0
684,81.0,84.0
685,81.0,84.0
686,81.0,83.0
687,82.0,84.0
688,82.0,84.0
689,82.0,84.0
690,83.0,84.0
691,83.0,84.0
692,83.0,84.0
693,84.0,85.0
694,84.0,85.0
695,83.0,85.0
696,83.0,85.0
697,83.0,85.0
698,82.0,84.0
699,82.0,84.0
700,82.0,84.0
701,82.0,84.0
702,82.0,84.0
703,82.0,84.0
704,82.0,84.0
705,82.0,84.0
706,82.0,84.0
707,82.0,84.0
708,82.0,84.0
709,82.0,84.0
710,82.0,84.0
711,83.0,85.0
712,83.0,85.0
713,82.0,84.0
714,83.0,85.0
715,83.0,85.0
716,83.0,84.0
717,84.0,84.0
718,84.0,84.0
719,84.0,84.0
720,84.0,84.0
721,84.0,84.0
722,83.0,83.0
723,84.0,84.0
724,84.0,84.0
725,83.0,83.0
726,84.0,84.0
727,84.0,84.0
728,84.0,83.0
729,85.0,83.0
730,85.0,83.0
731,84.0,82.0
732,85.0,82.0
733,85.0,82.0
734,84.0,81.0
735,84.0,81.0
736,84.0,81.0
737,83.0,81.0
738,83.0,81.0
739,83.0,81.0
740,83.0,81.0
741,84.0,82.0
742,84.0,83.0
743,83.0,82.0
744,84.0,82.0
745,84.0,82.0
746,83.0,81.0
747,84.0,81.0
748,84.0,81.0
749,84.0,80.0
750,84.0,81.0
751,84.0,81.0
752,84.0,80.0
753,84.0,80.0
754,84.0,80.0
755,84.0,79.0
756,85.0,80.0
757,85.0,80.0
758,85.0,79.0
759,84.0,79.0
760,84.0,79.0
761,83.0,79.0
762,84.0,79.0
763,84.0,79.0
764,83.0,79.0
765,84.0,80.0
766,84.0,80.0
767,83.0,79.0
768,84.0,80.0
769,84.0,80.0
770,83.0,79.0
771,84.0,80.0
772,84.0,80.0
773,84.0,80.0
774,85.0,81.0
775,85.0,81.0
776,84.0,80.0
777,84.0,80.0
778,84.0,80.0
779,84.0,79.0
780,84.0,80.0
781,84.0,80.0
782,83.0,79.0
783,83.0,80.0
784,83.0,80.0
785,83.0,79.0
786,83.0,80.0
787,83.0,80.0
788,83.0,79.0
789,83.0,79.0
790,83.0,79.0
791,82.0,79.0
792,82.0,79.0
793,82.0,79.0
794,81.0,78.0
795,82.0,78.0
796,82.0,78.0
797,81.0,77.0
798,82.0,78.0
799,82.0,78.0
800,81.0,77.0
801,81.0,77.0
802,81.0,77.0
803,80.0,77.0
804,80.0,77.0
805,80.0,77.0
806,80.0,77.0
807,80.0,77.0
808,80.0,77.0
809,80.0,77.0
810,80.0,77.0
811,80.0,77.0
812,80.0,77.0
813,81.0,78.0
814,81.0,78.0
815,81.0,77.0
816,81.0,78.0
817,81.0,78.0
818,80.0,77.0
819,80.0,77.0
820,80.0,77.0
821,80.0,76.0
822,81.0,77.0
823,81.0,77.0
824,81.0,76.0
825,82.0,77.0
826,82.0,77.0
827,81.0,77.0
828,81.0,78.0
829,81.0,78.0
830,80.0,77.0
831,80.0,78.0
832,80.0,78.0
833,80.0,77.0
834,81.0,78.0
835,81.0,78.0
836,80.0,78.0
837,81.0,78.0
838,81.0,78.0
839,80.0,78.0
840,80.0,78.0
841,80.0,78.0
842,79.0,77.0
843,80.0,78.0
844,80.0,78.0
845,79.0,78.0
846,80.0,79.0
847,80.0,79.0
848,80.0,78.0
849,80.0,79.0
850,80.0,79.0
851,80.0,78.0
852,80.0,79.0
853,80.0,79.0
854,79.0,78.0
855,79.0,79.0
856,79.0,79.0
857,78.0,78.0
858,78.0,79.0
859,79.0,79.0
860,78.0,78.0
861,79.0,78.0
862,79.0,78.0
863,78.0,77.0
864,79.0,77.0
865,79.0,77.0
866,78.0,77.0
867,79.0,78.0
868,79.0,78.0
869,78.0,77.0
870,79.0,78.0
871,79.0,78.0
872,79.0,77.0
873,78.0,76.0
874,78.0,76.0
875,77.0,75.0
876,78.0,76.0
877,78.0,76.0
878,77.0,75.0
879,77.0,76.0
880,77.0,76.0
881,76.0,75.0
882,77.0,76.0
883,77.0,76.0
884,76.0,76.0
885,76.0,77.0
886,76.0,77.0
887,76.0,77.0
888,76.0,78.0
889,76.0,78.0
890,76.0,77.0
891,77.0,77.0
892,77.0,77.0
893,77.0,76.0
894,78.0,77.0
895,78.0,77.0
896,78.0,77.0
897,79.0,78.0
898,79.0,78.0
899,79.0,78.0
900,79.0,79.0
901,79.0,79.0
902,79.0,79.0
903,80.0,79.0
904,80.0,79.0
905,80.0,79.0
906,80.0,79.0
907,80.0,79.0
908,79.0,78.0
909,79.0,78.0
910,79.0,78.0
911,79.0,77.0
912,79.0,77.0
913,79.0,77.0
914,78.0,76.0
915,78.0,77.0
916,78.0,77.0
917,78.0,76.0
918,79.0,77.0
919,79.0,77.0
920,78.0,76.0
921,78.0,77.0
922,78.0,77.0
923,78.0,76.0
924,78.0,77.0
925,78.0,77.0
926,77.0,76.0
927,78.0,76.0
928,78.0,76.0
929,77.0,76.0
930,78.0,77.0
931,79.0,77.0
932,78.0,77.0
933,78.0,78.0
934,78.0,78.0
935,77.0,77.0
936,78.0,77.0
937,78.0,77.0
938,77.0,77.0
939,78.0,77.0
940,78.0,77.0
941,77.0,77.0
942,78.0,78.0
943,78.0,78.0
944,77.0,77.0
945,78.0,77.0
946,78.0,77.0
947,77.0,76.0
948,77.0,77.0
949,77.0,77.0
950,77.0,76.0
951,77.0,77.0
952,77.0,77.0
953,77.0,76.0
954,78.0,77.0
955,78.0,77.0
956,78.0,77.0
957,79.0,78.0
958,79.0,78.0
959,78.0,77.0
960,79.0,78.0
961,79.0,78.0
962,79.0,78.0
963,80.0,79.0
964,80.0,79.0
965,80.0,78.0
966,80.0,78.0
967,80.0,78.0
968,79.0,78.0
969,80.0,79.0
970,80.0,79.0
971,80.0,79.0
972,79.0,79.0
973,80.0,80.0
974,80.0,80.0
975,81.0,81.0
976,81.0,81.0
977,80.0,81.0
978,81.0,82.0
979,81.0,82.0
980,81.0,82.0
981,82.0,83.0
982,82.0,83.0
983,82.0,83.0
984,83.0,83.0
985,83.0,83.0
986,83.0,82.0
987,83.0,81.0
988,83.0,81.0
989,82.0,80.0
990,82.0,81.0
991,82.0,81.0
992,82.0,81.0
993,82.0,82.0
994,82.0,82.0
995,81.0,82.0
996,81.0,82.0
997,81.0,82.0
998,80.0,81.0
999,80.0,81.0
1000,81.0,81.0
1001,80.0,81.0
1002,80.0,81.0
1003,80.0,81.0
1004,79.0,81.0
1005,79.0,80.0
1006,79.0,80.0
1007,79.0,79.0
1008,80.0,80.0
1009,80.0,80.0
1010,79.0,79.0
1011,79.0,80.0
1012,79.0,80.0
1013,78.0,80.0
1014,79.0,81.0
1015,79.0,81.0
1016,79.0,81.0
1017,79.0,82.0
1018,79.0,82.0
1019,79.0,81.0
1020,79.0,81.0
1021,79.0,81.0
1022,79.0,80.0
1023,79.0,81.0
1024,79.0,81.0
1025,78.0,81.0
1026,79.0,81.0
1027,79.0,81.0
1028,78.0,81.0
1029,78.0,80.0
1030,78.0,80.0
1031,78.0,79.0
1032,79.0,79.0
1033,79.0,79.0
1034,78.0,78.0
1035,79.0,79.0
1036,79.0,79.0
1037,78.0,78.0
1038,79.0,78.0
1039,79.0,78.0
1040,78.0,78.0
1041,79.0,78.0
1042,79.0,78.0
1043,79.0,78.0
1044,80.0,79.0
1045,80.0,79.0
1046,80.0,79.0
1047,81.0,80.0
1048,81.0,80.0
1049,80.0,80.0
1050,80.0,81.0
1051,80.0,81.0
1052,79.0,80.0
1053,79.0,81.0
1054,79.0,81.0
1055,78.0,80.0
1056,77.0,80.0
1057,77.0,80.0
1058,76.0,80.0
1059,77.0,81.0
1060,77.0,81.0
1061,77.0,81.0
1062,77.0,81.0
1063,77.0,81.0
1064,77.0,81.0
1065,77.0,82.0
1066,78.0,82.0
1067,78.0,81.0
1068,79.0,81.0
1069,79.0,81.0
1070,79.0,81.0
1071,79.0,81.0
1072,80.0,82.0
1073,80.0,81.0
1074,80.0,81.0
1075,80.0,81.0
1076,79.0,81.0
1077,80.0,81.0
1078,80.0,81.0
1079,80.0,80.0
1080,80.0,80.0
1081,80.0,80.0
1082,80.0,80.0
1083,80.0,80.0
1084,80.0,80.0
1085,79.0,79.0
1086,79.0,80.0
1087,79.0,81.0
1088,78.0,80.0
1089,79.0,81.0
1090,79.0,81.0
1091,78.0,80.0
1092,78.0,80.0
1093,78.0,80.0
1094,77.0,80.0
1095,78.0,80.0
1096,78.0,80.0
1097,78.0,80.0
1098,78.0,81.0
1099,78.0,81.0
1100,77.0,80.0
1101,78.0,80.0
1102,78.0,80.0
1103,78.0,80.0
1104,79.0,80.0
1105,79.0,81.0
1106,79.0,80.0
1107,79.0,81.0
1108,79.0,81.0
1109,78.0,80.0
1110,78.0,81.0
1111,77.0,81.0
1112,76.0,80.0
1113,77.0,80.0
1114,77.0,80.0
1115,76.0,80.0
1116,76.0,80.0
1117,76.0,80.0
1118,75.0,79.0
1119,75.0,80.0
1120,76.0,81.0
1121,76.0,81.0
1122,76.0,82.0
1123,76.0,82.0
1124,76.0,82.0
1125,77.0,82.0
1126,76.0,83.0
1127,75.0,82.0
1128,76.0,82.0
1129,77.0,83.0
1130,76.0,83.0
1131,76.0,84.0
1132,76.0,84.0
1133,76.0,83.0
1134,77.0,84.0
1135,77.0,84.0
1136,77.0,84.0
1137,77.0,84.0
1138,77.0,84.0
1139,77.0,83.0
1140,78.0,83.0
1141,78.0,83.0
1142,77.0,83.0
1143,77.0,83.0
1144,77.0,83.0
1145,76.0,82.0
1146,76.0,82.0
1147,76.0,82.0
1148,76.0,82.0
1149,77.0,82.0
1150,77.0,82.0
1151,77.0,82.0
1152,78.0,83.0
1153,78.0,83.0
1154,78.0,83.0
1155,79.0,84.0
1156,80.0,84.0
1157,80.0,84.0
1158,81.0,84.0
1159,80.0,83.0
1160,80.0,83.0
1161,80.0,83.0
1162,80.0,83.0
1163,79.0,83.0
1164,79.0,83.0
1165,79.0,83.0
1166,79.0,83.0
1167,79.0,84.0
1168,79.0,84.0
1169,79.0,84.0
1170,79.0,84.0
1171,79.0,84.0
1172,78.0,84.0
1173,78.0,85.0
1174,78.0,85.0
1175,77.0,84.0
1176,78.0,84.0
1177,78.0,84.0
1178,78.0,84.0
1179,78.0,85.0
1180,78.0,85.0
1181,77.0,85.0
1182,77.0,85.0
1183,77.0,85.0
1184,77.0,85.0
1185,78.0,86.0
1186,78.0,86.0
1187,77.0,85.0
1188,78.0,86.0
1189,78.0,86.0
1190,77.0,85.0
1191,78.0,86.0
1192,78.0,86.0
1193,77.0,86.0
1194,78.0,86.0
1195,78.0,86.0
1196,78.0,85.0
1197,78.0,85.0
1198,79.0,85.0
1199,79.0,85.0
1200,80.0,86.0
1201,80.0,86.0
1202,80.0,85.0
1203,80.0,85.0
1204,80.0,85.0
1205,80.0,84.0
1206,80.0,85.0
1207,80.0,85.0
1208,80.0,85.0
1209,81.0,86.0
1210,81.0,85.0
1211,81.0,85.0
1212,82.0,86.0
1213,82.0,86.0
1214,82.0,86.0
1215,83.0,86.0
1216,83.0,86.0
1217,82.0,85.0
1218,83.0,86.0
1219,83.0,86.0
1220,83.0,86.0
1221,83.0,86.0
1222,83.0,86.0
1223,82.0,85.0
1224,81.0,84.0
1225,81.0,84.0
1226,81.0,83.0
1227,82.0,84.0
1228,82.0,84.0
1229,81.0,84.0
1230,82.0,84.0
1231,82.0,84.0
1232,81.0,83.0
1233,80.0,84.0
1234,80.0,84.0
1235,79.0,83.0
1236,79.0,83.0
1237,80.0,84.0
1238,80.0,83.0
1239,80.0,84.0
1240,80.0,84.0
1241,79.0,83.0
1242,80.0,83.0
1243,80.0,83.0
1244,80.0,83.0
1245,81.0,84.0
1246,81.0,84.0
1247,81.0,84.0
1248,81.0,84.0
1249,81.0,84.0
1250,81.0,84.0
1251,81.0,84.0
1252,81.0,84.0
1253,81.0,83.0
1254,81.0,83.0
1255,81.0,83.0
1256,81.0,83.0
1257,81.0,83.0
1258,81.0,83.0
1259,81.0,83.0
1260,81.0,83.0
1261,81.0,83.0
1262,81.0,82.0
1263,82.0,82.0
1264,82.0,82.0
1265,82.0,82.0
1266,81.0,81.0
1267,81.0,81.0
1268,81.0,80.0
1269,81.0,80.0
1270,81.0,80.0
1271,81.0,80.0
1272,82.0,80.0
1273,82.0,80.0
1274,81.0,80.0
1275,82.0,81.0
1276,82.0,81.0
1277,82.0,80.0
1278,82.0,80.0
1279,82.0,80.0
1280,82.0,80.0
1281,83.0,79.0
1282,83.0,79.0
1283,83.0,78.0
1284,83.0,78.0
1285,83.0,78.0
1286,82.0,77.0
1287,83.0,78.0
1288,83.0,78.0
1289,83.0,78.0
1290,84.0,79.0
1291,84.0,79.0
1292,83.0,79.0
1293,84.0,79.0
1294,84.0,79.0
1295,84.0,79.0
1296,84.0,80.0
1297,84.0,80.0
1298,83.0,80.0
1299,83.0,80.0
1300,83.0,80.0
1301,82.0,79.0
1302,82.0,80.0
1303,82.0,80.0
1304,81.0,80.0
1305,81.0,81.0
1306,81.0,81.0
1307,81.0,81.0
1308,81.0,81.0
1309,81.0,81.0
1310,81.0,82.0
1311,82.0,82.0
1312,82.0,82.0
1313,81.0,81.0
1314,80.0,80.0
1315,80.0,80.0
1316,80.0,79.0
1317,81.0,80.0
1318,81.0,80.0
1319,80.0,80.0
1320,80.0,80.0
1321,80.0,80.0
1322,80.0,79.0
1323,81.0,80.0
1324,82.0,81.0
1325,81.0,80.0
1326,82.0,81.0
1327,82.0,81.0
1328,82.0,81.0
1329,83.0,81.0
1330,83.0,81.0
1331,82.0,80.0
1332,83.0,81.0
1333,84.0,81.0
1334,83.0,80.0
1335,84.0,81.0
1336,84.0,81.0
1337,83.0,80.0
1338,83.0,81.0
1339,83.0,81.0
1340,83.0,81.0
1341,84.0,82.0
1342,84.0,82.0
1343,83.0,81.0
1344,83.0,81.0
1345,83.0,81.0
1346,83.0,80.0
1347,83.0,80.0
1348,83.0,80.0
1349,82.0,79.0
1350,82.0,79.0
1351,82.0,79.0
1352,82.0,78.0
1353,82.0,79.0
1354,82.0,79.0
1355,82.0,78.0
1356,82.0,78.0
1357,82.0,78.0
1358,81.0,77.0
1359,82.0,78.0
1360,82.0,78.0
1361,82.0,77.0
1362,82.0,78.0
1363,82.0,78.0
1364,81.0,77.0
1365,81.0,77.0
1366,82.0,78.0
1367,81.0,78.0
1368,81.0,79.0
1369,81.0,79.0
1370,80.0,79.0
1371,80.0,79.0
1372,80.0,79.0
1373,80.0,79.0
1374,81.0,79.0
1375,81.0,79.0
1376,80.0,78.0
1377,80.0,79.0
1378,80.0,79.0
1379,79.0,78.0
1380,79.0,78.0
1381,79.0,79.0
1382,79.0,78.0
1383,79.0,79.0
1384,79.0,79.0
1385,78.0,78.0
1386,79.0,79.0
1387,79.0,79.0
1388,79.0,79.0
1389,78.0,79.0
1390,78.0,79.0
1391,77.0,79.0
1392,78.0,78.0
1393,77.0,77.0
1394,76.0,76.0
1395,76.0,76.0
1396,76.0,76.0
1397,75.0,75.0
1398,76.0,75.0
1399,75.0,75.0
1400,74.0,74.0
1401,75.0,75.0
1402,75.0,75.0
1403,74.0,75.0
1404,75.0,75.0
