Accession,Isolate,Species,Genus,Family,Length,Country,source,Host,Collection_Date,novel
KJ641687.1,BtMf-PicoV/FJ2012,Shanbavirus A,Shanbavirus,Picornaviridae,7435,China,Miniopterus fuliginosus,1,2012,0
KJ641688.1,BtRlep-PicoV/FJ2012,Shanbavirus A,Shanbavirus,Picornaviridae,5661,China,Rhinolophus lepidus,1,2012,0
KJ641689.1,BtMa-PicoV/FJ2012,Shanbavirus A,Shanbavirus,Picornaviridae,6623,China,Myotis altarium,1,2012,0
KJ641690.1,BtMf-PicoV-1/GD2012,Shanbavirus A,Shanbavirus,Picornaviridae,6879,China,Miniopterus fuliginosus,1,2012,0
KJ641691.1,BtMf-PicoV-2/GD2012,Aichivirus F,Kobuvirus,Picornaviridae,7279,China,Miniopterus fuliginosus,1,2012,0
KJ641692.1,BtRa-PicoV/JS2013,Shanbavirus A,Shanbavirus,Picornaviridae,5652,China,Rhinolophus affinis,1,2013,0
KJ641693.1,BtRh-PicoV/SC2013,Shanbavirus A,Shanbavirus,Picornaviridae,7345,China,Rhinolophus hipposideros,1,2013,0
KJ641694.1,BtRs-PicoV/YN2010,Shanbavirus A,Shanbavirus,Picornaviridae,7830,China,Rhinolophus sinicus,1,2010,0
KJ641695.1,BtRs-PicoV/GD2012,Shanbavirus A,Shanbavirus,Picornaviridae,2564,China,Rhinolophus sinicus,1,2012,0
KJ641696.1,BtVs-PicoV/SC2013,Shanbavirus A,Shanbavirus,Picornaviridae,7331,China,Vespertilio sinensis,1,2013,0
KJ641697.1,BtNv-PicoV/SC2013,Shanbavirus A,Shanbavirus,Picornaviridae,7048,China,Nyctalus velutinus,1,2013,0
KJ641698.1,BtMf-PicoV-1/SAX2011,Shanbavirus A,Shanbavirus,Picornaviridae,7264,China,Miniopterus fuliginosus,1,2011,0
KJ641699.1,BtMf-PicoV-2/SAX2011,Shanbavirus A,Shanbavirus,Picornaviridae,7145,China,Miniopterus fuliginosus,1,2011,0
KJ641700.1,BtMspp.-CalV/GD2012,Bat calicivirus,Unclassified,Caliciviridae,5662,China,Myotis sp.,1,2012,0
KJ641701.1,BtRs-CalV-1/GX2012,Bat calicivirus,Unclassified,Caliciviridae,6894,China,Rhinolophus sinicus,1,2012,0
KJ641702.1,BtRs-CalV-2/GX2012,Bat calicivirus,Unclassified,Caliciviridae,4097,China,Rhinolophus sinicus,1,2012,0
KJ641703.1,BtMm-CalV/JX2010,Bat calicivirus,Unclassified,Caliciviridae,6039,China,Myotis myotis,1,2010,0
KJ790198.1,BtRs-CalV/YN2010,Norwalk virus,Norovirus,Caliciviridae,6582,China,Rhinolophus sinicus,1,2010,0
KP054273.1,,Mischivirus B,Mischivirus,Picornaviridae,6855,Hungary,Miniopterus schreibersii,1,2013,0
KP054274.1,,Shanbavirus A,Shanbavirus,Picornaviridae,6855,Hungary,Miniopterus schreibersii,1,2013,0
KP054275.1,,Shanbavirus A,Shanbavirus,Picornaviridae,6855,Hungary,Miniopterus schreibersii,1,2013,0
KP054276.1,,Shanbavirus A,Shanbavirus,Picornaviridae,6855,Hungary,Miniopterus schreibersii,1,2013,0
KP054277.1,,Shanbavirus A,Shanbavirus,Picornaviridae,6855,Hungary,Miniopterus schreibersii,1,2013,0
KP054278.1,,Shanbavirus A,Shanbavirus,Picornaviridae,6855,Hungary,Miniopterus schreibersii,1,2013,0
KP100644.1,PREDICT-06105,Mischivirus C,Mischivirus,Picornaviridae,8096,Democratic Republic of the Congo,Macronycteris gigas,1,2013,0
KT452714.1,M32Eidhel2010,Hepatovirus H,Hepatovirus,Picornaviridae,7333,Ghana,Eidolon helvum,1,2010,0
KT452729.1,FO1AF48Rhilan2010,Hepatovirus G,Hepatovirus,Picornaviridae,7151,Ghana,Rhinolophus landeri,1,2010,0
KT452730.1,BUO2BF86Colafr2010,Hepatovirus G,Hepatovirus,Picornaviridae,7399,Ghana,Coleura afra,1,2010,0
KT452742.1,SMG18520Minmav2014,Hepatovirus C,Hepatovirus,Picornaviridae,7570,Madagascar,Miniopterus,1,2014,0
KU712496.1,,Bat calicivirus BtCalV/BS58/HUN/2013,Unclassified,Caliciviridae,3147,Hungary,Eptesicus serotinus,1,2013,0
KU712497.1,,Bat calicivirus BtCalV/M63/HUN/2013,Unclassified,Caliciviridae,3346,Hungary,Myotis daubentonii,1,2013,0
KX420938.1,KSA412,Teschovirus sp.,Teschovirus,Picornaviridae,3167,Saudi Arabia,Eidolon helvum,1,2012,0
KX420952.1,KSA215,Hepatovirus A,Hepatovirus,Picornaviridae,7473,Saudi Arabia,Rhinopoma hardwickii,1,2012,0
KX644936.1,,Kunsagivirus B,Kunsagivirus,Picornaviridae,7092,Cameroon,Eidolon helvum,1,2013,0
KX644937.1,,Crohivirus B,Crohivirus,Picornaviridae,7085,Cameroon,Eidolon helvum,1,2013,0
KX644938.1,,Bat sapelovirus,Sapelovirus,Picornaviridae,7746,Cameroon,Eidolon helvum,1,2013,0
KX759618.1,Bat-SaV/Limbe25/CAM/2014,Bat sapovirus,Sapovirus,Caliciviridae,6727,Cameroon,Eidolon helvum,1,2014,0
KX759619.1,Bat-SaV/Lysoka36/CAM/2014,Bat sapovirus,Sapovirus,Caliciviridae,6175,Cameroon,Eidolon helvum,1,2014,0
KX759620.1,Bat-SaV/Limbe65/CAM/2014,Bat sapovirus,Sapovirus,Caliciviridae,7475,Cameroon,Eidolon helvum,1,2014,0
KX759621.1,Bat-SaV/Limbe899a/CAM/2014,Bat sapovirus,Sapovirus,Caliciviridae,7463,Cameroon,Eidolon helvum,1,2014,0
KX759622.1,Bat-SaV/Limbe899b/CAM/2014,Bat sapovirus,Sapovirus,Caliciviridae,7474,Cameroon,Eidolon helvum,1,2014,0
KX759623.1,Bat-SaV/Limbe900/CAM/2014,Bat sapovirus,Sapovirus,Caliciviridae,7494,Cameroon,Eidolon helvum,1,2014,0
MF352407.1,,Rhinolophus sinicus picornavirus,Unclassified,Unclassified,6374,China,Rhinolophus sinicus,1,2012,0
MF352415.1,,Rhinolophus picornavirus,Unclassified,Unclassified,7806,China,Rhinolophus rex,1,2012,0
MF352416.1,,Rhinolophus picornavirus,Unclassified,Unclassified,7806,China,Rhinolophus ferrumequinum,1,2012,0
MF352419.1,,Miniopterus picornavirus 1,Unclassified,Unclassified,7967,China,Miniopterus schreibersii,1,2012,0
MF352423.1,,Miniopterus picornavirus 1,Unclassified,Unclassified,8035,China,Miniopterus schreibersii,1,2012,0
MF352427.1,,Miniopterus picornavirus 2,Unclassified,Unclassified,8188,China,Miniopterus schreibersii,1,2012,0
MF352431.1,,Bat sapelovirus,Sapelovirus,Picornaviridae,7618,China,Myotis ricketti,1,2012,0
MF373609.1,NPIH26,Norwalk virus,Norovirus,Caliciviridae,7368,China,Rhinolophus affinis,1,2016,0
MF947429.1,,Kobuvirus sp.,Kobuvirus,Picornaviridae,6340,Viet Nam,Scotophilus kuhlii,1,2014,0
MF947430.1,,Kobuvirus sp.,Kobuvirus,Picornaviridae,5619,Viet Nam,Scotophilus kuhlii,1,2014,0
MF947431.1,,Kobuvirus sp.,Kobuvirus,Picornaviridae,5667,Viet Nam,Scotophilus kuhlii,1,2014,0
MF947432.1,,Kobuvirus sp.,Kobuvirus,Picornaviridae,6350,Viet Nam,Scotophilus kuhlii,1,2014,0
MF947433.1,,Kobuvirus sp.,Kobuvirus,Picornaviridae,5393,Viet Nam,Scotophilus kuhlii,1,2014,0
MF947434.1,,Kobuvirus sp.,Kobuvirus,Picornaviridae,6312,Viet Nam,Scotophilus kuhlii,1,2014,0
MF947435.1,,Kobuvirus sp.,Kobuvirus,Picornaviridae,6312,Viet Nam,Scotophilus kuhlii,1,2014,0
MF947436.1,,Kobuvirus sp.,Kobuvirus,Picornaviridae,5931,Viet Nam,Scotophilus kuhlii,1,2014,0
MF947437.1,,Kobuvirus sp.,Kobuvirus,Picornaviridae,6859,Viet Nam,Scotophilus kuhlii,1,2015,0
MF947438.1,,Kobuvirus sp.,Kobuvirus,Picornaviridae,6859,Viet Nam,Scotophilus kuhlii,1,2014,0
MF947439.1,,Kobuvirus sp.,Kobuvirus,Picornaviridae,6354,Viet Nam,Scotophilus kuhlii,1,2014,0
MF947440.1,,Kobuvirus sp.,Kobuvirus,Picornaviridae,6354,Viet Nam,Scotophilus kuhlii,1,2014,0
MG559674.1,HepV-bat3206/Hipposideros_armiger/2011,Hepatovirus sp.,Hepatovirus,Picornaviridae,7184,China,Hipposideros armiger,1,2011,0
MG888045.1,,Mischivirus B,Mischivirus,Picornaviridae,6961,Algeria,Miniopterus,1,2017,0
MK348056.1,QAPp32,Parechovirus sp. QAPp32,Parechovirus,Picornaviridae,7174,China,Pipistrellus pipistrellus,1,2016,0
MK468720.1,D-16-0054,Picornavirales sp.,Unclassified,Unclassified,8573,Cambodia,Pteropus lylei,1,1905,0
MN602325.1,,Shanbavirus A,Shanbavirus,Picornaviridae,8208,Italy,Pipistrellus pipistrellus,1,2017,0
MW249015.1,DesRot/Peru/LMA6_F_DrPicoV,Bat picornavirus LMA6,Shanbavirus,Picornaviridae,6868,Peru,Desmodus rotundus,1,2016,0
MW249017.1,DesRot/Peru/CUS8_F_DrPicoV,Bat picornavirus CUS8,Shanbavirus,Picornaviridae,6774,Peru,Desmodus rotundus,1,2016,0
MW450838.1,BF2-picornavirus-YN-CHN-2020,Picornaviridae sp.,Unclassified,Picornaviridae,8173,China,Miniopterus schreibersii,1,2020,0
MZ218056.1,BtCV/OV-157/M.dau/DK/2018,Bat calicivirus,Unclassified,Caliciviridae,7486,Denmark,Myotis daubentonii,1,2018,0
MZ218061.1,BtPV/13585-58/M.dau/DK/2014,Shanbavirus A,Shanbavirus,Picornaviridae,9300,Denmark,Myotis daubentonii,1,2014,0
MZ544214.1,16715x13-17,Scotophilus kuhlii parechovirus,Parechovirus,Picornaviridae,7000,Viet Nam,Scotophilus kuhlii,1,2014,0
MZ544215.1,16715x14-80,Scotophilus kuhlii parechovirus,Parechovirus,Picornaviridae,6979,Viet Nam,Scotophilus kuhlii,1,2014,0
MZ544216.1,16715x39-32,Scotophilus kuhlii parechovirus,Parechovirus,Picornaviridae,7097,Viet Nam,Scotophilus kuhlii,1,2014,0
MZ544217.1,16715x40-44,Scotophilus kuhlii parechovirus,Parechovirus,Picornaviridae,7091,Viet Nam,Scotophilus kuhlii,1,2014,0
MZ544218.1,16715x86-30,Scotophilus kuhlii parechovirus,Parechovirus,Picornaviridae,7067,Viet Nam,Scotophilus kuhlii,1,2014,0
MZ544225.1,16845x8-27,Scotophilus kuhlii parechovirus,Parechovirus,Picornaviridae,7160,Viet Nam,Scotophilus kuhlii,1,2014,0
MZ544227.1,17819x11-22,Scotophilus kuhlii parechovirus,Parechovirus,Picornaviridae,7116,Viet Nam,Scotophilus kuhlii,1,2014,0
MZ544228.1,17819x16-21,Scotophilus kuhlii parechovirus,Parechovirus,Picornaviridae,7089,Viet Nam,Scotophilus kuhlii,1,2014,0
MZ544229.1,17819x20-34,Scotophilus kuhlii parechovirus,Parechovirus,Picornaviridae,7293,Viet Nam,Scotophilus kuhlii,1,2014,0
MZ544230.1,17819x45-5,Scotophilus kuhlii parechovirus,Parechovirus,Picornaviridae,7260,Viet Nam,Scotophilus kuhlii,1,2014,0
MZ544231.1,17819x48-10,Scotophilus kuhlii parechovirus,Parechovirus,Picornaviridae,7197,Viet Nam,Scotophilus kuhlii,1,2014,0
MZ544237.1,20724x80-30,Scotophilus kuhlii parechovirus,Parechovirus,Picornaviridae,6930,Viet Nam,Scotophilus kuhlii,1,2015,0
MZ544238.1,20724x87-644,Scotophilus kuhlii parechovirus,Parechovirus,Picornaviridae,7208,Viet Nam,Scotophilus kuhlii,1,2015,0
MZ544239.1,20745x18-15,Scotophilus kuhlii parechovirus,Parechovirus,Picornaviridae,7220,Viet Nam,Scotophilus kuhlii,1,2015,0
MZ544240.1,16845x77-12,Scotophilus kuhlii picornavirus,Unclassified,Picornaviridae,7846,Viet Nam,Scotophilus kuhlii,1,2014,0
MZ544241.1,16715x14-68,Scotophilus kuhlii picornavirus,Unclassified,Picornaviridae,7763,Viet Nam,Scotophilus kuhlii,1,2014,0
MZ544242.1,16715x38-16,Scotophilus kuhlii picornavirus,Unclassified,Picornaviridae,7736,Viet Nam,Scotophilus kuhlii,1,2014,0
MZ544243.1,16845x22-8,Scotophilus kuhlii picornavirus,Unclassified,Picornaviridae,7712,Viet Nam,Scotophilus kuhlii,1,2014,0
MZ544244.1,16715x54-52,Scotophilus kuhlii picornavirus,Unclassified,Picornaviridae,7687,Viet Nam,Scotophilus kuhlii,1,2014,0
MZ544245.1,20745x7-311,Scotophilus kuhlii picornavirus,Unclassified,Picornaviridae,7674,Viet Nam,Scotophilus kuhlii,1,2015,0
MZ544246.1,16845x14-8,Scotophilus kuhlii picornavirus,Unclassified,Picornaviridae,7629,Viet Nam,Scotophilus kuhlii,1,2014,0
MZ544247.1,16715x45-12,Scotophilus kuhlii picornavirus,Unclassified,Picornaviridae,7567,Viet Nam,Scotophilus kuhlii,1,2014,0
MZ544295.1,16715x24-56,Scotophilus kuhlii parechovirus,Parechovirus,Picornaviridae,4053,Viet Nam,Scotophilus kuhlii,1,2014,0
MZ544296.1,16715x38-55,Scotophilus kuhlii parechovirus,Parechovirus,Picornaviridae,4023,Viet Nam,Scotophilus kuhlii,1,2014,0
MZ544297.1,16715x40-76,Scotophilus kuhlii parechovirus,Parechovirus,Picornaviridae,4671,Viet Nam,Scotophilus kuhlii,1,2014,0
MZ544298.1,16715x78-129,Scotophilus kuhlii parechovirus,Parechovirus,Picornaviridae,3225,Viet Nam,Scotophilus kuhlii,1,2014,0
MZ544299.1,16715x78-130,Scotophilus kuhlii parechovirus,Parechovirus,Picornaviridae,3225,Viet Nam,Scotophilus kuhlii,1,2014,0
MZ544300.1,16715x87-78,Scotophilus kuhlii parechovirus,Parechovirus,Picornaviridae,3786,Viet Nam,Scotophilus kuhlii,1,2014,0
MZ544301.1,16845x31-17,Scotophilus kuhlii parechovirus,Parechovirus,Picornaviridae,6777,Viet Nam,Scotophilus kuhlii,1,2014,0
MZ544302.1,16845x63-120,Scotophilus kuhlii parechovirus,Parechovirus,Picornaviridae,3911,Viet Nam,Scotophilus kuhlii,1,2014,0
MZ544303.1,16845x69-64,Scotophilus kuhlii parechovirus,Parechovirus,Picornaviridae,3228,Viet Nam,Scotophilus kuhlii,1,2014,0
MZ544304.1,16845x70-18,Scotophilus kuhlii parechovirus,Parechovirus,Picornaviridae,5952,Viet Nam,Scotophilus kuhlii,1,2014,0
MZ544305.1,17819x11-28,Scotophilus kuhlii parechovirus,Parechovirus,Picornaviridae,6507,Viet Nam,Scotophilus kuhlii,1,2014,0
MZ544306.1,17819x13-28,Scotophilus kuhlii parechovirus,Parechovirus,Picornaviridae,6623,Viet Nam,Scotophilus kuhlii,1,2014,0
MZ544307.1,20745x5-108,Scotophilus kuhlii parechovirus,Parechovirus,Picornaviridae,5125,Viet Nam,Scotophilus kuhlii,1,2015,0
MZ544308.1,20745x25-316,Scotophilus kuhlii parechovirus,Parechovirus,Picornaviridae,3272,Viet Nam,Scotophilus kuhlii,1,2015,0
MZ544309.1,16715x7-94,Scotophilus kuhlii picornavirus,Unclassified,Picornaviridae,2479,Viet Nam,Scotophilus kuhlii,1,2014,0
MZ544310.1,16715x7-95,Scotophilus kuhlii picornavirus,Unclassified,Picornaviridae,2479,Viet Nam,Scotophilus kuhlii,1,2014,0
MZ544311.1,16715x13-42,Scotophilus kuhlii picornavirus,Unclassified,Picornaviridae,3944,Viet Nam,Scotophilus kuhlii,1,2014,0
MZ544312.1,16715x23-48,Scotophilus kuhlii picornavirus,Unclassified,Picornaviridae,5662,Viet Nam,Scotophilus kuhlii,1,2014,0
MZ544313.1,16715x23-69,Scotophilus kuhlii picornavirus,Unclassified,Picornaviridae,4025,Viet Nam,Scotophilus kuhlii,1,2014,0
MZ544315.1,16715x24-62,Scotophilus kuhlii picornavirus,Unclassified,Picornaviridae,3772,Viet Nam,Scotophilus kuhlii,1,2014,0
MZ544316.1,16715x24-107,Scotophilus kuhlii picornavirus,Unclassified,Picornaviridae,2834,Viet Nam,Scotophilus kuhlii,1,2014,0
MZ544317.1,16715x30-77,Scotophilus kuhlii picornavirus,Unclassified,Picornaviridae,4807,Viet Nam,Scotophilus kuhlii,1,2014,0
MZ544318.1,16715x30-167,Scotophilus kuhlii picornavirus,Unclassified,Picornaviridae,3133,Viet Nam,Scotophilus kuhlii,1,2014,0
MZ544319.1,16715x39-83,Scotophilus kuhlii picornavirus,Unclassified,Picornaviridae,3688,Viet Nam,Scotophilus kuhlii,1,2014,0
MZ544320.1,16715x39-92,Scotophilus kuhlii picornavirus,Unclassified,Picornaviridae,3499,Viet Nam,Scotophilus kuhlii,1,2014,0
MZ544321.1,16715x40-52,Scotophilus kuhlii picornavirus,Unclassified,Picornaviridae,6229,Viet Nam,Scotophilus kuhlii,1,2014,0
MZ544322.1,16715x40-55,Scotophilus kuhlii picornavirus,Unclassified,Picornaviridae,6058,Viet Nam,Scotophilus kuhlii,1,2014,0
MZ544323.1,16715x40-63,Scotophilus kuhlii picornavirus,Unclassified,Picornaviridae,5287,Viet Nam,Scotophilus kuhlii,1,2014,0
MZ544324.1,16715x46-81,Scotophilus kuhlii picornavirus,Unclassified,Picornaviridae,4296,Viet Nam,Scotophilus kuhlii,1,2014,0
MZ544325.1,16715x47-83,Scotophilus kuhlii picornavirus,Unclassified,Picornaviridae,3688,Viet Nam,Scotophilus kuhlii,1,2014,0
MZ544326.1,16715x47-92,Scotophilus kuhlii picornavirus,Unclassified,Picornaviridae,3402,Viet Nam,Scotophilus kuhlii,1,2014,0
MZ544327.1,16715x48-64,Scotophilus kuhlii picornavirus,Unclassified,Picornaviridae,3734,Viet Nam,Scotophilus kuhlii,1,2014,0
MZ544328.1,16715x55-49,Scotophilus kuhlii picornavirus,Unclassified,Picornaviridae,7148,Viet Nam,Scotophilus kuhlii,1,2014,0
MZ544329.1,16715x62-221,Scotophilus kuhlii picornavirus,Unclassified,Picornaviridae,2993,Viet Nam,Scotophilus kuhlii,1,2014,0
MZ544330.1,16715x63-83,Scotophilus kuhlii picornavirus,Unclassified,Picornaviridae,3652,Viet Nam,Scotophilus kuhlii,1,2014,0
MZ544331.1,16715x70-52,Scotophilus kuhlii picornavirus,Unclassified,Picornaviridae,5749,Viet Nam,Scotophilus kuhlii,1,2014,0
MZ544332.1,16715x71-53,Scotophilus kuhlii picornavirus,Unclassified,Picornaviridae,6166,Viet Nam,Scotophilus kuhlii,1,2014,0
MZ544333.1,16715x71-138,Scotophilus kuhlii picornavirus,Unclassified,Picornaviridae,3687,Viet Nam,Scotophilus kuhlii,1,2014,0
MZ544334.1,16715x78-128,Scotophilus kuhlii picornavirus,Unclassified,Picornaviridae,3228,Viet Nam,Scotophilus kuhlii,1,2014,0
MZ544335.1,16715x78-135,Scotophilus kuhlii picornavirus,Unclassified,Picornaviridae,3169,Viet Nam,Scotophilus kuhlii,1,2014,0
MZ544336.1,16715x86-61,Scotophilus kuhlii picornavirus,Unclassified,Picornaviridae,4546,Viet Nam,Scotophilus kuhlii,1,2014,0
MZ544337.1,16715x86-129,Scotophilus kuhlii picornavirus,Unclassified,Picornaviridae,3097,Viet Nam,Scotophilus kuhlii,1,2014,0
MZ544338.1,16715x87-66,Scotophilus kuhlii picornavirus,Unclassified,Picornaviridae,4248,Viet Nam,Scotophilus kuhlii,1,2014,0
MZ544339.1,16715x87-110,Scotophilus kuhlii picornavirus,Unclassified,Picornaviridae,3091,Viet Nam,Scotophilus kuhlii,1,2014,0
MZ544341.1,16715x95-53,Scotophilus kuhlii picornavirus,Unclassified,Picornaviridae,5317,Viet Nam,Scotophilus kuhlii,1,2014,0
MZ544342.1,16715x95-54,Scotophilus kuhlii picornavirus,Unclassified,Picornaviridae,5266,Viet Nam,Scotophilus kuhlii,1,2014,0
MZ544343.1,16845x8-72,Scotophilus kuhlii picornavirus,Unclassified,Picornaviridae,4720,Viet Nam,Scotophilus kuhlii,1,2014,0
MZ544344.1,16845x24-69,Scotophilus kuhlii picornavirus,Unclassified,Picornaviridae,4982,Viet Nam,Scotophilus kuhlii,1,2014,0
MZ544345.1,16845x32-41,Scotophilus kuhlii picornavirus,Unclassified,Picornaviridae,5491,Viet Nam,Scotophilus kuhlii,1,2014,0
MZ544346.1,16845x32-90,Scotophilus kuhlii picornavirus,Unclassified,Picornaviridae,3531,Viet Nam,Scotophilus kuhlii,1,2014,0
MZ544347.1,16845x40-27,Scotophilus kuhlii picornavirus,Unclassified,Picornaviridae,6233,Viet Nam,Scotophilus kuhlii,1,2014,0
MZ544348.1,16845x40-47,Scotophilus kuhlii picornavirus,Unclassified,Picornaviridae,4771,Viet Nam,Scotophilus kuhlii,1,2014,0
MZ544349.1,16845x55-96,Scotophilus kuhlii picornavirus,Unclassified,Picornaviridae,4003,Viet Nam,Scotophilus kuhlii,1,2014,0
MZ544350.1,16845x55-175,Scotophilus kuhlii picornavirus,Unclassified,Picornaviridae,2699,Viet Nam,Scotophilus kuhlii,1,2014,0
MZ544351.1,16845x56-21,Scotophilus kuhlii picornavirus,Unclassified,Picornaviridae,6628,Viet Nam,Scotophilus kuhlii,1,2014,0
MZ544352.1,16845x56-22,Scotophilus kuhlii picornavirus,Unclassified,Picornaviridae,6628,Viet Nam,Scotophilus kuhlii,1,2014,0
MZ544353.1,16845x63-107,Scotophilus kuhlii picornavirus,Unclassified,Picornaviridae,4152,Viet Nam,Scotophilus kuhlii,1,2014,0
MZ544354.1,16845x64-33,Scotophilus kuhlii picornavirus,Unclassified,Picornaviridae,7188,Viet Nam,Scotophilus kuhlii,1,2014,0
MZ544355.1,16845x64-101,Scotophilus kuhlii picornavirus,Unclassified,Picornaviridae,3974,Viet Nam,Scotophilus kuhlii,1,2014,0
MZ544356.1,16845x85-72,Scotophilus kuhlii picornavirus,Unclassified,Picornaviridae,4084,Viet Nam,Scotophilus kuhlii,1,2014,0
MZ544357.1,16845x85-73,Scotophilus kuhlii picornavirus,Unclassified,Picornaviridae,4078,Viet Nam,Scotophilus kuhlii,1,2014,0
MZ544358.1,16845x85-100,Scotophilus kuhlii picornavirus,Unclassified,Picornaviridae,3631,Viet Nam,Scotophilus kuhlii,1,2014,0
MZ544359.1,17819x30-142,Scotophilus kuhlii picornavirus,Unclassified,Picornaviridae,4173,Viet Nam,Scotophilus kuhlii,1,2014,0
MZ544361.1,20745x10-59,Scotophilus kuhlii picornavirus,Unclassified,Picornaviridae,5246,Viet Nam,Scotophilus kuhlii,1,2015,0
MZ544362.1,20745x13-25,Scotophilus kuhlii picornavirus,Unclassified,Picornaviridae,6568,Viet Nam,Scotophilus kuhlii,1,2015,0
MZ544363.1,20745x13-43,Scotophilus kuhlii picornavirus,Unclassified,Picornaviridae,4705,Viet Nam,Scotophilus kuhlii,1,2015,0
MZ544364.1,20745x21-24,Scotophilus kuhlii picornavirus,Unclassified,Picornaviridae,5303,Viet Nam,Scotophilus kuhlii,1,2015,0
NC_030886.1,GCCDC1 356,Rousettus bat coronavirus GCCDC1,Coronavirus,Coronaviridae,,China,Rousettus leschenaulti,1,2018,0
OK149219.1,BatPeVyn11,Bat parechovirus,Parechovirus,Picornaviridae,7173,China,Hipposideros armiger,1,2017,0
OK149220.1,BatPeVyn20,Bat parechovirus,Parechovirus,Picornaviridae,7096,China,Hipposideros armiger,1,2017,0
OM302498.1,15893,Eptesicus fuscus hepatovirus,Hepatovirus,Picornaviridae,6921,USA,Eptesicus fuscus,1,2021,0
ON375332.1,BtPp-PicoV/F-HS1/SWE/2020,Shanbavirus A,Shanbavirus,Picornaviridae,7033,Sweden,Pipistrellus pygmaeus,1,2020,0
ON375333.1,BtPp-PicoV/F-HS2/SWE/2020,Shanbavirus A,Shanbavirus,Picornaviridae,5752,Sweden,Pipistrellus pygmaeus,1,2020,0
ON584157.1,15593,Eptesicus fuscus parechovirus,Parechovirus,Picornaviridae,7109,USA,Eptesicus fuscus,1,2021,0
ON872527.1,Ad02/aus/1,Bat faecal sapovirus,Sapovirus,Caliciviridae,7254,Australia,Pteropus poliocephalus,1,2019,0
OP287812.1,FEC145,Eidolon dupreanum kobuvirus,Kobuvirus,Picornaviridae,8263,Madagascar,Eidolon dupreanum,1,2018,0
OP880198.1,Sun-2020,Myotis brandtii picorna-like virus 1,Unclassified,Picornaviridae,11121,Sweden,Myotis brandtii,1,2020,0
OP930874.1,GZ/L177.18/2022,Bat sapovirus,Sapovirus,Caliciviridae,7709,China,Ia io,1,2022,0
OP930875.1,GD/L107.18/2022,Bat sapovirus,Sapovirus,Caliciviridae,4756,China,Hipposideros armiger,1,2022,0
OP963614.1,,Bat picornavirus BtSY1,Unclassified,Picornaviridae,7715,China,Rhinolophus pusillus,1,2018,0
OP963615.1,,Bat picornavirus BtSY2,Unclassified,Picornaviridae,6850,China,Rhinolophus pusillus,1,2018,0
OP963617.1,,Bat picornavirus BtSY4,Unclassified,Picornaviridae,7750,China,Rhinolophus marshalli,1,2018,0
OP963618.1,,Bat picornavirus BtSY5,Unclassified,Picornaviridae,7253,China,Rhinolophus pusillus,1,2018,0
OP963619.1,,Bat picornavirus BtSY6,Unclassified,Picornaviridae,6881,China,Rhinolophus marshalli,1,2018,0
OP963620.1,,Bat picornavirus BtSY7,Unclassified,Picornaviridae,6914,China,Hipposideros larvatus,1,2015,0
OP963621.1,,Bat picornavirus BtSY8,Unclassified,Picornaviridae,6915,China,Rhinolophus pusillus,1,2018,0
OP963622.1,,Bat sapovirus BtSY1,Sapovirus,Caliciviridae,7212,China,Cynopterus sphinx,1,2016,0
