pointer,OQ818321,OQ818329,OQ818343,NC_033820.1
130,75.0,80.0,100.0,80.0
131,76.0,80.0,100.0,80.0
132,76.0,80.0,100.0,80.0
133,75.0,80.0,100.0,80.0
134,76.0,81.0,100.0,80.0
135,76.0,81.0,100.0,79.0
136,76.0,81.0,100.0,79.0
137,76.0,82.0,100.0,79.0
138,76.0,82.0,100.0,79.0
139,75.0,81.0,100.0,78.0
140,74.0,81.0,100.0,77.0
141,73.0,80.0,100.0,77.0
142,72.0,79.0,100.0,76.0
143,72.0,80.0,100.0,76.0
144,72.0,80.0,100.0,76.0
145,72.0,79.0,100.0,75.0
146,73.0,80.0,100.0,75.0
147,73.0,80.0,100.0,75.0
148,72.0,79.0,100.0,76.0
149,72.0,78.0,100.0,76.0
150,72.0,78.0,100.0,76.0
151,71.0,77.0,100.0,75.0
152,72.0,77.0,100.0,74.0
153,72.0,77.0,100.0,73.0
154,71.0,76.0,100.0,73.0
155,70.0,76.0,100.0,73.0
156,69.0,76.0,100.0,72.0
157,68.0,76.0,100.0,72.0
158,69.0,76.0,100.0,72.0
159,69.0,76.0,100.0,72.0
160,69.0,75.0,100.0,72.0
161,70.0,75.0,100.0,71.0
162,70.0,75.0,100.0,71.0
163,69.0,74.0,100.0,72.0
164,69.0,73.0,100.0,73.0
165,69.0,72.0,100.0,73.0
166,69.0,71.0,100.0,73.0
167,68.0,72.0,100.0,73.0
168,68.0,72.0,100.0,73.0
169,67.0,72.0,100.0,72.0
170,68.0,73.0,100.0,72.0
171,68.0,73.0,100.0,72.0
172,68.0,72.0,100.0,72.0
173,68.0,71.0,100.0,72.0
174,68.0,70.0,100.0,72.0
175,68.0,69.0,100.0,72.0
176,68.0,69.0,100.0,72.0
177,68.0,69.0,100.0,72.0
178,67.0,68.0,100.0,71.0
179,67.0,68.0,100.0,71.0
180,67.0,68.0,100.0,71.0
181,67.0,67.0,100.0,71.0
182,68.0,67.0,100.0,72.0
183,68.0,67.0,100.0,71.0
184,67.0,66.0,100.0,72.0
185,68.0,66.0,100.0,72.0
186,68.0,66.0,100.0,72.0
187,67.0,65.0,100.0,71.0
188,67.0,65.0,100.0,71.0
189,68.0,65.0,100.0,71.0
190,68.0,66.0,100.0,71.0
191,69.0,67.0,100.0,72.0
192,69.0,68.0,100.0,73.0
193,69.0,68.0,100.0,72.0
194,69.0,68.0,100.0,72.0
195,69.0,68.0,100.0,72.0
196,69.0,68.0,100.0,73.0
197,69.0,68.0,100.0,73.0
198,69.0,68.0,100.0,73.0
199,69.0,67.0,100.0,73.0
200,68.0,67.0,100.0,73.0
201,68.0,67.0,100.0,73.0
202,68.0,66.0,100.0,72.0
203,68.0,66.0,100.0,72.0
204,67.0,65.0,100.0,72.0
205,67.0,64.0,100.0,72.0
206,68.0,65.0,100.0,72.0
207,69.0,66.0,100.0,72.0
208,69.0,65.0,100.0,72.0
209,69.0,66.0,99.0,71.0
210,70.0,66.0,99.0,70.0
211,70.0,65.0,99.0,70.0
212,71.0,65.0,99.0,71.0
213,71.0,65.0,99.0,70.0
214,71.0,64.0,99.0,69.0
215,71.0,64.0,99.0,69.0
216,72.0,64.0,99.0,70.0
217,72.0,63.0,99.0,69.0
218,73.0,64.0,99.0,69.0
219,73.0,64.0,99.0,69.0
220,73.0,64.0,99.0,68.0
221,74.0,65.0,99.0,68.0
222,73.0,66.0,99.0,68.0
223,72.0,66.0,99.0,67.0
224,72.0,66.0,99.0,68.0
225,71.0,65.0,99.0,68.0
226,70.0,64.0,99.0,69.0
227,70.0,65.0,99.0,69.0
228,70.0,65.0,99.0,69.0
229,70.0,65.0,99.0,69.0
230,71.0,65.0,99.0,69.0
231,71.0,65.0,99.0,69.0
232,70.0,64.0,98.0,69.0
233,71.0,64.0,98.0,69.0
234,70.0,64.0,98.0,69.0
235,69.0,63.0,98.0,70.0
236,68.0,62.0,98.0,70.0
237,67.0,61.0,98.0,70.0
238,66.0,60.0,98.0,70.0
239,66.0,60.0,98.0,70.0
240,67.0,61.0,98.0,70.0
241,67.0,61.0,98.0,69.0
242,68.0,61.0,98.0,70.0
243,68.0,61.0,98.0,71.0
244,67.0,60.0,98.0,70.0
245,67.0,60.0,98.0,71.0
246,67.0,60.0,98.0,71.0
247,66.0,59.0,98.0,70.0
248,67.0,60.0,98.0,70.0
249,67.0,61.0,98.0,70.0
250,66.0,60.0,98.0,70.0
251,67.0,61.0,98.0,71.0
252,67.0,60.0,98.0,72.0
253,66.0,59.0,98.0,73.0
254,67.0,60.0,98.0,73.0
255,68.0,60.0,98.0,73.0
256,68.0,59.0,98.0,74.0
257,69.0,59.0,98.0,74.0
258,69.0,59.0,98.0,74.0
259,68.0,57.99999999999999,98.0,74.0
260,68.0,59.0,98.0,74.0
261,68.0,60.0,98.0,74.0
262,67.0,59.0,98.0,74.0
263,68.0,60.0,98.0,74.0
264,68.0,61.0,98.0,74.0
265,67.0,61.0,97.0,73.0
266,67.0,61.0,97.0,73.0
267,68.0,60.0,97.0,74.0
268,68.0,59.0,97.0,74.0
269,69.0,59.0,97.0,75.0
270,69.0,59.0,97.0,75.0
271,68.0,57.99999999999999,97.0,74.0
272,68.0,59.0,97.0,74.0
273,69.0,60.0,97.0,74.0
274,69.0,61.0,97.0,74.0
275,68.0,62.0,97.0,75.0
276,67.0,62.0,97.0,75.0
277,67.0,62.0,97.0,75.0
278,68.0,63.0,97.0,76.0
279,68.0,63.0,97.0,77.0
280,67.0,62.0,96.0,76.0
281,67.0,63.0,96.0,76.0
282,67.0,63.0,96.0,76.0
283,66.0,63.0,96.0,76.0
284,67.0,64.0,96.0,76.0
285,67.0,64.0,96.0,76.0
286,67.0,64.0,96.0,76.0
287,68.0,64.0,96.0,77.0
288,68.0,64.0,96.0,77.0
289,68.0,63.0,96.0,76.0
290,68.0,63.0,96.0,75.0
291,68.0,63.0,96.0,75.0
292,68.0,63.0,96.0,74.0
293,68.0,63.0,96.0,75.0
294,68.0,63.0,96.0,75.0
295,68.0,63.0,96.0,74.0
296,68.0,63.0,96.0,74.0
297,68.0,63.0,96.0,74.0
298,67.0,63.0,96.0,74.0
299,67.0,64.0,96.0,73.0
300,68.0,64.0,96.0,72.0
301,68.0,64.0,96.0,71.0
302,68.0,65.0,96.0,71.0
303,69.0,66.0,96.0,71.0
304,70.0,66.0,96.0,70.0
305,70.0,67.0,96.0,70.0
306,70.0,67.0,96.0,70.0
307,69.0,66.0,96.0,69.0
308,69.0,67.0,96.0,68.0
309,69.0,67.0,97.0,68.0
310,69.0,66.0,97.0,68.0
311,69.0,67.0,97.0,69.0
312,69.0,67.0,97.0,69.0
313,68.0,67.0,97.0,69.0
314,68.0,68.0,97.0,69.0
315,68.0,68.0,97.0,69.0
316,67.0,67.0,97.0,69.0
317,67.0,67.0,97.0,69.0
318,67.0,67.0,97.0,69.0
319,66.0,66.0,97.0,68.0
320,65.0,66.0,97.0,69.0
321,64.0,65.0,97.0,69.0
322,65.0,65.0,97.0,68.0
323,66.0,65.0,97.0,68.0
324,67.0,66.0,97.0,68.0
325,68.0,67.0,97.0,68.0
326,69.0,68.0,97.0,68.0
327,68.0,68.0,97.0,69.0
328,67.0,67.0,97.0,68.0
329,67.0,67.0,97.0,68.0
330,67.0,66.0,97.0,68.0
331,66.0,65.0,97.0,68.0
332,67.0,66.0,98.0,68.0
333,67.0,66.0,98.0,68.0
334,68.0,65.0,98.0,67.0
335,69.0,66.0,98.0,66.0
336,70.0,67.0,98.0,66.0
337,70.0,68.0,98.0,66.0
338,70.0,68.0,98.0,66.0
339,71.0,68.0,98.0,67.0
340,70.0,68.0,98.0,67.0
341,70.0,68.0,98.0,68.0
342,69.0,68.0,98.0,68.0
343,68.0,67.0,98.0,67.0
344,69.0,68.0,98.0,67.0
345,70.0,69.0,98.0,67.0
346,70.0,69.0,98.0,67.0
347,71.0,69.0,98.0,68.0
348,71.0,69.0,98.0,68.0
349,70.0,69.0,98.0,67.0
350,71.0,69.0,98.0,66.0
351,71.0,69.0,98.0,65.0
352,70.0,69.0,98.0,65.0
353,71.0,70.0,98.0,65.0
354,71.0,70.0,98.0,65.0
355,71.0,69.0,97.0,64.0
356,72.0,70.0,97.0,63.0
357,72.0,70.0,97.0,62.0
358,71.0,69.0,97.0,62.0
359,72.0,70.0,97.0,62.0
360,72.0,70.0,97.0,62.0
361,71.0,70.0,97.0,63.0
362,72.0,71.0,97.0,64.0
363,72.0,71.0,97.0,64.0
364,71.0,70.0,97.0,63.0
365,71.0,70.0,98.0,64.0
366,71.0,70.0,98.0,64.0
367,70.0,70.0,98.0,63.0
368,69.0,71.0,98.0,63.0
369,69.0,71.0,98.0,62.0
370,69.0,71.0,98.0,62.0
371,69.0,71.0,98.0,62.0
372,69.0,71.0,98.0,62.0
373,68.0,70.0,98.0,61.0
374,69.0,70.0,98.0,61.0
375,70.0,70.0,98.0,61.0
376,71.0,69.0,98.0,61.0
377,71.0,69.0,98.0,61.0
378,70.0,68.0,98.0,60.0
379,69.0,67.0,98.0,59.0
380,70.0,68.0,99.0,60.0
381,70.0,68.0,99.0,60.0
382,69.0,67.0,99.0,59.0
383,70.0,67.0,99.0,60.0
384,70.0,67.0,99.0,59.0
385,70.0,66.0,99.0,59.0
386,70.0,66.0,99.0,57.99999999999999
387,70.0,67.0,99.0,56.99999999999999
388,70.0,67.0,99.0,56.00000000000001
389,70.0,68.0,99.0,56.99999999999999
390,70.0,68.0,99.0,57.99999999999999
391,70.0,68.0,99.0,56.99999999999999
392,70.0,68.0,99.0,57.99999999999999
393,70.0,68.0,99.0,57.99999999999999
394,69.0,67.0,99.0,56.99999999999999
395,69.0,67.0,99.0,57.99999999999999
396,69.0,67.0,99.0,57.99999999999999
397,69.0,67.0,99.0,56.99999999999999
398,70.0,67.0,99.0,56.00000000000001
399,70.0,67.0,99.0,56.00000000000001
400,70.0,66.0,99.0,56.99999999999999
401,69.0,66.0,99.0,57.99999999999999
402,68.0,65.0,99.0,59.0
403,67.0,64.0,99.0,59.0
404,67.0,65.0,99.0,59.0
405,67.0,65.0,99.0,59.0
406,67.0,64.0,99.0,57.99999999999999
407,68.0,65.0,99.0,59.0
408,68.0,65.0,99.0,60.0
409,67.0,64.0,99.0,60.0
410,67.0,65.0,99.0,60.0
411,67.0,65.0,99.0,60.0
412,67.0,65.0,99.0,59.0
413,68.0,65.0,99.0,59.0
414,68.0,65.0,99.0,59.0
415,68.0,65.0,99.0,59.0
416,69.0,66.0,99.0,57.99999999999999
417,70.0,67.0,99.0,59.0
418,69.0,66.0,99.0,60.0
419,70.0,67.0,99.0,61.0
420,71.0,67.0,99.0,61.0
421,71.0,68.0,99.0,61.0
422,71.0,68.0,99.0,61.0
423,71.0,68.0,99.0,62.0
424,71.0,67.0,99.0,62.0
425,71.0,67.0,99.0,62.0
426,71.0,67.0,99.0,62.0
427,71.0,66.0,99.0,61.0
428,72.0,67.0,99.0,61.0
429,72.0,67.0,99.0,60.0
430,72.0,68.0,99.0,59.0
431,73.0,69.0,99.0,57.99999999999999
432,73.0,69.0,99.0,57.99999999999999
433,72.0,68.0,98.0,56.99999999999999
434,72.0,69.0,98.0,57.99999999999999
435,72.0,69.0,98.0,57.99999999999999
436,71.0,68.0,98.0,56.99999999999999
437,72.0,68.0,98.0,56.99999999999999
438,73.0,69.0,98.0,56.99999999999999
439,73.0,70.0,98.0,56.00000000000001
440,74.0,70.0,98.0,56.99999999999999
441,75.0,71.0,98.0,56.00000000000001
442,75.0,71.0,97.0,56.00000000000001
443,76.0,72.0,97.0,56.99999999999999
444,76.0,72.0,97.0,57.99999999999999
445,75.0,71.0,97.0,57.99999999999999
446,75.0,71.0,97.0,57.99999999999999
447,75.0,71.0,97.0,56.99999999999999
448,74.0,70.0,97.0,56.00000000000001
449,75.0,70.0,97.0,56.99999999999999
450,75.0,71.0,97.0,57.99999999999999
451,75.0,71.0,97.0,57.99999999999999
452,76.0,72.0,97.0,57.99999999999999
453,76.0,72.0,97.0,57.99999999999999
454,76.0,71.0,97.0,56.99999999999999
455,76.0,72.0,98.0,56.99999999999999
456,76.0,72.0,98.0,57.99999999999999
457,76.0,72.0,98.0,59.0
458,77.0,73.0,98.0,59.0
459,77.0,73.0,98.0,59.0
460,77.0,72.0,98.0,59.0
461,78.0,72.0,98.0,57.99999999999999
462,78.0,72.0,98.0,56.99999999999999
463,78.0,72.0,97.0,56.00000000000001
464,79.0,73.0,97.0,56.99999999999999
465,80.0,74.0,97.0,56.99999999999999
466,80.0,74.0,97.0,56.99999999999999
467,81.0,75.0,97.0,57.99999999999999
468,82.0,75.0,97.0,57.99999999999999
469,82.0,75.0,97.0,59.0
470,82.0,75.0,97.0,59.0
471,83.0,76.0,97.0,60.0
472,82.0,75.0,97.0,59.0
473,82.0,75.0,97.0,59.0
474,81.0,75.0,97.0,59.0
475,80.0,74.0,97.0,57.99999999999999
476,79.0,75.0,97.0,57.99999999999999
477,79.0,75.0,97.0,56.99999999999999
478,80.0,76.0,97.0,56.99999999999999
479,81.0,77.0,97.0,56.99999999999999
480,80.0,77.0,97.0,56.00000000000001
481,79.0,76.0,97.0,56.00000000000001
482,80.0,77.0,97.0,56.99999999999999
483,80.0,77.0,97.0,56.00000000000001
484,79.0,77.0,97.0,56.00000000000001
485,79.0,78.0,97.0,56.00000000000001
486,78.0,78.0,97.0,56.99999999999999
487,77.0,78.0,97.0,57.99999999999999
488,77.0,78.0,97.0,59.0
489,77.0,78.0,97.0,57.99999999999999
490,77.0,78.0,97.0,57.99999999999999
491,76.0,78.0,97.0,59.0
492,76.0,78.0,97.0,57.99999999999999
493,75.0,77.0,97.0,57.99999999999999
494,76.0,78.0,97.0,59.0
495,76.0,78.0,97.0,59.0
496,76.0,77.0,97.0,59.0
497,76.0,77.0,97.0,60.0
498,76.0,77.0,97.0,61.0
499,76.0,76.0,97.0,62.0
500,76.0,77.0,97.0,61.0
501,77.0,77.0,97.0,60.0
502,78.0,77.0,96.0,59.0
503,79.0,78.0,96.0,59.0
504,79.0,78.0,96.0,60.0
505,78.0,77.0,96.0,60.0
506,78.0,78.0,96.0,61.0
507,78.0,78.0,96.0,61.0
508,78.0,78.0,96.0,61.0
509,79.0,79.0,96.0,62.0
510,79.0,78.0,96.0,63.0
511,78.0,77.0,96.0,62.0
512,78.0,77.0,96.0,63.0
513,78.0,77.0,96.0,64.0
514,78.0,76.0,96.0,64.0
515,78.0,76.0,96.0,64.0
516,78.0,76.0,96.0,65.0
517,77.0,75.0,96.0,64.0
518,77.0,75.0,96.0,63.0
519,77.0,75.0,96.0,62.0
520,76.0,74.0,96.0,62.0
521,76.0,73.0,96.0,61.0
522,76.0,73.0,96.0,62.0
523,76.0,73.0,96.0,62.0
524,76.0,74.0,96.0,62.0
525,76.0,74.0,96.0,62.0
526,75.0,74.0,96.0,61.0
527,76.0,74.0,95.0,62.0
528,76.0,73.0,95.0,63.0
529,75.0,72.0,95.0,63.0
530,74.0,71.0,95.0,64.0
531,74.0,71.0,95.0,64.0
532,73.0,70.0,95.0,63.0
533,74.0,71.0,96.0,64.0
534,73.0,70.0,96.0,64.0
535,72.0,70.0,96.0,64.0
536,73.0,71.0,96.0,65.0
537,73.0,71.0,96.0,64.0
538,72.0,70.0,96.0,64.0
539,71.0,69.0,96.0,65.0
540,71.0,69.0,96.0,65.0
541,70.0,69.0,96.0,65.0
542,71.0,70.0,97.0,65.0
543,71.0,70.0,97.0,65.0
544,71.0,69.0,97.0,65.0
545,71.0,70.0,97.0,64.0
546,71.0,70.0,97.0,64.0
547,70.0,70.0,97.0,64.0
548,70.0,70.0,97.0,64.0
549,70.0,70.0,97.0,63.0
550,70.0,70.0,97.0,63.0
551,70.0,70.0,97.0,63.0
552,70.0,69.0,97.0,62.0
553,69.0,68.0,97.0,61.0
554,68.0,69.0,97.0,62.0
555,68.0,68.0,97.0,63.0
556,67.0,67.0,97.0,63.0
557,67.0,66.0,97.0,63.0
558,66.0,66.0,97.0,63.0
559,65.0,65.0,97.0,62.0
560,65.0,65.0,97.0,61.0
561,65.0,65.0,97.0,62.0
562,64.0,64.0,97.0,62.0
563,64.0,64.0,98.0,62.0
564,64.0,64.0,98.0,62.0
565,64.0,64.0,98.0,62.0
566,64.0,65.0,98.0,62.0
567,64.0,65.0,98.0,62.0
568,63.0,65.0,98.0,61.0
569,63.0,65.0,98.0,61.0
570,63.0,65.0,98.0,60.0
571,62.0,64.0,98.0,59.0
572,62.0,65.0,98.0,60.0
573,63.0,66.0,98.0,61.0
574,64.0,66.0,98.0,61.0
575,65.0,67.0,98.0,62.0
576,66.0,67.0,98.0,62.0
577,66.0,67.0,98.0,63.0
578,65.0,67.0,98.0,64.0
579,65.0,67.0,98.0,64.0
580,66.0,67.0,98.0,65.0
581,67.0,68.0,98.0,65.0
582,67.0,68.0,98.0,65.0
583,66.0,67.0,98.0,65.0
584,66.0,67.0,98.0,65.0
585,66.0,67.0,98.0,64.0
586,66.0,67.0,98.0,64.0
587,67.0,67.0,98.0,63.0
588,67.0,67.0,98.0,62.0
589,66.0,66.0,98.0,62.0
590,66.0,66.0,98.0,62.0
591,67.0,66.0,98.0,62.0
592,66.0,65.0,98.0,63.0
593,67.0,66.0,98.0,63.0
594,67.0,66.0,98.0,63.0
595,66.0,65.0,98.0,63.0
596,66.0,65.0,98.0,63.0
597,66.0,64.0,98.0,63.0
598,66.0,63.0,98.0,63.0
599,65.0,64.0,98.0,63.0
600,65.0,64.0,98.0,63.0
601,65.0,63.0,98.0,63.0
602,64.0,63.0,99.0,64.0
603,64.0,63.0,99.0,63.0
604,63.0,62.0,99.0,63.0
605,64.0,63.0,99.0,63.0
606,64.0,63.0,99.0,63.0
607,64.0,63.0,99.0,62.0
608,64.0,63.0,99.0,61.0
609,64.0,63.0,99.0,60.0
610,63.0,63.0,99.0,59.0
611,63.0,64.0,99.0,60.0
612,63.0,64.0,99.0,60.0
613,62.0,64.0,99.0,60.0
614,62.0,65.0,99.0,61.0
615,62.0,65.0,99.0,61.0
616,62.0,64.0,99.0,60.0
617,63.0,65.0,99.0,61.0
618,64.0,66.0,99.0,62.0
619,64.0,65.0,99.0,62.0
620,65.0,66.0,99.0,62.0
621,66.0,67.0,99.0,63.0
622,66.0,67.0,99.0,62.0
623,66.0,67.0,99.0,62.0
624,66.0,67.0,99.0,62.0
625,65.0,67.0,99.0,61.0
626,66.0,67.0,99.0,62.0
627,66.0,68.0,100.0,62.0
628,66.0,69.0,100.0,61.0
629,67.0,70.0,100.0,62.0
630,68.0,71.0,100.0,62.0
631,68.0,70.0,100.0,63.0
632,69.0,71.0,100.0,64.0
633,69.0,71.0,100.0,63.0
634,70.0,72.0,100.0,62.0
635,71.0,71.0,100.0,63.0
636,71.0,71.0,100.0,62.0
637,70.0,70.0,99.0,62.0
638,71.0,71.0,99.0,61.0
639,71.0,72.0,99.0,61.0
640,71.0,71.0,99.0,60.0
641,72.0,71.0,99.0,61.0
642,72.0,71.0,99.0,61.0
643,72.0,70.0,99.0,60.0
644,72.0,71.0,99.0,59.0
645,73.0,70.0,99.0,59.0
646,73.0,69.0,99.0,57.99999999999999
647,74.0,70.0,99.0,59.0
648,75.0,71.0,99.0,60.0
649,75.0,70.0,99.0,61.0
650,75.0,69.0,99.0,61.0
651,75.0,68.0,99.0,62.0
652,75.0,68.0,99.0,62.0
653,76.0,69.0,99.0,63.0
654,77.0,69.0,99.0,63.0
655,76.0,69.0,99.0,62.0
656,77.0,70.0,99.0,62.0
657,77.0,71.0,99.0,62.0
658,77.0,70.0,99.0,61.0
659,78.0,71.0,99.0,62.0
660,78.0,72.0,99.0,63.0
661,77.0,71.0,99.0,63.0
662,78.0,71.0,99.0,63.0
663,78.0,71.0,99.0,64.0
664,77.0,70.0,99.0,64.0
665,77.0,70.0,99.0,64.0
666,77.0,69.0,99.0,64.0
667,76.0,68.0,99.0,63.0
668,77.0,68.0,99.0,63.0
669,77.0,67.0,99.0,62.0
670,77.0,67.0,99.0,62.0
671,78.0,68.0,99.0,63.0
672,79.0,68.0,99.0,63.0
673,79.0,67.0,99.0,62.0
674,78.0,67.0,99.0,61.0
675,78.0,67.0,99.0,60.0
676,77.0,66.0,99.0,60.0
677,76.0,66.0,99.0,60.0
678,77.0,66.0,99.0,60.0
679,76.0,66.0,99.0,61.0
680,76.0,66.0,99.0,61.0
681,76.0,66.0,99.0,61.0
682,75.0,66.0,99.0,60.0
683,76.0,67.0,99.0,61.0
684,77.0,67.0,99.0,62.0
685,77.0,67.0,99.0,62.0
686,78.0,67.0,99.0,61.0
687,78.0,67.0,99.0,61.0
688,78.0,67.0,99.0,61.0
689,79.0,68.0,99.0,62.0
690,79.0,68.0,99.0,61.0
691,78.0,67.0,99.0,60.0
692,79.0,68.0,99.0,60.0
693,79.0,68.0,99.0,60.0
694,79.0,67.0,99.0,59.0
695,79.0,68.0,99.0,57.99999999999999
696,79.0,69.0,99.0,56.99999999999999
697,78.0,70.0,99.0,56.99999999999999
698,78.0,71.0,99.0,56.00000000000001
699,79.0,71.0,99.0,56.00000000000001
700,78.0,70.0,99.0,56.00000000000001
701,78.0,71.0,99.0,56.99999999999999
702,79.0,72.0,99.0,56.00000000000001
703,78.0,72.0,99.0,56.00000000000001
704,78.0,73.0,99.0,56.00000000000001
705,78.0,73.0,99.0,56.00000000000001
706,78.0,72.0,99.0,56.00000000000001
707,78.0,72.0,99.0,56.99999999999999
708,78.0,72.0,99.0,56.99999999999999
709,77.0,71.0,98.0,56.99999999999999
710,78.0,71.0,98.0,56.99999999999999
711,79.0,71.0,98.0,56.00000000000001
712,78.0,70.0,98.0,56.00000000000001
713,79.0,70.0,98.0,56.00000000000001
714,79.0,69.0,98.0,55.00000000000001
715,78.0,68.0,98.0,55.00000000000001
716,78.0,69.0,98.0,56.00000000000001
717,78.0,69.0,98.0,56.00000000000001
718,77.0,68.0,98.0,55.00000000000001
719,76.0,69.0,98.0,55.00000000000001
720,76.0,69.0,98.0,54.0
721,75.0,69.0,98.0,54.0
722,74.0,68.0,98.0,55.00000000000001
723,73.0,67.0,98.0,55.00000000000001
724,72.0,66.0,98.0,54.0
725,73.0,66.0,98.0,54.0
726,73.0,66.0,98.0,54.0
727,72.0,66.0,98.0,54.0
728,72.0,66.0,98.0,55.00000000000001
729,72.0,66.0,98.0,55.00000000000001
730,72.0,66.0,98.0,54.0
731,71.0,66.0,98.0,54.0
732,71.0,66.0,98.0,54.0
733,71.0,66.0,98.0,54.0
734,71.0,66.0,98.0,55.00000000000001
735,71.0,67.0,98.0,55.00000000000001
736,70.0,66.0,98.0,56.00000000000001
737,71.0,67.0,99.0,56.99999999999999
738,71.0,67.0,99.0,57.99999999999999
739,71.0,66.0,99.0,57.99999999999999
740,71.0,67.0,99.0,59.0
741,71.0,67.0,99.0,59.0
742,70.0,66.0,99.0,59.0
743,69.0,66.0,99.0,60.0
744,69.0,66.0,99.0,61.0
745,68.0,66.0,99.0,61.0
746,67.0,66.0,99.0,62.0
747,66.0,65.0,99.0,62.0
748,65.0,64.0,99.0,61.0
749,65.0,65.0,99.0,61.0
750,65.0,66.0,99.0,60.0
751,64.0,66.0,99.0,59.0
752,64.0,67.0,99.0,60.0
753,64.0,67.0,99.0,60.0
754,63.0,66.0,99.0,59.0
755,64.0,67.0,99.0,60.0
756,64.0,67.0,99.0,59.0
757,64.0,67.0,99.0,59.0
758,65.0,68.0,99.0,60.0
759,65.0,68.0,99.0,60.0
760,65.0,68.0,99.0,60.0
761,66.0,68.0,99.0,60.0
762,66.0,69.0,99.0,60.0
763,65.0,69.0,99.0,59.0
764,65.0,69.0,99.0,59.0
765,64.0,68.0,99.0,59.0
766,63.0,69.0,99.0,57.99999999999999
767,63.0,69.0,99.0,59.0
768,63.0,69.0,99.0,59.0
769,62.0,69.0,99.0,60.0
770,62.0,69.0,99.0,61.0
771,62.0,69.0,99.0,61.0
772,61.0,69.0,99.0,61.0
773,61.0,70.0,99.0,62.0
774,62.0,70.0,99.0,63.0
775,61.0,69.0,99.0,64.0
776,62.0,70.0,99.0,64.0
777,63.0,70.0,99.0,63.0
778,63.0,70.0,99.0,63.0
779,64.0,69.0,99.0,63.0
780,63.0,68.0,99.0,63.0
781,62.0,67.0,99.0,63.0
782,63.0,67.0,99.0,63.0
783,63.0,67.0,99.0,63.0
784,63.0,66.0,99.0,63.0
785,63.0,66.0,99.0,64.0
786,63.0,66.0,99.0,65.0
787,63.0,66.0,99.0,66.0
788,63.0,66.0,99.0,66.0
789,63.0,66.0,99.0,65.0
790,63.0,66.0,99.0,65.0
791,64.0,67.0,99.0,65.0
792,64.0,67.0,99.0,65.0
793,64.0,66.0,99.0,65.0
794,64.0,67.0,99.0,66.0
795,65.0,67.0,99.0,67.0
796,64.0,66.0,99.0,68.0
797,65.0,66.0,99.0,67.0
798,65.0,66.0,99.0,67.0
