pointer,JX885611.1,OP287812.1
1410,73,76
1411,73,76
1412,73,77
1413,74,77
1414,74,77
1415,73,76
1416,73,76
1417,73,76
1418,73,76
1419,73,76
1420,73,76
1421,72,75
1422,73,75
1423,74,76
1424,74,76
1425,74,76
1426,73,75
1427,72,75
1428,73,76
1429,73,76
1430,73,76
1431,73,76
1432,73,76
1433,72,75
1434,72,75
1435,73,76
1436,73,76
1437,73,76
1438,73,76
1439,73,76
1440,74,77
1441,74,77
1442,74,77
1443,73,76
1444,73,76
1445,72,75
1446,72,75
1447,73,76
1448,73,76
1449,74,77
1450,74,77
1451,74,77
1452,74,77
1453,75,78
1454,74,78
1455,75,79
1456,76,80
1457,76,80
1458,77,81
1459,76,80
1460,77,81
1461,77,81
1462,78,82
1463,78,82
1464,79,83
1465,80,84
1466,79,83
1467,79,83
1468,79,83
1469,78,82
1470,78,82
1471,78,82
1472,78,82
1473,79,83
1474,79,83
1475,79,83
1476,79,83
1477,78,82
1478,78,82
1479,78,82
1480,78,82
1481,77,81
1482,77,81
1483,78,82
1484,78,82
1485,78,82
1486,78,82
1487,78,82
1488,78,82
1489,79,83
1490,80,84
1491,80,84
1492,79,83
1493,78,82
1494,77,81
1495,77,81
1496,77,81
1497,77,81
1498,78,82
1499,78,82
1500,78,82
1501,79,83
1502,79,83
1503,79,83
1504,78,82
1505,77,81
1506,78,81
1507,78,81
1508,78,81
1509,78,81
1510,78,81
1511,78,81
1512,79,81
1513,79,81
1514,79,81
1515,80,82
1516,81,83
1517,81,83
1518,81,83
1519,81,83
1520,81,83
1521,82,84
1522,82,84
1523,82,84
1524,82,84
1525,82,84
1526,83,85
1527,84,85
1528,84,85
1529,83,84
1530,83,84
1531,83,84
1532,83,84
1533,84,85
1534,84,85
1535,84,85
1536,84,85
1537,84,85
1538,84,85
1539,84,85
1540,84,85
1541,84,85
1542,84,85
1543,85,86
1544,85,86
1545,85,86
1546,85,86
1547,84,85
1548,84,85
1549,83,84
1550,84,85
1551,84,85
1552,83,84
1553,82,84
1554,83,84
1555,83,84
1556,82,83
1557,82,83
1558,81,82
1559,82,83
1560,82,83
1561,82,83
1562,82,83
1563,82,83
1564,82,83
1565,82,83
1566,82,83
1567,82,83
1568,81,82
1569,82,83
1570,82,83
1571,81,83
1572,81,83
1573,81,83
1574,80,83
1575,80,83
1576,80,83
1577,81,84
1578,80,83
1579,80,83
1580,80,83
1581,81,84
1582,81,84
1583,81,84
1584,81,84
1585,81,84
1586,80,83
1587,80,83
1588,80,83
1589,79,82
1590,79,82
1591,79,82
1592,80,83
1593,81,84
1594,81,84
1595,81,84
1596,81,84
1597,80,83
1598,79,82
1599,79,82
1600,79,82
1601,78,81
1602,78,81
1603,78,81
1604,78,82
1605,78,82
1606,78,82
1607,78,82
1608,78,82
1609,78,82
1610,77,81
1611,77,81
1612,77,81
1613,77,81
1614,77,81
1615,77,81
1616,77,81
1617,76,80
1618,76,80
1619,75,79
1620,74,78
1621,73,77
1622,73,77
1623,72,76
1624,71,75
1625,71,75
1626,71,75
1627,71,75
1628,70,75
1629,70,75
1630,70,75
1631,70,75
1632,70,75
1633,70,75
1634,69,74
1635,69,74
1636,69,74
1637,68,73
1638,69,74
1639,69,74
1640,69,74
1641,69,74
1642,69,74
1643,69,74
1644,69,74
1645,70,75
1646,69,74
1647,70,75
1648,69,74
1649,70,75
1650,70,75
1651,70,75
1652,71,76
1653,72,76
1654,71,75
1655,71,75
1656,72,76
1657,72,76
1658,73,77
1659,73,77
1660,73,77
1661,72,76
1662,72,76
1663,72,76
1664,72,76
1665,72,76
1666,73,77
1667,72,76
1668,73,77
1669,73,77
1670,72,77
1671,73,77
1672,73,77
1673,72,76
1674,72,75
1675,72,75
1676,72,75
1677,72,75
1678,72,75
1679,72,75
1680,72,75
1681,72,75
1682,72,74
1683,72,74
1684,72,74
1685,72,74
1686,73,75
1687,72,75
1688,72,75
1689,72,75
1690,72,75
1691,71,74
1692,71,74
1693,71,74
1694,72,75
1695,72,75
1696,72,75
1697,73,76
1698,74,77
1699,74,77
1700,73,77
1701,74,78
1702,74,78
1703,74,77
1704,74,76
1705,75,77
1706,75,77
1707,74,76
1708,73,75
1709,73,75
1710,73,75
1711,72,74
1712,72,74
1713,72,74
1714,72,74
1715,72,74
1716,72,74
1717,73,75
1718,73,75
1719,74,76
1720,74,76
1721,75,77
1722,75,77
1723,76,78
1724,77,79
1725,76,78
1726,76,78
1727,76,78
1728,77,78
1729,78,79
1730,77,78
1731,77,78
1732,77,78
1733,77,78
1734,77,78
1735,76,78
1736,75,77
1737,75,78
1738,74,78
1739,73,77
1740,72,77
1741,71,77
1742,70,77
1743,69,77
1744,68,77
1745,67,76
1746,67,77
1747,66,77
1748,66,78
1749,65,77
1750,64,77
1751,63,77
1752,62,77
