pointer,KT452712.1,KT452713.1,KT452729.1,KT452731.1,KT452732.1,KT452743.1,KT452744.1,NC_028366.1,NC_038313.1,NC_038316.1
1314,56,56,50,52,51,55,55,56,55,52
1315,56,56,50,52,51,55,55,56,55,52
1316,56,56,51,53,51,55,55,56,55,53
1317,56,56,52,54,52,56,56,56,56,54
1318,56,56,52,54,52,56,56,56,56,54
1319,55,55,51,53,51,55,55,55,55,53
1320,55,55,52,54,52,56,56,55,56,54
1321,55,55,52,54,52,56,56,55,56,54
1322,54,54,51,53,51,55,55,54,55,53
1323,55,55,52,54,52,56,56,55,56,54
1324,55,55,52,54,52,56,56,55,56,54
1325,55,55,51,53,51,55,55,55,55,53
1326,56,56,52,54,52,56,56,56,56,54
1327,55,55,51,53,51,55,55,55,55,53
1328,55,55,51,53,51,55,55,55,55,53
1329,55,55,51,53,51,55,55,55,55,53
1330,55,55,51,53,51,55,55,55,55,53
1331,55,55,51,53,51,55,55,55,55,53
1332,55,55,52,53,51,55,55,55,55,53
1333,55,55,52,53,51,54,54,55,54,53
1334,54,54,51,52,50,53,53,54,53,52
1335,55,55,52,53,51,53,53,55,53,53
1336,55,55,52,53,51,52,52,55,52,53
1337,56,56,53,54,52,53,53,56,53,54
1338,56,56,53,53,52,52,52,56,52,53
1339,55,55,52,52,51,51,51,55,51,52
1340,56,56,52,53,51,51,51,56,51,53
1341,55,56,52,53,51,51,51,56,51,53
1342,56,57,53,54,52,51,51,57,51,54
1343,55,56,52,54,51,50,50,56,50,54
1344,55,56,51,54,52,50,50,56,50,54
1345,54,55,50,53,51,49,49,55,49,53
1346,54,55,50,53,51,49,49,55,49,53
1347,55,56,51,54,52,50,50,56,50,54
1348,55,56,51,54,52,50,50,56,50,54
1349,54,55,50,53,51,49,49,55,49,53
1350,55,56,50,53,51,49,49,56,49,53
1351,55,56,50,53,51,49,49,56,49,53
1352,56,57,50,54,52,50,50,57,50,54
1353,57,58,51,55,53,51,51,58,51,55
1354,57,58,51,55,53,51,51,58,51,55
1355,56,57,50,54,52,50,50,57,50,54
1356,57,58,51,55,53,51,51,58,51,55
1357,58,59,52,56,54,52,52,59,52,56
1358,59,60,53,57,55,53,53,60,53,57
1359,60,61,54,58,56,54,54,61,54,58
1360,60,61,54,58,56,55,55,61,55,58
1361,60,61,54,58,56,55,55,61,55,58
1362,61,62,55,59,57,56,56,62,56,59
1363,62,63,55,60,58,57,57,63,57,60
1364,61,62,55,60,57,57,57,62,57,60
1365,61,62,55,60,57,57,57,62,57,60
1366,61,62,55,59,56,57,57,62,57,59
1367,60,61,55,58,56,57,57,61,57,58
1368,61,62,56,59,57,58,58,62,58,59
1369,61,62,56,59,57,58,58,62,58,59
1370,60,61,55,58,56,57,57,61,57,58
1371,59,60,55,57,55,56,56,60,56,57
1372,59,60,55,57,55,56,56,60,56,57
1373,58,59,54,56,54,55,55,59,55,56
1374,59,60,55,57,55,55,55,60,55,57
1375,58,59,54,56,54,54,54,59,54,56
1376,58,59,54,55,54,54,54,59,54,55
1377,58,59,55,56,55,55,55,59,55,56
1378,59,60,56,57,56,56,56,60,56,57
1379,58,59,55,56,55,55,55,59,55,56
1380,58,59,56,57,56,56,56,59,56,57
1381,57,58,55,56,55,55,55,58,55,56
1382,56,57,54,55,54,54,54,57,54,55
1383,56,57,54,55,54,54,54,57,54,55
1384,56,57,54,55,54,54,54,57,54,55
1385,56,57,55,56,54,54,54,57,54,56
1386,57,58,56,57,54,55,55,58,55,57
1387,57,58,56,57,54,55,55,58,55,57
1388,57,58,55,56,53,54,54,58,54,56
1389,58,59,55,56,54,53,53,59,53,56
1390,58,59,55,56,54,53,53,59,53,56
1391,58,59,55,56,53,53,53,59,53,56
1392,58,59,54,57,53,52,52,59,52,57
1393,57,58,53,56,52,51,51,58,51,56
1394,57,58,53,56,52,51,51,58,51,56
1395,58,59,54,57,53,51,51,59,51,57
1396,57,58,54,57,53,50,50,58,50,57
1397,56,57,55,57,53,49,49,57,49,57
1398,57,57,55,57,53,49,49,57,49,57
1399,58,58,56,58,54,50,50,58,50,58
1400,57,57,55,57,53,49,49,57,49,57
1401,58,58,56,58,54,50,50,58,50,58
1402,57,57,55,58,54,49,49,57,49,58
1403,56,56,54,58,54,48,48,56,48,58
1404,56,56,55,58,54,48,48,56,48,58
1405,56,56,55,58,54,48,48,56,48,58
1406,57,57,55,59,55,49,49,57,49,59
1407,57,57,55,59,55,49,49,57,49,59
1408,57,57,55,59,55,49,49,57,49,59
1409,56,56,54,58,54,48,48,56,48,58
1410,56,56,54,58,54,48,48,56,48,58
1411,56,56,54,58,54,48,48,56,48,58
1412,55,55,53,57,53,47,47,55,47,57
1413,56,56,54,58,54,48,48,56,48,58
1414,57,57,55,59,55,49,49,57,49,59
1415,57,57,55,60,55,49,49,57,49,60
1416,57,57,54,59,55,49,49,57,49,59
1417,56,56,53,58,54,48,48,56,48,58
1418,55,55,52,57,54,47,47,55,47,57
1419,56,56,53,58,55,48,48,56,48,58
1420,57,57,53,58,55,48,48,57,48,58
1421,58,58,54,58,55,49,49,58,49,58
1422,59,59,55,59,56,50,50,59,50,59
1423,59,59,55,59,56,50,50,59,50,59
1424,58,58,55,58,55,50,50,58,50,58
1425,58,58,56,59,56,51,51,58,51,59
1426,57,57,55,58,55,50,50,57,50,58
1427,57,57,55,58,55,50,50,57,50,58
1428,58,58,56,58,55,50,50,58,50,58
1429,58,58,56,58,55,50,50,58,50,58
1430,58,58,56,57,54,49,49,58,49,57
1431,58,58,56,57,54,49,49,58,49,57
1432,58,58,56,57,54,50,50,58,50,57
1433,58,58,56,57,53,51,51,58,51,57
1434,59,59,57,58,54,52,52,59,52,58
1435,59,59,57,58,54,53,53,59,53,58
1436,59,59,56,57,54,53,53,59,53,57
1437,59,59,56,57,54,53,53,59,53,57
1438,59,59,56,57,54,53,53,59,53,57
1439,60,60,57,58,55,54,54,60,54,58
1440,60,60,58,58,56,55,55,60,55,58
1441,60,60,58,58,56,55,55,60,55,58
1442,60,60,58,58,56,56,56,60,56,58
1443,61,61,59,58,57,57,57,61,57,58
1444,61,61,60,58,57,57,57,61,57,58
1445,61,61,60,59,58,57,57,61,57,59
1446,62,62,61,60,59,58,58,62,58,60
1447,62,62,61,60,59,58,58,62,58,60
1448,61,61,60,59,58,57,57,61,57,59
1449,62,62,61,60,59,58,58,62,58,60
1450,62,62,61,60,59,58,58,62,58,60
1451,61,61,60,60,58,57,57,61,57,60
1452,60,60,60,59,57,56,56,60,56,59
1453,59,59,59,58,56,55,55,59,55,58
1454,58,58,58,57,55,54,54,58,54,57
1455,59,59,59,58,56,55,55,59,55,58
1456,59,59,59,58,56,55,55,59,55,58
1457,59,59,59,57,56,55,55,59,55,57
1458,59,59,59,57,56,55,55,59,55,57
1459,58,58,58,56,55,54,54,58,54,56
1460,57,57,57,55,54,53,53,57,53,55
1461,57,57,57,55,54,53,53,57,53,55
1462,57,57,57,55,54,53,53,57,53,55
1463,57,57,57,55,54,52,52,57,52,55
1464,58,58,56,54,54,52,52,58,52,54
1465,59,59,57,55,55,53,53,59,53,55
1466,58,58,56,55,55,52,52,58,52,55
1467,59,59,56,56,55,51,51,59,51,56
1468,59,59,56,56,55,51,51,59,51,56
1469,58,58,56,55,55,51,51,58,51,55
1470,59,59,57,56,56,51,51,59,51,56
1471,60,60,58,57,57,52,52,60,52,57
1472,59,59,58,57,57,51,51,59,51,57
1473,60,60,59,58,58,52,52,60,52,58
1474,60,60,59,58,58,53,53,60,53,58
1475,60,60,59,58,58,53,53,60,53,58
1476,60,60,59,59,58,53,53,60,53,59
1477,59,59,58,58,57,52,52,59,52,58
1478,58,58,57,57,56,51,51,58,51,57
1479,59,59,57,57,56,51,51,59,51,57
1480,59,59,56,56,55,50,50,59,50,56
1481,60,60,57,56,56,50,50,60,50,56
1482,61,61,58,57,57,51,51,61,51,57
1483,62,62,59,58,58,52,52,62,52,58
1484,62,62,59,58,58,52,52,62,52,58
1485,62,62,58,58,58,52,52,62,52,58
1486,61,61,57,57,57,51,51,61,51,57
1487,61,61,57,56,56,51,51,61,51,56
1488,60,60,57,56,56,51,51,60,51,56
1489,60,60,57,56,56,52,52,60,52,56
1490,60,60,56,55,56,52,52,60,52,55
1491,60,60,56,55,57,52,52,60,52,55
1492,60,60,57,55,57,53,53,60,53,55
1493,60,60,57,55,57,53,53,60,53,55
1494,59,59,56,54,56,52,52,59,52,54
1495,58,58,55,53,55,52,52,58,52,53
1496,58,58,55,53,55,52,52,58,52,53
1497,59,59,55,53,56,53,53,59,53,54
1498,59,59,55,52,56,53,53,59,53,54
1499,59,59,55,51,55,53,53,59,53,53
1500,60,60,56,51,56,54,54,60,54,54
1501,60,60,56,50,56,54,54,60,54,54
1502,60,60,56,50,56,54,54,60,54,54
1503,60,60,56,50,56,54,54,60,54,54
1504,60,60,56,49,56,54,54,60,54,54
1505,59,59,55,48,56,54,54,59,54,53
1506,59,59,56,47,56,54,54,59,54,53
1507,60,60,57,47,57,55,55,60,55,54
1508,61,61,58,47,57,56,56,61,56,54
