pointer,OQ818321,OQ818329,OQ818342,OQ818344,NC_033820.1
5223,65,45,98,98,67
5224,65,44,98,98,66
5225,65,43,98,98,67
5226,66,43,98,98,68
5227,66,44,98,98,69
5228,66,43,98,98,70
5229,67,43,98,98,70
5230,67,42,98,98,69
5231,67,41,98,98,69
5232,67,41,98,98,69
5233,68,42,98,98,69
5234,68,42,98,98,68
5235,69,43,98,98,68
5236,69,44,98,98,67
5237,69,45,97,98,66
5238,69,46,97,98,67
5239,69,47,97,98,67
5240,69,47,97,98,67
5241,69,47,97,98,68
5242,69,47,97,98,69
5243,70,48,97,98,69
5244,71,48,97,99,68
5245,71,49,97,99,68
5246,70,49,96,99,68
5247,71,49,97,100,69
5248,71,49,97,100,69
5249,70,49,96,99,68
5250,71,50,96,99,68
5251,72,51,96,99,68
5252,72,50,95,99,67
5253,72,50,95,99,66
5254,72,51,95,99,65
5255,71,51,95,99,65
5256,71,52,95,99,66
5257,71,52,95,99,65
5258,70,52,95,99,64
5259,70,53,95,99,64
5260,70,54,95,99,64
5261,70,54,95,99,63
5262,70,55,95,99,64
5263,70,56,95,99,65
5264,69,56,95,99,66
5265,69,57,95,99,66
5266,70,58,95,99,66
5267,70,59,95,99,66
5268,71,60,95,99,67
5269,71,61,95,99,67
5270,71,61,95,99,66
5271,71,62,95,99,66
5272,71,63,95,99,65
5273,70,64,94,99,65
5274,70,65,94,99,65
5275,70,66,94,99,65
5276,69,65,93,99,65
5277,68,64,93,99,65
5278,69,64,93,99,65
5279,68,64,93,99,65
5280,69,65,93,99,65
5281,70,65,93,99,65
5282,70,65,93,99,65
5283,70,66,93,99,66
5284,71,67,93,99,66
5285,71,66,93,99,66
5286,71,65,93,99,67
5287,71,66,93,99,67
5288,71,65,93,99,67
5289,72,64,93,99,67
5290,73,64,93,98,67
5291,73,63,93,98,67
5292,73,63,93,98,67
5293,73,63,93,98,68
5294,73,63,93,98,68
5295,73,62,93,98,69
5296,73,62,93,98,69
5297,72,63,93,98,69
5298,73,63,93,98,69
5299,72,63,93,98,69
5300,73,64,93,98,68
5301,73,64,93,98,68
5302,73,63,93,98,68
5303,73,63,92,98,67
5304,74,64,92,98,67
5305,75,65,92,98,67
5306,75,66,92,98,67
5307,76,67,92,98,68
5308,76,67,92,98,68
5309,75,67,92,98,67
5310,75,67,92,98,67
5311,76,68,92,98,66
5312,75,69,92,98,66
5313,75,69,92,98,66
5314,75,69,92,98,66
5315,76,70,92,98,65
5316,76,71,92,98,65
5317,77,72,92,98,65
5318,77,72,92,98,64
5319,77,71,93,98,65
5320,78,71,93,98,65
5321,79,70,92,98,66
5322,80,70,92,98,67
5323,80,71,92,98,67
5324,79,71,92,98,67
5325,79,71,92,98,67
5326,79,70,92,98,67
5327,79,69,92,98,66
5328,79,70,92,98,66
5329,79,70,92,98,66
5330,78,70,92,98,67
5331,78,71,92,98,68
5332,78,72,92,98,68
5333,77,71,92,98,67
5334,76,70,92,97,67
5335,76,70,92,97,67
5336,75,70,92,97,68
5337,75,70,93,97,69
5338,74,69,93,97,69
5339,73,68,93,97,69
5340,73,68,93,97,69
5341,73,68,93,97,69
5342,72,68,93,97,69
5343,72,67,93,97,69
5344,72,66,93,97,70
5345,71,65,93,97,70
5346,71,65,94,97,71
5347,71,65,94,97,71
5348,70,64,94,97,71
5349,71,63,95,98,72
5350,71,62,95,98,72
5351,70,61,95,98,71
5352,70,62,96,98,72
5353,71,63,96,98,73
5354,71,62,95,98,74
5355,71,63,95,98,74
5356,70,62,95,98,74
5357,70,61,95,98,74
5358,70,62,95,98,74
5359,69,62,95,98,75
5360,68,62,95,98,74
5361,67,62,95,98,75
5362,67,62,95,98,74
5363,66,61,94,98,73
5364,67,62,94,98,72
5365,67,61,94,98,71
5366,66,60,94,98,71
5367,67,59,94,98,71
5368,67,59,94,98,71
5369,66,59,94,98,71
5370,66,60,94,98,72
5371,66,60,94,98,71
5372,66,60,94,98,71
5373,67,59,95,98,71
5374,67,59,95,98,70
5375,66,58,95,98,70
5376,67,59,96,98,70
5377,68,60,96,98,70
5378,68,60,96,98,70
5379,69,60,96,98,71
5380,69,60,96,98,71
5381,69,59,96,98,71
5382,69,59,96,98,70
5383,69,59,96,98,69
5384,69,59,96,98,69
5385,69,60,96,98,69
5386,69,61,96,98,68
5387,69,61,96,98,67
5388,69,62,96,98,67
5389,69,63,96,98,67
5390,69,62,96,99,67
5391,70,63,96,99,67
5392,70,63,96,99,67
5393,69,62,96,99,66
5394,68,61,96,99,66
5395,67.67676768,61,95.95959596,98.98989899,65.65656566
5396,67.34693878,61,95.91836735,98.97959184,65.30612245
5397,68.04123711,60,95.87628866,98.96907216,64.94845361
5398,67.70833333,59,95.83333333,98.95833333,64.58333333
5399,68.42105263,58,95.78947368,98.94736842,64.21052632
5400,68.08510638,57,95.74468085,98.93617021,64.89361702
5401,67.0212766,58,95.74468085,98.93617021,64.89361702
5402,65.95744681,59,95.74468085,98.93617021,64.89361702
5403,64.89361702,59,96.80851064,98.93617021,65.95744681
5404,64.89361702,59,96.80851064,98.93617021,65.95744681
5405,63.82978723,58,96.80851064,98.93617021,64.89361702
5406,63.82978723,58,96.80851064,98.93617021,64.89361702
5407,63.82978723,58,96.80851064,98.93617021,64.89361702
5408,62.76595745,57,96.80851064,98.93617021,64.89361702
5409,62.76595745,56,96.80851064,98.93617021,65.95744681
5410,63.82978723,56,96.80851064,98.93617021,65.95744681
5411,63.82978723,55,96.80851064,98.93617021,65.95744681
5412,64.89361702,54,96.80851064,98.93617021,65.95744681
5413,64.89361702,54,95.74468085,98.93617021,65.95744681
5414,63.82978723,53,95.74468085,97.87234043,64.89361702
5415,63.82978723,53,95.74468085,97.87234043,65.95744681
5416,63.82978723,53,95.74468085,97.87234043,65.95744681
5417,63.82978723,53,95.74468085,97.87234043,64.89361702
5418,64.89361702,54,95.74468085,97.87234043,65.95744681
5419,65.95744681,55,95.74468085,97.87234043,64.89361702
5420,64.89361702,55,94.68085106,97.87234043,65.95744681
5421,64.89361702,56,95.74468085,97.87234043,65.95744681
5422,63.82978723,55,95.74468085,97.87234043,65.95744681
5423,63.82978723,54,95.74468085,97.87234043,67.0212766
5424,63.82978723,54,95.74468085,97.87234043,67.0212766
5425,63.82978723,54,95.74468085,97.87234043,65.95744681
5426,62.76595745,54,95.74468085,97.87234043,64.89361702
5427,62.76595745,55,95.74468085,97.87234043,65.95744681
5428,62.76595745,55,95.74468085,97.87234043,65.95744681
5429,61.70212766,55,95.74468085,97.87234043,64.89361702
5430,61.70212766,55,95.74468085,97.87234043,64.89361702
5431,61.70212766,55,95.74468085,97.87234043,64.89361702
5432,61.70212766,54,95.74468085,97.87234043,65.95744681
5433,61.70212766,55,95.74468085,97.87234043,67.0212766
5434,61.70212766,55,95.74468085,98.93617021,68.08510638
5435,60.63829787,54,95.74468085,98.93617021,69.14893617
5436,60.63829787,54,95.74468085,98.93617021,69.14893617
5437,60.63829787,54,95.74468085,98.93617021,68.08510638
5438,61.70212766,54,95.74468085,98.93617021,67.0212766
5439,62.76595745,54,95.74468085,98.93617021,67.0212766
5440,62.76595745,53,95.74468085,98.93617021,65.95744681
5441,61.70212766,52,95.74468085,98.93617021,65.95744681
5442,62.76595745,51,95.74468085,98.93617021,65.95744681
5443,62.76595745,51,95.74468085,98.93617021,65.95744681
5444,62.76595745,52,95.74468085,98.93617021,65.95744681
5445,63.82978723,52,95.74468085,98.93617021,65.95744681
5446,64.89361702,52,95.74468085,98.93617021,65.95744681
5447,63.82978723,51,94.68085106,98.93617021,65.95744681
5448,64.89361702,51,94.68085106,98.93617021,65.95744681
5449,64.89361702,51,94.68085106,98.93617021,65.95744681
5450,64.89361702,51,93.61702128,98.93617021,65.95744681
5451,65.95744681,51,93.61702128,98.93617021,67.0212766
5452,65.95744681,51,93.61702128,98.93617021,67.0212766
5453,64.89361702,50,92.55319149,98.93617021,67.0212766
5454,63.82978723,50,93.61702128,98.93617021,67.0212766
5455,63.82978723,49,93.61702128,98.93617021,65.95744681
5456,64.89361702,50,93.61702128,98.93617021,65.95744681
5457,64.89361702,51,93.61702128,98.93617021,67.0212766
5458,65.95744681,50,93.61702128,98.93617021,68.08510638
5459,65.95744681,49,93.61702128,97.87234043,68.08510638
5460,65.95744681,49,93.61702128,97.87234043,69.14893617
5461,65.95744681,50,93.61702128,97.87234043,69.14893617
5462,64.89361702,50,93.61702128,97.87234043,70.21276596
5463,65.95744681,51,94.68085106,97.87234043,71.27659574
5464,65.95744681,51,94.68085106,97.87234043,71.27659574
5465,64.89361702,52,94.68085106,97.87234043,71.27659574
5466,65.95744681,53,94.68085106,97.87234043,71.27659574
5467,65.95744681,54,94.68085106,97.87234043,71.27659574
5468,65.95744681,54,93.61702128,97.87234043,70.21276596
5469,65.95744681,53,93.61702128,97.87234043,70.21276596
5470,67.0212766,53,93.61702128,97.87234043,70.21276596
5471,65.95744681,52,93.61702128,97.87234043,71.27659574
5472,65.95744681,52,93.61702128,97.87234043,72.34042553
5473,65.95744681,53,93.61702128,97.87234043,71.27659574
5474,64.89361702,52,93.61702128,97.87234043,72.34042553
5475,65.95744681,52,93.61702128,97.87234043,71.27659574
5476,65.95744681,52,93.61702128,97.87234043,70.21276596
5477,64.89361702,51,92.55319149,97.87234043,69.14893617
5478,64.89361702,51,92.55319149,97.87234043,70.21276596
5479,64.89361702,51,92.55319149,97.87234043,70.21276596
5480,63.82978723,51,92.55319149,97.87234043,70.21276596
5481,63.82978723,52,92.55319149,97.87234043,70.21276596
5482,63.82978723,52,92.55319149,97.87234043,71.27659574
5483,62.76595745,52,92.55319149,97.87234043,72.34042553
5484,62.76595745,52,92.55319149,97.87234043,72.34042553
5485,62.76595745,52,92.55319149,97.87234043,73.40425532
5486,62.76595745,52,92.55319149,97.87234043,73.40425532
5487,62.76595745,52,92.55319149,97.87234043,74.46808511
5488,62.76595745,52,92.55319149,97.87234043,73.40425532
5489,61.70212766,52,92.55319149,97.87234043,72.34042553
5490,61.70212766,53,92.55319149,97.87234043,72.34042553
5491,60.63829787,53,92.55319149,97.87234043,72.34042553
5492,59.57446809,52,92.55319149,97.87234043,72.34042553
5493,59.57446809,53,92.55319149,97.87234043,73.40425532
5494,60.63829787,54,92.55319149,97.87234043,73.40425532
5495,61.05263158,54,92.63157895,97.89473684,73.68421053
5496,61.45833333,55,92.70833333,97.91666667,73.95833333
5497,61.8556701,56,92.78350515,97.93814433,73.19587629
5498,62.24489796,56,92.85714286,97.95918367,72.44897959
5499,62.62626263,56,92.92929293,97.97979798,71.71717172
5500,63,57,93,98,71
5501,63,56,93,98,70
5502,63,56,93,98,71
5503,64,56,93,98,71
5504,64,55,93,98,72
5505,65,56,93,98,72
5506,65,56,93,98,71
5507,65,56,93,98,70
5508,66,57,93,98,70
5509,67,58,93,98,70
5510,67,59,93,98,69
5511,67,60,93,98,70
5512,67,61,93,98,70
5513,67,60,94,98,70
5514,68,61,94,99,71
5515,68,61,94,99,71
5516,68,61,94,99,70
5517,68,61,94,99,71
5518,68,61,94,99,71
5519,68,61,94,99,72
5520,68,61,95,99,72
5521,67,60,95,99,71
5522,67,61,95,98,70
5523,67,62,95,98,69
5524,68,63,95,98,69
5525,68,63,95,98,70
5526,69,64,95,98,71
5527,69,64,95,98,70
5528,68,64,95,98,69
5529,69,65,95,98,70
5530,70,66,95,98,70
5531,69,66,95,98,69
5532,69,67,95,98,69
5533,70,67,95,98,69
5534,71,67,95,98,69
5535,72,67,95,98,68
5536,73,67,95,98,67
5537,73,67,95,98,68
5538,72,68,95,98,69
5539,72,68,95,98,68
5540,72,68,95,98,68
5541,73,69,95,98,68
5542,73,70,95,98,68
5543,73,70,95,98,67
5544,72,69,95,98,67
5545,72,70,95,98,67
5546,71,70,94,98,66
5547,72,71,95,98,66
5548,72,72,95,98,66
5549,71,73,95,98,65
5550,71,74,96,98,64
5551,71,75,96,98,64
5552,71,74,96,98,64
5553,72,75,97,98,64
5554,73,76,97,98,63
5555,73,77,97,97,63
5556,73,77,97,97,63
5557,73,77,97,97,62
5558,73,77,97,97,61
5559,74,78,97,98,61
5560,75,78,97,98,61
5561,75,77,96,97,60
5562,76,76,96,97,60
5563,76,75,96,97,60
5564,76,74,96,97,61
5565,76,73,96,97,62
5566,75,72,96,97,62
5567,74,71,96,97,62
5568,74,71,97,97,63
5569,75,72,97,97,62
5570,74,71,97,96,62
5571,74,72,97,96,62
5572,73,72,97,96,62
5573,73,71,97,96,63
5574,74,72,97,96,62
5575,74,73,97,96,63
5576,74,73,97,96,63
5577,75,74,98,96,64
5578,75,73,98,96,64
5579,74,72,98,96,64
5580,75,71,98,96,64
5581,75,71,98,96,64
5582,75,70,98,96,64
5583,76,70,98,96,64
5584,76,70,98,96,64
5585,76,69,98,96,64
5586,76,69,98,96,65
5587,75,68,98,96,65
5588,74,67,98,96,66
5589,74,66,98,96,67
5590,73,65,98,96,67
5591,73,64,98,95,67
5592,74,65,98,95,67
5593,75,65,97,95,67
5594,75,65,96,95,66
5595,75,66,96,95,66
5596,75,66,96,95,65
5597,74,65,96,95,66
5598,74,65,96,95,67
5599,74,66,96,95,67
5600,73,65,96,95,68
5601,74,66,96,95,69
5602,75,66,96,95,69
5603,75,66,96,95,68
5604,75,67,96,95,67
5605,75,67,96,95,68
5606,75,67,95,95,68
5607,74,66,95,95,69
5608,74,66,95,95,68
5609,73,65,95,95,67
5610,73,65,95,95,68
5611,73,65,95,95,68
5612,73,65,95,95,67
5613,73,66,95,95,67
5614,73,66,95,95,66
5615,73,66,95,95,66
5616,73,65,95,95,66
5617,73,64,95,95,66
5618,72,63,95,95,65
5619,71,62,95,95,65
5620,72,61,95,95,65
5621,73,61,95,95,66
5622,74,61,95,96,67
5623,74,61,95,96,68
5624,74,61,95,96,68
5625,74,62,95,96,68
5626,74,61,95,96,67
5627,74,61,95,96,67
5628,74,61,95,96,67
5629,74,61,95,96,66
5630,73,60,94,96,66
5631,74,60,94,96,67
5632,74,60,94,96,67
5633,74,59,94,96,66
5634,74,60,94,96,66
5635,74,60,94,96,67
5636,74,60,94,96,67
5637,74,60,94,96,67
5638,75,60,94,96,66
5639,75,60,94,96,66
5640,75,61,94,96,67
5641,75,60,94,96,67
5642,75,59,94,96,66
5643,75,59,94,96,67
5644,76,60,94,96,66
5645,75,59,94,96,65
5646,75,58,95,96,66
5647,75,58,95,96,65
5648,75,57,94,96,64
5649,76,56,94,96,65
5650,76,56,94,96,66
5651,76,55,94,96,65
5652,76,55,94,96,64
5653,76,55,94,96,64
5654,76,54,94,96,64
5655,77,54,94,97,64
5656,77,53,94,97,64
5657,76,52,93,97,64
5658,76,53,93,97,65
5659,75,53,93,97,65
5660,75,52,93,97,64
5661,76,52,94,98,65
5662,75,52,94,98,65
5663,75,52,94,98,64
5664,75,53,94,98,63
5665,76,54,94,98,62
5666,76,55,94,98,62
5667,77,55,94,98,62
5668,77,55,94,98,61
5669,76,54,93,98,61
5670,77,55,93,99,60
5671,78,55,93,99,60
5672,78,55,92,99,59
5673,78,56,92,99,58
5674,78,56,92,99,58
5675,78,56,92,98,57
5676,78,56,92,97,57
5677,78,56,92,97,56
5678,77,56,92,97,56
5679,78,57,92,97,56
5680,78,58,92,97,55
5681,77,57,92,97,55
5682,77,58,92,97,55
5683,77,58,92,97,55
5684,77,58,92,97,55
5685,77,59,92,97,55
5686,77,58,92,97,55
5687,77,59,91,97,54
5688,78,60,91,97,53
5689,79,61,91,97,52
5690,80,62,90,97,51
5691,81,62,90,98,51
5692,81,62,90,98,51
5693,80,61,90,98,50
5694,80,61,91,98,51
5695,80,61,91,98,51
5696,79,60,90,98,51
5697,80,60,90,98,50
5698,80,60,90,98,50
5699,79,59,89,98,50
5700,80,60,89,98,50
5701,80,60,89,98,50
5702,79,60,89,98,50
5703,79,60,89,98,51
5704,79,60,89,98,52
5705,78,60,89,98,51
5706,78,60,90,98,52
5707,79,61,90,98,52
5708,78,60,90,98,52
5709,79,61,90,98,52
5710,79,61,90,98,52
5711,78,60,90,97,52
5712,78,60,90,97,53
5713,78,60,90,97,53
5714,77,59,90,97,54
5715,77,59,90,97,54
5716,77,60,90,97,55
5717,76,60,90,97,54
5718,76,60,89,97,55
5719,76,60,89,97,55
5720,75,60,89,97,55
5721,75,61,89,97,55
5722,75,61,89,97,55
5723,75,61,88,97,55
5724,75,61,88,97,56
5725,75,61,88,97,56
5726,75,62,88,97,57
5727,75,62,88,97,58
5728,76,62,88,97,59
5729,75,61,88,97,60
5730,75,61,89,97,60
5731,75,61,89,97,60
5732,74,60,89,97,60
5733,73,61,89,97,61
5734,73,61,89,97,60
5735,72,61,89,97,59
5736,72,61,89,97,60
5737,72,61,89,97,60
5738,72,61,89,97,61
5739,72,62,89,97,62
5740,71,61,89,97,62
5741,70,62,89,97,62
5742,70,63,89,97,63
5743,70,64,89,97,63
5744,69,64,89,97,64
5745,70,65,89,97,65
5746,71,66,89,97,65
5747,71,66,88,97,66
5748,70,67,88,97,67
5749,69,67,87,97,67
5750,68,66,86,96,66
5751,68,66,85,96,67
5752,68,67,84,96,68
5753,67,67,83,96,67
5754,66,68,82,96,68
5755,65,68,81,96,68
