Pointer,NC_028981 - PP766455,NC_028981 - NC_028366,PP766455 - NC_028366
6820,0,0,100
6840,0,0,100
6860,0,0,99
6880,4,0,96
6900,3,0,96
6920,1,0,98
6940,0,0,99
6960,0,0,100
6980,0,0,99
7000,4,0,93
7020,0,4,94
7040,1,0,99
7060,0,2,98
7080,0,0,100
7100,0,0,100
7120,0,0,100
7140,1,0,99
7160,2,0,98
7180,1,0,99
7200,0,0,100
7220,3,0,96
7240,18,0,78
7260,22,0,71
7280,22,0,70
7300,16,0,82
7320,20,0,74
7340,7,0,90
7360,7,3,88
7380,11,4,83
7400,11,35,50
7420,1,6,91
7440,1,2,97
7460,1,5,94
7480,1,22,71
7500,2,14,77
7520,1,4,92
7540,0,24,73
7560,3,11,83
7580,2,15,82
7600,1,2,97
7620,4,7,89
7640,0,12,84
7660,1,10,89
7680,3,5,92
7700,5,3,92
7720,8,4,88
7740,5,0,95
7760,1,0,99
7780,1,0,97
7800,0,0,100
7820,6,0,86
7840,7,0,77
7860,0,0,73
7880,0,0,0
7900,0,0,0
7920,0,0,0
7940,0,0,0
