Pointer,NC_034206.1 - NC_038317,NC_034206.1 - OQ818317,NC_038317 - OQ818317
5480,54,25,21
5500,62,7,31
5520,51,18,28
5540,49,4,47
5560,60,4,35
5580,50,6,43
5600,44,2,54
5620,39,1,60
5640,24,7,64
5660,36,9,42
5680,45,11,42
5700,24,42,33
5720,44,21,32
5740,37,13,48
5760,49,12,39
5780,68,10,22
5800,74,22,4
5820,57,41,2
5840,60,37,3
5860,38,62,0
5880,30,69,1
5900,29,70,0
5920,22,78,0
5940,22,77,0
5960,5,95,0
5980,3,96,1
6000,3,91,6
6020,8,88,4
6040,39,56,5
6060,16,47,37
6080,32,34,34
6100,5,63,32
6120,6,52,42
6140,4,54,42
6160,1,32,67
6180,27,37,36
6200,17,75,7
6220,3,92,5
6240,3,95,1
6260,4,93,0
6280,5,93,0
6300,25,72,0
6320,58,36,2
6340,60,35,0
6360,60,32,0
6380,39,59,2
6400,77,18,5
6420,77,8,15
6440,57,21,22
6460,54,9,37
6480,95,0,5
6500,94,0,6
6520,82,1,17
6540,74,0,26
6560,30,1,68
6580,69,4,20
6600,64,7,23
6620,52,13,32
6640,69,7,22
6660,74,10,15
6680,16,34,45
6700,12,23,63
6720,5,19,75
6740,2,9,89
6760,0,13,87
6780,0,2,98
6800,7,17,74
6820,0,5,95
6840,3,2,94
6860,0,2,98
6880,8,4,86
6900,13,13,72
6920,18,12,69
6940,19,10,69
6960,13,2,85
6980,7,3,90
7000,4,0,95
7020,10,1,84
7040,6,0,91
7060,15,1,79
7080,2,0,97
7100,6,1,90
7120,8,0,90
7140,12,0,86
7160,7,2,87
7180,1,25,67
7200,1,31,66
7220,2,38,58
7240,1,22,74
7260,1,56,41
7280,2,53,40
7300,7,72,17
7320,6,56,32
7340,18,41,32
7360,30,43,20
7380,67,10,16
7400,71,14,10
7420,65,7,19
7440,64,7,25
7460,44,1,48
7480,14,3,77
7500,28,2,66
7520,44,8,40
7540,36,22,40
7560,46,6,39
7580,36,6,49
7600,34,5,57
7620,48,1,46
7640,61,0,37
7660,66,0,31
7680,83,0,15
7700,59,0,38
7720,45,0,51
7740,52,0,42
7760,40,0,53
7780,40,0,57
7800,49,2,42
7820,53,8,36
7840,24,26,47
7860,25,25,47
7880,7,59,32
7900,1,78,21
7920,3,77,20
7940,4,69,25
7960,4,70,17
7980,5,60,31
8000,0,66,26
8020,1,64,9
8040,3,70,7
8060,4,53,7
8080,9,36,22
8100,6,50,16
8120,0,0,0
